date,index_member,percent_weight
2009-04-17,ADH,11.179299
2009-04-17,ADI,1.320814
2009-04-17,AGMA,0.00131
2009-04-17,ALM,0.087241
2009-04-17,AOULA,0.001368
2009-04-17,ATH,1.001714
2009-04-17,ATL,0.927344
2009-04-17,ATW,12.524291
2009-04-17,AXC,0.045426
2009-04-17,BAL,0.042608
2009-04-17,BCI,1.384864
2009-04-17,BCI28,0.256063
2009-04-17,BCP,4.130517
2009-04-17,BER,0.056582
2009-04-17,BNM,0.080116
2009-04-17,BOA,11.573876
2009-04-17,CDA,0.005811
2009-04-17,CDM,0.916527
2009-04-17,CGI,5.495021
2009-04-17,CIH,2.020018
2009-04-17,CMA,0.015671
2009-04-17,CMT,0.290233
2009-04-17,COL,0.125462
2009-04-17,CRS,0.000258
2009-04-17,CSR,1.175199
2009-04-17,CTM,0.070694
2009-04-17,DHO,0.005264
2009-04-17,DIS,0.083909
2009-04-17,DLM,0.000536
2009-04-17,DRI,0.047288
2009-04-17,DTS,0.058023
2009-04-17,DWY,0.089578
2009-04-17,EQD,0.679106
2009-04-17,FBR,0.142032
2009-04-17,FRT,0.023863
2009-04-17,GAZ,0.952881
2009-04-17,HOL,1.936038
2009-04-17,HPS,0.115764
2009-04-17,IAM,22.079713
2009-04-17,IBC,0.043047
2009-04-17,INV,0.019884
2009-04-17,LBV,0.55746
2009-04-17,LES,0.61431
2009-04-17,LGM,0.083617
2009-04-17,LHM,1.984573
2009-04-17,LYD,2.3e-05
2009-04-17,M2M,0.061505
2009-04-17,MAB,0.087895
2009-04-17,MAV,0.056751
2009-04-17,MDP,0.03176
2009-04-17,MED,0.017175
2009-04-17,MIC,0.000491
2009-04-17,MLE,0.078713
2009-04-17,MNG,0.303314
2009-04-17,MOX,0.042181
2009-04-17,NEJ,0.146006
2009-04-17,NEX,0.06974
2009-04-17,ONA,6.838428
2009-04-17,PRO,2.3e-05
2009-04-17,REB,0.010419
2009-04-17,RIS,0.434902
2009-04-17,SAM,1.701739
2009-04-17,SBM,1.412387
2009-04-17,SCE,0.034769
2009-04-17,SID,0.022872
2009-04-17,SLF,0.28987
2009-04-17,SMI,0.32027
2009-04-17,SNA,0.185643
2009-04-17,SNI,3.281296
2009-04-17,SNP,0.004553
2009-04-17,SOF,0.081264
2009-04-17,SOT,0.002401
2009-04-17,SRM,0.000213
2009-04-17,TIM,0.01035
2009-04-17,TSF,0.062533
2009-04-17,UMR,0.091983
2009-04-17,WAA,0.012233
2009-04-17,ZDJ,0.061085
2009-05-01,ADH,11.623773
2009-05-01,ADI,1.233232
2009-05-01,AGMA,0.00143
2009-05-01,ALM,0.092049
2009-05-01,AOULA,0.001303
2009-05-01,ATH,0.951129
2009-05-01,ATL,0.903655
2009-05-01,ATW,12.364094
2009-05-01,AXC,0.043331
2009-05-01,BAL,0.041299
2009-05-01,BCI,1.360566
2009-05-01,BCI28,0.2658
2009-05-01,BCP,3.926554
2009-05-01,BER,0.055813
2009-05-01,BNM,0.075712
2009-05-01,BOA,11.982403
2009-05-01,CDA,0.005472
2009-05-01,CDM,0.893532
2009-05-01,CGI,5.431882
2009-05-01,CIH,2.117474
2009-05-01,CMA,0.014708
2009-05-01,CMT,0.262342
2009-05-01,COL,0.123282
2009-05-01,CRS,0.000247
2009-05-01,CSR,1.171618
2009-05-01,CTM,0.076875
2009-05-01,DHO,0.005382
2009-05-01,DIS,0.078508
2009-05-01,DLM,0.000506
2009-05-01,DRI,0.046015
2009-05-01,DTS,0.061203
2009-05-01,DWY,0.093744
2009-05-01,EQD,0.65823
2009-05-01,FBR,0.140404
2009-05-01,FRT,0.022147
2009-05-01,GAZ,0.92092
2009-05-01,HOL,1.933735
2009-05-01,HPS,0.116975
2009-05-01,IAM,22.117759
2009-05-01,IBC,0.044349
2009-05-01,INV,0.018723
2009-05-01,LBV,0.53143
2009-05-01,LES,0.595426
2009-05-01,LGM,0.072739
2009-05-01,LHM,1.966976
2009-05-01,LYD,2.4e-05
2009-05-01,M2M,0.059734
2009-05-01,MAB,0.083919
2009-05-01,MAV,0.055006
2009-05-01,MDP,0.031265
2009-05-01,MED,0.016813
2009-05-01,MIC,0.000477
2009-05-01,MLE,0.079018
2009-05-01,MNG,0.326197
2009-05-01,MOX,0.040127
2009-05-01,NEJ,0.133175
2009-05-01,NEX,0.067248
2009-05-01,ONA,6.790936
2009-05-01,PRO,2.3e-05
2009-05-01,REB,0.010688
2009-05-01,RIS,0.418847
2009-05-01,SAM,1.74368
2009-05-01,SBM,1.36897
2009-05-01,SCE,0.035423
2009-05-01,SID,0.022614
2009-05-01,SLF,0.286486
2009-05-01,SMI,0.298544
2009-05-01,SNA,0.178937
2009-05-01,SNI,3.197357
2009-05-01,SNP,0.004473
2009-05-01,SOF,0.074916
2009-05-01,SOT,0.002351
2009-05-01,SRM,0.000208
2009-05-01,TIM,0.01041
2009-05-01,TSF,0.06061
2009-05-01,UMR,0.089156
2009-05-01,WAA,0.011925
2009-05-01,ZDJ,0.055694
2009-05-15,ADH,12.300758
2009-05-15,ADI,1.389039
2009-05-15,AGMA,0.001343
2009-05-15,ALM,0.095157
2009-05-15,AOULA,0.001309
2009-05-15,ATH,0.976941
2009-05-15,ATL,0.917971
2009-05-15,ATW,12.161368
2009-05-15,AXC,0.046225
2009-05-15,BAL,0.04077
2009-05-15,BCI,1.349702
2009-05-15,BCI28,0.262068
2009-05-15,BCP,3.90667
2009-05-15,BER,0.055099
2009-05-15,BNM,0.071714
2009-05-15,BOA,11.731592
2009-05-15,CDA,0.005539
2009-05-15,CDM,0.888481
2009-05-15,CGI,5.334096
2009-05-15,CIH,2.283583
2009-05-15,CMA,0.014276
2009-05-15,CMT,0.239061
2009-05-15,COL,0.122325
2009-05-15,CRS,0.000243
2009-05-15,CSR,1.148582
2009-05-15,CTM,0.077535
2009-05-15,DHO,0.005372
2009-05-15,DIS,0.071466
2009-05-15,DLM,0.000622
2009-05-15,DRI,0.045668
2009-05-15,DTS,0.059748
2009-05-15,DWY,0.099201
2009-05-15,EQD,0.6498
2009-05-15,FBR,0.145169
2009-05-15,FRT,0.024596
2009-05-15,GAZ,0.876187
2009-05-15,HOL,1.892027
2009-05-15,HPS,0.111889
2009-05-15,IAM,21.430163
2009-05-15,IBC,0.045207
2009-05-15,INV,0.020288
2009-05-15,LBV,0.504868
2009-05-15,LES,0.583564
2009-05-15,LGM,0.069491
2009-05-15,LHM,1.959195
2009-05-15,LYD,2.6e-05
2009-05-15,M2M,0.057107
2009-05-15,MAB,0.087717
