date,close,open,high,low,turnover,volume,vwap,mktCap
1998-10-28,89.91,89.91,89.91,89.91,,760.0,,
1998-10-28,89.91,89.91,89.91,89.91,,760.0,,
1998-10-28,89.91,89.91,89.91,89.91,,760.0,,
1998-10-29,87.93,,,,,550.0,,
1998-10-29,87.93,,,,,550.0,,
1998-10-29,87.93,,,,,550.0,,
1998-10-30,84.46,84.46,84.46,84.46,,1824.0,,
1998-10-30,84.46,84.46,84.46,84.46,,1824.0,,
1998-10-30,84.46,84.46,84.46,84.46,,1824.0,,
1998-11-02,85.45,,,,,660.0,,
1998-11-02,85.45,,,,,660.0,,
1998-11-02,85.45,,,,,660.0,,
1998-11-04,86.69,86.69,86.69,86.69,,400.0,,
1998-11-04,86.69,86.69,86.69,86.69,,400.0,,
1998-11-04,86.69,86.69,86.69,86.69,,400.0,,
1998-11-05,87.93,87.93,87.93,87.93,,,,
1998-11-05,87.93,87.93,87.93,87.93,,,,
1998-11-05,87.93,87.93,87.93,87.93,,,,
1998-11-09,84.21,84.21,84.21,84.21,,,,
1998-11-09,84.21,84.21,84.21,84.21,,,,
1998-11-09,84.21,84.21,84.21,84.21,,,,
1998-11-10,79.26,79.26,79.26,79.26,,310.0,,
1998-11-10,79.26,79.26,79.26,79.26,,310.0,,
1998-11-10,79.26,79.26,79.26,79.26,,310.0,,
1998-11-11,79.52,79.52,79.52,79.52,,,,
1998-11-11,79.52,79.52,79.52,79.52,,,,
1998-11-11,79.52,79.52,79.52,79.52,,,,
1998-11-12,82.72,82.72,82.72,82.72,,160.0,,
1998-11-12,82.72,82.72,82.72,82.72,,160.0,,
1998-11-12,82.72,82.72,82.72,82.72,,160.0,,
1998-11-13,80.01,80.01,80.01,80.01,,50.0,,
1998-11-13,80.01,80.01,80.01,80.01,,50.0,,
1998-11-13,80.01,80.01,80.01,80.01,,50.0,,
1998-11-17,80.0,80.0,80.0,80.0,,175.0,,
1998-11-17,80.0,80.0,80.0,80.0,,175.0,,
1998-11-17,80.0,80.0,80.0,80.0,,175.0,,
1998-11-20,80.0,80.0,80.0,80.0,,175.0,,
1998-11-20,80.0,80.0,80.0,80.0,,175.0,,
1998-11-20,80.0,80.0,80.0,80.0,,175.0,,
1998-11-23,80.5,80.5,80.5,80.5,,230.0,,
1998-11-23,80.5,80.5,80.5,80.5,,230.0,,
1998-11-23,80.5,80.5,80.5,80.5,,230.0,,
1998-11-24,80.48,80.48,80.48,80.48,,20.0,,
1998-11-24,80.48,80.48,80.48,80.48,,20.0,,
1998-11-24,80.48,80.48,80.48,80.48,,20.0,,
1998-11-25,79.75,79.75,79.75,79.75,,462.0,,
1998-11-25,79.75,79.75,79.75,79.75,,462.0,,
1998-11-25,79.75,79.75,79.75,79.75,,462.0,,
1998-11-26,79.76,79.76,79.76,79.76,,120.0,,
1998-11-26,79.76,79.76,79.76,79.76,,120.0,,
1998-11-26,79.76,79.76,79.76,79.76,,120.0,,
1998-11-27,79.53,79.53,79.53,79.53,,130.0,,
1998-11-27,79.53,79.53,79.53,79.53,,130.0,,
1998-11-27,79.53,79.53,79.53,79.53,,130.0,,
1998-11-30,79.53,79.53,79.53,79.53,,270.0,,
1998-11-30,79.53,79.53,79.53,79.53,,270.0,,
1998-11-30,79.53,79.53,79.53,79.53,,270.0,,
1998-12-02,79.52,79.52,79.52,79.52,,620.0,,
1998-12-02,79.52,79.52,79.52,79.52,,620.0,,
1998-12-02,79.52,79.52,79.52,79.52,,620.0,,
1998-12-03,79.75,79.75,79.75,79.75,,460.0,,
1998-12-03,79.75,79.75,79.75,79.75,,460.0,,
1998-12-03,79.75,79.75,79.75,79.75,,460.0,,
1998-12-07,79.8,79.8,79.8,79.8,,120.0,,
1998-12-07,79.8,79.8,79.8,79.8,,120.0,,
1998-12-07,79.8,79.8,79.8,79.8,,120.0,,
1998-12-08,80.25,80.25,80.25,80.25,,400.0,,
1998-12-08,80.25,80.25,80.25,80.25,,400.0,,
1998-12-08,80.25,80.25,80.25,80.25,,400.0,,
1998-12-09,80.25,80.25,80.25,80.25,,865.0,,
1998-12-09,80.25,80.25,80.25,80.25,,865.0,,
1998-12-09,80.25,80.25,80.25,80.25,,865.0,,
1998-12-10,80.5,80.5,80.5,80.5,,230.0,,
1998-12-10,80.5,80.5,80.5,80.5,,230.0,,
1998-12-10,80.5,80.5,80.5,80.5,,230.0,,
1998-12-11,85.2,85.2,85.2,85.2,,,,
1998-12-11,85.2,85.2,85.2,85.2,,,,
1998-12-11,85.2,85.2,85.2,85.2,,,,
1998-12-15,81.73,81.73,81.73,81.73,,250.0,,
1998-12-15,81.73,81.73,81.73,81.73,,250.0,,
1998-12-15,81.73,81.73,81.73,81.73,,250.0,,
1998-12-16,81.73,81.73,81.73,81.73,,120.0,,
1998-12-16,81.73,81.73,81.73,81.73,,120.0,,
1998-12-16,81.73,81.73,81.73,81.73,,120.0,,
1998-12-17,80.5,80.5,80.5,80.5,,,,
1998-12-17,80.5,80.5,80.5,80.5,,,,
1998-12-17,80.5,80.5,80.5,80.5,,,,
