date,close,open,high,low,turnover,volume,vwap,mktCap
2006-10-31,16.98,16.98,16.98,15.44,,12227.0,,
2006-10-31,16.98,16.98,16.98,15.44,,12227.0,,
2006-10-31,16.98,16.98,16.98,15.44,,12227.0,,
2006-11-02,20.54,20.54,20.54,20.54,,40413.0,,
2006-11-02,20.54,20.54,20.54,20.54,,40413.0,,
2006-11-02,20.54,20.54,20.54,20.54,,40413.0,,
2006-11-07,23.05,23.05,23.05,21.76,,113173.0,,
2006-11-07,23.05,23.05,23.05,21.76,,113173.0,,
2006-11-07,23.05,23.05,23.05,21.76,,113173.0,,
2006-11-09,25.86,25.86,25.86,24.42,,450333.0,,
2006-11-09,25.86,25.86,25.86,24.42,,450333.0,,
2006-11-09,25.86,25.86,25.86,24.42,,450333.0,,
2006-11-13,29.04,29.04,29.04,27.4,,538440.0,,
2006-11-13,29.04,29.04,29.04,27.4,,538440.0,,
2006-11-13,29.04,29.04,29.04,27.4,,538440.0,,
2006-11-15,28.94,28.94,30.78,28.94,,213187.0,,
2006-11-15,28.94,28.94,30.78,28.94,,213187.0,,
2006-11-15,28.94,28.94,30.78,28.94,,213187.0,,
2006-11-17,25.61,25.61,27.23,25.61,,22493.0,,
2006-11-17,25.61,25.61,27.23,25.61,,22493.0,,
2006-11-17,25.61,25.61,27.23,25.61,,22493.0,,
2006-11-21,24.39,23.62,25.53,23.62,,776213.0,,
2006-11-21,24.39,23.62,25.53,23.62,,776213.0,,
2006-11-21,24.39,23.62,25.53,23.62,,776213.0,,
2006-11-22,24.86,24.86,24.86,24.02,,316427.0,,
2006-11-22,24.86,24.86,24.86,24.02,,316427.0,,
2006-11-22,24.86,24.86,24.86,24.02,,316427.0,,
2006-11-23,24.74,24.79,24.79,24.34,,76480.0,,
2006-11-23,24.74,24.79,24.79,24.34,,76480.0,,
2006-11-23,24.74,24.79,24.79,24.34,,76480.0,,
2006-11-24,24.86,24.86,24.86,24.61,,448853.0,,
2006-11-24,24.86,24.86,24.86,24.61,,448853.0,,
2006-11-24,24.86,24.86,24.86,24.61,,448853.0,,
2006-11-27,24.86,24.86,24.86,24.64,,53627.0,,
2006-11-27,24.86,24.86,24.86,24.64,,53627.0,,
2006-11-27,24.86,24.86,24.86,24.64,,53627.0,,
2006-11-28,25.36,25.36,25.36,25.01,,60413.0,,
2006-11-28,25.36,25.36,25.36,25.01,,60413.0,,
2006-11-28,25.36,25.36,25.36,25.01,,60413.0,,
2006-11-29,24.61,24.86,24.86,24.61,,29880.0,,
2006-11-29,24.61,24.86,24.86,24.61,,29880.0,,
2006-11-29,24.61,24.86,24.86,24.61,,29880.0,,
2006-11-30,25.34,24.37,25.36,24.37,,58467.0,,
2006-11-30,25.34,24.37,25.36,24.37,,58467.0,,
2006-11-30,25.34,24.37,25.36,24.37,,58467.0,,
2006-12-01,25.36,25.11,25.58,24.94,,76147.0,,
2006-12-01,25.36,25.11,25.58,24.94,,76147.0,,
