date,close,open,high,low,turnover,volume,vwap,mktCap
2006-06-21,9.92,10.44,10.44,9.66,,358512.0,,74.1
2006-06-21,9.92,10.44,10.44,9.66,,358512.0,,74.1
2006-06-21,9.92,10.44,10.44,9.66,,358512.0,,74.1
2006-06-22,9.66,9.77,9.92,9.66,,35580.0,,72.15
2006-06-22,9.66,9.77,9.92,9.66,,35580.0,,72.15
2006-06-22,9.66,9.77,9.92,9.66,,35580.0,,72.15
2006-06-23,9.71,9.77,9.77,9.66,,85896.0,,72.54
2006-06-23,9.71,9.77,9.77,9.66,,85896.0,,72.54
2006-06-23,9.71,9.77,9.77,9.66,,85896.0,,72.54
2006-06-26,9.71,10.03,10.03,9.71,,13236.0,,72.54
2006-06-26,9.71,10.03,10.03,9.71,,13236.0,,72.54
2006-06-26,9.71,10.03,10.03,9.71,,13236.0,,72.54
2006-06-27,9.65,9.65,9.71,9.65,,31356.0,,72.072
2006-06-27,9.65,9.65,9.71,9.65,,31356.0,,72.072
2006-06-27,9.65,9.65,9.71,9.65,,31356.0,,72.072
2006-06-28,9.66,9.66,9.66,9.65,,11112.0,,72.15
2006-06-28,9.66,9.66,9.66,9.65,,11112.0,,72.15
2006-06-28,9.66,9.66,9.66,9.65,,11112.0,,72.15
2006-06-29,9.71,9.67,9.71,9.66,,9036.0,,72.54
2006-06-29,9.71,9.67,9.71,9.66,,9036.0,,72.54
2006-06-29,9.71,9.67,9.71,9.66,,9036.0,,72.54
2006-06-30,10.03,9.87,10.03,9.71,,6216.0,,74.88
2006-06-30,10.03,9.87,10.03,9.71,,6216.0,,74.88
2006-06-30,10.03,9.87,10.03,9.71,,6216.0,,74.88
2006-07-03,10.13,10.18,10.18,10.03,,8628.0,,75.66
2006-07-03,10.13,10.18,10.18,10.03,,8628.0,,75.66
2006-07-03,10.13,10.18,10.18,10.03,,8628.0,,75.66
2006-07-04,10.13,10.13,10.18,10.13,,9372.0,,75.66
2006-07-04,10.13,10.13,10.18,10.13,,9372.0,,75.66
2006-07-04,10.13,10.13,10.18,10.13,,9372.0,,75.66
2006-07-05,9.97,9.97,10.13,9.97,,24840.0,,74.49
2006-07-05,9.97,9.97,10.13,9.97,,24840.0,,74.49
2006-07-05,9.97,9.97,10.13,9.97,,24840.0,,74.49
2006-07-06,9.97,9.97,9.97,9.97,,3600.0,,74.49
2006-07-06,9.97,9.97,9.97,9.97,,3600.0,,74.49
2006-07-06,9.97,9.97,9.97,9.97,,3600.0,,74.49
2006-07-07,9.86,9.87,9.97,9.86,,13572.0,,73.671
2006-07-07,9.86,9.87,9.97,9.86,,13572.0,,73.671
2006-07-07,9.86,9.87,9.97,9.86,,13572.0,,73.671
2006-07-10,9.66,9.77,9.86,9.66,,6552.0,,72.15
2006-07-10,9.66,9.77,9.86,9.66,,6552.0,,72.15
