date,close,open,high,low,turnover,volume,vwap,mktCap
2008-04-28,242.99,242.99,242.99,242.99,,,,
2008-04-28,242.99,242.99,242.99,242.99,,,,
2008-04-28,242.99,242.99,242.99,242.99,,,,
2008-04-29,266.99,266.99,266.99,266.99,,,,
2008-04-29,266.99,266.99,266.99,266.99,,,,
2008-04-29,266.99,266.99,266.99,266.99,,,,
2008-04-30,266.66,292.99,293.32,266.66,13936980.0,32580.0,,
2008-04-30,266.66,292.99,293.32,266.66,13936980.0,32580.0,,
2008-04-30,266.66,292.99,293.32,266.66,13936980.0,32580.0,,
2008-05-02,266.66,266.66,266.66,264.99,1159663.0,2900.0,,
2008-05-02,266.66,266.66,266.66,264.99,1159663.0,2900.0,,
2008-05-02,266.66,266.66,266.66,264.99,1159663.0,2900.0,,
2008-05-05,264.99,266.66,266.66,261.66,3955311.0,9906.0,,
2008-05-05,264.99,266.66,266.66,261.66,3955311.0,9906.0,,
2008-05-05,264.99,266.66,266.66,261.66,3955311.0,9906.0,,
2008-05-06,244.33,256.66,261.66,242.99,1809487.0,4746.0,,
2008-05-06,244.33,256.66,261.66,242.99,1809487.0,4746.0,,
2008-05-06,244.33,256.66,261.66,242.99,1809487.0,4746.0,,
2008-05-07,242.99,243.33,244.99,242.99,1326436.0,3634.0,,
2008-05-07,242.99,243.33,244.99,242.99,1326436.0,3634.0,,
2008-05-07,242.99,243.33,244.99,242.99,1326436.0,3634.0,,
2008-05-08,248.33,242.99,249.33,242.99,773973.0,2100.0,,
2008-05-08,248.33,242.99,249.33,242.99,773973.0,2100.0,,
2008-05-08,248.33,242.99,249.33,242.99,773973.0,2100.0,,
2008-05-09,248.33,243.33,248.33,243.33,790567.0,2138.0,,
2008-05-09,248.33,243.33,248.33,243.33,790567.0,2138.0,,
2008-05-09,248.33,243.33,248.33,243.33,790567.0,2138.0,,
2008-05-12,246.66,247.99,248.33,246.66,442546.0,1190.0,,
2008-05-12,246.66,247.99,248.33,246.66,442546.0,1190.0,,
2008-05-12,246.66,247.99,248.33,246.66,442546.0,1190.0,,
2008-05-13,246.33,246.66,246.66,242.99,1035226.0,2822.0,,
2008-05-13,246.33,246.66,246.66,242.99,1035226.0,2822.0,,
2008-05-13,246.33,246.66,246.66,242.99,1035226.0,2822.0,,
2008-05-14,245.99,246.33,246.33,244.66,299712.0,812.0,,
2008-05-14,245.99,246.33,246.33,244.66,299712.0,812.0,,
