date,close,open,high,low,turnover,volume,vwap,mktCap
2005-07-18,201.11,201.11,203.05,201.11,,864.0,,34.51
2005-07-18,201.11,201.11,203.05,201.11,,864.0,,34.51
2005-07-18,201.11,201.11,203.05,201.11,,864.0,,34.51
2005-07-19,201.11,201.11,201.11,201.11,,835.0,,34.51
2005-07-19,201.11,201.11,201.11,201.11,,835.0,,34.51
2005-07-19,201.11,201.11,201.11,201.11,,835.0,,34.51
2005-07-20,202.55,202.55,202.55,201.11,,1485.0,,34.7565
2005-07-20,202.55,202.55,202.55,201.11,,1485.0,,34.7565
2005-07-20,202.55,202.55,202.55,201.11,,1485.0,,34.7565
2005-07-21,201.11,201.11,202.55,201.11,,155.0,,34.51
2005-07-21,201.11,201.11,202.55,201.11,,155.0,,34.51
2005-07-21,201.11,201.11,202.55,201.11,,155.0,,34.51
2005-07-22,201.11,201.11,201.11,201.11,,706.0,,34.51
2005-07-22,201.11,201.11,201.11,201.11,,706.0,,34.51
2005-07-22,201.11,201.11,201.11,201.11,,706.0,,34.51
2005-07-25,200.67,200.67,201.11,200.67,,474.0,,34.4335
2005-07-25,200.67,200.67,201.11,200.67,,474.0,,34.4335
2005-07-25,200.67,200.67,201.11,200.67,,474.0,,34.4335
2005-07-26,200.62,200.62,200.67,200.62,,372.0,,34.425
2005-07-26,200.62,200.62,200.67,200.62,,372.0,,34.425
2005-07-26,200.62,200.62,200.67,200.62,,372.0,,34.425
2005-07-27,200.12,200.12,200.62,200.12,,590.0,,34.34
2005-07-27,200.12,200.12,200.62,200.12,,590.0,,34.34
2005-07-27,200.12,200.12,200.62,200.12,,590.0,,34.34
2005-07-28,200.12,200.12,200.12,200.12,,415.0,,34.34
2005-07-28,200.12,200.12,200.12,200.12,,415.0,,34.34
2005-07-28,200.12,200.12,200.12,200.12,,415.0,,34.34
2005-07-29,198.64,198.64,200.12,198.64,,363.0,,34.085
2005-07-29,198.64,198.64,200.12,198.64,,363.0,,34.085
2005-07-29,198.64,198.64,200.12,198.64,,363.0,,34.085
2005-08-01,198.14,198.14,198.64,198.14,,871.0,,34.0
2005-08-01,198.14,198.14,198.64,198.14,,871.0,,34.0
2005-08-01,198.14,198.14,198.64,198.14,,871.0,,34.0
2005-08-02,198.14,198.14,198.14,198.14,,770.0,,34.0
2005-08-02,198.14,198.14,198.14,198.14,,770.0,,34.0
2005-08-02,198.14,198.14,198.14,198.14,,770.0,,34.0
2005-08-03,198.14,198.14,198.14,198.14,,769.0,,34.0
2005-08-03,198.14,198.14,198.14,198.14,,769.0,,34.0
2005-08-03,198.14,198.14,198.14,198.14,,769.0,,34.0
2005-08-04,197.65,197.65,198.14,197.65,,330.0,,33.915
2005-08-04,197.65,197.65,198.14,197.65,,330.0,,33.915
2005-08-04,197.65,197.65,198.14,197.65,,330.0,,33.915
2005-08-05,197.15,197.15,197.65,197.15,,920.0,,33.83
2005-08-05,197.15,197.15,197.65,197.15,,920.0,,33.83
2005-08-05,197.15,197.15,197.65,197.15,,920.0,,33.83
2005-08-08,197.13,197.13,197.15,197.13,,1.0,,33.8258
2005-08-08,197.13,197.13,197.15,197.13,,1.0,,33.8258
