date,close,open,high,low,turnover,volume,vwap,mktCap
2001-07-09,206.17,206.17,206.17,206.17,,,,99.198
2001-07-09,206.17,206.17,206.17,206.17,,,,99.198
2001-07-09,206.17,206.17,206.17,206.17,,,,99.198
2001-07-10,208.25,208.25,208.25,206.17,,9682.0,,100.2
2001-07-10,208.25,208.25,208.25,206.17,,9682.0,,100.2
2001-07-10,208.25,208.25,208.25,206.17,,9682.0,,100.2
2001-07-11,195.76,195.76,208.25,195.76,,3750.0,,94.188
2001-07-11,195.76,195.76,208.25,195.76,,3750.0,,94.188
2001-07-11,195.76,195.76,208.25,195.76,,3750.0,,94.188
2001-07-12,195.76,195.76,195.76,195.76,,756.0,,94.188
2001-07-12,195.76,195.76,195.76,195.76,,756.0,,94.188
2001-07-12,195.76,195.76,195.76,195.76,,756.0,,94.188
2001-07-13,207.21,207.21,207.21,195.76,,500.0,,99.699
2001-07-13,207.21,207.21,207.21,195.76,,500.0,,99.699
2001-07-13,207.21,207.21,207.21,195.76,,500.0,,99.699
2001-07-16,207.91,207.91,207.91,207.21,,100.0,,100.033
2001-07-16,207.91,207.91,207.91,207.21,,100.0,,100.033
2001-07-16,207.91,207.91,207.91,207.21,,100.0,,100.033
2001-07-17,206.17,206.17,207.91,206.17,,100.0,,99.198
2001-07-17,206.17,206.17,207.91,206.17,,100.0,,99.198
2001-07-17,206.17,206.17,207.91,206.17,,100.0,,99.198
2001-07-18,195.76,195.76,206.17,195.76,,120.0,,94.188
2001-07-18,195.76,195.76,206.17,195.76,,120.0,,94.188
2001-07-18,195.76,195.76,206.17,195.76,,120.0,,94.188
2001-07-19,189.16,189.16,195.76,189.16,,368.0,,91.015
2001-07-19,189.16,189.16,195.76,189.16,,368.0,,91.015
2001-07-19,189.16,189.16,195.76,189.16,,368.0,,91.015
2001-07-20,199.58,199.58,199.58,189.16,,100.0,,96.025
2001-07-20,199.58,199.58,199.58,189.16,,100.0,,96.025
2001-07-20,199.58,199.58,199.58,189.16,,100.0,,96.025
2001-07-23,190.55,190.55,199.58,190.55,,102.0,,91.683
2001-07-23,190.55,190.55,199.58,190.55,,102.0,,91.683
2001-07-23,190.55,190.55,199.58,190.55,,102.0,,91.683
2001-07-24,195.76,195.76,195.76,190.55,,2.0,,94.188
2001-07-24,195.76,195.76,195.76,190.55,,2.0,,94.188
2001-07-24,195.76,195.76,195.76,190.55,,2.0,,94.188
2001-07-25,195.76,195.76,195.76,195.76,,132.0,,94.188
2001-07-25,195.76,195.76,195.76,195.76,,132.0,,94.188
2001-07-25,195.76,195.76,195.76,195.76,,132.0,,94.188
2001-07-26,199.58,199.58,199.58,195.76,,2.0,,96.025
2001-07-26,199.58,199.58,199.58,195.76,,2.0,,96.025
2001-07-26,199.58,199.58,199.58,195.76,,2.0,,96.025
2001-07-27,204.78,204.78,204.78,199.58,,100.0,,98.53
2001-07-27,204.78,204.78,204.78,199.58,,100.0,,98.53
2001-07-27,204.78,204.78,204.78,199.58,,100.0,,98.53
2001-07-31,203.74,203.74,204.78,203.74,,2.0,,98.029
2001-07-31,203.74,203.74,204.78,203.74,,2.0,,98.029
2001-07-31,203.74,203.74,204.78,203.74,,2.0,,98.029
2001-08-01,196.1,196.1,203.74,196.1,,100.0,,94.355
2001-08-01,196.1,196.1,203.74,196.1,,100.0,,94.355
2001-08-01,196.1,196.1,203.74,196.1,,100.0,,94.355
2001-08-02,191.25,191.25,196.1,191.25,,190.0,,92.017
2001-08-02,191.25,191.25,196.1,191.25,,190.0,,92.017
2001-08-02,191.25,191.25,196.1,191.25,,190.0,,92.017
2001-08-03,196.1,196.1,196.1,191.25,,100.0,,94.355
2001-08-03,196.1,196.1,196.1,191.25,,100.0,,94.355
2001-08-03,196.1,196.1,196.1,191.25,,100.0,,94.355
2001-08-06,196.1,196.1,196.1,196.1,,136.0,,94.355
2001-08-06,196.1,196.1,196.1,196.1,,136.0,,94.355
2001-08-06,196.1,196.1,196.1,196.1,,136.0,,94.355
2001-08-07,197.84,197.84,197.84,196.1,,100.0,,95.19
2001-08-07,197.84,197.84,197.84,196.1,,100.0,,95.19
2001-08-07,197.84,197.84,197.84,196.1,,100.0,,95.19
2001-08-08,197.84,197.84,197.84,197.84,,100.0,,95.19
2001-08-08,197.84,197.84,197.84,197.84,,100.0,,95.19
2001-08-08,197.84,197.84,197.84,197.84,,100.0,,95.19
2001-08-09,197.84,197.84,197.84,197.84,,4.0,,95.19
2001-08-09,197.84,197.84,197.84,197.84,,4.0,,95.19
2001-08-09,197.84,197.84,197.84,197.84,,4.0,,95.19
2001-08-10,196.45,196.45,197.84,196.45,,2.0,,94.522
2001-08-10,196.45,196.45,197.84,196.45,,2.0,,94.522
2001-08-10,196.45,196.45,197.84,196.45,,2.0,,94.522
2001-08-13,187.43,187.43,196.45,187.43,,40.0,,90.18
2001-08-13,187.43,187.43,196.45,187.43,,40.0,,90.18
2001-08-13,187.43,187.43,196.45,187.43,,40.0,,90.18
2001-08-15,180.83,180.83,187.43,180.83,,140.0,,87.007
2001-08-15,180.83,180.83,187.43,180.83,,140.0,,87.007
2001-08-15,180.83,180.83,187.43,180.83,,140.0,,87.007
2001-08-16,183.96,183.96,183.96,180.83,,28.0,,88.51
2001-08-16,183.96,183.96,183.96,180.83,,28.0,,88.51
2001-08-16,183.96,183.96,183.96,180.83,,28.0,,88.51
2001-08-17,191.25,191.25,191.25,183.96,,356.0,,92.017
2001-08-17,191.25,191.25,191.25,183.96,,356.0,,92.017
2001-08-17,191.25,191.25,191.25,183.96,,356.0,,92.017
2001-08-22,190.9,190.9,190.9,190.9,,76.0,,91.85
2001-08-22,190.9,190.9,190.9,190.9,,76.0,,91.85
2001-08-22,190.9,190.9,190.9,190.9,,76.0,,91.85
2001-08-23,190.9,190.9,190.9,190.9,,100.0,,91.85
2001-08-23,190.9,190.9,190.9,190.9,,100.0,,91.85
2001-08-23,190.9,190.9,190.9,190.9,,100.0,,91.85
2001-08-24,196.1,196.1,196.1,190.9,,100.0,,94.355
2001-08-24,196.1,196.1,196.1,190.9,,100.0,,94.355
2001-08-24,196.1,196.1,196.1,190.9,,100.0,,94.355
2001-08-27,196.1,196.1,196.1,196.1,,2.0,,94.355
2001-08-27,196.1,196.1,196.1,196.1,,2.0,,94.355
