date,close,open,high,low,turnover,volume,vwap,mktCap
2007-07-06,902.21,922.89,952.42,901.48,,43783.0,,
2007-07-06,902.21,922.89,952.42,901.48,,43783.0,,
2007-07-06,902.21,922.89,952.42,901.48,,43783.0,,
2007-07-09,900.74,902.95,902.95,878.59,,8440.0,,
2007-07-09,900.74,902.95,902.95,878.59,,8440.0,,
2007-07-09,900.74,902.95,902.95,878.59,,8440.0,,
2007-07-10,900.74,900.74,922.89,889.66,,6350.0,,
2007-07-10,900.74,900.74,922.89,889.66,,6350.0,,
2007-07-10,900.74,900.74,922.89,889.66,,6350.0,,
2007-07-11,914.03,900.74,915.5,890.4,,29509.0,,
2007-07-11,914.03,900.74,915.5,890.4,,29509.0,,
2007-07-11,914.03,900.74,915.5,890.4,,29509.0,,
2007-07-12,922.15,900.74,922.15,900.74,,2182.0,,
2007-07-12,922.15,900.74,922.15,900.74,,2182.0,,
2007-07-12,922.15,900.74,922.15,900.74,,2182.0,,
2007-07-13,903.69,922.89,922.89,903.69,,3979.0,,
2007-07-13,903.69,922.89,922.89,903.69,,3979.0,,
2007-07-13,903.69,922.89,922.89,903.69,,3979.0,,
2007-07-16,930.27,922.15,930.27,905.17,,3632.0,,
2007-07-16,930.27,922.15,930.27,905.17,,3632.0,,
2007-07-16,930.27,922.15,930.27,905.17,,3632.0,,
2007-07-17,944.3,926.58,944.3,922.89,,3333.0,,
2007-07-17,944.3,926.58,944.3,922.89,,3333.0,,
2007-07-17,944.3,926.58,944.3,922.89,,3333.0,,
2007-07-18,941.34,945.04,959.06,937.65,,2334.0,,
2007-07-18,941.34,945.04,959.06,937.65,,2334.0,,
2007-07-18,941.34,945.04,959.06,937.65,,2334.0,,
2007-07-19,937.65,933.96,937.65,922.89,,993.0,,
2007-07-19,937.65,933.96,937.65,922.89,,993.0,,
2007-07-19,937.65,933.96,937.65,922.89,,993.0,,
2007-07-20,929.53,922.89,929.53,915.5,,814.0,,
2007-07-20,929.53,922.89,929.53,915.5,,814.0,,
2007-07-20,929.53,922.89,929.53,915.5,,814.0,,
2007-07-23,908.12,919.19,919.19,908.12,,473.0,,
2007-07-23,908.12,919.19,919.19,908.12,,473.0,,
2007-07-23,908.12,919.19,919.19,908.12,,473.0,,
2007-07-24,922.15,908.12,922.15,903.69,,635.0,,
2007-07-24,922.15,908.12,922.15,903.69,,635.0,,
2007-07-24,922.15,908.12,922.15,903.69,,635.0,,
2007-07-25,920.67,900.74,920.67,900.74,,486.0,,
2007-07-25,920.67,900.74,920.67,900.74,,486.0,,
2007-07-25,920.67,900.74,920.67,900.74,,486.0,,
2007-07-26,922.15,900.74,922.15,900.74,,318.0,,
2007-07-26,922.15,900.74,922.15,900.74,,318.0,,
2007-07-26,922.15,900.74,922.15,900.74,,318.0,,
2007-07-27,930.27,890.4,930.27,890.4,,771.0,,
2007-07-27,930.27,890.4,930.27,890.4,,771.0,,
2007-07-27,930.27,890.4,930.27,890.4,,771.0,,
2007-07-31,928.79,900.74,928.79,900.74,,108.0,,814.9324
2007-07-31,928.79,900.74,928.79,900.74,,108.0,,814.9324
2007-07-31,928.79,900.74,928.79,900.74,,108.0,,814.9324
2007-08-01,928.79,912.55,928.79,912.55,,248.0,,814.9324
2007-08-01,928.79,912.55,928.79,912.55,,248.0,,814.9324
2007-08-01,928.79,912.55,928.79,912.55,,248.0,,814.9324
2007-08-02,941.34,912.55,941.34,912.55,,562.0,,825.945
2007-08-02,941.34,912.55,941.34,912.55,,562.0,,825.945
