date,close,open,high,low,turnover,volume,vwap,mktCap
1998-07-30,756.92,756.92,756.92,756.92,,1261.0,,
1998-07-30,756.92,756.92,756.92,756.92,,1261.0,,
1998-07-30,756.92,756.92,756.92,756.92,,1261.0,,
1998-07-31,758.82,758.82,758.82,758.82,,1524.0,,
1998-07-31,758.82,758.82,758.82,758.82,,1524.0,,
1998-07-31,758.82,758.82,758.82,758.82,,1524.0,,
1998-08-05,756.92,756.92,756.92,756.92,,483.0,,
1998-08-05,756.92,756.92,756.92,756.92,,483.0,,
1998-08-05,756.92,756.92,756.92,756.92,,483.0,,
1998-08-06,756.92,756.92,756.92,756.92,,466.0,,
1998-08-06,756.92,756.92,756.92,756.92,,466.0,,
1998-08-06,756.92,756.92,756.92,756.92,,466.0,,
1998-08-07,754.94,754.94,754.94,754.94,,179.0,,
1998-08-07,754.94,754.94,754.94,754.94,,179.0,,
1998-08-07,754.94,754.94,754.94,754.94,,179.0,,
1998-08-10,737.91,737.91,737.91,737.91,,30.0,,
1998-08-10,737.91,737.91,737.91,737.91,,30.0,,
1998-08-10,737.91,737.91,737.91,737.91,,30.0,,
1998-08-11,719.08,719.08,719.08,719.08,,318.0,,
1998-08-11,719.08,719.08,719.08,719.08,,318.0,,
1998-08-11,719.08,719.08,719.08,719.08,,318.0,,
1998-08-12,700.15,700.15,700.15,700.15,,306.0,,
1998-08-12,700.15,700.15,700.15,700.15,,306.0,,
1998-08-12,700.15,700.15,700.15,700.15,,306.0,,
1998-08-17,728.54,728.54,728.54,728.54,,146.0,,
1998-08-17,728.54,728.54,728.54,728.54,,146.0,,
1998-08-17,728.54,728.54,728.54,728.54,,146.0,,
1998-08-21,728.63,728.63,728.63,728.63,,575.0,,
1998-08-21,728.63,728.63,728.63,728.63,,575.0,,
1998-08-21,728.63,728.63,728.63,728.63,,575.0,,
1998-08-24,732.32,732.32,732.32,732.32,,144.0,,
1998-08-24,732.32,732.32,732.32,732.32,,144.0,,
1998-08-24,732.32,732.32,732.32,732.32,,144.0,,
1998-08-25,732.32,732.32,732.32,732.32,,348.0,,
1998-08-25,732.32,732.32,732.32,732.32,,348.0,,
1998-08-25,732.32,732.32,732.32,732.32,,348.0,,
1998-08-26,732.32,732.32,732.32,732.32,,142.0,,
1998-08-26,732.32,732.32,732.32,732.32,,142.0,,
1998-08-26,732.32,732.32,732.32,732.32,,142.0,,
1998-08-27,734.22,734.22,734.22,734.22,,133.0,,
1998-08-27,734.22,734.22,734.22,734.22,,133.0,,
1998-08-27,734.22,734.22,734.22,734.22,,133.0,,
1998-08-31,756.92,756.92,756.92,756.92,,2456.0,,
1998-08-31,756.92,756.92,756.92,756.92,,2456.0,,
1998-08-31,756.92,756.92,756.92,756.92,,2456.0,,
1998-09-01,756.92,756.92,756.92,756.92,,110.0,,
1998-09-01,756.92,756.92,756.92,756.92,,110.0,,
1998-09-01,756.92,756.92,756.92,756.92,,110.0,,
1998-09-02,756.92,756.92,756.92,756.92,,175.0,,
1998-09-02,756.92,756.92,756.92,756.92,,175.0,,
1998-09-02,756.92,756.92,756.92,756.92,,175.0,,
1998-09-03,738.0,738.0,738.0,738.0,,110.0,,
1998-09-03,738.0,738.0,738.0,738.0,,110.0,,
