date,close,open,high,low,turnover,volume,vwap,mktCap
2006-05-17,310.43,310.43,310.43,282.24,,4445.0,,
2006-05-17,310.43,310.43,310.43,282.24,,4445.0,,
2006-05-17,310.43,310.43,310.43,282.24,,4445.0,,
2006-05-19,375.55,375.55,375.55,341.43,,55475.0,,
2006-05-19,375.55,375.55,375.55,341.43,,55475.0,,
2006-05-19,375.55,375.55,375.55,341.43,,55475.0,,
2006-05-23,395.57,408.2,408.2,374.19,,517023.0,,
2006-05-23,395.57,408.2,408.2,374.19,,517023.0,,
2006-05-23,395.57,408.2,408.2,374.19,,517023.0,,
2006-05-24,388.86,388.76,398.48,379.05,,43366.0,,
2006-05-24,388.86,388.76,398.48,379.05,,43366.0,,
2006-05-24,388.86,388.76,398.48,379.05,,43366.0,,
2006-05-25,370.4,380.02,388.86,370.3,,12302.0,,
2006-05-25,370.4,380.02,388.86,370.3,,12302.0,,
2006-05-25,370.4,380.02,388.86,370.3,,12302.0,,
2006-05-26,348.19,349.89,370.4,348.19,,39256.0,,
2006-05-26,348.19,349.89,370.4,348.19,,39256.0,,
2006-05-26,348.19,349.89,370.4,348.19,,39256.0,,
2006-05-29,327.34,332.3,348.19,327.34,,16052.0,,
2006-05-29,327.34,332.3,348.19,327.34,,16052.0,,
2006-05-29,327.34,332.3,348.19,327.34,,16052.0,,
2006-05-30,335.31,317.81,337.25,308.19,,27383.0,,
2006-05-30,335.31,317.81,337.25,308.19,,27383.0,,
2006-05-30,335.31,317.81,337.25,308.19,,27383.0,,
2006-05-31,349.89,336.28,349.89,335.31,,11735.0,,
2006-05-31,349.89,336.28,349.89,335.31,,11735.0,,
2006-05-31,349.89,336.28,349.89,335.31,,11735.0,,
2006-06-01,369.33,368.35,369.33,349.89,,14802.0,,
2006-06-01,369.33,368.35,369.33,349.89,,14802.0,,
2006-06-01,369.33,368.35,369.33,349.89,,14802.0,,
2006-06-02,369.33,364.56,377.1,364.56,,8361.0,,
2006-06-02,369.33,364.56,377.1,364.56,,8361.0,,
2006-06-02,369.33,364.56,377.1,364.56,,8361.0,,
2006-06-05,368.35,367.38,369.33,359.7,,3285.0,,
2006-06-05,368.35,367.38,369.33,359.7,,3285.0,,
2006-06-05,368.35,367.38,369.33,359.7,,3285.0,,
2006-06-06,359.61,352.8,364.47,349.99,,4456.0,,
2006-06-06,359.61,352.8,364.47,349.99,,4456.0,,
2006-06-06,359.61,352.8,364.47,349.99,,4456.0,,
2006-06-07,354.75,349.89,359.51,343.08,,6804.0,,
2006-06-07,354.75,349.89,359.51,343.08,,6804.0,,
2006-06-07,354.75,349.89,359.51,343.08,,6804.0,,
2006-06-08,354.75,348.92,354.75,340.17,,40200.0,,
2006-06-08,354.75,348.92,354.75,340.17,,40200.0,,
2006-06-08,354.75,348.92,354.75,340.17,,40200.0,,
2006-06-09,344.1,354.75,355.72,342.31,,55608.0,,
2006-06-09,344.1,354.75,355.72,342.31,,55608.0,,
2006-06-09,344.1,354.75,355.72,342.31,,55608.0,,
2006-06-12,340.17,335.31,344.1,331.42,,1738.0,,
2006-06-12,340.17,335.31,344.1,331.42,,1738.0,,
2006-06-12,340.17,335.31,344.1,331.42,,1738.0,,
2006-06-13,327.53,328.51,340.17,320.78,,4799.0,,
2006-06-13,327.53,328.51,340.17,320.78,,4799.0,,
2006-06-13,327.53,328.51,340.17,320.78,,4799.0,,
2006-06-14,331.42,311.01,337.25,311.01,,4193.0,,
2006-06-14,331.42,311.01,337.25,311.01,,4193.0,,
2006-06-14,331.42,311.01,337.25,311.01,,4193.0,,
2006-06-15,334.24,326.56,335.31,326.56,,4594.0,,
2006-06-15,334.24,326.56,335.31,326.56,,4594.0,,
2006-06-15,334.24,326.56,335.31,326.56,,4594.0,,
