date,close,open,high,low,turnover,volume,vwap,mktCap
1997-06-23,161.87,,,,,,,
1997-06-23,161.87,,,,,,,
1997-06-23,161.87,,,,,,,
1997-06-24,161.87,,,,,,,
1997-06-24,161.87,,,,,,,
1997-06-24,161.87,,,,,,,
1997-06-25,161.87,,,,,,,
1997-06-25,161.87,,,,,,,
1997-06-25,161.87,,,,,,,
1997-06-26,161.87,,,,,,,
1997-06-26,161.87,,,,,,,
1997-06-26,161.87,,,,,,,
1997-06-27,161.87,,,,,,,
1997-06-27,161.87,,,,,,,
1997-06-27,161.87,,,,,,,
1997-06-30,210.92,,,,,,,
1997-06-30,210.92,,,,,,,
1997-06-30,210.92,,,,,,,
1997-07-01,217.05,,,,,,,
1997-07-01,217.05,,,,,,,
1997-07-01,217.05,,,,,,,
1997-07-02,217.05,,,,,,,
1997-07-02,217.05,,,,,,,
1997-07-02,217.05,,,,,,,
1997-07-03,229.72,,,,,,,
1997-07-03,229.72,,,,,,,
1997-07-03,229.72,,,,,,,
1997-07-04,236.26,,,,,,,
1997-07-04,236.26,,,,,,,
1997-07-04,236.26,,,,,,,
1997-07-07,243.21,,,,,,,
1997-07-07,243.21,,,,,,,
1997-07-07,243.21,,,,,,,
1997-07-08,236.26,,,,,,,
1997-07-08,236.26,,,,,,,
1997-07-08,236.26,,,,,,,
1997-07-10,229.32,,,,,,,
1997-07-10,229.32,,,,,,,
1997-07-10,229.32,,,,,,,
1997-07-11,223.59,223.59,223.59,223.59,,2228.0,,
1997-07-11,223.59,223.59,223.59,223.59,,2228.0,,
1997-07-11,223.59,223.59,223.59,223.59,,2228.0,,
1997-07-14,230.13,,,,,,,
1997-07-14,230.13,,,,,,,
1997-07-14,230.13,,,,,,,
1997-07-15,228.91,,,,,,,
1997-07-15,228.91,,,,,,,
1997-07-15,228.91,,,,,,,
1997-07-16,235.45,235.45,235.45,235.45,,392.0,,
1997-07-16,235.45,235.45,235.45,235.45,,392.0,,
1997-07-16,235.45,235.45,235.45,235.45,,392.0,,
1997-07-17,229.32,229.32,229.32,229.32,,95.0,,
1997-07-17,229.32,229.32,229.32,229.32,,95.0,,
1997-07-17,229.32,229.32,229.32,229.32,,95.0,,
1997-07-21,235.45,235.45,235.45,235.45,,298.0,,
1997-07-21,235.45,235.45,235.45,235.45,,298.0,,
1997-07-21,235.45,235.45,235.45,235.45,,298.0,,
1997-07-22,235.45,235.45,235.45,235.45,,100.0,,
1997-07-22,235.45,235.45,235.45,235.45,,100.0,,
1997-07-22,235.45,235.45,235.45,235.45,,100.0,,
1997-07-24,228.91,228.91,228.91,228.91,,592.0,,
1997-07-24,228.91,228.91,228.91,228.91,,592.0,,
1997-07-24,228.91,228.91,228.91,228.91,,592.0,,
1997-07-25,228.09,228.09,228.09,228.09,,962.0,,
1997-07-25,228.09,228.09,228.09,228.09,,962.0,,
1997-07-25,228.09,228.09,228.09,228.09,,962.0,,
1997-07-28,228.5,228.5,228.5,228.5,,695.0,,
1997-07-28,228.5,228.5,228.5,228.5,,695.0,,
1997-07-28,228.5,228.5,228.5,228.5,,695.0,,
1997-07-29,237.08,237.08,237.08,237.08,,105.0,,
1997-07-29,237.08,237.08,237.08,237.08,,105.0,,
1997-07-29,237.08,237.08,237.08,237.08,,105.0,,
1997-07-30,229.32,,,,,119.0,,
1997-07-30,229.32,,,,,119.0,,
1997-07-30,229.32,,,,,119.0,,
1997-07-31,232.99,232.99,232.99,232.99,,570.0,,
1997-07-31,232.99,232.99,232.99,232.99,,570.0,,
1997-07-31,232.99,232.99,232.99,232.99,,570.0,,
1997-08-01,232.99,232.99,232.99,232.99,,39.0,,
1997-08-01,232.99,232.99,232.99,232.99,,39.0,,
1997-08-01,232.99,232.99,232.99,232.99,,39.0,,
1997-08-04,232.99,232.99,232.99,232.99,,39.0,,
1997-08-04,232.99,232.99,232.99,232.99,,39.0,,
1997-08-04,232.99,232.99,232.99,232.99,,39.0,,
1997-08-05,234.22,234.22,234.22,234.22,,279.0,,
1997-08-05,234.22,234.22,234.22,234.22,,279.0,,
1997-08-05,234.22,234.22,234.22,234.22,,279.0,,
1997-08-06,234.63,234.63,234.63,234.63,,101.0,,
1997-08-06,234.63,234.63,234.63,234.63,,101.0,,
1997-08-06,234.63,234.63,234.63,234.63,,101.0,,
1997-08-07,236.67,236.67,236.67,236.67,,436.0,,
1997-08-07,236.67,236.67,236.67,236.67,,436.0,,
1997-08-07,236.67,236.67,236.67,236.67,,436.0,,
1997-08-08,237.08,237.08,237.08,237.08,,439.0,,
1997-08-08,237.08,237.08,237.08,237.08,,439.0,,
1997-08-08,237.08,237.08,237.08,237.08,,439.0,,
1997-08-11,235.86,235.86,235.86,235.86,,165.0,,
1997-08-11,235.86,235.86,235.86,235.86,,165.0,,
1997-08-11,235.86,235.86,235.86,235.86,,165.0,,
1997-08-12,239.13,239.13,239.13,239.13,,131.0,,
1997-08-12,239.13,239.13,239.13,239.13,,131.0,,
1997-08-12,239.13,239.13,239.13,239.13,,131.0,,
1997-08-13,240.76,240.76,240.76,240.76,,220.0,,
1997-08-13,240.76,240.76,240.76,240.76,,220.0,,
1997-08-13,240.76,240.76,240.76,240.76,,220.0,,
1997-08-15,239.94,,,,,110.0,,
1997-08-15,239.94,,,,,110.0,,
1997-08-15,239.94,,,,,110.0,,
1997-08-19,237.9,237.9,237.9,237.9,,128.0,,
1997-08-19,237.9,237.9,237.9,237.9,,128.0,,
1997-08-19,237.9,237.9,237.9,237.9,,128.0,,
1997-08-21,237.9,237.9,237.9,237.9,,372.0,,
1997-08-21,237.9,237.9,237.9,237.9,,372.0,,
1997-08-21,237.9,237.9,237.9,237.9,,372.0,,
1997-08-22,237.9,237.9,237.9,237.9,,395.0,,
1997-08-22,237.9,237.9,237.9,237.9,,395.0,,
1997-08-22,237.9,237.9,237.9,237.9,,395.0,,
1997-08-25,237.49,237.49,237.49,237.49,,325.0,,
1997-08-25,237.49,237.49,237.49,237.49,,325.0,,
1997-08-25,237.49,237.49,237.49,237.49,,325.0,,
1997-08-26,235.45,,,,,156.0,,
1997-08-26,235.45,,,,,156.0,,
1997-08-26,235.45,,,,,156.0,,
1997-08-27,237.49,,,,,150.0,,
1997-08-27,237.49,,,,,150.0,,
1997-08-27,237.49,,,,,150.0,,
1997-08-29,237.08,237.08,237.08,237.08,,13.0,,
1997-08-29,237.08,237.08,237.08,237.08,,13.0,,
1997-08-29,237.08,237.08,237.08,237.08,,13.0,,
1997-09-01,235.45,235.45,235.45,235.45,,,,
1997-09-01,235.45,235.45,235.45,235.45,,,,
1997-09-01,235.45,235.45,235.45,235.45,,,,
1997-09-02,237.08,237.08,237.08,237.08,,275.0,,
1997-09-02,237.08,237.08,237.08,237.08,,275.0,,
1997-09-02,237.08,237.08,237.08,237.08,,275.0,,
1997-09-03,236.67,236.67,236.67,236.67,,273.0,,
1997-09-03,236.67,236.67,236.67,236.67,,273.0,,
1997-09-03,236.67,236.67,236.67,236.67,,273.0,,
1997-09-04,237.08,,,,,458.0,,
1997-09-04,237.08,,,,,458.0,,
1997-09-04,237.08,,,,,458.0,,
1997-09-05,243.21,243.21,243.21,243.21,,450.0,,
1997-09-05,243.21,243.21,243.21,243.21,,450.0,,
1997-09-05,243.21,243.21,243.21,243.21,,450.0,,
1997-09-08,243.21,243.21,243.21,243.21,,390.0,,
1997-09-08,243.21,243.21,243.21,243.21,,390.0,,
1997-09-08,243.21,243.21,243.21,243.21,,390.0,,
1997-09-10,240.35,240.35,240.35,240.35,,238.0,,
1997-09-10,240.35,240.35,240.35,240.35,,238.0,,
1997-09-10,240.35,240.35,240.35,240.35,,238.0,,
1997-09-11,242.4,242.4,242.4,242.4,,280.0,,
1997-09-11,242.4,242.4,242.4,242.4,,280.0,,
1997-09-11,242.4,242.4,242.4,242.4,,280.0,,
1997-09-12,240.76,240.76,240.76,240.76,,193.0,,
1997-09-12,240.76,240.76,240.76,240.76,,193.0,,
1997-09-12,240.76,240.76,240.76,240.76,,193.0,,
1997-09-15,241.17,,,,,,,
1997-09-15,241.17,,,,,,,
1997-09-15,241.17,,,,,,,
1997-09-16,243.21,243.21,243.21,243.21,,2721.0,,
1997-09-16,243.21,243.21,243.21,243.21,,2721.0,,
1997-09-16,243.21,243.21,243.21,243.21,,2721.0,,
1997-09-17,244.85,244.85,244.85,244.85,,476.0,,
1997-09-17,244.85,244.85,244.85,244.85,,476.0,,
1997-09-17,244.85,244.85,244.85,244.85,,476.0,,
1997-09-18,282.45,282.45,282.45,282.45,,51.0,,
1997-09-18,282.45,282.45,282.45,282.45,,51.0,,
1997-09-18,282.45,282.45,282.45,282.45,,51.0,,
1997-09-19,243.21,243.21,243.21,243.21,,56.0,,
1997-09-19,243.21,243.21,243.21,243.21,,56.0,,
1997-09-19,243.21,243.21,243.21,243.21,,56.0,,
1997-09-22,242.8,,,,,390.0,,
1997-09-22,242.8,,,,,390.0,,
1997-09-22,242.8,,,,,390.0,,
1997-09-23,242.8,,,,,1037.0,,
1997-09-23,242.8,,,,,1037.0,,
1997-09-23,242.8,,,,,1037.0,,
1997-09-24,241.99,,,,,196.0,,
1997-09-24,241.99,,,,,196.0,,
1997-09-24,241.99,,,,,196.0,,
1997-09-25,242.4,,,,,166.0,,
1997-09-25,242.4,,,,,166.0,,
1997-09-25,242.4,,,,,166.0,,
1997-09-26,242.4,242.4,242.4,242.4,,102.0,,
1997-09-26,242.4,242.4,242.4,242.4,,102.0,,
1997-09-26,242.4,242.4,242.4,242.4,,102.0,,
1997-09-29,242.8,242.8,242.8,242.8,,302.0,,
1997-09-29,242.8,242.8,242.8,242.8,,302.0,,
1997-09-29,242.8,242.8,242.8,242.8,,302.0,,
1997-09-30,242.8,242.8,242.8,242.8,,300.0,,
1997-09-30,242.8,242.8,242.8,242.8,,300.0,,
1997-09-30,242.8,242.8,242.8,242.8,,300.0,,
1997-10-01,243.44,243.44,243.44,243.44,,,,
1997-10-01,243.44,243.44,243.44,243.44,,,,
1997-10-01,243.44,243.44,243.44,243.44,,,,
1997-10-03,243.44,243.44,243.44,243.44,,166.0,,
1997-10-03,243.44,243.44,243.44,243.44,,166.0,,
1997-10-03,243.44,243.44,243.44,243.44,,166.0,,
1997-10-06,243.44,,,,,197.0,,
1997-10-06,243.44,,,,,197.0,,
1997-10-06,243.44,,,,,197.0,,
1997-10-07,247.67,,,,,1107.0,,
1997-10-07,247.67,,,,,1107.0,,
1997-10-07,247.67,,,,,1107.0,,
1997-10-08,247.67,,,,,700.0,,
1997-10-08,247.67,,,,,700.0,,
1997-10-08,247.67,,,,,700.0,,
1997-10-09,249.79,249.79,249.79,249.79,,430.0,,
1997-10-09,249.79,249.79,249.79,249.79,,430.0,,
1997-10-09,249.79,249.79,249.79,249.79,,430.0,,
1997-10-10,249.79,,,,,76.0,,
1997-10-10,249.79,,,,,76.0,,
1997-10-10,249.79,,,,,76.0,,
1997-10-13,249.79,,,,,24.0,,
1997-10-13,249.79,,,,,24.0,,
1997-10-13,249.79,,,,,24.0,,
1997-10-14,249.79,,,,,362.0,,
1997-10-14,249.79,,,,,362.0,,
1997-10-14,249.79,,,,,362.0,,
1997-10-15,249.79,249.79,249.79,249.79,,50.0,,
1997-10-15,249.79,249.79,249.79,249.79,,50.0,,
1997-10-15,249.79,249.79,249.79,249.79,,50.0,,
1997-10-17,242.59,,,,,71.0,,
1997-10-17,242.59,,,,,71.0,,
1997-10-17,242.59,,,,,71.0,,
1997-10-20,249.79,,,,,100.0,,
1997-10-20,249.79,,,,,100.0,,
1997-10-20,249.79,,,,,100.0,,
1997-10-21,249.79,,,,,122.0,,
1997-10-21,249.79,,,,,122.0,,
1997-10-21,249.79,,,,,122.0,,
1997-10-22,249.79,,,,,547.0,,
1997-10-22,249.79,,,,,547.0,,
1997-10-22,249.79,,,,,547.0,,
1997-10-23,251.91,,,,,151.0,,
1997-10-23,251.91,,,,,151.0,,
1997-10-23,251.91,,,,,151.0,,
1997-10-24,254.02,,,,,1350.0,,
1997-10-24,254.02,,,,,1350.0,,
1997-10-24,254.02,,,,,1350.0,,
1997-10-28,254.02,254.02,254.02,254.02,,1326.0,,
1997-10-28,254.02,254.02,254.02,254.02,,1326.0,,
1997-10-28,254.02,254.02,254.02,254.02,,1326.0,,
1997-10-29,254.02,,,,,876.0,,
1997-10-29,254.02,,,,,876.0,,
1997-10-29,254.02,,,,,876.0,,
1997-10-30,254.02,,,,,1150.0,,
1997-10-30,254.02,,,,,1150.0,,
1997-10-30,254.02,,,,,1150.0,,
1997-10-31,254.02,,,,,1019.0,,
1997-10-31,254.02,,,,,1019.0,,
1997-10-31,254.02,,,,,1019.0,,
1997-11-03,254.02,,,,,305.0,,
1997-11-03,254.02,,,,,305.0,,
1997-11-03,254.02,,,,,305.0,,
1997-11-04,254.02,,,,,158.0,,
1997-11-04,254.02,,,,,158.0,,
1997-11-04,254.02,,,,,158.0,,
1997-11-05,256.14,,,,,180.0,,
1997-11-05,256.14,,,,,180.0,,
1997-11-05,256.14,,,,,180.0,,
1997-11-07,256.14,,,,,583.0,,
1997-11-07,256.14,,,,,583.0,,
1997-11-07,256.14,,,,,583.0,,
1997-11-10,256.14,,,,,318.0,,
1997-11-10,256.14,,,,,318.0,,
1997-11-10,256.14,,,,,318.0,,
1997-11-11,256.14,,,,,290.0,,
1997-11-11,256.14,,,,,290.0,,
1997-11-11,256.14,,,,,290.0,,
1997-11-12,256.56,,,,,60.0,,
1997-11-12,256.56,,,,,60.0,,
1997-11-12,256.56,,,,,60.0,,
1997-11-13,256.14,,,,,484.0,,
1997-11-13,256.14,,,,,484.0,,
1997-11-13,256.14,,,,,484.0,,
1997-11-14,256.14,,,,,398.0,,
1997-11-14,256.14,,,,,398.0,,
1997-11-14,256.14,,,,,398.0,,
1997-11-19,256.14,,,,,254.0,,
1997-11-19,256.14,,,,,254.0,,
1997-11-19,256.14,,,,,254.0,,
1997-11-20,256.14,,,,,237.0,,
1997-11-20,256.14,,,,,237.0,,
1997-11-20,256.14,,,,,237.0,,
1997-11-21,254.02,,,,,,,
1997-11-21,254.02,,,,,,,
1997-11-21,254.02,,,,,,,
1997-11-24,254.02,,,,,,,
1997-11-24,254.02,,,,,,,
1997-11-24,254.02,,,,,,,
1997-11-26,256.14,,,,,100.0,,
