date,close,open,high,low,turnover,volume,vwap,mktCap
2006-11-23,322.1,,,,,191.0,,
2006-11-23,322.1,,,,,191.0,,
2006-11-23,322.1,,,,,191.0,,
2007-04-09,377.88,377.88,377.88,377.88,,8.0,,
2007-04-09,377.88,377.88,377.88,377.88,,8.0,,
2007-04-09,377.88,377.88,377.88,377.88,,8.0,,
2007-04-11,377.88,377.88,377.88,377.88,,156.0,,
2007-04-11,377.88,377.88,377.88,377.88,,156.0,,
2007-04-11,377.88,377.88,377.88,377.88,,156.0,,
2007-04-12,382.38,382.38,382.38,382.38,,2.0,,
2007-04-12,382.38,382.38,382.38,382.38,,2.0,,
2007-04-12,382.38,382.38,382.38,382.38,,2.0,,
2007-04-16,382.38,382.38,382.38,382.38,,2.0,,
2007-04-16,382.38,382.38,382.38,382.38,,2.0,,
2007-04-16,382.38,382.38,382.38,382.38,,2.0,,
2007-04-17,373.38,373.38,373.38,373.38,,59.0,,
2007-04-17,373.38,373.38,373.38,373.38,,59.0,,
2007-04-17,373.38,373.38,373.38,373.38,,59.0,,
2007-04-20,373.38,373.38,373.38,373.38,,155.0,,
2007-04-20,373.38,373.38,373.38,373.38,,155.0,,
2007-04-20,373.38,373.38,373.38,373.38,,155.0,,
2007-04-23,377.88,377.88,377.88,377.88,,75.0,,
2007-04-23,377.88,377.88,377.88,377.88,,75.0,,
2007-04-23,377.88,377.88,377.88,377.88,,75.0,,
2007-04-24,369.78,373.83,373.83,369.78,,1109.0,,
2007-04-24,369.78,373.83,373.83,369.78,,1109.0,,
2007-04-24,369.78,373.83,373.83,369.78,,1109.0,,
2007-04-25,371.13,371.13,371.13,371.13,,3.0,,
2007-04-25,371.13,371.13,371.13,371.13,,3.0,,
2007-04-25,371.13,371.13,371.13,371.13,,3.0,,
2007-04-30,368.88,373.38,373.38,368.88,,60.0,,
2007-04-30,368.88,373.38,373.38,368.88,,60.0,,
2007-04-30,368.88,373.38,373.38,368.88,,60.0,,
2007-05-02,389.57,389.57,389.57,389.57,,8.0,,
2007-05-02,389.57,389.57,389.57,389.57,,8.0,,
2007-05-02,389.57,389.57,389.57,389.57,,8.0,,
2007-05-07,389.57,389.57,389.57,389.57,,135.0,,
2007-05-07,389.57,389.57,389.57,389.57,,135.0,,
2007-05-07,389.57,389.57,389.57,389.57,,135.0,,
2007-05-08,386.87,386.87,386.87,386.87,,84.0,,
2007-05-08,386.87,386.87,386.87,386.87,,84.0,,
2007-05-08,386.87,386.87,386.87,386.87,,84.0,,
2007-05-09,378.78,378.78,378.78,378.78,,273.0,,
2007-05-09,378.78,378.78,378.78,378.78,,273.0,,
2007-05-09,378.78,378.78,378.78,378.78,,273.0,,
2007-05-10,357.63,378.78,378.78,357.63,,452.0,,
2007-05-10,357.63,378.78,378.78,357.63,,452.0,,
2007-05-10,357.63,378.78,378.78,357.63,,452.0,,
2007-05-11,342.34,337.84,342.34,337.84,,270.0,,
2007-05-11,342.34,337.84,342.34,337.84,,270.0,,
2007-05-11,342.34,337.84,342.34,337.84,,270.0,,
2007-05-14,362.13,362.13,362.13,362.13,,23.0,,
2007-05-14,362.13,362.13,362.13,362.13,,23.0,,
2007-05-14,362.13,362.13,362.13,362.13,,23.0,,
2007-05-15,377.88,362.13,377.88,362.13,,20.0,,
2007-05-15,377.88,362.13,377.88,362.13,,20.0,,
2007-05-15,377.88,362.13,377.88,362.13,,20.0,,
2007-05-16,380.13,377.88,380.13,377.88,,173.0,,
2007-05-16,380.13,377.88,380.13,377.88,,173.0,,
2007-05-16,380.13,377.88,380.13,377.88,,173.0,,
2007-05-17,382.38,382.38,382.38,382.38,,45.0,,
2007-05-17,382.38,382.38,382.38,382.38,,45.0,,
2007-05-17,382.38,382.38,382.38,382.38,,45.0,,
2007-05-22,382.38,382.38,382.38,382.38,,1845.0,,
2007-05-22,382.38,382.38,382.38,382.38,,1845.0,,
2007-05-22,382.38,382.38,382.38,382.38,,1845.0,,
2007-05-23,382.38,382.38,382.38,382.38,,23.0,,
2007-05-23,382.38,382.38,382.38,382.38,,23.0,,
2007-05-23,382.38,382.38,382.38,382.38,,23.0,,
2007-05-25,386.87,382.38,386.87,382.38,,2906.0,,
2007-05-25,386.87,382.38,386.87,382.38,,2906.0,,
2007-05-25,386.87,382.38,386.87,382.38,,2906.0,,
2007-05-28,391.37,391.37,391.37,391.37,,312.0,,
2007-05-28,391.37,391.37,391.37,391.37,,312.0,,
2007-05-28,391.37,391.37,391.37,391.37,,312.0,,
2007-06-01,393.62,393.62,393.62,393.62,,5.0,,
2007-06-01,393.62,393.62,393.62,393.62,,5.0,,
2007-06-01,393.62,393.62,393.62,393.62,,5.0,,
2007-06-04,393.62,404.87,404.87,393.62,,140.0,,
2007-06-04,393.62,404.87,404.87,393.62,,140.0,,
2007-06-04,393.62,404.87,404.87,393.62,,140.0,,
2007-06-05,404.87,404.87,404.87,404.87,,53.0,,
2007-06-05,404.87,404.87,404.87,404.87,,53.0,,
2007-06-05,404.87,404.87,404.87,404.87,,53.0,,
2007-06-06,391.37,403.97,404.87,391.37,,161.0,,
2007-06-06,391.37,403.97,404.87,391.37,,161.0,,
2007-06-06,391.37,403.97,404.87,391.37,,161.0,,
2007-06-08,393.62,393.62,393.62,393.62,,36.0,,
2007-06-08,393.62,393.62,393.62,393.62,,36.0,,
2007-06-08,393.62,393.62,393.62,393.62,,36.0,,
2007-06-12,391.37,391.37,391.37,391.37,,23.0,,
2007-06-12,391.37,391.37,391.37,391.37,,23.0,,
2007-06-12,391.37,391.37,391.37,391.37,,23.0,,
2007-06-13,391.37,391.37,391.37,391.37,,24.0,,
2007-06-13,391.37,391.37,391.37,391.37,,24.0,,
2007-06-13,391.37,391.37,391.37,391.37,,24.0,,
2007-06-14,391.37,375.63,391.37,375.63,,524.0,,
2007-06-14,391.37,375.63,391.37,375.63,,524.0,,
2007-06-14,391.37,375.63,391.37,375.63,,524.0,,
2007-06-19,403.97,391.37,403.97,391.37,,15.0,,
2007-06-19,403.97,391.37,403.97,391.37,,15.0,,
2007-06-19,403.97,391.37,403.97,391.37,,15.0,,
2007-06-27,391.37,391.37,391.37,391.37,,242.0,,
2007-06-27,391.37,391.37,391.37,391.37,,242.0,,
2007-06-27,391.37,391.37,391.37,391.37,,242.0,,
2007-07-04,374.28,374.28,374.28,374.28,,3.0,,
2007-07-04,374.28,374.28,374.28,374.28,,3.0,,
2007-07-04,374.28,374.28,374.28,374.28,,3.0,,
2007-07-05,391.37,391.37,391.37,391.37,,15.0,,
2007-07-05,391.37,391.37,391.37,391.37,,15.0,,
2007-07-05,391.37,391.37,391.37,391.37,,15.0,,
2007-07-06,390.92,390.92,390.92,390.92,,24.0,,
2007-07-06,390.92,390.92,390.92,390.92,,24.0,,
2007-07-06,390.92,390.92,390.92,390.92,,24.0,,
2007-07-09,388.22,388.22,388.22,388.22,,2.0,,1035.6
2007-07-09,388.22,388.22,388.22,388.22,,2.0,,1035.6
2007-07-09,388.22,388.22,388.22,388.22,,2.0,,1035.6
2007-07-10,,,,,,,,1035.6
2007-07-10,,,,,,,,1035.6
2007-07-10,,,,,,,,1035.6
2007-07-11,,,,,,,,1035.6
2007-07-11,,,,,,,,1035.6
2007-07-11,,,,,,,,1035.6
2007-07-12,,,,,,,,1035.6
2007-07-12,,,,,,,,1035.6
2007-07-12,,,,,,,,1035.6
2007-07-13,,,,,,,,1035.6
2007-07-13,,,,,,,,1035.6
2007-07-13,,,,,,,,1035.6
2007-07-16,386.87,373.38,386.87,373.38,,152.0,,1032.0
2007-07-16,386.87,373.38,386.87,373.38,,152.0,,1032.0
2007-07-16,386.87,373.38,386.87,373.38,,152.0,,1032.0
2007-07-17,386.87,386.87,386.87,386.87,,86.0,,1032.0
2007-07-17,386.87,386.87,386.87,386.87,,86.0,,1032.0
2007-07-17,386.87,386.87,386.87,386.87,,86.0,,1032.0
2007-07-18,386.87,386.87,386.87,386.87,,15.0,,1032.0
2007-07-18,386.87,386.87,386.87,386.87,,15.0,,1032.0
2007-07-18,386.87,386.87,386.87,386.87,,15.0,,1032.0
2007-07-19,386.42,386.42,386.42,386.42,,45.0,,1030.8
2007-07-19,386.42,386.42,386.42,386.42,,45.0,,1030.8
2007-07-19,386.42,386.42,386.42,386.42,,45.0,,1030.8
2007-07-20,375.63,375.63,375.63,375.63,,981.0,,1002.0
2007-07-20,375.63,375.63,375.63,375.63,,981.0,,1002.0
2007-07-20,375.63,375.63,375.63,375.63,,981.0,,1002.0
2007-07-23,386.87,386.87,386.87,386.87,,150.0,,1032.0
2007-07-23,386.87,386.87,386.87,386.87,,150.0,,1032.0
2007-07-23,386.87,386.87,386.87,386.87,,150.0,,1032.0
2007-07-24,386.42,386.42,386.42,386.42,,6.0,,1030.8
2007-07-24,386.42,386.42,386.42,386.42,,6.0,,1030.8
2007-07-24,386.42,386.42,386.42,386.42,,6.0,,1030.8
2007-07-25,372.03,371.13,372.03,371.13,,1392.0,,992.4
2007-07-25,372.03,371.13,372.03,371.13,,1392.0,,992.4
2007-07-25,372.03,371.13,372.03,371.13,,1392.0,,992.4
2007-07-26,386.87,386.87,386.87,386.87,,107.0,,1032.0
2007-07-26,386.87,386.87,386.87,386.87,,107.0,,1032.0
2007-07-26,386.87,386.87,386.87,386.87,,107.0,,1032.0
2007-07-27,387.32,387.32,387.32,387.32,,83.0,,1033.2
2007-07-27,387.32,387.32,387.32,387.32,,83.0,,1033.2
2007-07-27,387.32,387.32,387.32,387.32,,83.0,,1033.2
2007-07-31,386.87,386.87,386.87,386.87,,75.0,,1032.0
2007-07-31,386.87,386.87,386.87,386.87,,75.0,,1032.0
2007-07-31,386.87,386.87,386.87,386.87,,75.0,,1032.0
2007-08-01,,,,,,,,1032.0
2007-08-01,,,,,,,,1032.0
2007-08-01,,,,,,,,1032.0
2007-08-02,,,,,,,,1032.0
2007-08-02,,,,,,,,1032.0
2007-08-02,,,,,,,,1032.0
2007-08-03,,,,,,,,1032.0
2007-08-03,,,,,,,,1032.0
2007-08-03,,,,,,,,1032.0
2007-08-06,375.63,375.63,375.63,375.63,,513.0,,1002.0
2007-08-06,375.63,375.63,375.63,375.63,,513.0,,1002.0
2007-08-06,375.63,375.63,375.63,375.63,,513.0,,1002.0
2007-08-07,,,,,,,,1002.0
2007-08-07,,,,,,,,1002.0
2007-08-07,,,,,,,,1002.0
2007-08-08,,,,,,,,1002.0
2007-08-08,,,,,,,,1002.0
2007-08-08,,,,,,,,1002.0
2007-08-09,,,,,,,,1002.0
2007-08-09,,,,,,,,1002.0
2007-08-09,,,,,,,,1002.0
2007-08-10,386.87,386.87,386.87,386.87,,419.0,,1032.0
2007-08-10,386.87,386.87,386.87,386.87,,419.0,,1032.0
2007-08-10,386.87,386.87,386.87,386.87,,419.0,,1032.0
2007-08-13,378.33,378.33,378.33,378.33,,32.0,,1009.2
2007-08-13,378.33,378.33,378.33,378.33,,32.0,,1009.2
2007-08-13,378.33,378.33,378.33,378.33,,32.0,,1009.2
2007-08-15,382.38,382.38,382.38,382.38,,75.0,,1020.0
2007-08-15,382.38,382.38,382.38,382.38,,75.0,,1020.0
2007-08-15,382.38,382.38,382.38,382.38,,75.0,,1020.0
2007-08-16,382.38,382.38,382.38,382.38,,6.0,,1020.0
2007-08-16,382.38,382.38,382.38,382.38,,6.0,,1020.0
2007-08-16,382.38,382.38,382.38,382.38,,6.0,,1020.0
2007-08-17,382.38,382.38,382.38,382.38,,90.0,,1020.0
2007-08-17,382.38,382.38,382.38,382.38,,90.0,,1020.0
2007-08-17,382.38,382.38,382.38,382.38,,90.0,,1020.0
2007-08-22,386.87,386.87,386.87,386.87,,87.0,,1032.0
2007-08-22,386.87,386.87,386.87,386.87,,87.0,,1032.0
2007-08-22,386.87,386.87,386.87,386.87,,87.0,,1032.0
2007-08-23,391.37,389.12,391.37,389.12,,41.0,,1044.0
2007-08-23,391.37,389.12,391.37,389.12,,41.0,,1044.0
2007-08-23,391.37,389.12,391.37,389.12,,41.0,,1044.0
2007-08-24,,,,,,,,1044.0
2007-08-24,,,,,,,,1044.0
2007-08-24,,,,,,,,1044.0
2007-08-27,,,,,,,,1044.0
2007-08-27,,,,,,,,1044.0
2007-08-27,,,,,,,,1044.0
2007-08-28,386.87,380.58,386.87,380.58,,35.0,,1032.0
2007-08-28,386.87,380.58,386.87,380.58,,35.0,,1032.0
2007-08-28,386.87,380.58,386.87,380.58,,35.0,,1032.0
2007-08-29,,,,,,,,1032.0
2007-08-29,,,,,,,,1032.0
2007-08-29,,,,,,,,1032.0
2007-08-30,,,,,,,,1032.0
2007-08-30,,,,,,,,1032.0
2007-08-30,,,,,,,,1032.0
2007-08-31,386.87,386.87,386.87,386.87,513420.0,896.0,,1032.0
2007-08-31,386.87,386.87,386.87,386.87,513420.0,896.0,,1032.0
2007-08-31,386.87,386.87,386.87,386.87,513420.0,896.0,,1032.0
2007-09-03,386.87,386.87,386.87,386.87,172000.0,300.0,,1032.0
2007-09-03,386.87,386.87,386.87,386.87,172000.0,300.0,,1032.0
2007-09-03,386.87,386.87,386.87,386.87,172000.0,300.0,,1032.0
2007-09-04,384.62,384.62,384.62,384.62,4275.0,8.0,,1026.0
2007-09-04,384.62,384.62,384.62,384.62,4275.0,8.0,,1026.0
2007-09-04,384.62,384.62,384.62,384.62,4275.0,8.0,,1026.0
2007-09-05,384.62,384.62,385.07,384.62,452476.0,794.0,,1026.0
2007-09-05,384.62,384.62,385.07,384.62,452476.0,794.0,,1026.0
2007-09-05,384.62,384.62,385.07,384.62,452476.0,794.0,,1026.0
2007-09-06,,,,,,,,1026.0
2007-09-06,,,,,,,,1026.0
2007-09-06,,,,,,,,1026.0
2007-09-07,,,,,,,,1026.0
2007-09-07,,,,,,,,1026.0
2007-09-07,,,,,,,,1026.0
2007-09-10,386.87,382.38,386.87,382.38,87580.0,155.0,,1032.0
2007-09-10,386.87,382.38,386.87,382.38,87580.0,155.0,,1032.0
2007-09-10,386.87,382.38,386.87,382.38,87580.0,155.0,,1032.0
2007-09-11,382.38,382.38,382.38,382.38,92650.0,164.0,,1020.0
2007-09-11,382.38,382.38,382.38,382.38,92650.0,164.0,,1020.0
2007-09-11,382.38,382.38,382.38,382.38,92650.0,164.0,,1020.0
2007-09-12,,,,,,,,1020.0
2007-09-12,,,,,,,,1020.0
2007-09-12,,,,,,,,1020.0
2007-09-13,382.38,382.38,382.38,382.38,71400.0,126.0,,1020.0
2007-09-13,382.38,382.38,382.38,382.38,71400.0,126.0,,1020.0
2007-09-13,382.38,382.38,382.38,382.38,71400.0,126.0,,1020.0
2007-09-14,,,,,,,,1020.0
2007-09-14,,,,,,,,1020.0
2007-09-14,,,,,,,,1020.0
2007-09-17,,,,,,,,1020.0
2007-09-17,,,,,,,,1020.0
2007-09-17,,,,,,,,1020.0
2007-09-18,382.38,382.38,382.38,382.38,64600.0,114.0,,1020.0
2007-09-18,382.38,382.38,382.38,382.38,64600.0,114.0,,1020.0
2007-09-18,382.38,382.38,382.38,382.38,64600.0,114.0,,1020.0
2007-09-19,,,,,,,,1020.0
2007-09-19,,,,,,,,1020.0
2007-09-19,,,,,,,,1020.0
2007-09-20,382.38,373.38,382.38,373.38,168000.0,300.0,,1020.0
2007-09-20,382.38,373.38,382.38,373.38,168000.0,300.0,,1020.0
2007-09-20,382.38,373.38,382.38,373.38,168000.0,300.0,,1020.0
2007-09-21,,,,,,,,1020.0
2007-09-21,,,,,,,,1020.0
2007-09-21,,,,,,,,1020.0
2007-09-24,382.38,382.38,382.38,382.38,6800.0,12.0,,1020.0
2007-09-24,382.38,382.38,382.38,382.38,6800.0,12.0,,1020.0
2007-09-24,382.38,382.38,382.38,382.38,6800.0,12.0,,1020.0
2007-09-25,382.38,373.38,382.38,373.38,345410.0,611.0,,1020.0
2007-09-25,382.38,373.38,382.38,373.38,345410.0,611.0,,1020.0
2007-09-25,382.38,373.38,382.38,373.38,345410.0,611.0,,1020.0
2007-09-26,377.88,373.38,377.88,373.38,1941960.0,3468.0,,1008.0
2007-09-26,377.88,373.38,377.88,373.38,1941960.0,3468.0,,1008.0
2007-09-26,377.88,373.38,377.88,373.38,1941960.0,3468.0,,1008.0
2007-09-27,380.13,380.13,380.13,380.13,1691690.0,3003.0,,1014.0
2007-09-27,380.13,380.13,380.13,380.13,1691690.0,3003.0,,1014.0
2007-09-27,380.13,380.13,380.13,380.13,1691690.0,3003.0,,1014.0
2007-09-28,386.87,380.13,386.87,380.13,1812705.0,3218.0,,1032.0
2007-09-28,386.87,380.13,386.87,380.13,1812705.0,3218.0,,1032.0
2007-09-28,386.87,380.13,386.87,380.13,1812705.0,3218.0,,1032.0
2007-10-01,390.92,390.92,390.92,390.92,6952.0,12.0,,1042.8
2007-10-01,390.92,390.92,390.92,390.92,6952.0,12.0,,1042.8
2007-10-01,390.92,390.92,390.92,390.92,6952.0,12.0,,1042.8
2007-10-02,391.37,391.37,391.37,391.37,84390.0,146.0,,1044.0
2007-10-02,391.37,391.37,391.37,391.37,84390.0,146.0,,1044.0
2007-10-02,391.37,391.37,391.37,391.37,84390.0,146.0,,1044.0
2007-10-03,,,,,,,,1044.0
2007-10-03,,,,,,,,1044.0
2007-10-03,,,,,,,,1044.0
2007-10-04,391.37,390.92,391.37,390.92,62636.0,108.0,,1044.0
2007-10-04,391.37,390.92,391.37,390.92,62636.0,108.0,,1044.0
2007-10-04,391.37,390.92,391.37,390.92,62636.0,108.0,,1044.0
2007-10-05,391.37,378.33,391.37,378.33,61538.0,110.0,,1044.0
2007-10-05,391.37,378.33,391.37,378.33,61538.0,110.0,,1044.0
2007-10-05,391.37,378.33,391.37,378.33,61538.0,110.0,,1044.0
2007-10-08,,,,,,,,1044.0
2007-10-08,,,,,,,,1044.0
2007-10-08,,,,,,,,1044.0
2007-10-09,390.92,378.33,390.92,378.33,37564.0,66.0,,1042.8
2007-10-09,390.92,378.33,390.92,378.33,37564.0,66.0,,1042.8
2007-10-09,390.92,378.33,390.92,378.33,37564.0,66.0,,1042.8
2007-10-10,,,,,,,,1042.8
2007-10-10,,,,,,,,1042.8
2007-10-10,,,,,,,,1042.8
2007-10-11,,,,,,,,1042.8
2007-10-11,,,,,,,,1042.8
2007-10-11,,,,,,,,1042.8
2007-10-12,390.02,382.83,390.02,382.83,1814710.0,3195.0,,1040.4
2007-10-12,390.02,382.83,390.02,382.83,1814710.0,3195.0,,1040.4
2007-10-12,390.02,382.83,390.02,382.83,1814710.0,3195.0,,1040.4
2007-10-15,391.37,391.37,391.37,391.37,69600.0,120.0,,1044.0
2007-10-15,391.37,391.37,391.37,391.37,69600.0,120.0,,1044.0
2007-10-15,391.37,391.37,391.37,391.37,69600.0,120.0,,1044.0
2007-10-16,391.37,391.37,391.37,391.37,46980.0,81.0,,1044.0
2007-10-16,391.37,391.37,391.37,391.37,46980.0,81.0,,1044.0
2007-10-16,391.37,391.37,391.37,391.37,46980.0,81.0,,1044.0
2007-10-17,393.62,384.62,393.62,384.62,1727500.0,3030.0,,1050.0
2007-10-17,393.62,384.62,393.62,384.62,1727500.0,3030.0,,1050.0
2007-10-17,393.62,384.62,393.62,384.62,1727500.0,3030.0,,1050.0
2007-10-18,384.62,384.62,384.62,384.62,333450.0,585.0,,1026.0
2007-10-18,384.62,384.62,384.62,384.62,333450.0,585.0,,1026.0
2007-10-18,384.62,384.62,384.62,384.62,333450.0,585.0,,1026.0
2007-10-19,391.37,384.62,391.37,384.62,88550.0,153.0,,1044.0
2007-10-19,391.37,384.62,391.37,384.62,88550.0,153.0,,1044.0
2007-10-19,391.37,384.62,391.37,384.62,88550.0,153.0,,1044.0
2007-10-22,391.37,384.62,391.37,384.62,20820.0,36.0,,1044.0
2007-10-22,391.37,384.62,391.37,384.62,20820.0,36.0,,1044.0
2007-10-22,391.37,384.62,391.37,384.62,20820.0,36.0,,1044.0
2007-10-23,,,,,,,,1044.0
2007-10-23,,,,,,,,1044.0
2007-10-23,,,,,,,,1044.0
2007-10-24,393.62,385.07,393.62,385.07,157028.0,275.0,,1050.0
2007-10-24,393.62,385.07,393.62,385.07,157028.0,275.0,,1050.0
2007-10-24,393.62,385.07,393.62,385.07,157028.0,275.0,,1050.0
2007-10-25,,,,,,,,1050.0
2007-10-25,,,,,,,,1050.0
2007-10-25,,,,,,,,1050.0
2007-10-26,386.87,386.87,386.87,386.87,162540.0,284.0,,1032.0
2007-10-26,386.87,386.87,386.87,386.87,162540.0,284.0,,1032.0
2007-10-26,386.87,386.87,386.87,386.87,162540.0,284.0,,1032.0
2007-10-29,386.87,386.87,386.87,386.87,608880.0,1062.0,,1032.0
2007-10-29,386.87,386.87,386.87,386.87,608880.0,1062.0,,1032.0
2007-10-29,386.87,386.87,386.87,386.87,608880.0,1062.0,,1032.0
2007-10-30,386.87,386.87,386.87,386.87,860000.0,1500.0,,1032.0
2007-10-30,386.87,386.87,386.87,386.87,860000.0,1500.0,,1032.0
2007-10-30,386.87,386.87,386.87,386.87,860000.0,1500.0,,1032.0
2007-10-31,384.62,384.62,384.62,384.62,162450.0,285.0,,1026.0
2007-10-31,384.62,384.62,384.62,384.62,162450.0,285.0,,1026.0
2007-10-31,384.62,384.62,384.62,384.62,162450.0,285.0,,1026.0
2007-11-01,391.37,391.37,391.37,391.37,34800.0,60.0,,1044.0
2007-11-01,391.37,391.37,391.37,391.37,34800.0,60.0,,1044.0
2007-11-01,391.37,391.37,391.37,391.37,34800.0,60.0,,1044.0
2007-11-02,400.37,391.37,400.37,391.37,1895750.0,3263.0,,1068.0
2007-11-02,400.37,391.37,400.37,391.37,1895750.0,3263.0,,1068.0
2007-11-02,400.37,391.37,400.37,391.37,1895750.0,3263.0,,1068.0
2007-11-05,,,,,,,,1068.0
2007-11-05,,,,,,,,1068.0
2007-11-05,,,,,,,,1068.0
2007-11-07,400.37,400.37,400.37,400.37,64080.0,108.0,,1068.0
2007-11-07,400.37,400.37,400.37,400.37,64080.0,108.0,,1068.0
2007-11-07,400.37,400.37,400.37,400.37,64080.0,108.0,,1068.0
2007-11-08,404.87,404.87,404.87,404.87,54000.0,90.0,,1080.0
2007-11-08,404.87,404.87,404.87,404.87,54000.0,90.0,,1080.0
2007-11-08,404.87,404.87,404.87,404.87,54000.0,90.0,,1080.0
2007-11-09,387.77,404.42,404.42,387.77,101039.0,176.0,,1034.4
2007-11-09,387.77,404.42,404.42,387.77,101039.0,176.0,,1034.4
2007-11-09,387.77,404.42,404.42,387.77,101039.0,176.0,,1034.4
2007-11-12,404.87,389.57,404.87,389.57,426684.0,713.0,,1080.0
2007-11-12,404.87,389.57,404.87,389.57,426684.0,713.0,,1080.0
2007-11-12,404.87,389.57,404.87,389.57,426684.0,713.0,,1080.0
2007-11-13,,,,,,,,1080.0
2007-11-13,,,,,,,,1080.0
