date,close,open,high,low,turnover,volume,vwap,mktCap
2006-12-15,266.39,261.47,266.39,261.47,,3978.0,,
2006-12-15,266.39,261.47,266.39,261.47,,3978.0,,
2006-12-15,266.39,261.47,266.39,261.47,,3978.0,,
2006-12-18,273.77,283.0,283.0,266.39,,3041.0,,
2006-12-18,273.77,283.0,283.0,266.39,,3041.0,,
2006-12-18,273.77,283.0,283.0,266.39,,3041.0,,
2006-12-19,289.15,289.15,289.15,273.77,,2367.0,,
2006-12-19,289.15,289.15,289.15,273.77,,2367.0,,
2006-12-19,289.15,289.15,289.15,273.77,,2367.0,,
2006-12-20,286.75,287.92,289.15,286.69,,1625.0,,
2006-12-20,286.75,287.92,289.15,286.69,,1625.0,,
2006-12-20,286.75,287.92,289.15,286.69,,1625.0,,
2006-12-21,289.15,286.75,289.15,286.75,,1623.0,,
2006-12-21,289.15,286.75,289.15,286.75,,1623.0,,
2006-12-21,289.15,286.75,289.15,286.75,,1623.0,,
2006-12-22,285.46,284.85,289.15,284.85,,975.0,,
2006-12-22,285.46,284.85,289.15,284.85,,975.0,,
2006-12-22,285.46,284.85,289.15,284.85,,975.0,,
2006-12-26,276.85,277.46,284.23,276.85,,882.0,,
2006-12-26,276.85,277.46,284.23,276.85,,882.0,,
2006-12-26,276.85,277.46,284.23,276.85,,882.0,,
2006-12-27,273.16,264.54,276.85,264.54,,568.0,,
2006-12-27,273.16,264.54,276.85,264.54,,568.0,,
2006-12-27,273.16,264.54,276.85,264.54,,568.0,,
2006-12-28,270.7,267.62,273.16,265.78,,834.0,,
2006-12-28,270.7,267.62,273.16,265.78,,834.0,,
2006-12-28,270.7,267.62,273.16,265.78,,834.0,,
2006-12-29,268.24,270.7,270.7,268.24,,1345.0,,
2006-12-29,268.24,270.7,270.7,268.24,,1345.0,,
2006-12-29,268.24,270.7,270.7,268.24,,1345.0,,
2007-01-02,270.08,270.08,270.08,270.08,,334.0,,
2007-01-02,270.08,270.08,270.08,270.08,,334.0,,
2007-01-02,270.08,270.08,270.08,270.08,,334.0,,
2007-01-03,270.39,268.85,270.39,268.85,,373.0,,
2007-01-03,270.39,268.85,270.39,268.85,,373.0,,
2007-01-03,270.39,268.85,270.39,268.85,,373.0,,
2007-01-04,264.58,268.24,268.24,264.58,,1778.0,,
2007-01-04,264.58,268.24,268.24,264.58,,1778.0,,
2007-01-04,264.58,268.24,268.24,264.58,,1778.0,,
2007-01-05,263.31,264.54,264.54,263.31,,351.0,,
2007-01-05,263.31,264.54,264.54,263.31,,351.0,,
2007-01-05,263.31,264.54,264.54,263.31,,351.0,,
2007-01-08,262.02,262.08,262.08,262.02,,537.0,,
2007-01-08,262.02,262.08,262.08,262.02,,537.0,,
2007-01-08,262.02,262.08,262.08,262.02,,537.0,,
2007-01-09,265.78,258.39,265.78,258.39,,2239.0,,
2007-01-09,265.78,258.39,265.78,258.39,,2239.0,,
2007-01-09,265.78,258.39,265.78,258.39,,2239.0,,
2007-01-10,268.24,267.07,268.24,267.07,,794.0,,
2007-01-10,268.24,267.07,268.24,267.07,,794.0,,
2007-01-10,268.24,267.07,268.24,267.07,,794.0,,
2007-01-12,268.85,268.24,268.85,268.24,,1076.0,,
2007-01-12,268.85,268.24,268.85,268.24,,1076.0,,
2007-01-12,268.85,268.24,268.85,268.24,,1076.0,,
2007-01-15,267.01,267.62,267.62,267.01,,700.0,,
2007-01-15,267.01,267.62,267.62,267.01,,700.0,,
2007-01-15,267.01,267.62,267.62,267.01,,700.0,,
2007-01-16,270.7,267.01,270.7,267.01,,2740.0,,
2007-01-16,270.7,267.01,270.7,267.01,,2740.0,,
2007-01-16,270.7,267.01,270.7,267.01,,2740.0,,
2007-01-17,273.16,271.93,273.16,264.54,,566.0,,
2007-01-17,273.16,271.93,273.16,264.54,,566.0,,
2007-01-17,273.16,271.93,273.16,264.54,,566.0,,
2007-01-18,267.68,271.93,271.93,267.68,,308.0,,
2007-01-18,267.68,271.93,271.93,267.68,,308.0,,
2007-01-18,267.68,271.93,271.93,267.68,,308.0,,
2007-01-19,266.39,266.39,266.39,266.39,,135.0,,
2007-01-19,266.39,266.39,266.39,266.39,,135.0,,
2007-01-19,266.39,266.39,266.39,266.39,,135.0,,
2007-01-22,267.68,265.16,267.68,265.16,,349.0,,
2007-01-22,267.68,265.16,267.68,265.16,,349.0,,
2007-01-22,267.68,265.16,267.68,265.16,,349.0,,
2007-01-23,266.39,267.62,267.62,266.39,,1050.0,,
2007-01-23,266.39,267.62,267.62,266.39,,1050.0,,
2007-01-23,266.39,267.62,267.62,266.39,,1050.0,,
2007-01-24,270.82,267.62,270.82,267.62,,2002.0,,
2007-01-24,270.82,267.62,270.82,267.62,,2002.0,,
2007-01-24,270.82,267.62,270.82,267.62,,2002.0,,
2007-01-25,270.7,272.54,272.67,270.7,,1309.0,,
2007-01-25,270.7,272.54,272.67,270.7,,1309.0,,
2007-01-25,270.7,272.54,272.67,270.7,,1309.0,,
2007-01-26,270.7,270.7,270.7,270.7,,673.0,,
2007-01-26,270.7,270.7,270.7,270.7,,673.0,,
2007-01-26,270.7,270.7,270.7,270.7,,673.0,,
2007-01-29,273.83,270.7,273.83,270.7,,2214.0,,
2007-01-29,273.83,270.7,273.83,270.7,,2214.0,,
2007-01-29,273.83,270.7,273.83,270.7,,2214.0,,
2007-01-30,270.7,272.54,273.16,270.7,,240.0,,
2007-01-30,270.7,272.54,273.16,270.7,,240.0,,
2007-01-30,270.7,272.54,273.16,270.7,,240.0,,
2007-01-31,270.08,270.08,270.7,270.08,,352.0,,
2007-01-31,270.08,270.08,270.7,270.08,,352.0,,
2007-01-31,270.08,270.08,270.7,270.08,,352.0,,
2007-02-01,268.85,268.85,268.85,268.85,,125.0,,
2007-02-01,268.85,268.85,268.85,268.85,,125.0,,
2007-02-01,268.85,268.85,268.85,268.85,,125.0,,
2007-02-02,267.59,267.59,267.59,267.59,,1495.0,,
2007-02-02,267.59,267.59,267.59,267.59,,1495.0,,
2007-02-02,267.59,267.59,267.59,267.59,,1495.0,,
2007-02-05,267.62,267.62,267.62,267.62,,865.0,,
2007-02-05,267.62,267.62,267.62,267.62,,865.0,,
2007-02-05,267.62,267.62,267.62,267.62,,865.0,,
2007-02-06,266.39,266.39,266.39,266.39,,235.0,,
2007-02-06,266.39,266.39,266.39,266.39,,235.0,,
