date,close,open,high,low,turnover,volume,vwap,mktCap
1998-06-02,7.37,7.37,7.37,7.37,,5000.0,,
1998-06-02,7.37,7.37,7.37,7.37,,5000.0,,
1998-06-02,7.37,7.37,7.37,7.37,,5000.0,,
1998-07-28,6.57,6.57,6.57,6.57,,600.0,,
1998-07-28,6.57,6.57,6.57,6.57,,600.0,,
1998-07-28,6.57,6.57,6.57,6.57,,600.0,,
1998-07-29,6.57,6.57,6.57,6.5600000000000005,,1150.0,,
1998-07-29,6.57,6.57,6.57,6.5600000000000005,,1150.0,,
1998-07-29,6.57,6.57,6.57,6.5600000000000005,,1150.0,,
1998-07-30,6.63,6.63,6.63,6.63,,450.0,,
1998-07-30,6.63,6.63,6.63,6.63,,450.0,,
1998-07-30,6.63,6.63,6.63,6.63,,450.0,,
1998-07-31,6.57,6.57,6.57,6.57,,2900.0,,
1998-07-31,6.57,6.57,6.57,6.57,,2900.0,,
1998-07-31,6.57,6.57,6.57,6.57,,2900.0,,
1998-08-03,6.57,6.57,6.57,6.57,,200.0,,
1998-08-03,6.57,6.57,6.57,6.57,,200.0,,
1998-08-03,6.57,6.57,6.57,6.57,,200.0,,
1998-08-04,6.57,6.57,6.57,6.57,,300.0,,
1998-08-04,6.57,6.57,6.57,6.57,,300.0,,
1998-08-04,6.57,6.57,6.57,6.57,,300.0,,
1998-08-05,6.57,6.57,6.57,6.57,,250.0,,
1998-08-05,6.57,6.57,6.57,6.57,,250.0,,
1998-08-05,6.57,6.57,6.57,6.57,,250.0,,
1998-08-06,6.57,6.57,6.57,6.57,,350.0,,
1998-08-06,6.57,6.57,6.57,6.57,,350.0,,
1998-08-06,6.57,6.57,6.57,6.57,,350.0,,
1998-08-07,6.57,6.57,6.57,6.57,,1450.0,,
1998-08-07,6.57,6.57,6.57,6.57,,1450.0,,
1998-08-07,6.57,6.57,6.57,6.57,,1450.0,,
1998-08-11,6.57,6.57,6.57,6.57,,4600.0,,
1998-08-11,6.57,6.57,6.57,6.57,,4600.0,,
1998-08-11,6.57,6.57,6.57,6.57,,4600.0,,
1998-08-12,6.57,6.57,6.57,6.57,,15250.0,,
1998-08-12,6.57,6.57,6.57,6.57,,15250.0,,
1998-08-12,6.57,6.57,6.57,6.57,,15250.0,,
1998-08-17,6.57,6.57,6.57,6.57,,2500.0,,
1998-08-17,6.57,6.57,6.57,6.57,,2500.0,,
1998-08-17,6.57,6.57,6.57,6.57,,2500.0,,
1998-08-18,6.58,6.58,6.58,6.58,,450.0,,
1998-08-18,6.58,6.58,6.58,6.58,,450.0,,
1998-08-18,6.58,6.58,6.58,6.58,,450.0,,
1998-08-19,6.57,6.57,6.57,6.57,,1300.0,,
1998-08-19,6.57,6.57,6.57,6.57,,1300.0,,
1998-08-19,6.57,6.57,6.57,6.57,,1300.0,,
1998-08-21,6.57,6.57,6.57,6.57,,1225.0,,
1998-08-21,6.57,6.57,6.57,6.57,,1225.0,,
1998-08-21,6.57,6.57,6.57,6.57,,1225.0,,
1998-08-24,6.57,6.57,6.57,6.57,,200.0,,
1998-08-24,6.57,6.57,6.57,6.57,,200.0,,
1998-08-24,6.57,6.57,6.57,6.57,,200.0,,
1998-08-25,6.57,6.57,6.57,6.57,,50.0,,
1998-08-25,6.57,6.57,6.57,6.57,,50.0,,
1998-08-25,6.57,6.57,6.57,6.57,,50.0,,
1998-08-26,6.63,6.63,6.63,6.63,,500.0,,
1998-08-26,6.63,6.63,6.63,6.63,,500.0,,
1998-08-26,6.63,6.63,6.63,6.63,,500.0,,
1998-08-27,6.57,6.57,6.57,6.57,,600.0,,
1998-08-27,6.57,6.57,6.57,6.57,,600.0,,
1998-08-27,6.57,6.57,6.57,6.57,,600.0,,
1998-08-28,6.57,6.57,6.57,6.57,,200.0,,
1998-08-28,6.57,6.57,6.57,6.57,,200.0,,
1998-08-28,6.57,6.57,6.57,6.57,,200.0,,
1998-08-31,6.57,6.57,6.57,6.57,,1075.0,,
1998-08-31,6.57,6.57,6.57,6.57,,1075.0,,
1998-08-31,6.57,6.57,6.57,6.57,,1075.0,,
1998-09-01,6.57,6.57,6.57,6.57,,250.0,,
1998-09-01,6.57,6.57,6.57,6.57,,250.0,,
1998-09-01,6.57,6.57,6.57,6.57,,250.0,,
1998-09-02,6.57,6.57,6.57,6.57,,50.0,,
1998-09-02,6.57,6.57,6.57,6.57,,50.0,,
1998-09-02,6.57,6.57,6.57,6.57,,50.0,,
1998-09-03,6.57,6.57,6.57,6.57,,1500.0,,
1998-09-03,6.57,6.57,6.57,6.57,,1500.0,,
1998-09-03,6.57,6.57,6.57,6.57,,1500.0,,
1998-09-04,6.57,6.57,6.57,6.57,,2025.0,,
1998-09-04,6.57,6.57,6.57,6.57,,2025.0,,
1998-09-04,6.57,6.57,6.57,6.57,,2025.0,,
1998-09-07,6.57,6.57,6.57,6.57,,825.0,,
1998-09-07,6.57,6.57,6.57,6.57,,825.0,,
1998-09-07,6.57,6.57,6.57,6.57,,825.0,,
1998-09-08,6.57,6.57,6.57,6.57,,650.0,,
1998-09-08,6.57,6.57,6.57,6.57,,650.0,,
1998-09-08,6.57,6.57,6.57,6.57,,650.0,,
1998-09-09,6.57,6.57,6.57,6.57,,5975.0,,
1998-09-09,6.57,6.57,6.57,6.57,,5975.0,,
1998-09-09,6.57,6.57,6.57,6.57,,5975.0,,
1998-09-10,6.57,6.57,6.57,6.57,,150.0,,
1998-09-10,6.57,6.57,6.57,6.57,,150.0,,
1998-09-10,6.57,6.57,6.57,6.57,,150.0,,
1998-09-11,6.58,6.58,6.58,6.58,,3800.0,,
1998-09-11,6.58,6.58,6.58,6.58,,3800.0,,
1998-09-11,6.58,6.58,6.58,6.58,,3800.0,,
1998-09-14,6.58,,,,,8475.0,,
1998-09-14,6.58,,,,,8475.0,,
1998-09-14,6.58,,,,,8475.0,,
1998-09-15,6.58,,,,,450.0,,
1998-09-15,6.58,,,,,450.0,,
1998-09-15,6.58,,,,,450.0,,
1998-09-16,6.58,6.58,6.58,6.58,,17675.0,,
1998-09-16,6.58,6.58,6.58,6.58,,17675.0,,
1998-09-16,6.58,6.58,6.58,6.58,,17675.0,,
1998-09-17,6.58,,,,,7300.0,,
1998-09-17,6.58,,,,,7300.0,,
1998-09-17,6.58,,,,,7300.0,,
1998-09-18,6.58,6.58,6.58,6.58,,13150.0,,
1998-09-18,6.58,6.58,6.58,6.58,,13150.0,,
1998-09-18,6.58,6.58,6.58,6.58,,13150.0,,
1998-09-21,6.58,6.58,6.58,6.58,,6250.0,,
1998-09-21,6.58,6.58,6.58,6.58,,6250.0,,
1998-09-21,6.58,6.58,6.58,6.58,,6250.0,,
1998-09-22,6.58,,,,,725.0,,
1998-09-22,6.58,,,,,725.0,,
1998-09-22,6.58,,,,,725.0,,
1998-09-23,6.5600000000000005,6.5600000000000005,6.5600000000000005,6.5600000000000005,,500.0,,
1998-09-23,6.5600000000000005,6.5600000000000005,6.5600000000000005,6.5600000000000005,,500.0,,
1998-09-23,6.5600000000000005,6.5600000000000005,6.5600000000000005,6.5600000000000005,,500.0,,
1998-09-24,6.63,,,,,1250.0,,
1998-09-24,6.63,,,,,1250.0,,
1998-09-24,6.63,,,,,1250.0,,
1998-09-25,6.58,6.58,6.58,6.58,,3125.0,,
1998-09-25,6.58,6.58,6.58,6.58,,3125.0,,
1998-09-25,6.58,6.58,6.58,6.58,,3125.0,,
1998-09-29,6.58,,,,,11250.0,,
1998-09-29,6.58,,,,,11250.0,,
1998-09-29,6.58,,,,,11250.0,,
1998-09-30,6.5,6.5,6.5,6.5,,,,
1998-09-30,6.5,6.5,6.5,6.5,,,,
1998-09-30,6.5,6.5,6.5,6.5,,,,
1998-10-02,6.58,,,,,2500.0,,
1998-10-02,6.58,,,,,2500.0,,
1998-10-02,6.58,,,,,2500.0,,
1998-10-06,6.58,,,,,150.0,,
1998-10-06,6.58,,,,,150.0,,
1998-10-06,6.58,,,,,150.0,,
1998-10-07,6.29,,,,,550.0,,
1998-10-07,6.29,,,,,550.0,,
1998-10-07,6.29,,,,,550.0,,
1998-10-08,6.58,6.58,6.58,6.58,,12500.0,,
1998-10-08,6.58,6.58,6.58,6.58,,12500.0,,
1998-10-08,6.58,6.58,6.58,6.58,,12500.0,,
1998-10-09,6.58,,,,,3000.0,,
1998-10-09,6.58,,,,,3000.0,,
1998-10-09,6.58,,,,,3000.0,,
1998-10-12,6.26,,,,,100.0,,
1998-10-12,6.26,,,,,100.0,,
1998-10-12,6.26,,,,,100.0,,
1998-10-13,6.26,,,,,4650.0,,
1998-10-13,6.26,,,,,4650.0,,
1998-10-13,6.26,,,,,4650.0,,
1998-10-14,6.17,6.17,6.17,6.17,,300.0,,
1998-10-14,6.17,6.17,6.17,6.17,,300.0,,
