date,close,open,high,low,turnover,volume,vwap,mktCap
1998-07-13,246.61,246.61,246.61,246.61,,787500.0,,
1998-07-13,246.61,246.61,246.61,246.61,,787500.0,,
1998-07-13,246.61,246.61,246.61,246.61,,787500.0,,
1998-07-17,314.02,314.02,314.02,314.02,,176.0,,
1998-07-17,314.02,314.02,314.02,314.02,,176.0,,
1998-07-17,314.02,314.02,314.02,314.02,,176.0,,
1998-07-22,362.79,362.79,362.79,362.79,,8677.0,,
1998-07-22,362.79,362.79,362.79,362.79,,8677.0,,
1998-07-22,362.79,362.79,362.79,362.79,,8677.0,,
1998-07-23,356.21,356.21,356.21,356.21,,18234.0,,
1998-07-23,356.21,356.21,356.21,356.21,,18234.0,,
1998-07-23,356.21,356.21,356.21,356.21,,18234.0,,
1998-07-24,353.47,353.47,353.47,353.47,,10191.0,,
1998-07-24,353.47,353.47,353.47,353.47,,10191.0,,
1998-07-24,353.47,353.47,353.47,353.47,,10191.0,,
1998-07-27,350.73,350.73,350.73,350.73,,3613.0,,
1998-07-27,350.73,350.73,350.73,350.73,,3613.0,,
1998-07-27,350.73,350.73,350.73,350.73,,3613.0,,
1998-07-28,346.35,346.35,346.35,346.35,,5167.0,,
1998-07-28,346.35,346.35,346.35,346.35,,5167.0,,
1998-07-28,346.35,346.35,346.35,346.35,,5167.0,,
1998-07-29,345.25,345.25,345.25,345.25,,1981.0,,
1998-07-29,345.25,345.25,345.25,345.25,,1981.0,,
1998-07-29,345.25,345.25,345.25,345.25,,1981.0,,
1998-07-30,346.35,346.35,346.35,346.35,,1603.0,,
1998-07-30,346.35,346.35,346.35,346.35,,1603.0,,
1998-07-30,346.35,346.35,346.35,346.35,,1603.0,,
1998-07-31,347.45,347.45,347.45,347.45,,1023.0,,
1998-07-31,347.45,347.45,347.45,347.45,,1023.0,,
1998-07-31,347.45,347.45,347.45,347.45,,1023.0,,
1998-08-05,361.69,361.69,361.69,361.69,,3616.0,,
1998-08-05,361.69,361.69,361.69,361.69,,3616.0,,
1998-08-05,361.69,361.69,361.69,361.69,,3616.0,,
1998-08-06,379.78,379.78,379.78,379.78,,3539.0,,
1998-08-06,379.78,379.78,379.78,379.78,,3539.0,,
1998-08-06,379.78,379.78,379.78,379.78,,3539.0,,
1998-08-07,379.78,379.78,379.78,379.78,,4716.0,,
1998-08-07,379.78,379.78,379.78,379.78,,4716.0,,
1998-08-07,379.78,379.78,379.78,379.78,,4716.0,,
1998-08-10,379.78,379.78,379.78,379.78,,2785.0,,
1998-08-10,379.78,379.78,379.78,379.78,,2785.0,,
1998-08-10,379.78,379.78,379.78,379.78,,2785.0,,
1998-08-11,380.88,380.88,380.88,380.88,,1186.0,,
1998-08-11,380.88,380.88,380.88,380.88,,1186.0,,
1998-08-11,380.88,380.88,380.88,380.88,,1186.0,,
1998-08-12,382.52,382.52,382.52,382.52,,2337.0,,
1998-08-12,382.52,382.52,382.52,382.52,,2337.0,,
1998-08-12,382.52,382.52,382.52,382.52,,2337.0,,
1998-08-17,383.62,383.62,383.62,383.62,,3463.0,,
1998-08-17,383.62,383.62,383.62,383.62,,3463.0,,
1998-08-17,383.62,383.62,383.62,383.62,,3463.0,,
1998-08-18,383.07,383.07,383.07,383.07,,1873.0,,
1998-08-18,383.07,383.07,383.07,383.07,,1873.0,,
1998-08-18,383.07,383.07,383.07,383.07,,1873.0,,
1998-08-19,383.62,383.62,383.62,383.62,,4758.0,,
1998-08-19,383.62,383.62,383.62,383.62,,4758.0,,
1998-08-19,383.62,383.62,383.62,383.62,,4758.0,,
1998-08-21,386.36,386.36,386.36,386.36,,1794.0,,
1998-08-21,386.36,386.36,386.36,386.36,,1794.0,,
1998-08-21,386.36,386.36,386.36,386.36,,1794.0,,
1998-08-24,397.32,397.32,397.32,397.32,,1781.0,,
1998-08-24,397.32,397.32,397.32,397.32,,1781.0,,
1998-08-24,397.32,397.32,397.32,397.32,,1781.0,,
1998-08-25,416.5,416.5,416.5,416.5,,3394.0,,
1998-08-25,416.5,416.5,416.5,416.5,,3394.0,,
1998-08-25,416.5,416.5,416.5,416.5,,3394.0,,
1998-08-26,411.02,411.02,411.02,411.02,,3684.0,,
1998-08-26,411.02,411.02,411.02,411.02,,3684.0,,
1998-08-26,411.02,411.02,411.02,411.02,,3684.0,,
1998-08-27,413.21,413.21,413.21,413.21,,2143.0,,
1998-08-27,413.21,413.21,413.21,413.21,,2143.0,,
1998-08-27,413.21,413.21,413.21,413.21,,2143.0,,
1998-08-31,422.53,422.53,422.53,422.53,,953.0,,
1998-08-31,422.53,422.53,422.53,422.53,,953.0,,
1998-08-31,422.53,422.53,422.53,422.53,,953.0,,
1998-09-01,438.42,438.42,438.42,438.42,,4942.0,,
1998-09-01,438.42,438.42,438.42,438.42,,4942.0,,
1998-09-01,438.42,438.42,438.42,438.42,,4942.0,,
1998-09-02,438.42,438.42,438.42,438.42,,3945.0,,
1998-09-02,438.42,438.42,438.42,438.42,,3945.0,,
1998-09-02,438.42,438.42,438.42,438.42,,3945.0,,
1998-09-03,438.42,438.42,438.42,438.42,,3501.0,,
1998-09-03,438.42,438.42,438.42,438.42,,3501.0,,
1998-09-03,438.42,438.42,438.42,438.42,,3501.0,,
1998-09-04,436.77,436.77,436.77,436.77,,2509.0,,
1998-09-04,436.77,436.77,436.77,436.77,,2509.0,,
1998-09-04,436.77,436.77,436.77,436.77,,2509.0,,
1998-09-07,435.68,435.68,435.68,435.68,,1502.0,,
1998-09-07,435.68,435.68,435.68,435.68,,1502.0,,
1998-09-07,435.68,435.68,435.68,435.68,,1502.0,,
1998-09-08,432.94,432.94,432.94,432.94,,3976.0,,
1998-09-08,432.94,432.94,432.94,432.94,,3976.0,,
1998-09-08,432.94,432.94,432.94,432.94,,3976.0,,
1998-09-09,411.57,411.57,411.57,411.57,,3283.0,,
1998-09-09,411.57,411.57,411.57,411.57,,3283.0,,
1998-09-09,411.57,411.57,411.57,411.57,,3283.0,,
