date,close,open,high,low
1988-12-29,8.365,8.365,8.365,8.365
1988-12-30,8.31,8.365,8.365,8.31
1989-01-03,8.31,8.31,8.31,8.31
1989-01-04,8.21,8.31,8.31,8.21
1989-01-05,8.215,8.21,8.215,8.21
1989-01-06,8.3,8.215,8.3,8.215
1989-01-09,8.37,8.3,8.37,8.3
1989-01-10,8.37,8.37,8.37,8.37
1989-01-11,8.37,8.37,8.37,8.37
1989-01-12,8.37,8.37,8.37,8.37
1989-01-13,8.37,8.37,8.37,8.37
1989-01-16,8.41,8.37,8.41,8.37
1989-01-17,8.41,8.41,8.41,8.41
1989-01-18,8.42,8.41,8.42,8.41
1989-01-19,8.45,8.42,8.45,8.42
1989-01-20,8.43,8.45,8.45,8.43
1989-01-23,8.4,8.43,8.43,8.4
1989-01-24,8.35,8.4,8.4,8.35
1989-01-25,8.41,8.35,8.41,8.35
1989-01-26,8.41,8.41,8.41,8.41
1989-01-27,8.43,8.41,8.43,8.41
1989-01-30,8.43,8.43,8.43,8.43
1989-01-31,8.43,8.43,8.43,8.43
1989-02-01,8.48,8.43,8.48,8.43
1989-02-02,8.45,8.48,8.48,8.45
1989-02-03,8.45,8.45,8.45,8.45
1989-02-06,8.45,8.45,8.45,8.45
1989-02-07,8.51,8.45,8.51,8.45
1989-02-08,8.46,8.51,8.51,8.45
1989-02-09,8.44,8.46,8.46,8.44
1989-02-10,8.36,8.44,8.44,8.36
1989-02-13,8.43,8.36,8.43,8.36
1989-02-14,8.43,8.43,8.43,8.43
1989-02-15,8.43,8.43,8.43,8.43
1989-02-16,8.41,8.43,8.43,8.41
1989-02-17,8.37,8.41,8.41,8.37
1989-02-20,8.41,8.38,8.41,8.38
1989-02-21,8.45,8.43,8.45,8.43
1989-02-22,8.44,8.45,8.45,8.44
1989-02-23,8.43,8.44,8.44,8.43
1989-02-24,8.41,8.43,8.43,8.31
1989-02-27,8.41,8.41,8.41,8.41
1989-02-28,8.45,8.41,8.45,8.41
1989-03-01,8.43,8.45,8.45,8.43
1989-03-02,8.39,8.43,8.43,8.39
1989-03-03,8.45,8.45,8.45,8.45
1989-03-06,8.43,8.45,8.45,8.43
1989-03-07,8.42,8.43,8.43,8.42
1989-03-08,8.42,8.42,8.42,8.42
1989-03-09,8.46,8.42,8.46,8.42
1989-03-10,8.46,8.46,8.46,8.46
1989-03-13,8.43,8.46,8.46,8.43
1989-03-14,8.48,8.43,8.48,8.43
1989-03-15,8.5,8.48,8.5,8.48
1989-03-16,8.5,8.5,8.5,8.5
1989-03-17,8.5,8.5,8.5,8.5
1989-03-20,8.51,8.51,8.51,8.51
1989-03-21,8.5,8.51,8.51,8.5
1989-03-22,8.48,8.5,8.5,8.48
1989-03-23,8.44,8.48,8.48,8.44
1989-03-29,8.58,8.55,8.58,8.55
1989-03-30,8.5,8.52,8.52,8.5
1989-03-31,8.52,8.52,8.52,8.52
1989-04-03,8.52,8.52,8.52,8.52
