date,close,open,high,low,turnover,volume,vwap,mktCap
2012-01-04,240.0,240.0,240.0,240.0,,,,
2012-01-05,264.0,264.0,264.0,264.0,12796340.0,48471.0,264.0,76.956
2012-01-06,266.1,264.0,266.1,264.0,3526297.0,13308.0,264.9757,77.5682
2012-01-09,265.0,265.0,265.0,255.0,289180.0,1104.0,261.9384,77.2475
2012-01-10,260.0,264.0,264.0,260.0,54976.0,210.0,261.7905,75.79
2012-01-12,260.1,269.0,269.0,260.1,60677.4,230.0,263.8148,75.8192
2012-01-13,265.0,268.95,268.95,262.0,130114.2,486.0,267.7247,77.2475
2012-01-16,262.0,265.0,265.0,262.0,81240.0,309.0,262.9126,76.373
2012-01-17,260.0,260.0,260.0,260.0,30160.0,116.0,260.0,75.79
2012-01-18,258.0,258.0,258.0,258.0,11868.0,46.0,258.0,75.207
2012-01-19,256.1,257.0,257.0,256.1,27404.5,107.0,256.1168,74.6532
2012-01-20,256.0,256.0,256.0,256.0,24064.0,94.0,256.0,74.624
2012-01-23,257.0,255.0,257.0,255.0,789157.0,3071.0,256.9707,74.9155
2012-01-24,260.0,257.0,260.0,257.0,40275.0,156.0,258.1731,75.79
2012-01-25,260.0,256.0,260.0,256.0,38940.0,151.0,257.8808,75.79
2012-01-26,266.0,259.0,266.0,259.0,304328.0,1146.0,265.5567,77.539
2012-01-27,266.0,260.0,266.0,260.0,263056.0,995.0,264.3779,77.539
2012-01-30,270.0,265.0,270.0,265.0,28060.0,104.0,269.8077,78.705
2012-01-31,260.05,260.05,260.05,260.05,1560.3,6.0,260.05,75.8046
2012-02-01,269.8,269.8,269.8,269.8,269.8,1.0,269.8,78.6467
2012-02-02,269.0,267.0,269.0,267.0,14426.0,54.0,267.1482,78.4135
2012-02-03,269.0,269.0,269.0,269.0,9415.0,35.0,269.0,78.4135
2012-02-07,267.0,267.0,267.0,267.0,9345.0,35.0,267.0,77.8305
2012-02-08,269.0,267.0,269.0,267.0,2939.0,11.0,267.1818,78.4135
2012-02-09,268.5,262.05,268.5,262.05,78883.49,301.0,262.0714,78.2678
2012-02-10,261.0,261.0,261.0,261.0,24534.0,94.0,261.0,76.0815
2012-02-13,261.0,261.0,261.0,261.0,2610.0,10.0,261.0,76.0815
2012-02-14,268.45,268.45,268.45,268.45,268.45,1.0,268.45,78.2532
2012-02-15,269.85,269.85,269.85,269.85,269.85,1.0,269.85,78.6613
2012-02-16,269.0,264.0,269.0,264.0,5549.0,21.0,264.2381,78.4135
2012-02-17,266.0,266.0,269.0,266.0,421566.0,1584.0,266.1401,77.539
2012-02-20,269.0,269.0,269.0,269.0,269.0,1.0,269.0,78.4135
2012-02-21,265.0,268.95,268.95,265.0,24648.95,93.0,265.0425,77.2475
2012-02-22,268.95,265.0,268.95,265.0,10073.95,38.0,265.1039,78.3989
2012-02-23,268.0,268.0,268.0,268.0,268.0,1.0,268.0,78.122
2012-02-24,279.0,270.0,279.0,270.0,276066.0,1010.0,273.3327,81.3285
2012-02-27,289.0,285.0,289.0,285.0,353251.0,1235.0,286.0332,84.2435
2012-02-28,287.0,287.0,287.0,287.0,88109.0,307.0,287.0,83.6605
2012-02-29,293.0,287.0,293.0,287.0,2015.0,7.0,287.8571,85.4095
2012-03-01,292.0,292.0,292.0,292.0,292.0,1.0,292.0,85.118
2012-03-02,285.0,285.0,285.0,285.0,49305.0,173.0,285.0,83.0775
2012-03-05,286.0,285.0,286.0,285.0,21684.0,76.0,285.3158,83.369
2012-03-06,286.0,286.05,286.05,286.0,23167.3,81.0,286.0161,83.369
2012-03-07,285.5,285.5,285.5,285.5,14560.5,51.0,285.5,83.2233
2012-03-08,292.9,287.0,292.9,287.0,48508.9,169.0,287.0349,85.3804
2012-03-09,292.0,292.9,293.0,292.0,2334912.0,7972.0,292.8891,85.118
2012-03-12,293.9,288.1,293.9,288.1,43389.0,150.0,289.26,85.6719
2012-03-13,291.9,294.0,294.0,287.05,23043.2,80.0,288.04,85.0889
2012-03-14,287.0,287.0,287.0,287.0,142926.0,498.0,287.0,83.6605
2012-03-15,289.5,289.5,289.5,289.5,289.5,1.0,289.5,84.3893
2012-03-16,286.85,286.85,286.85,286.85,286.85,1.0,286.85,83.6168
2012-03-19,285.0,285.0,285.0,285.0,7980.0,28.0,285.0,83.0775
2012-03-20,281.2,281.2,281.2,281.2,7592.4,27.0,281.2,81.9698
2012-03-21,288.0,288.0,288.0,288.0,1440.0,5.0,288.0,83.952
2012-03-22,285.05,285.0,285.05,285.0,27645.6,97.0,285.0062,83.0921
2012-03-23,281.0,281.0,281.0,281.0,34001.0,121.0,281.0,81.9115
2012-03-26,287.0,287.0,287.0,287.0,287.0,1.0,287.0,83.6605
2012-03-27,284.85,284.85,284.85,284.85,284.85,1.0,284.85,83.0338
2012-03-28,279.0,279.0,279.0,279.0,8370.0,30.0,279.0,81.3285
2012-03-29,279.0,279.0,279.0,279.0,279.0,1.0,279.0,81.3285
2012-03-30,278.9,278.9,278.9,278.9,278.9,1.0,278.9,81.2994
2012-04-02,280.0,280.0,280.0,280.0,280.0,1.0,280.0,81.62
2012-04-03,276.0,271.0,276.0,271.0,5696.0,21.0,271.2381,80.454
2012-04-04,266.1,266.1,266.1,266.1,4257.6,16.0,266.1,77.5682
2012-04-05,276.0,276.0,276.0,276.0,552.0,2.0,276.0,80.454
2012-04-06,275.9,275.9,275.9,275.9,275.9,1.0,275.9,80.4249
2012-04-09,274.85,274.85,274.85,274.85,274.85,1.0,274.85,80.1188
2012-04-10,267.0,267.0,267.0,267.0,267.0,1.0,267.0,77.8305
2012-04-11,275.0,275.0,275.0,275.0,275.0,1.0,275.0,80.1625
2012-04-12,275.0,267.1,275.0,267.1,53857.5,198.0,272.0076,80.1625
2012-04-13,279.0,279.0,279.0,279.0,279.0,1.0,279.0,81.3285
2012-04-16,276.0,278.0,278.0,276.0,25158.0,91.0,276.4615,80.454
2012-04-17,276.0,279.0,279.0,276.0,22539.0,81.0,278.2592,80.454
2012-04-18,275.0,275.0,275.0,275.0,31625.0,115.0,275.0,80.1625
2012-04-19,278.0,278.0,278.0,278.0,2780.0,10.0,278.0,81.037
2012-04-20,278.8,278.8,278.8,278.8,278.8,1.0,278.8,81.2702
2012-04-23,279.3,279.3,279.3,279.3,279.3,1.0,279.3,81.416
2012-04-24,275.05,279.9,279.9,275.0,16235.2,59.0,275.1729,80.1771
2012-04-25,279.5,279.5,279.5,279.5,1397.5,5.0,279.5,81.4743
2012-04-26,279.8,279.8,279.8,279.8,279.8,1.0,279.8,81.5617
2012-04-27,279.0,279.0,279.0,279.0,279.0,1.0,279.0,81.3285
2012-04-30,279.8,279.8,279.8,279.8,2798.0,10.0,279.8,81.5617
2012-05-02,279.9,279.9,279.9,279.9,279.9,1.0,279.9,81.5909
2012-05-03,275.0,275.0,275.0,275.0,561000.0,2040.0,275.0,80.1625
2012-05-04,278.7,278.7,278.7,278.7,278.7,1.0,278.7,81.2411
2012-05-07,279.85,279.85,279.85,279.85,33582.0,120.0,279.85,81.5763
2012-05-08,279.85,279.85,279.85,279.85,44216.3,158.0,279.85,81.5763
2012-05-09,279.9,279.9,279.9,279.9,279.9,1.0,279.9,81.5909
2012-05-10,281.0,281.0,281.0,281.0,27257.0,97.0,281.0,81.9115
