date,close,open,high,low,turnover,volume,vwap,mktCap
2015-12-14,720.0,720.0,720.0,720.0,,,,
2015-12-15,756.0,730.0,780.0,725.0,79776430.0,107892.0,739.4097,
2015-12-16,732.0,756.0,757.0,730.5,1738604.0,2351.0,739.5165,732.0
2015-12-17,739.0,728.0,739.0,728.0,3884468.0,5303.0,732.5038,739.0
2015-12-18,730.3,730.0,749.0,730.0,1372209.0,1861.0,737.3503,730.3
2015-12-21,739.0,730.0,740.0,730.0,1067759.0,1449.0,736.8939,739.0
2015-12-22,730.0,730.1,731.5,730.0,1548513.0,2121.0,730.0864,730.0
2015-12-23,750.0,730.0,750.0,730.0,8338087.0,11128.0,749.2889,750.0
2015-12-28,740.0,730.1,740.0,730.0,1040241.0,1406.0,739.8583,740.0
2015-12-29,726.1,727.0,727.0,726.1,24696.4,34.0,726.3647,726.1
2015-12-30,730.0,726.3,730.0,706.2,681562.4,936.0,728.165,730.0
2015-12-31,734.8,730.0,738.0,716.1,1271306.0,1728.0,735.7095,734.8
2016-01-04,730.0,730.0,730.0,730.0,15330.0,21.0,730.0,730.0
2016-01-05,730.0,708.0,730.0,708.0,627943.0,862.0,728.4722,730.0
2016-01-06,730.0,717.5,730.0,717.5,493640.0,677.0,729.158,730.0
2016-01-07,720.1,721.0,721.0,720.0,236210.5,328.0,720.1539,720.1
2016-01-08,728.0,711.2,728.0,711.1,56188.3,78.0,720.3628,728.0
2016-01-12,720.0,720.0,720.0,720.0,156960.0,218.0,720.0,720.0
2016-01-13,720.0,720.0,720.0,711.1,75532.0,105.0,719.3524,720.0
2016-01-14,712.0,711.1,712.0,711.1,24911.0,35.0,711.7429,712.0
2016-01-15,712.0,714.0,714.0,712.0,29194.0,41.0,712.0488,712.0
2016-01-18,712.0,724.9,724.9,712.0,235109.2,330.0,712.4521,712.0
2016-01-19,712.0,712.1,713.0,712.0,174542.0,245.0,712.4163,712.0
2016-01-20,712.2,712.1,712.2,712.1,32759.8,46.0,712.1696,712.2
2016-01-21,712.0,713.0,713.0,712.0,42735.8,60.0,712.2633,712.0
2016-01-22,712.0,712.0,712.0,712.0,40584.0,57.0,712.0,712.0
2016-01-25,712.4,712.4,712.4,712.4,712.4,1.0,712.4,712.4
2016-01-26,712.5,712.5,712.5,712.5,712.5,1.0,712.5,712.5
2016-01-27,720.0,712.1,720.0,712.1,783811.4,1089.0,719.7534,720.0
2016-01-28,720.0,720.0,720.0,720.0,727200.0,1010.0,720.0,720.0
2016-01-29,720.0,712.7,720.0,712.7,10072.7,14.0,719.4786,720.0
2016-02-01,720.0,720.0,720.0,720.0,720.0,1.0,720.0,720.0
2016-02-02,715.0,712.2,715.0,712.1,20680.4,29.0,713.1172,715.0
2016-02-03,724.9,715.0,724.9,715.0,15213.0,21.0,724.4286,724.9
2016-02-04,715.3,720.0,720.0,715.1,30183.3,42.0,718.65,715.3
2016-02-05,720.0,715.3,720.1,715.3,2352554.0,3276.0,718.1178,720.0
2016-02-08,712.2,714.0,714.0,712.1,58529.6,82.0,713.7756,712.2
2016-02-09,712.2,712.2,712.2,712.2,45580.8,64.0,712.2,712.2
2016-02-10,720.0,714.0,720.0,714.0,61194.0,85.0,719.9294,720.0
2016-02-11,713.2,713.0,713.2,713.0,159752.0,224.0,713.1786,713.2
2016-02-12,727.7,713.1,728.0,713.1,100260.3,138.0,726.5239,727.7
2016-02-15,714.1,726.0,730.0,714.1,138451.5,190.0,728.6921,714.1
2016-02-16,720.0,714.0,720.0,714.0,11514.0,16.0,719.625,720.0
2016-02-17,720.0,715.0,720.0,715.0,88490.0,123.0,719.4309,720.0
2016-02-18,720.0,718.0,720.0,718.0,27306.0,38.0,718.5789,720.0
2016-02-19,720.0,725.0,725.0,720.0,350665.0,487.0,720.0513,720.0
2016-02-22,720.0,720.0,720.0,720.0,720.0,1.0,720.0,720.0
2016-02-23,720.0,720.0,726.0,720.0,22440.0,31.0,723.871,720.0
2016-02-24,725.9,720.0,725.9,720.0,14459.0,20.0,722.95,725.9
2016-02-25,726.0,725.9,726.0,725.9,14519.0,20.0,725.95,726.0
2016-02-26,726.0,727.0,729.9,726.0,23274.8,32.0,727.3375,726.0
2016-02-29,726.0,712.1,726.0,712.1,3191357.0,4396.0,725.9684,726.0
2016-03-01,726.0,726.0,726.0,726.0,1452.0,2.0,726.0,726.0
2016-03-02,726.0,726.0,726.0,726.0,726.0,1.0,726.0,726.0
2016-03-03,726.0,726.0,726.0,726.0,726.0,1.0,726.0,726.0
2016-03-04,729.5,726.0,729.5,720.2,15223.0,21.0,724.9048,729.5
2016-03-07,729.5,721.0,729.5,721.0,37500.5,52.0,721.1635,729.5
2016-03-08,729.5,728.0,729.5,728.0,16037.0,22.0,728.9545,729.5
2016-03-09,729.9,729.9,729.9,729.9,729.9,1.0,729.9,729.9
2016-03-10,729.8,729.8,729.8,729.8,729.8,1.0,729.8,729.8
2016-03-11,729.8,729.8,729.8,729.8,729.8,1.0,729.8,729.8
2016-03-14,729.8,729.8,729.8,729.8,729.8,1.0,729.8,729.8
2016-03-15,730.0,720.0,730.0,720.0,171094.8,235.0,728.063,730.0
2016-03-16,733.0,729.9,733.0,729.9,194209.3,265.0,732.8653,733.0
2016-03-17,731.0,730.5,744.0,730.5,29979.0,41.0,731.1951,731.0
2016-03-18,744.0,730.0,744.0,730.0,75004.0,101.0,742.6139,744.0
2016-03-21,728.0,744.9,744.9,728.0,9514.7,13.0,731.9,728.0
2016-03-22,742.0,735.0,742.0,735.0,100415.0,136.0,738.3456,742.0
2016-03-23,740.0,735.0,740.0,728.0,26454.0,36.0,734.8333,740.0
2016-03-24,736.0,740.0,740.0,736.0,8100.0,11.0,736.3636,736.0
2016-03-25,739.8,738.0,739.8,732.0,44322.0,60.0,738.7,739.8
