date,close,open,high,low,turnover,volume,vwap,mktCap
1998-11-16,602.0,602.0,602.0,602.0,,82.0,,
1998-11-20,716.0,716.0,716.0,716.0,,2601.0,,
1998-11-23,758.0,758.0,758.0,758.0,,5069.0,,
1998-11-24,803.0,803.0,803.0,803.0,,12204.0,,
1998-11-25,851.0,851.0,851.0,851.0,,9620.0,,
1998-11-26,800.0,800.0,800.0,800.0,,6006.0,,
1998-11-30,851.0,851.0,851.0,851.0,,8415.0,,
1998-12-01,850.0,850.0,850.0,850.0,,2005.0,,
1998-12-02,830.0,830.0,830.0,830.0,,2201.0,,
1998-12-03,851.0,851.0,851.0,851.0,,3439.0,,
1998-12-07,810.0,810.0,810.0,810.0,,219.0,,
1998-12-08,830.0,830.0,830.0,830.0,,279.0,,
1998-12-09,810.0,810.0,810.0,810.0,,319.0,,
1998-12-10,852.0,852.0,852.0,852.0,,1881.0,,
1998-12-11,860.0,860.0,860.0,860.0,,,,
1998-12-14,875.0,875.0,875.0,875.0,,1040.0,,
1998-12-15,903.0,903.0,903.0,903.0,,1260.0,,
1998-12-16,920.0,920.0,920.0,920.0,,1009.0,,
1998-12-18,950.0,950.0,950.0,950.0,,1703.0,,
1998-12-21,900.0,900.0,900.0,900.0,,268.0,,
1998-12-22,900.0,900.0,900.0,900.0,,213.0,,
1998-12-23,900.0,900.0,900.0,900.0,,344.0,,
1998-12-24,872.0,872.0,872.0,872.0,,232.0,,
1998-12-25,900.0,900.0,900.0,900.0,,379.0,,
1998-12-28,902.0,902.0,902.0,902.0,,263.0,,
1998-12-30,920.0,920.0,920.0,920.0,,118.0,,
1998-12-31,939.0,939.0,939.0,939.0,,150.0,,
1999-01-04,920.0,920.0,920.0,920.0,,120.0,,
1999-01-05,920.0,920.0,920.0,920.0,,530.0,,
1999-01-06,920.0,920.0,920.0,920.0,,615.0,,
1999-01-07,910.0,910.0,910.0,910.0,,97.0,,
1999-01-08,901.0,901.0,901.0,901.0,,62.0,,
1999-01-12,920.0,920.0,920.0,920.0,,120.0,,
1999-01-13,921.0,921.0,921.0,921.0,,87.0,,
1999-01-14,925.0,925.0,925.0,925.0,,134.0,,
1999-01-18,948.0,948.0,948.0,948.0,,163.0,,
1999-01-21,952.0,952.0,952.0,952.0,,407.0,,
1999-01-22,1000.0,1000.0,1000.0,1000.0,,1405.0,,
1999-01-25,1006.0,1006.0,1006.0,1006.0,,569.0,,
1999-01-29,1041.0,1041.0,1041.0,1041.0,,158.0,,
1999-02-02,1045.0,1045.0,1045.0,1045.0,,666.0,,
1999-02-03,1065.0,1065.0,1065.0,1065.0,,268.0,,
1999-02-04,1065.0,1065.0,1065.0,1065.0,,167.0,,
1999-02-05,1045.0,1045.0,1045.0,1045.0,,420.0,,
1999-02-08,1070.0,1070.0,1070.0,1070.0,,1226.0,,
1999-02-09,1090.0,1090.0,1090.0,1090.0,,550.0,,
1999-02-10,1100.0,1100.0,1100.0,1100.0,,6760.0,,
1999-02-11,1090.0,1090.0,1090.0,1090.0,,160.0,,
1999-02-12,1090.0,1090.0,1090.0,1090.0,,624.0,,
1999-02-15,1090.0,1090.0,1090.0,1090.0,,190.0,,
1999-02-16,1090.0,1090.0,1090.0,1090.0,,538.0,,
1999-02-17,1075.0,1075.0,1075.0,1075.0,,762.0,,
1999-02-18,1098.0,1098.0,1098.0,1098.0,,1055.0,,
1999-02-19,1095.0,1095.0,1095.0,1095.0,,510.0,,
1999-02-22,1095.0,1095.0,1095.0,1095.0,,157.0,,
1999-02-23,1080.0,1080.0,1080.0,1080.0,,49.0,,
1999-02-24,1065.0,1065.0,1065.0,1065.0,,24.0,,
1999-02-25,1090.0,1090.0,1090.0,1090.0,,,,
1999-02-26,1095.0,1095.0,1095.0,1095.0,,,,
1999-03-01,1099.0,1099.0,1099.0,1099.0,,,,
1999-03-02,1080.0,1080.0,1080.0,1080.0,,,,
1999-03-05,1081.0,1081.0,1081.0,1081.0,,33.0,,
1999-03-08,1097.0,1097.0,1097.0,1097.0,,180.0,,
1999-03-09,1090.0,1090.0,1090.0,1090.0,,115.0,,
1999-03-10,1075.0,1075.0,1075.0,1075.0,,1077.0,,
1999-03-11,1090.0,1090.0,1090.0,1090.0,,445.0,,
1999-03-12,1079.0,1079.0,1079.0,1079.0,,3351.0,,
1999-03-15,1075.0,1075.0,1075.0,1075.0,,408.0,,
1999-03-16,1061.0,1061.0,1061.0,1061.0,,320.0,,
1999-03-17,1065.0,1065.0,1065.0,1065.0,,764.0,,
1999-03-19,1074.0,1074.0,1074.0,1074.0,,320.0,,
1999-03-22,1010.0,1010.0,1010.0,1010.0,,3151.0,,
1999-03-24,957.0,957.0,957.0,957.0,,6250.0,,
1999-03-25,900.0,900.0,900.0,900.0,,11659.0,,
1999-03-26,900.0,900.0,900.0,900.0,,7285.0,,
1999-03-30,,,,,,,,180.0
1999-03-31,1008.0,1008.0,1008.0,1008.0,,1180.0,,201.6
1999-04-01,980.0,980.0,980.0,980.0,,149.0,,196.0
1999-04-02,998.0,998.0,998.0,998.0,,42.0,,199.6
1999-04-05,955.0,955.0,955.0,955.0,,225.0,,191.0
