date,close,open,high,low,turnover,volume,vwap,mktCap
1998-10-28,363.0,363.0,363.0,363.0,,760.0,,
1998-10-29,355.0,,,,,550.0,,
1998-10-30,341.0,341.0,341.0,341.0,,1824.0,,
1998-11-02,345.0,,,,,660.0,,
1998-11-04,350.0,350.0,350.0,350.0,,400.0,,
1998-11-05,355.0,355.0,355.0,355.0,,,,
1998-11-09,340.0,340.0,340.0,340.0,,,,
1998-11-10,320.0,320.0,320.0,320.0,,310.0,,
1998-11-11,321.05,321.05,321.05,321.05,,,,
1998-11-12,334.0,334.0,334.0,334.0,,160.0,,
1998-11-13,323.05,323.05,323.05,323.05,,50.0,,
1998-11-17,323.0,323.0,323.0,323.0,,175.0,,
1998-11-20,323.0,323.0,323.0,323.0,,175.0,,
1998-11-23,325.0,325.0,325.0,325.0,,230.0,,
1998-11-24,324.95,324.95,324.95,324.95,,20.0,,
1998-11-25,322.0,322.0,322.0,322.0,,462.0,,
1998-11-26,322.05,322.05,322.05,322.05,,120.0,,
1998-11-27,321.1,321.1,321.1,321.1,,130.0,,
1998-11-30,321.1,321.1,321.1,321.1,,270.0,,
1998-12-02,321.05,321.05,321.05,321.05,,620.0,,
1998-12-03,322.0,322.0,322.0,322.0,,460.0,,
1998-12-07,322.2,322.2,322.2,322.2,,120.0,,
1998-12-08,324.0,324.0,324.0,324.0,,400.0,,
1998-12-09,324.0,324.0,324.0,324.0,,865.0,,
1998-12-10,325.0,325.0,325.0,325.0,,230.0,,
1998-12-11,344.0,344.0,344.0,344.0,,,,
1998-12-15,330.0,330.0,330.0,330.0,,250.0,,
1998-12-16,330.0,330.0,330.0,330.0,,120.0,,
1998-12-17,325.0,325.0,325.0,325.0,,,,
1998-12-18,326.0,326.0,326.0,326.0,,245.0,,
1998-12-21,328.0,328.0,328.0,328.0,,55.0,,
1998-12-22,337.0,337.0,337.0,337.0,,250.0,,
1998-12-23,326.0,326.0,326.0,326.0,,215.0,,
1998-12-24,327.0,327.0,327.0,327.0,,235.0,,
1998-12-25,332.0,332.0,332.0,332.0,,424.0,,
1998-12-30,331.0,331.0,331.0,331.0,,280.0,,
1998-12-31,350.0,350.0,350.0,350.0,,770.0,,
1999-01-04,329.0,329.0,329.0,329.0,,215.0,,
1999-01-05,335.0,335.0,335.0,335.0,,230.0,,
1999-01-06,330.0,330.0,330.0,330.0,,60.0,,
1999-01-07,330.0,330.0,330.0,330.0,,78.0,,
1999-01-08,330.0,330.0,330.0,330.0,,220.0,,
1999-01-13,335.0,335.0,335.0,335.0,,165.0,,
1999-01-21,331.0,331.0,331.0,331.0,,150.0,,
1999-01-22,322.0,322.0,322.0,322.0,,152.0,,
1999-01-25,320.0,320.0,320.0,320.0,,,,
1999-01-29,322.0,322.0,322.0,322.0,,250.0,,
1999-02-02,318.0,318.0,318.0,318.0,,110.0,,
1999-02-03,320.0,320.0,320.0,320.0,,220.0,,
1999-02-04,320.0,320.0,320.0,320.0,,650.0,,
1999-02-05,320.0,320.0,320.0,320.0,,595.0,,
1999-02-08,318.0,318.0,318.0,318.0,,50.0,,
1999-02-09,319.95,319.95,319.95,319.95,,242.0,,
1999-02-10,318.0,318.0,318.0,318.0,,120.0,,
1999-02-11,320.0,320.0,320.0,320.0,,3641.0,,
1999-02-12,320.0,320.0,320.0,320.0,,824.0,,
1999-02-15,320.0,320.0,320.0,320.0,,370.0,,
1999-02-16,320.0,320.0,320.0,320.0,,1370.0,,
1999-02-17,320.0,320.0,320.0,320.0,,683.0,,
1999-02-18,320.0,320.0,320.0,320.0,,810.0,,
1999-02-19,320.0,320.0,320.0,320.0,,900.0,,
1999-02-22,320.0,320.0,320.0,320.0,,90.0,,
1999-02-23,320.0,320.0,320.0,320.0,,115.0,,
1999-02-24,319.0,319.0,319.0,319.0,,319.0,,
1999-02-25,320.0,320.0,320.0,320.0,,,,
1999-02-26,319.9,319.9,319.9,319.9,,,,
1999-03-01,302.0,302.0,302.0,302.0,,,,
1999-03-05,322.0,322.0,322.0,322.0,,170.0,,
1999-03-08,325.0,325.0,325.0,325.0,,70.0,,
1999-03-09,325.0,325.0,325.0,325.0,,360.0,,
1999-03-10,325.0,325.0,325.0,325.0,,,,
1999-03-11,322.0,322.0,322.0,322.0,,175.0,,
1999-03-12,303.0,303.0,303.0,303.0,,253.0,,
1999-03-15,305.0,305.0,305.0,305.0,,130.0,,
1999-03-16,310.0,310.0,310.0,310.0,,10.0,,
1999-03-17,305.5,305.5,305.5,305.5,,166.0,,
1999-03-22,310.0,310.0,310.0,310.0,,30.0,,
1999-03-23,306.0,306.0,306.0,306.0,,130.0,,
1999-03-24,307.0,307.0,307.0,307.0,,30.0,,
1999-03-25,310.0,310.0,310.0,310.0,,70.0,,
1999-03-26,310.0,310.0,310.0,310.0,,497.0,,
1999-03-30,310.0,310.0,310.0,310.0,,120.0,,
1999-03-31,314.0,314.0,314.0,314.0,,,,
1999-04-01,315.0,315.0,315.0,315.0,,,,
1999-04-02,315.0,315.0,315.0,315.0,,3040.0,,
1999-04-05,315.0,315.0,315.0,315.0,,40.0,,
1999-04-06,315.0,315.0,315.0,315.0,,110.0,,
1999-04-08,319.05,319.05,319.05,319.05,,195.0,,
1999-04-12,325.1,325.1,325.1,325.1,,355.0,,
1999-04-13,321.0,321.0,321.0,321.0,,50.0,,
1999-04-14,321.0,321.0,321.0,321.0,,810.0,,
1999-04-15,325.0,325.0,325.0,325.0,,1050.0,,
1999-04-20,313.0,313.0,313.0,313.0,,710.0,,
1999-04-21,320.0,320.0,320.0,320.0,,39.0,,
1999-04-22,313.1,313.1,313.1,313.1,,70.0,,
1999-04-23,313.0,313.0,313.0,313.0,,30.0,,
1999-04-26,310.0,310.0,310.0,310.0,,50.0,,
1999-04-27,310.0,310.0,310.0,310.0,,295.0,,
1999-04-28,301.0,301.0,301.0,301.0,,130.0,,
1999-05-03,305.0,305.0,305.0,305.0,,812.0,,
1999-05-04,310.0,310.0,310.0,310.0,,30.0,,
1999-05-05,310.0,310.0,310.0,310.0,,1465.0,,
1999-05-06,306.0,306.0,306.0,306.0,,18.0,,
1999-05-07,306.05,306.05,306.05,306.05,,,,
1999-05-10,305.0,305.0,305.0,305.0,,,,
1999-05-11,319.0,319.0,319.0,319.0,,135.0,,
1999-05-12,310.0,310.0,310.0,310.0,,265.0,,
1999-05-13,310.0,310.0,310.0,310.0,,50.0,,
1999-05-14,304.0,304.0,304.0,304.0,,255.0,,
1999-05-17,305.0,305.0,305.0,305.0,,60.0,,
1999-05-19,301.0,301.0,301.0,301.0,,160.0,,
1999-05-20,301.05,301.05,301.05,301.05,,60.0,,
1999-05-21,302.0,302.0,302.0,302.0,,150.0,,
1999-05-24,300.0,300.0,300.0,300.0,,455.0,,
1999-05-26,300.0,300.0,300.0,300.0,,150.0,,
1999-05-28,285.0,285.0,285.0,285.0,,175.0,,
1999-05-31,302.1,302.1,302.1,302.1,,,,
1999-06-01,305.0,305.0,305.0,305.0,,100.0,,
1999-06-02,305.0,305.0,305.0,305.0,,532.0,,
1999-06-03,305.0,305.0,305.0,305.0,,1367.0,,
1999-06-04,300.0,300.0,300.0,300.0,,163.0,,
1999-06-07,285.0,285.0,285.0,285.0,,200.0,,
1999-06-08,280.0,280.0,280.0,280.0,,,,
1999-06-10,285.0,285.0,285.0,285.0,,393.0,,
1999-06-11,285.0,285.0,285.0,285.0,,957.0,,
1999-06-14,302.1,302.1,302.1,302.1,,645.0,,
1999-06-15,305.0,305.0,305.0,305.0,,492.0,,
1999-06-16,308.0,308.0,308.0,308.0,,858.0,,
1999-06-17,309.0,309.0,309.0,309.0,,262.0,,
1999-06-18,310.0,310.0,310.0,310.0,,765.0,,
1999-06-21,320.0,320.0,320.0,320.0,,1332.0,,
1999-06-22,301.0,301.0,301.0,301.0,,887.0,,
1999-06-23,305.0,305.0,305.0,305.0,,130.0,,
1999-06-24,305.0,305.0,305.0,305.0,,255.0,,
1999-06-25,305.0,305.0,305.0,305.0,,690.0,,
1999-06-28,305.0,305.0,305.0,305.0,,176.0,,
1999-07-02,310.0,310.0,310.0,310.0,,,,
1999-07-05,321.0,321.0,321.0,321.0,,519.0,,
1999-07-06,320.0,320.0,320.0,320.0,,115.0,,
1999-07-08,325.0,325.0,325.0,325.0,,1705.0,,
1999-07-12,320.0,320.0,320.0,320.0,,340.0,,
1999-07-13,321.0,321.0,321.0,321.0,,,,
1999-07-14,320.0,320.0,320.0,320.0,,324.0,,
1999-07-15,320.0,320.0,320.0,320.0,,181.0,,
1999-07-16,320.0,320.0,320.0,320.0,,100.0,,
1999-07-19,320.0,320.0,320.0,320.0,,259.0,,
1999-07-20,317.95,317.95,317.95,317.95,,40.0,,
1999-07-21,320.0,320.0,320.0,320.0,,723.0,,
1999-07-23,320.0,320.0,320.0,320.0,,205.0,,
1999-07-26,320.0,320.0,320.0,320.0,,110.0,,
1999-07-27,320.0,320.0,320.0,320.0,,175.0,,
1999-07-28,320.0,320.0,320.0,320.0,,999.0,,
1999-08-03,325.0,325.0,325.0,325.0,,250.0,,
1999-08-05,320.0,320.0,320.0,320.0,,145.0,,
1999-08-06,325.0,325.0,325.0,325.0,,600.0,,
1999-08-09,330.0,330.0,330.0,330.0,,2372.0,,
1999-08-10,330.0,330.0,330.0,330.0,,880.0,,
1999-08-12,330.0,330.0,330.0,330.0,,480.0,,
1999-08-13,330.0,330.0,330.0,330.0,,325.0,,
1999-08-17,330.0,330.0,330.0,330.0,,265.0,,
1999-08-18,330.0,330.0,330.0,330.0,,360.0,,
1999-08-19,330.0,330.0,330.0,330.0,,60.0,,
1999-08-23,330.0,330.0,330.0,330.0,,150.0,,
1999-08-24,330.0,330.0,330.0,330.0,,398.0,,
