date,close,open,high,low,turnover,volume,vwap,mktCap
2004-07-14,800.0,800.0,800.0,760.0,,3350.0,,4710.4801
2004-07-15,,,,,,,,4710.4801
2004-07-16,,,,,,,,4710.4801
2004-07-19,,,,,,,,4710.4801
2004-07-20,750.0,750.0,797.0,750.0,,2960.0,,4416.0751
2004-07-21,784.0,784.0,784.0,750.0,,785.0,,4616.2705
2004-07-22,,,,,,,,4616.2705
2004-07-23,,,,,,,,4616.2705
2004-07-26,,,,,,,,4616.2705
2004-07-27,790.0,790.0,793.0,790.0,,2435.0,,4651.5991
2004-07-28,,,,,,,,4651.5991
2004-07-29,,,,,,,,4651.5991
2004-07-30,761.0,760.0,762.0,760.0,,2169.0,,
2004-08-02,752.0,752.0,760.0,752.0,,4032.0,,4427.8513
2004-08-03,752.0,752.0,752.0,752.0,,3480.0,,4427.8513
2004-08-04,760.0,752.0,760.0,752.0,,1500.0,,4474.9561
2004-08-05,765.0,758.0,765.0,758.0,,1613.0,,4504.3966
2004-08-06,758.0,757.0,760.0,757.0,,1015.0,,4463.1799
2004-08-09,754.0,754.0,754.0,754.0,,1058.0,,4439.6275
2004-08-10,754.0,754.0,754.0,754.0,,1199.0,,4439.6275
2004-08-11,756.0,754.0,757.0,754.0,,1099.0,,4451.4037
2004-08-12,755.0,756.0,757.0,755.0,,1824.0,,4445.5156
2004-08-13,756.0,755.0,756.0,755.0,,268.0,,4451.4037
2004-08-16,755.0,755.0,756.0,755.0,,1822.0,,4445.5156
2004-08-17,754.0,754.0,755.0,754.0,,1358.0,,4439.6275
2004-08-18,751.0,754.0,754.0,751.0,,1286.0,,4421.9632
2004-08-19,747.0,750.0,751.0,747.0,,7238.0,,4398.4108
2004-08-23,750.0,742.0,750.0,742.0,,407.0,,4416.0751
2004-08-24,750.0,747.0,750.0,746.0,,2341.0,,4416.0751
2004-08-25,750.0,750.0,750.0,749.0,,899.0,,4416.0751
2004-08-26,750.0,748.0,750.0,748.0,,2059.0,,4416.0751
2004-08-27,758.0,750.0,758.0,750.0,,1702.0,,4463.1799
2004-08-30,752.0,751.0,755.0,751.0,,2406.0,,4427.8513
2004-08-31,750.0,753.0,753.0,750.0,,3229.0,,4416.0751
2004-09-01,750.0,750.0,750.0,750.0,,1260.0,,4416.0751
2004-09-02,748.0,748.0,750.0,747.0,,1728.0,,4404.2989
2004-09-03,748.0,747.0,748.0,747.0,,333.0,,4404.2989
2004-09-06,748.0,748.0,748.0,748.0,,1343.0,,4404.2989
2004-09-07,750.0,750.0,750.0,746.0,,5715.0,,4416.0751
2004-09-08,746.0,746.0,748.0,746.0,,4778.0,,4392.5227
2004-09-09,744.0,742.0,746.0,742.0,,3506.0,,4380.7465
2004-09-10,740.0,736.0,740.0,736.0,,3000.0,,4357.1941
2004-09-13,736.0,740.0,740.0,736.0,,4939.0,,4333.6417
2004-09-14,740.0,735.0,740.0,735.0,,1435.0,,4357.1941
2004-09-15,735.0,735.0,740.0,735.0,,2670.0,,4327.7536
2004-09-16,735.0,730.0,735.0,730.0,,1223.0,,4327.7536
2004-09-17,740.0,736.0,742.0,736.0,,1949.0,,4357.1941
2004-09-20,741.0,740.0,741.0,740.0,,3004.0,,4363.0822
2004-09-21,740.0,741.0,742.0,740.0,,2997.0,,4357.1941
2004-09-22,735.0,736.0,737.0,735.0,,3387.0,,4327.7536
2004-09-23,732.0,739.0,739.0,732.0,,1490.0,,4310.0893
2004-09-24,726.0,730.0,730.0,726.0,,2730.0,,4274.7607
2004-09-27,725.0,718.0,730.0,718.0,,2452.0,,4268.8726
2004-09-28,713.0,718.0,720.0,713.0,,2457.0,,4198.2154
2004-09-29,720.0,700.0,720.0,700.0,,2223.0,,4239.4321
2004-09-30,722.0,721.0,730.0,721.0,,3564.0,,4251.2083
2004-10-01,713.0,710.0,713.0,710.0,,1884.0,,4198.2154
2004-10-04,713.0,713.0,713.0,705.0,,1082.0,,4198.2154
2004-10-05,707.0,705.0,710.0,705.0,,434.0,,4162.8868
2004-10-06,709.0,705.0,709.0,705.0,,1492.0,,4174.663
2004-10-07,699.0,705.0,705.0,699.0,,4356.0,,4115.782
2004-10-08,692.0,698.0,698.0,692.0,,1047.0,,4074.5653
2004-10-11,696.0,696.0,696.0,696.0,,910.0,,4098.1177
2004-10-12,699.0,699.0,699.0,692.0,,794.0,,4115.782
2004-10-13,688.0,694.0,695.0,688.0,,1107.0,,4051.0129
2004-10-14,680.0,680.0,685.0,655.0,,3214.0,,4003.9081
2004-10-15,679.0,680.0,680.0,679.0,,3560.0,,3998.02
2004-10-18,685.0,680.0,685.0,680.0,,1217.0,,4033.3486
2004-10-19,690.0,690.0,694.0,680.0,,916.0,,4062.7891
2004-10-20,690.0,690.0,695.0,690.0,,1775.0,,4062.7891
2004-10-21,693.0,690.0,693.0,690.0,,1170.0,,4080.4534
2004-10-22,680.0,693.0,693.0,680.0,,2335.0,,4003.9081
2004-10-25,686.0,689.0,689.0,684.0,,461.0,,4039.2367
2004-10-26,685.0,685.0,685.0,685.0,,644.0,,4033.3486
2004-10-27,680.0,680.0,682.0,680.0,,1149.0,,4003.9081
2004-10-28,672.0,680.0,680.0,672.0,,1190.0,,3956.8033
2004-10-29,670.0,669.0,670.0,660.0,,2466.0,,3945.0271
2004-11-01,698.0,670.0,698.0,670.0,,1425.0,,4109.8939
