date,close,open,high,low,turnover,volume,vwap,mktCap
1997-05-02,202.0,,,,,,,
1997-05-05,196.0,,,,,,,
1997-05-06,192.0,,,,,,,
1997-05-07,187.0,,,,,,,
1997-05-09,187.0,,,,,,,
1997-05-12,182.0,,,,,,,
1997-05-13,177.0,,,,,,,
1997-05-14,172.0,,,,,,,
1997-05-15,167.0,,,,,,,
1997-05-16,162.0,,,,,,,
1997-05-19,158.0,,,,,,,
1997-05-20,154.0,,,,,,,
1997-05-21,150.0,,,,,,,
1997-05-22,150.0,,,,,,,
1997-05-26,142.0,,,,,,,
1997-05-27,138.0,,,,,,,
1997-05-28,134.0,,,,,,,
1997-05-29,134.0,,,,,,,
1997-05-30,138.0,,,,,,,
1997-06-02,138.0,,,,,,,
1997-06-03,138.0,,,,,,,
1997-06-04,138.0,,,,,,,
1997-06-05,138.0,,,,,,,
1997-06-06,150.0,,,,,,,
1997-06-09,150.0,,,,,,,
1997-06-10,150.0,,,,,,,
1997-06-11,158.0,,,,,,,
1997-06-12,162.0,,,,,,,
1997-06-13,162.0,,,,,,,
1997-06-16,170.0,,,,,,,
1997-06-17,175.0,,,,,,,
1997-06-18,180.0,,,,,,,
1997-06-19,185.0,,,,,,,
1997-06-20,185.0,,,,,,,
1997-06-23,185.0,,,,,,,
1997-06-24,185.0,,,,,,,
1997-06-25,185.0,,,,,,,
1997-06-26,185.0,,,,,,,
1997-06-27,185.0,,,,,,,
1997-06-30,185.0,,,,,,,
1997-07-01,185.0,,,,,,,
1997-07-02,161.0,,,,,,,
1997-07-03,165.0,,,,,,,
1997-07-04,165.0,,,,,,,
1997-07-07,165.0,,,,,,,
1997-07-08,165.0,,,,,,,
1997-07-10,165.0,,,,,,,
1997-07-11,174.0,174.0,174.0,174.0,,300.0,,
1997-07-14,174.0,,,,,,,
1997-07-15,176.0,,,,,,,
1997-07-16,171.0,171.0,171.0,171.0,,10.0,,
1997-07-17,165.0,165.0,165.0,165.0,,10.0,,
1997-07-24,164.0,164.0,164.0,164.0,,28.0,,
1997-07-30,165.0,,,,,21.0,,
1997-08-05,169.0,169.0,169.0,169.0,,20.0,,
1997-08-12,170.0,170.0,170.0,170.0,,100.0,,
1997-08-18,175.0,175.0,175.0,175.0,,50.0,,
1997-08-25,177.0,179.0,179.0,177.0,,300.0,,
1997-08-27,173.0,,,,,30.0,,
1997-08-29,173.0,173.0,173.0,173.0,,130.0,,
1997-09-05,177.0,177.0,177.0,177.0,,570.0,,
1997-09-08,178.0,178.0,178.0,178.0,,455.0,,
1997-09-11,179.0,179.0,179.0,179.0,,30.0,,
1997-09-12,182.0,182.0,182.0,182.0,,37.0,,
1997-09-15,182.0,,,,,,,
1997-09-16,182.0,,,,,,,
1997-09-19,180.0,180.0,180.0,180.0,,258.0,,
1997-09-24,182.0,,,,,924.0,,
1997-09-26,182.0,182.0,182.0,182.0,,780.0,,
1997-09-30,180.0,180.0,180.0,180.0,,43.0,,
1997-10-07,173.0,,,,,11.0,,
1997-10-08,168.0,,,,,150.0,,
1997-10-09,168.0,168.0,168.0,168.0,,157.0,,
1997-10-14,175.0,,,,,150.0,,
1997-10-21,173.0,,,,,100.0,,
1997-10-24,168.0,,,,,200.0,,
1997-10-29,168.0,,,,,30.0,,
1997-10-31,173.0,,,,,185.0,,
1997-11-12,173.0,,,,,190.0,,
1997-11-19,175.0,,,,,100.0,,
1997-11-21,175.0,,,,,,,
1997-11-24,175.0,,,,,,,
1997-12-02,170.0,,,,,100.0,,
1997-12-03,170.0,,,,,30.0,,
1997-12-04,170.0,,,,,,,
1997-12-05,170.0,170.0,170.0,170.0,,560.0,,
1997-12-11,171.0,170.0,171.0,170.0,,30.0,,
1997-12-17,170.0,170.0,170.0,170.0,,25.0,,
1997-12-23,171.0,171.0,171.0,171.0,,88.0,,
1997-12-29,181.0,181.0,181.0,181.0,,162.0,,
1997-12-31,186.0,186.0,186.0,186.0,,100.0,,
1998-01-08,196.0,196.0,196.0,196.0,,49.0,,
1998-01-09,197.0,197.0,197.0,197.0,,104.0,,
1998-01-14,199.0,199.0,199.0,199.0,,274.0,,
1998-01-15,198.0,204.0,204.0,198.0,,1078.0,,
1998-01-19,197.0,197.0,197.0,197.0,,2.0,,
1998-01-21,192.0,193.0,193.0,192.0,,100.0,,
1998-01-26,192.0,192.0,192.0,192.0,,10.0,,
1998-01-27,187.0,187.0,187.0,187.0,,160.0,,
1998-01-28,182.0,182.0,182.0,182.0,,332.0,,
1998-01-29,182.0,182.0,182.0,182.0,,45.0,,
1998-02-02,182.0,,,,,155.0,,
1998-02-11,187.0,,,,,326.0,,
1998-02-13,185.0,185.0,185.0,185.0,,237.0,,
1998-02-18,183.0,183.0,183.0,183.0,,129.0,,
1998-02-23,182.0,,,,,92.0,,
1998-03-02,,,,,,,,113.75
1998-03-03,,,,,,,,113.75
1998-03-04,,,,,,,,113.75
1998-03-05,,,,,,,,113.75
1998-03-06,,,,,,,,113.75
1998-03-09,183.0,,,,,140.0,,114.375
1998-03-10,183.0,,,,,160.0,,114.375
1998-03-11,,,,,,,,114.375
1998-03-12,,,,,,,,114.375
1998-03-13,,,,,,,,114.375
1998-03-16,183.0,,,,,102.0,,114.375
1998-03-17,,,,,,,,114.375
1998-03-18,,,,,,,,114.375
1998-03-19,180.0,,,,,200.0,,112.5
1998-03-20,,,,,,,,112.5
1998-03-23,,,,,,,,112.5
1998-03-24,,,,,,,,112.5
1998-03-25,,,,,,,,112.5
1998-03-26,,,,,,,,112.5
1998-03-27,,,,,,,,112.5
1998-03-30,,,,,,,,112.5
1998-03-31,,,,,,,,112.5
1998-04-01,,,,,,,,112.5
1998-04-02,,,,,,,,112.5
1998-04-03,,,,,,,,112.5
1998-04-06,,,,,,,,112.5
1998-04-07,,,,,,,,112.5
1998-04-08,,,,,,,,112.5
1998-04-09,,,,,,,,112.5
1998-04-10,180.0,,,,,81.0,,112.5
1998-04-13,,,,,,,,112.5
1998-04-14,180.0,,,,,249.0,,112.5
1998-04-15,,,,,,,,112.5
1998-04-16,180.0,,,,,230.0,,112.5
1998-04-17,,,,,,,,112.5
1998-04-20,,,,,,,,112.5
1998-04-21,,,,,,,,112.5
1998-04-22,,,,,,,,112.5
1998-04-23,,,,,,,,112.5
1998-04-24,180.0,,,,,1031.0,,112.5
1998-04-27,,,,,,,,112.5
1998-04-28,,,,,,,,112.5
1998-04-29,,,,,,,,112.5
1998-04-30,,,,,,,,112.5
1998-05-01,,,,,,,,112.5
1998-05-04,,,,,,,,112.5
1998-05-05,180.0,,,,,1521.0,,112.5
1998-05-06,,,,,,,,112.5
1998-05-07,180.0,,,,,35.0,,112.5
1998-05-08,180.0,,,,,560.0,,112.5
1998-05-11,180.0,,,,,180.0,,112.5
1998-05-12,180.0,,,,,11.0,,112.5
1998-05-13,,,,,,,,112.5
1998-05-14,183.0,,,,,100.0,,114.375
1998-05-15,,,,,,,,114.375
1998-05-18,,,,,,,,114.375
1998-05-19,,,,,,,,114.375
1998-05-20,188.0,,,,,452.0,,117.5
1998-05-21,,,,,,,,117.5
1998-05-22,,,,,,,,117.5
1998-05-25,197.4,197.4,197.4,197.4,,106.0,,123.375
1998-05-26,207.25,207.25,207.25,207.25,,71.0,,129.5313
1998-05-27,,,,,,,,129.5313
1998-05-28,217.0,217.0,217.0,217.0,,25.0,,135.625
1998-05-29,227.8,227.8,227.8,227.8,,850.0,,142.375
1998-06-01,226.0,226.0,226.0,226.0,,150.0,,141.25
1998-06-02,,,,,,,,141.25
1998-06-03,,,,,,,,141.25
1998-06-04,193.8,193.8,193.8,193.8,,100.0,,121.125
1998-06-05,,,,,,,,121.125
1998-06-08,184.15,184.15,184.15,184.15,,174.0,,115.0938
1998-06-09,,,,,,,,115.0938
1998-06-10,,,,,,,,115.0938
1998-06-11,,,,,,,,115.0938
1998-06-12,,,,,,,,115.0938
1998-06-15,,,,,,,,115.0938
1998-06-16,190.0,190.0,190.0,190.0,,6.0,,118.75
1998-06-17,,,,,,,,118.75
1998-06-18,185.0,185.0,185.0,185.0,,30.0,,115.625
1998-06-19,,,,,,,,115.625
1998-06-22,,,,,,,,115.625
1998-06-23,,,,,,,,115.625
1998-06-24,,,,,,,,115.625
1998-06-25,,,,,,,,115.625
1998-06-26,,,,,,,,115.625
1998-06-29,,,,,,,,115.625
1998-06-30,,,,,,,,115.625
1998-07-01,,,,,,,,115.625
1998-07-02,,,,,,,,115.625
1998-07-03,,,,,,,,115.625
1998-07-06,,,,,,,,115.625
1998-07-07,,,,,,,,115.625
1998-07-08,,,,,,,,115.625
1998-07-09,,,,,,,,115.625
1998-07-10,175.75,175.75,175.75,175.75,,20.0,,109.8438
1998-07-13,,,,,,,,109.8438
1998-07-14,,,,,,,,109.8438
1998-07-15,,,,,,,,109.8438
1998-07-16,,,,,,,,109.8438
1998-07-17,,,,,,,,109.8438
1998-07-20,,,,,,,,109.8438
1998-07-21,,,,,,,,109.8438
1998-07-22,184.5,184.5,184.5,184.5,,300.0,,115.3125
1998-07-23,,,,,,,,115.3125
1998-07-24,,,,,,,,115.3125
1998-07-27,,,,,,,,115.3125
1998-07-28,184.5,184.5,184.5,184.5,,20.0,,115.3125
1998-07-29,184.5,184.5,184.5,184.5,,177.0,,115.3125
1998-07-30,,,,,,,,115.3125
1998-07-31,186.0,186.0,186.0,186.0,,66.0,,116.25
1998-08-03,,,,,,,,116.25
1998-08-04,,,,,,,,116.25
1998-08-05,,,,,,,,116.25
1998-08-06,,,,,,,,116.25
1998-08-07,,,,,,,,116.25
