date,close,open,high,low,turnover,volume,vwap,mktCap
2007-08-09,952.0,952.0,952.0,952.0,,,,
2007-08-15,1266.0,1266.0,1266.0,1266.0,,3218.0,,23304.5292
2007-08-16,,,,,,,,23304.5292
2007-08-17,1531.0,1531.0,1531.0,1531.0,,8090.0,,28182.6494
2007-08-22,,,,,,,,28182.6494
2007-08-23,1719.0,1719.0,1719.0,1719.0,,8735.0,,31643.3536
2007-08-24,,,,,,,,31643.3536
2007-08-27,1931.0,1931.0,1931.0,1931.0,,15882.0,,35545.8498
2007-08-28,,,,,,,,35545.8498
2007-08-29,2168.0,2168.0,2168.0,2168.0,,158350.0,,39908.5461
2007-08-30,,,,,,,,39908.5461
2007-08-31,2265.0,2200.0,2297.0,2181.0,959510000.0,432616.0,,41694.1221
2007-09-03,2400.0,2282.0,2400.0,2282.0,619331200.0,262207.0,,44179.2023
2007-09-04,2544.0,2470.0,2544.0,2470.0,525640900.0,210953.0,,46829.9544
2007-09-05,2696.0,2612.0,2696.0,2612.0,243944900.0,91837.0,,49627.9706
2007-09-06,2565.0,2857.0,2857.0,2535.0,544625200.0,204176.0,,47216.5224
2007-09-07,2523.0,2502.0,2565.0,2502.0,141550900.0,56094.0,,46443.3864
2007-09-10,2517.0,2550.0,2563.0,2516.0,240887500.0,94504.0,,46332.9384
2007-09-11,2441.0,2500.0,2517.0,2413.0,174423600.0,71016.0,,44933.9303
2007-09-12,2300.0,2335.0,2406.0,2300.0,173002000.0,74068.0,,42338.4022
2007-09-13,2345.0,2250.0,2345.0,2180.0,517680500.0,229300.0,,43166.7622
2007-09-14,2485.0,2430.0,2485.0,2412.0,148287200.0,60463.0,,45743.8824
2007-09-17,2525.0,2549.0,2599.0,2480.0,261101000.0,102689.0,,46480.2024
2007-09-18,2446.0,2520.0,2530.0,2405.0,95908450.0,38859.0,,45025.9703
2007-09-19,2430.0,2418.0,2440.0,2371.0,99058900.0,41350.0,,44731.4423
2007-09-20,2423.0,2404.0,2425.0,2381.0,49116390.0,20416.0,,44602.5863
2007-09-21,2380.0,2400.0,2415.0,2380.0,23860760.0,9963.0,,43811.0423
2007-09-24,2347.0,2350.0,2380.0,2325.0,60678060.0,25828.0,,43203.5782
2007-09-25,2370.0,2350.0,2400.0,2332.0,41038580.0,17308.0,,43626.9622
2007-09-26,2400.0,2370.0,2423.0,2370.0,77555630.0,32349.0,,44179.2023
2007-09-27,2440.0,2400.0,2440.0,2375.0,86562660.0,35841.0,,44915.5223
2007-09-28,2425.0,2412.0,2450.0,2411.0,46584860.0,19186.0,,44639.4023
2007-10-01,2390.0,2380.0,2399.0,2367.0,20569190.0,8641.0,,43995.1223
2007-10-02,2390.0,2370.0,2400.0,2370.0,28496140.0,11958.0,,43995.1223
2007-10-03,2398.0,2381.0,2400.0,2381.0,26625020.0,11166.0,,44142.3863
2007-10-04,2383.0,2370.0,2390.0,2370.0,13545130.0,5698.0,,43866.2663
2007-10-05,2385.0,2382.0,2390.0,2381.0,11506240.0,4829.0,,43903.0823
2007-10-08,2470.0,2398.0,2481.0,2390.0,50629780.0,20860.0,,45467.7623
2007-10-09,2540.0,2493.0,2559.0,2471.0,169034700.0,67211.0,,46756.3224
2007-10-10,2530.0,2550.0,2599.0,2523.0,78929650.0,30950.0,,46572.2424
2007-10-11,2610.0,2600.0,2648.0,2561.0,265865500.0,101868.0,,48044.8825
2007-10-12,2640.0,2625.0,2665.0,2625.0,153430800.0,57981.0,,48597.1225
2007-10-15,2705.0,2655.0,2710.0,2652.0,212451200.0,79188.0,,49793.6426
2007-10-16,2630.0,2680.0,2715.0,2621.0,185288700.0,69200.0,,48413.0425
2007-10-17,2552.0,2648.0,2648.0,2552.0,77165610.0,29595.0,,46977.2184
2007-10-18,2602.0,2540.0,2634.0,2536.0,60399710.0,23248.0,,47897.6185
2007-10-19,2590.0,2600.0,2620.0,2590.0,29255350.0,11233.0,,47676.7225
2007-10-22,2583.0,2581.0,2598.0,2581.0,13721800.0,5313.0,,47547.8664
2007-10-23,2582.0,2583.0,2630.0,2582.0,25362940.0,9772.0,,47529.4584
2007-10-24,2570.0,2590.0,2600.0,2557.0,12718760.0,4927.0,,47308.5624
2007-10-25,2580.0,2554.0,2580.0,2550.0,90662650.0,19870.0,,47492.6424
2007-10-26,2620.0,2583.0,2664.0,2582.0,138315900.0,52650.0,,48228.9625
2007-10-29,2636.0,2675.0,2678.0,2632.0,86132940.0,32488.0,,48523.4905
2007-10-30,2578.0,2601.0,2620.0,2578.0,70532880.0,27170.0,,47455.8264
2007-10-31,2450.0,2555.0,2570.0,2440.0,55910230.0,22279.0,,45099.6023
2007-11-01,2495.0,2411.0,2540.0,2411.0,84170260.0,34345.0,,45927.9624
2007-11-02,2540.0,2511.0,2570.0,2506.0,42583680.0,16815.0,,46756.3224
2007-11-05,2580.0,2578.0,2600.0,2551.0,27267540.0,10557.0,,47492.6424
2007-11-07,2529.0,2545.0,2575.0,2529.0,17130610.0,6725.0,,46553.8344
2007-11-08,2495.0,2520.0,2530.0,2482.0,24680580.0,9875.0,,45927.9624
2007-11-09,2487.0,2480.0,2518.0,2480.0,13163010.0,5288.0,,45780.6984
2007-11-12,2481.0,2466.0,2515.0,2466.0,17172860.0,6937.0,,45670.2503
2007-11-13,2460.0,2480.0,2481.0,2450.0,12807970.0,5186.0,,45283.6823
2007-11-14,2459.0,2445.0,2460.0,2431.0,20729280.0,8487.0,,45265.2743
2007-11-15,2450.0,2439.0,2459.0,2435.0,14149720.0,5798.0,,45099.6023
2007-11-16,2460.0,2450.0,2470.0,2450.0,29359990.0,11951.0,,45283.6823
2007-11-19,2455.0,2455.0,2467.0,2452.0,11483040.0,4671.0,,45191.6423
2007-11-20,2470.0,2460.0,2489.0,2460.0,12918380.0,5236.0,,45467.7623
2007-11-21,2470.0,2466.0,2485.0,2466.0,12742750.0,5158.0,,45467.7623
2007-11-22,2465.0,2468.0,2470.0,2465.0,15375520.0,6232.0,,45375.7223
2007-11-23,2432.0,2450.0,2459.0,2432.0,18071120.0,7381.0,,44768.2583
2007-11-26,2390.0,2400.0,2438.0,2355.0,72974750.0,30454.0,,43995.1223
2007-11-27,2419.0,2348.0,2430.0,2321.0,156353700.0,66426.0,,44528.9543
2007-11-28,2499.0,2420.0,2499.0,2416.0,77831100.0,31439.0,,46001.5944
2007-11-29,2500.0,2510.0,2525.0,2480.0,64817360.0,25847.0,,46020.0024
2007-11-30,2498.0,2490.0,2499.0,2461.0,34121360.0,13716.0,,45983.1864
2007-12-03,2498.0,2500.0,2510.0,2480.0,27804120.0,11141.0,,45983.1864
2007-12-04,2470.0,2470.0,2498.0,2470.0,29327200.0,11813.0,,45467.7623
2007-12-05,2400.0,2470.0,2470.0,2400.0,105676000.0,43029.0,,44179.2023
2007-12-06,2420.0,2399.0,2450.0,2350.0,43131940.0,18070.0,,44547.3623
2007-12-07,2420.0,2480.0,2491.0,2420.0,79941660.0,32660.0,,44547.3623
2007-12-10,2460.0,2446.0,2479.0,2430.0,58275160.0,23682.0,,45283.6823
2007-12-11,2420.0,2430.0,2449.0,2420.0,65131600.0,26745.0,,44547.3623
2007-12-12,2417.0,2400.0,2429.0,2400.0,201644700.0,83418.0,,44492.1383
2007-12-13,2396.0,2400.0,2400.0,2385.0,25706340.0,10719.0,,44105.5703
2007-12-14,2390.0,2370.0,2390.0,2370.0,45555490.0,19127.0,,43995.1223
2007-12-17,2395.0,2371.0,2399.0,2371.0,59613750.0,24946.0,,44087.1623
2007-12-18,2400.0,2375.0,2419.0,2375.0,158978400.0,66239.0,,44179.2023
2007-12-19,2415.0,2402.0,2448.0,2402.0,32398200.0,13404.0,,44455.3223
2007-12-20,2415.0,2401.0,2415.0,2382.0,55326500.0,23030.0,,
2007-12-24,2398.0,2380.0,2400.0,2380.0,289823900.0,121363.0,,44142.3863
2007-12-25,2390.0,2361.0,2390.0,2361.0,123470200.0,52144.0,,43995.1223
2007-12-26,2384.0,2355.0,2384.0,2355.0,115282800.0,48803.0,,43884.6743
2007-12-27,2390.0,2355.0,2390.0,2355.0,103038000.0,43540.0,,43995.1223
2007-12-28,2400.0,2390.0,2404.0,2380.0,137521800.0,57518.0,,44179.2023
2007-12-31,2430.0,2387.0,2430.0,2387.0,164958000.0,68609.0,,44731.4423
2008-01-02,2445.0,2402.0,2445.0,2402.0,7498380.0,3090.0,,45007.5623
