date,close,open,high,low,turnover,volume,vwap,mktCap
2008-06-03,613.0,613.0,613.0,613.0,,,,
2008-06-04,674.0,674.0,674.0,674.0,,,,
2008-06-05,741.0,741.0,741.0,741.0,,,,
2008-06-06,815.0,815.0,815.0,815.0,7667520.0,9408.0,,
2008-06-09,896.0,896.0,896.0,896.0,,,,
2008-06-10,985.0,985.0,985.0,985.0,38635550.0,39224.0,,
2008-06-11,1044.0,1044.0,1044.0,1044.0,,,,
2008-06-12,1055.0,1044.0,1099.0,1040.0,181141200.0,171068.0,,
2008-06-13,1010.0,1021.0,1057.0,1010.0,54239100.0,53653.0,,
2008-06-16,961.0,985.0,1009.0,956.0,58079900.0,58908.0,,
2008-06-17,904.0,904.0,937.0,904.0,57094260.0,62910.0,,
2008-06-18,950.0,915.0,958.0,915.0,37087180.0,39904.0,,
2008-06-19,971.0,965.0,989.0,953.0,9176280.0,9470.0,,
2008-06-20,970.0,971.0,979.0,962.0,9892789.0,10196.0,,
2008-06-23,930.0,943.0,950.0,930.0,5709857.0,6102.0,,
2008-06-24,930.0,912.0,930.0,911.0,4766690.0,5198.0,,
2008-06-25,941.0,940.0,950.0,933.0,7731550.0,8216.0,,
2008-06-26,940.0,950.0,958.0,932.0,7287948.0,7742.0,,
2008-06-27,921.0,920.0,940.0,920.0,7494749.0,8062.0,,
2008-06-30,920.0,925.0,925.0,920.0,2979885.0,3232.0,,
2008-07-01,935.0,911.0,941.0,911.0,1950223.0,2106.0,,
2008-07-02,950.0,921.0,950.0,916.0,3355729.0,3575.0,,
2008-07-03,935.0,931.0,935.0,931.0,704052.0,756.0,,
2008-07-04,945.0,918.0,945.0,918.0,1659532.0,1781.0,,
2008-07-07,920.0,922.0,935.0,916.0,943382.0,1024.0,,
2008-07-08,911.0,914.0,921.0,911.0,2927799.0,3199.0,,
2008-07-09,929.0,911.0,929.0,911.0,623014.0,680.0,,
2008-07-10,939.0,911.0,939.0,911.0,4108565.0,4478.0,,
2008-07-11,940.0,929.0,940.0,925.0,2054865.0,2191.0,,
2008-07-14,945.0,926.0,945.0,926.0,3064917.0,3267.0,,
2008-07-15,950.0,933.0,955.0,933.0,4686798.0,4957.0,,
2008-07-16,940.0,945.0,949.0,940.0,320436.0,339.0,,
2008-07-17,958.0,927.0,958.0,927.0,3716148.0,3957.0,,
2008-07-18,937.0,935.0,943.0,935.0,2259282.0,2408.0,,1391.445
2008-07-21,931.0,931.0,948.0,931.0,175037.0,187.0,,1382.535
2008-07-22,925.0,927.0,940.0,925.0,540300.0,582.0,,1373.625
2008-07-23,930.0,925.0,930.0,922.0,409889.0,443.0,,1381.05
2008-07-24,926.0,923.0,927.0,923.0,247872.0,268.0,,1375.11
2008-07-25,912.0,923.0,923.0,911.0,13330410.0,14568.0,,1354.32
2008-07-28,908.0,905.0,908.0,905.0,324997.0,359.0,,1348.38
2008-07-29,901.0,901.0,910.0,901.0,4349927.0,4827.0,,1337.985
2008-07-31,875.0,901.0,920.0,875.0,7480131.0,8299.0,,1299.375
2008-08-01,875.0,825.0,890.0,825.0,2788997.0,3311.0,,1299.375
2008-08-04,860.0,845.0,860.0,845.0,2031805.0,2369.0,,1277.1
2008-08-05,845.0,830.0,850.0,830.0,1003116.0,1196.0,,1254.825
2008-08-06,842.0,827.0,854.0,827.0,625984.0,747.0,,1250.37
2008-08-07,857.0,835.0,858.0,835.0,520674.0,621.0,,1272.645
2008-08-08,850.0,859.0,859.0,840.0,283460.0,333.0,,1262.25
2008-08-11,842.0,840.0,859.0,840.0,779651.0,926.0,,1250.37
2008-08-12,849.0,836.0,849.0,836.0,46017.0,55.0,,1260.765
2008-08-13,850.0,842.0,855.0,842.0,2416537.0,2845.0,,1262.25
2008-08-15,880.0,855.0,880.0,851.0,477176.0,553.0,,1306.8
2008-08-18,885.0,857.0,889.0,857.0,456582.0,525.0,,1314.225
2008-08-19,880.0,875.0,890.0,875.0,336513.0,380.0,,1306.8
2008-08-22,885.0,860.0,885.0,860.0,64525.0,75.0,,1314.225
2008-08-25,904.0,857.0,904.0,857.0,662800.0,749.0,,1342.44
2008-08-26,900.0,900.0,905.0,900.0,1112063.0,1235.0,,1336.5
2008-08-27,904.0,900.0,904.0,900.0,266702.0,296.0,,1342.44
2008-08-28,940.0,903.0,940.0,901.0,856161.0,934.0,,1395.9
2008-08-29,947.0,940.0,949.0,933.0,3290547.0,3474.0,,1406.295
2008-09-01,955.0,947.0,957.0,940.0,3424195.0,4462.0,,1418.175
2008-09-02,955.0,941.0,955.0,940.0,977279.0,1027.0,,1418.175
2008-09-03,950.0,954.0,954.0,948.0,4146962.0,4348.0,,1410.75
2008-09-04,929.0,931.0,948.0,929.0,2106494.0,2232.0,,1379.565
2008-09-05,884.0,920.0,938.0,884.0,323174.0,362.0,,1312.74
2008-09-08,861.0,890.0,890.0,860.0,375625.0,431.0,,1278.585
2008-09-09,870.0,875.0,880.0,870.0,216145.0,247.0,,1291.95
2008-09-10,865.0,865.0,865.0,865.0,97745.0,113.0,,1284.525
2008-09-11,860.0,860.0,880.0,860.0,441430.0,511.0,,1277.1
2008-09-12,874.0,852.0,875.0,852.0,746063.0,875.0,,1297.89
2008-09-15,822.0,874.0,874.0,822.0,1384526.0,1663.0,,1220.67
2008-09-16,773.0,773.0,773.0,773.0,1162592.0,1504.0,,1147.905
2008-09-17,760.0,733.0,819.0,733.0,1457317.0,1882.0,,1128.6
2008-09-18,781.0,802.0,805.0,781.0,2140028.0,2678.0,,1159.785
2008-09-19,820.0,826.0,827.0,820.0,5802566.0,7057.0,,1217.7
2008-09-22,838.0,827.0,850.0,820.0,1325532.0,1589.0,,1244.43
2008-09-23,809.0,838.0,838.0,800.0,5190034.0,6342.0,,1201.365
2008-09-24,800.0,815.0,815.0,800.0,306542.0,377.0,,1188.0
2008-09-25,800.0,785.0,800.0,780.0,1371151.0,1729.0,,1188.0
2008-09-26,790.0,790.0,800.0,771.0,346224.0,435.0,,1173.15
2008-09-29,772.0,775.0,775.0,772.0,3094.0,4.0,,1146.42
2008-09-30,726.0,795.0,795.0,726.0,583370.0,793.0,,1078.11
2008-10-01,,,,,,,,1078.11
2008-10-02,,,,,,,,1078.11
2008-10-03,763.0,726.0,767.0,726.0,82290.0,118.0,,1133.055
2008-10-06,718.0,764.0,764.0,718.0,1137159.0,3273.0,,1066.23
2008-10-07,695.0,709.0,709.0,675.0,3863452.0,5641.0,,1032.075
2008-10-08,670.0,688.0,688.0,670.0,974775.0,1449.0,,994.95
2008-10-09,680.0,680.0,680.0,680.0,102000.0,150.0,,1009.8
2008-10-10,694.0,640.0,694.0,640.0,9792980.0,14747.0,,1030.59
2008-10-13,710.0,684.0,733.0,684.0,2853552.0,4030.0,,1054.35
2008-10-14,709.0,715.0,742.0,709.0,5165534.0,7222.0,,1052.865
2008-10-15,685.0,694.0,707.0,680.0,799227.0,1168.0,,1017.225
2008-10-16,685.0,680.0,685.0,680.0,21135.0,31.0,,1017.225
2008-10-17,708.0,707.0,708.0,707.0,265847.0,376.0,,1051.38
2008-10-20,685.0,685.0,685.0,685.0,8905.0,13.0,,1017.225
2008-10-21,690.0,690.0,690.0,690.0,53820.0,78.0,,1024.65
2008-10-22,680.0,672.0,690.0,672.0,599150.0,889.0,,1009.8
2008-10-23,640.0,651.0,670.0,640.0,2646926.0,4104.0,,950.4
2008-10-24,602.0,639.0,639.0,602.0,3483723.0,5774.0,,893.97
2008-10-27,566.0,570.0,588.0,566.0,755942.0,1331.0,,840.51
2008-10-28,535.0,533.0,569.0,533.0,966138.0,1809.0,,794.475
2008-10-29,550.0,561.0,561.0,535.0,4294281.0,7990.0,,816.75
2008-10-30,560.0,550.0,565.0,548.0,486736.0,886.0,,831.6
2008-10-31,545.0,550.0,558.0,536.0,201315.0,366.0,,809.325
2008-11-03,545.0,560.0,560.0,545.0,173260.0,317.0,,809.325
2008-11-04,528.0,545.0,549.0,515.0,394286.0,737.0,,784.08
2008-11-05,535.0,540.0,540.0,525.0,692505.0,1307.0,,794.475
2008-11-07,525.0,534.0,534.0,525.0,912637.0,1735.0,,779.625
2008-11-10,532.0,525.0,535.0,525.0,517102.0,972.0,,790.02
2008-11-11,525.0,532.0,532.0,501.0,1293167.0,2513.0,,779.625
2008-11-12,523.0,511.0,523.0,508.0,161342.0,310.0,,776.655
2008-11-13,523.0,517.0,523.0,500.0,5474632.0,10732.0,,776.655
2008-11-14,523.0,521.0,523.0,515.0,331201.0,636.0,,776.655
2008-11-17,521.0,523.0,523.0,516.0,134807.0,258.0,,773.685
2008-11-19,515.0,516.0,522.0,515.0,1980885.0,3844.0,,764.775
2008-11-20,496.0,510.0,510.0,495.0,1015436.0,2014.0,,736.56
2008-11-21,489.0,496.0,496.0,466.25,885209.1,1850.0,,726.165
2008-11-24,496.0,489.0,500.0,462.0,1686349.0,3588.0,,736.56
2008-11-25,500.0,490.0,500.0,490.0,1714722.0,3437.0,,742.5
2008-11-26,523.0,500.0,525.0,500.0,1434941.0,2761.0,,776.655
2008-11-27,533.0,525.0,540.0,525.0,571531.0,1080.0,,791.505
2008-11-28,535.0,533.0,535.0,520.0,257965.0,487.0,,794.475
2008-12-01,550.0,533.0,567.0,533.0,1881098.0,3386.0,,816.75
2008-12-02,553.0,554.0,554.0,535.0,732054.0,1343.0,,821.205
2008-12-03,520.0,550.0,550.0,520.0,2543750.0,4815.0,,772.2
2008-12-04,500.0,505.0,507.0,490.0,2308415.0,4676.0,,742.5
2008-12-05,527.0,524.0,527.0,500.0,1229239.0,2359.0,,782.595
2008-12-08,543.0,529.0,547.0,528.0,188164.0,348.0,,806.355
2008-12-09,,,,,,,,806.355
2008-12-10,,,,,,,,806.355
2008-12-11,560.0,544.0,568.0,531.0,3881115.0,7079.0,,831.6
2008-12-12,559.0,570.0,573.0,555.0,3863639.0,6895.0,,830.115
2008-12-15,560.0,550.0,569.0,550.0,2001610.0,3588.0,,831.6
2008-12-16,565.0,565.0,578.0,565.0,366036.0,641.0,,839.025
2008-12-17,560.0,567.0,567.0,545.0,2832011.0,5070.0,,831.6
2008-12-18,565.0,557.0,570.0,557.0,7207926.0,12838.0,,839.025
2008-12-19,580.0,566.0,585.0,566.0,1488922.0,2590.0,,861.3
2008-12-22,613.0,592.0,614.0,592.0,1438862.0,2353.0,,910.305
2008-12-23,604.0,614.0,635.0,604.0,682231.0,1094.0,,896.94
2008-12-24,570.0,599.0,599.0,568.0,419787.0,732.0,,846.45
2008-12-25,536.0,560.0,560.0,536.0,457291.0,832.0,,795.96
2008-12-26,504.0,540.0,555.0,504.0,2728976.0,5276.0,,748.44
2008-12-29,,,,,,,,748.44
2008-12-30,509.0,504.0,510.0,504.0,145271.0,285.0,,755.865
2008-12-31,509.0,500.0,510.0,478.5,2631670.0,5359.0,,755.865
2009-01-02,497.95,488.0,497.95,478.5,1034569.0,2147.0,,739.4558
2009-01-05,472.1,481.1,498.95,472.1,714098.1,1452.0,,701.0685
2009-01-06,477.0,490.0,490.0,445.0,340905.5,755.0,,708.345
2009-01-07,475.0,476.0,476.0,451.0,21275.0,46.0,,705.375
2009-01-08,480.0,475.0,492.0,450.0,276477.2,593.0,,712.8
2009-01-09,480.0,488.95,507.0,480.0,1595655.0,3261.0,,712.8
2009-01-12,484.5,499.9,499.9,460.0,394443.5,841.0,,719.4825
2009-01-13,487.0,487.0,487.0,487.0,26785.0,55.0,,723.195
2009-01-14,457.8,462.0,480.0,457.8,1395167.0,3041.0,,679.833
2009-01-15,461.0,452.0,470.0,446.0,1051036.0,2301.0,,684.585
2009-01-16,463.0,466.0,471.0,463.0,418200.0,900.0,,687.555
2009-01-19,475.0,464.0,475.0,464.0,12545.0,27.0,,705.375
2009-01-20,493.0,485.0,499.0,485.0,265931.9,546.0,,732.105
2009-01-21,500.0,495.0,502.0,487.2,804209.4,1620.0,,742.5
2009-01-22,515.0,503.0,515.0,497.0,684740.0,1366.0,,764.775
2009-01-23,545.0,515.0,545.0,515.0,1932083.0,3702.0,,809.325
2009-01-26,577.0,570.0,577.0,557.0,863386.0,1501.0,,856.845
2009-01-27,611.0,611.0,611.0,609.0,3098009.0,5071.0,,907.335
2009-01-28,630.0,630.0,645.0,620.0,1342846.0,2131.0,,935.55
2009-01-29,611.0,610.0,630.0,610.0,608797.0,994.0,,907.335
2009-01-30,587.0,600.0,605.0,587.0,1295194.0,2165.0,,871.695
2009-02-02,590.0,565.0,590.0,565.0,116377.0,205.0,,876.15
2009-02-03,625.0,598.0,625.0,598.0,3226592.0,5257.0,,928.125
2009-02-04,645.0,653.0,653.0,617.0,262670.0,417.0,,957.825
2009-02-05,607.0,627.0,627.0,607.0,416520.0,672.0,,901.395
2009-02-06,582.0,627.0,627.0,582.0,575955.0,748.0,,864.27
2009-02-09,613.0,599.0,613.0,586.0,20748.0,35.0,592.8,910.305
2009-02-10,625.0,600.0,627.0,600.0,134471.0,220.0,611.2318,928.125
2009-02-11,629.0,622.0,631.0,620.0,923860.0,1413.0,620.8737,934.065
2009-02-12,609.0,618.0,621.0,605.0,3281875.0,5421.0,605.4003,904.365
2009-02-13,620.0,615.0,624.0,610.0,68968.0,112.0,615.7857,920.7
2009-02-16,630.0,620.0,635.0,615.0,310194.0,495.0,626.6545,935.55
2009-02-17,667.0,630.0,667.0,615.0,1576951.0,2442.0,645.7621,990.495
2009-02-18,696.0,680.0,707.0,680.0,1548060.0,2210.0,700.4796,1033.56
2009-02-19,675.0,683.0,699.0,655.0,727859.0,1068.0,681.5159,1002.375
2009-02-20,655.0,680.0,680.0,652.0,1815040.0,2771.0,655.0126,972.675
