date,close,open,high,low,turnover,volume,vwap,mktCap
2006-10-31,683.0,683.0,683.0,621.0,,917.0,,
2006-11-02,826.0,826.0,826.0,826.0,,3031.0,,
2006-11-07,927.0,927.0,927.0,875.0,,8488.0,,
2006-11-09,1040.0,1040.0,1040.0,982.0,,33775.0,,
2006-11-13,1168.0,1168.0,1168.0,1102.0,,40383.0,,
2006-11-15,1164.0,1164.0,1238.0,1164.0,,15989.0,,
2006-11-17,1030.0,1030.0,1095.0,1030.0,,1687.0,,
2006-11-21,981.0,950.0,1027.0,950.0,,58216.0,,
2006-11-22,1000.0,1000.0,1000.0,966.0,,23732.0,,
2006-11-23,995.0,997.0,997.0,979.0,,5736.0,,
2006-11-24,1000.0,1000.0,1000.0,990.0,,33664.0,,
2006-11-27,1000.0,1000.0,1000.0,991.0,,4022.0,,
2006-11-28,1020.0,1020.0,1020.0,1006.0,,4531.0,,
2006-11-29,990.0,1000.0,1000.0,990.0,,2241.0,,
2006-11-30,1019.0,980.0,1020.0,980.0,,4385.0,,
2006-12-01,1020.0,1010.0,1029.0,1003.0,,5711.0,,
2006-12-04,1062.0,1020.0,1080.0,1020.0,,5753.0,,
2006-12-05,1125.0,1095.0,1125.0,1090.0,,5816.0,,
2006-12-06,1192.0,1160.0,1192.0,1160.0,,8453.0,,
2006-12-07,1263.0,1201.0,1263.0,1192.0,,7085.0,,
2006-12-08,1338.0,1299.0,1338.0,1263.0,,10735.0,,
2006-12-11,1265.0,1399.0,1399.0,1265.0,,8983.0,,
2006-12-12,1200.0,1250.0,1250.0,1190.0,,6366.0,,
2006-12-13,1200.0,1140.0,1220.0,1140.0,,3866.0,,
2006-12-14,1200.0,1201.0,1201.0,1152.0,,3563.0,,
2006-12-15,1128.0,1140.0,1141.0,1128.0,,3985.0,,
2006-12-18,1061.0,1090.0,1100.0,1061.0,,1801.0,,
2006-12-19,1000.0,1000.0,1061.0,1000.0,,3931.0,,
2006-12-20,967.0,960.0,1020.0,942.0,,3690.0,,
2006-12-21,1025.0,980.0,1025.0,980.0,,1565.0,,
2006-12-22,1086.0,1080.0,1086.0,1080.0,,2910.0,,
2006-12-26,1150.0,1188.0,1188.0,1100.0,,1073.0,,
2006-12-27,1078.0,1091.0,1100.0,1060.0,,2157.0,,
2006-12-28,1078.0,1080.0,1080.0,1051.0,,625.0,,
2006-12-29,1055.0,1060.0,1095.0,1051.0,,1369.0,,
2007-01-02,1092.0,1092.0,1092.0,1092.0,,366.0,,
2007-01-03,1065.0,1092.0,1094.0,1056.0,,89.0,,
2007-01-04,1058.0,1055.0,1079.0,1055.0,,722.0,,
2007-01-05,1100.0,1056.0,1120.0,1056.0,,1283.0,,
2007-01-08,1074.0,1070.0,1123.0,1070.0,,927.0,,
2007-01-09,1076.0,1100.0,1100.0,1074.0,,377.0,,
2007-01-10,1071.0,1070.0,1077.0,1070.0,,243.0,,
2007-01-12,1070.0,1061.0,1074.0,1061.0,,513.0,,
2007-01-15,1056.0,1061.0,1070.0,1055.0,,668.0,,
2007-01-16,1062.0,1050.0,1070.0,1050.0,,335.0,,
2007-01-17,1055.0,1051.0,1060.0,1051.0,,1505.0,,
2007-01-18,1056.0,1051.0,1056.0,1051.0,,519.0,,
2007-01-19,1050.0,1051.0,1051.0,1050.0,,837.0,,
2007-01-22,1025.0,1048.0,1048.0,998.0,,1372.0,,
2007-01-23,1050.0,1010.0,1050.0,1010.0,,537.0,,
2007-01-24,1055.0,1028.0,1060.0,1028.0,,582.0,,
2007-01-25,1035.0,1035.0,1036.0,1035.0,,250.0,,
2007-01-26,1070.0,1025.0,1080.0,1025.0,,1485.0,,
