date,close,open,high,low,turnover,volume,vwap,mktCap
2006-06-21,190.0,200.0,200.0,185.0,,29876.0,,74.1
2006-06-22,185.0,187.0,190.0,185.0,,2965.0,,72.15
2006-06-23,186.0,187.0,187.0,185.0,,7158.0,,72.54
2006-06-26,186.0,192.0,192.0,186.0,,1103.0,,72.54
2006-06-27,184.8,184.8,186.0,184.8,,2613.0,,72.072
2006-06-28,185.0,184.9,185.0,184.8,,926.0,,72.15
2006-06-29,186.0,185.2,186.0,185.0,,753.0,,72.54
2006-06-30,192.0,189.0,192.0,186.0,,518.0,,74.88
2006-07-03,194.0,195.0,195.0,192.0,,719.0,,75.66
2006-07-04,194.0,194.0,194.9,194.0,,781.0,,75.66
2006-07-05,191.0,191.0,194.0,191.0,,2070.0,,74.49
2006-07-06,191.0,191.0,191.0,191.0,,300.0,,74.49
2006-07-07,188.9,189.0,191.0,188.9,,1131.0,,73.671
2006-07-10,185.0,187.0,188.9,185.0,,546.0,,72.15
2006-07-11,185.0,185.0,185.0,185.0,,422.0,,72.15
2006-07-12,184.8,185.0,185.0,184.8,,1601.0,,72.072
2006-07-13,182.0,184.8,184.8,182.0,,181.0,,70.98
2006-07-14,182.0,185.0,185.0,182.0,,2000.0,,70.98
2006-07-17,180.0,182.0,182.0,180.0,,1365.0,,70.2
2006-07-18,180.0,184.0,184.0,180.0,,1519.0,,70.2
2006-07-19,185.0,185.0,185.0,180.0,,1000.0,,72.15
2006-07-20,184.0,184.0,184.0,184.0,,574.0,,71.76
2006-07-21,182.0,182.0,184.0,182.0,,250.0,,70.98
2006-07-24,180.0,183.0,183.0,180.0,,748.0,,70.2
2006-07-25,180.0,180.0,183.0,180.0,,637.0,,70.2
2006-07-26,180.0,180.0,180.0,180.0,,130.0,,70.2
2006-07-27,180.0,180.0,180.0,180.0,,200.0,,70.2
2006-07-28,175.0,180.0,180.0,175.0,,1972.0,,68.25
2006-07-31,175.0,175.0,175.0,175.0,,173.0,,68.25
2006-08-01,178.0,178.0,178.0,175.0,,674.0,,69.42
2006-08-02,178.0,178.0,178.0,178.0,,1394.0,,69.42
2006-08-03,178.0,178.0,178.0,178.0,,1.0,,69.42
2006-08-04,181.0,179.1,181.0,178.0,,243.0,,70.59
2006-08-07,180.0,179.0,181.0,179.0,,1083.0,,70.2
2006-08-08,185.0,180.0,185.0,180.0,,467.0,,72.15
2006-08-09,185.0,185.0,185.0,185.0,,1289.0,,72.15
2006-08-10,185.0,185.0,185.0,184.95,,823.0,,72.15
2006-08-11,185.0,185.0,185.0,185.0,,500.0,,72.15
2006-08-15,187.5,187.5,187.5,187.5,,3.0,,73.125
2006-08-16,185.0,185.0,187.5,185.0,,200.0,,72.15
2006-08-17,185.0,185.0,185.0,185.0,,100.0,,72.15
2006-08-18,180.0,176.0,185.0,176.0,,1823.0,,70.2
2006-08-22,181.0,181.0,181.0,180.0,,1800.0,,70.59
2006-08-23,180.0,182.0,182.0,180.0,,1894.0,,70.2
2006-08-24,182.0,180.5,182.0,180.0,,845.0,,70.98
2006-08-25,182.0,182.0,182.0,182.0,,1065.0,,70.98
2006-08-28,182.0,181.5,182.0,181.5,,536.0,,70.98
2006-08-29,182.0,182.0,182.0,182.0,,350.0,,70.98
2006-08-30,182.0,182.0,182.0,182.0,,1044.0,,70.98
2006-08-31,180.0,180.0,180.0,180.0,,1176.0,,70.2
2006-09-01,182.0,181.0,182.0,180.0,,1191.0,,70.98
2006-09-04,181.0,181.0,182.0,181.0,,403.0,,70.59
2006-09-05,187.2,182.0,187.2,181.0,,250.0,,73.008
2006-09-06,185.0,185.0,187.2,182.0,,1335.0,,72.15
2006-09-07,185.0,186.5,186.5,185.0,,665.0,,72.15
2006-09-08,184.0,185.1,185.1,184.0,,4370.0,,71.76
2006-09-11,183.1,183.1,184.0,183.1,,725.0,,71.409
2006-09-12,183.0,185.0,185.0,183.0,,1232.0,,71.37
2006-09-13,184.9,182.0,184.9,182.0,,350.0,,72.111
2006-09-14,180.0,175.0,184.9,175.0,,793.0,,70.2
2006-09-15,180.0,180.0,180.0,180.0,,924.0,,70.2
2006-09-18,180.0,180.0,180.0,180.0,,181.0,,70.2
