date,close,open,high,low,turnover,volume,vwap,mktCap
2011-11-03,18.36,18.36,18.36,18.36,,,,
2011-11-04,18.36,18.36,18.36,18.36,,,,
2011-11-09,18.36,18.36,18.36,18.36,,,,
2011-11-10,18.36,18.36,18.36,18.36,,,,
2011-11-11,17.88,17.88,17.88,17.88,,,,
2011-11-14,17.9,17.9,17.9,17.9,,,,
2011-11-15,17.82,17.82,17.82,17.82,,,,
2011-11-16,18.9,18.9,18.9,18.9,1171.8,62.0,18.9,
2011-11-17,18.3,18.3,18.3,18.3,,,,
2011-11-21,17.88,17.88,17.88,17.88,,,,
2011-11-22,17.8,17.8,17.8,17.8,,,,
2011-11-23,17.44,17.44,17.44,17.44,,,,
2011-11-24,17.5,17.5,17.5,17.5,,,,
2011-11-25,17.9,17.9,17.9,17.9,,,,
2011-11-28,17.86,17.86,17.86,17.86,,,,
2011-11-29,18.06,18.06,18.06,18.06,,,,
2011-11-30,16.56,16.56,16.56,16.56,695.52,42.0,16.56,
2011-12-01,16.56,16.56,16.56,16.56,,,,
2011-12-02,17.68,17.68,17.68,17.68,,,,
2011-12-05,17.68,17.68,17.68,17.68,,,,
2011-12-06,17.68,17.68,17.68,17.68,,,,
2011-12-07,18.88,18.88,18.88,18.88,641.92,34.0,18.88,
2011-12-08,18.88,18.88,18.88,18.88,849.6,45.0,18.88,
2011-12-09,18.16,18.16,18.16,18.16,,,,
2011-12-12,18.16,18.16,18.16,18.16,,,,
2011-12-13,18.12,18.12,18.12,18.12,,,,
2011-12-14,17.0,17.0,17.0,17.0,850.0,50.0,17.0,
2011-12-15,18.14,18.14,18.14,18.14,,,,
2011-12-16,18.16,18.16,18.16,18.16,,,,
2011-12-19,18.16,18.16,18.16,18.16,,,,
2011-12-20,18.16,18.16,18.16,18.16,,,,
2011-12-21,18.16,18.16,18.16,18.16,,,,
2011-12-22,18.16,18.16,18.16,18.16,,,,
2011-12-23,18.16,18.16,18.16,18.16,,,,
2011-12-26,18.16,18.16,18.16,18.16,,,,
2011-12-27,17.04,17.04,17.04,17.04,85.2,5.0,17.04,
2011-12-28,17.02,17.02,17.02,17.02,2212.6,130.0,17.02,
2011-12-29,17.04,17.04,17.04,17.04,,,,
2011-12-30,16.92,16.92,16.92,16.92,,,,
2012-01-02,17.06,17.06,17.06,17.06,,,,
