date,close,open,high,low,turnover,volume,vwap,mktCap
2008-04-28,729.0,729.0,729.0,729.0,,,,
2008-04-29,801.0,801.0,801.0,801.0,,,,
2008-04-30,800.0,879.0,880.0,800.0,13936980.0,16290.0,,
2008-05-02,800.0,800.0,800.0,795.0,1159663.0,1450.0,,
2008-05-05,795.0,800.0,800.0,785.0,3955311.0,4953.0,,
2008-05-06,733.0,770.0,785.0,729.0,1809487.0,2373.0,,
2008-05-07,729.0,730.0,735.0,729.0,1326436.0,1817.0,,
2008-05-08,745.0,729.0,748.0,729.0,773973.0,1050.0,,
2008-05-09,745.0,730.0,745.0,730.0,790567.0,1069.0,,
2008-05-12,740.0,744.0,745.0,740.0,442546.0,595.0,,
2008-05-13,739.0,740.0,740.0,729.0,1035226.0,1411.0,,
2008-05-14,738.0,739.0,739.0,734.0,299712.0,406.0,,
2008-05-15,729.0,729.0,738.0,729.0,240794.0,330.0,,
2008-05-16,729.0,729.0,735.0,729.0,1786795.0,2451.0,,
2008-05-19,730.0,729.0,772.0,729.0,4948891.0,6635.0,,
2008-05-20,740.0,729.0,740.0,716.0,425147.0,584.0,,462.5
2008-05-21,715.0,730.0,730.0,699.0,112006.0,156.0,,446.875
2008-05-22,719.0,702.0,719.0,675.0,263640.0,377.0,,449.375
2008-05-23,720.0,700.0,720.0,698.0,77020.0,110.0,,450.0
2008-05-26,716.0,700.0,716.0,681.0,94602.0,137.0,,447.5
2008-05-27,695.0,682.0,695.0,682.0,101888.0,149.0,,434.375
2008-05-28,681.0,681.0,685.0,681.0,55221.0,81.0,,425.625
2008-05-29,662.0,651.0,692.0,651.0,113329.0,170.0,,413.75
2008-05-30,680.0,667.0,680.0,667.0,46019.0,68.0,,425.0
2008-06-02,679.0,675.0,679.0,650.0,264158.0,401.0,,424.375
2008-06-03,646.0,650.0,679.0,639.0,263076.0,404.0,,403.75
2008-06-04,640.0,639.0,640.0,639.0,81812.0,128.0,,400.0
2008-06-05,650.0,630.0,650.0,604.0,139910.0,223.0,,406.25
2008-06-06,632.0,621.0,632.0,620.0,97594.0,156.0,,395.0
2008-06-09,639.0,623.0,639.0,623.0,33179.0,53.0,,399.375
2008-06-10,645.0,627.0,645.0,626.0,124216.0,198.0,,403.125
2008-06-11,632.0,650.0,650.0,631.0,15872.0,25.0,,395.0
2008-06-12,654.0,630.0,655.0,630.0,40701.0,64.0,,408.75
2008-06-13,653.0,640.0,654.0,630.0,96701.0,152.0,,408.125
2008-06-16,630.0,645.0,645.0,630.0,45000.0,70.0,,393.75
2008-06-17,650.0,632.0,650.0,632.0,110842.0,174.0,,406.25
2008-06-18,645.0,645.0,645.0,645.0,645.0,1.0,,403.125
2008-06-19,643.0,625.0,643.0,620.0,99703.0,160.0,,401.875
2008-06-20,626.0,621.0,630.0,620.0,342774.0,550.0,,391.25
2008-06-23,632.0,613.0,632.0,610.0,90525.0,148.0,,395.0
2008-06-24,624.0,602.0,625.0,601.0,75347.0,125.0,,390.0
2008-06-25,615.0,603.0,615.0,603.0,19953.0,33.0,,384.375
2008-06-26,581.0,600.0,600.0,579.0,143152.0,242.0,,363.125
2008-06-27,614.0,571.0,614.0,571.0,119054.0,204.0,,383.75
2008-06-30,623.0,600.0,644.0,600.0,1693265.0,2732.0,,389.375
2008-07-01,600.0,600.0,610.0,600.0,1269370.0,2082.0,,375.0
2008-07-02,600.0,583.0,600.0,580.0,69510.0,119.0,,375.0
2008-07-03,614.0,610.0,616.0,580.0,474069.0,778.0,,383.75
2008-07-04,610.0,584.0,610.0,584.0,3376743.0,5684.0,,381.25
2008-07-07,600.0,580.0,600.0,580.0,2140804.0,3581.0,,375.0
2008-07-08,614.0,600.0,614.0,590.0,5459287.0,9088.0,,383.75
2008-07-09,602.0,584.0,620.0,584.0,2713408.0,4424.0,,376.25
2008-07-10,606.0,600.0,629.0,600.0,243152.0,394.0,,378.75
2008-07-11,633.0,610.0,635.0,606.0,238365.0,382.0,,395.625
2008-07-14,666.0,623.0,670.0,623.0,336767.0,523.0,,416.25
2008-07-15,696.0,650.0,696.0,640.0,1603112.0,2361.0,,435.0
2008-07-16,682.0,680.0,720.0,680.0,297454.0,428.0,,426.25
2008-07-17,688.0,682.0,714.0,682.0,1318284.0,1892.0,,430.0
2008-07-18,718.0,700.0,720.0,700.0,307608.0,433.0,,448.75
2008-07-21,703.0,711.0,711.0,702.0,301454.0,428.0,,439.375
2008-07-22,683.0,700.0,710.0,683.0,805385.0,1152.0,,426.875
2008-07-23,700.0,680.0,700.0,680.0,31330.0,46.0,,437.5
2008-07-24,662.0,699.0,699.0,662.0,91856.0,134.0,,413.75
2008-07-25,671.0,669.0,700.0,669.0,208871.0,302.0,,419.375
2008-07-28,691.0,683.0,705.0,683.0,168185.0,241.0,,431.875
2008-07-29,700.0,691.0,700.0,680.0,100394.0,144.0,,437.5
2008-07-31,685.0,681.0,709.0,681.0,352212.0,514.0,,428.125
2008-08-01,705.0,690.0,705.0,690.0,52580.0,76.0,,440.625
2008-08-04,710.0,691.0,710.0,691.0,320687.0,459.0,,443.75
2008-08-05,700.0,700.0,700.0,700.0,54600.0,78.0,,437.5
2008-08-06,697.0,700.0,700.0,692.0,43160.0,62.0,,435.625
2008-08-07,705.0,695.0,705.0,695.0,66035.0,95.0,,440.625
2008-08-08,700.0,700.0,700.0,700.0,56700.0,81.0,,437.5
2008-08-11,705.0,691.0,705.0,691.0,26991.0,39.0,,440.625
2008-08-12,705.0,700.0,705.0,692.0,129414.0,185.0,,440.625
2008-08-13,691.0,691.0,691.0,691.0,37314.0,54.0,,431.875
2008-08-15,692.0,692.0,692.0,692.0,29064.0,42.0,,432.5
2008-08-18,705.0,690.0,705.0,690.0,60545.0,87.0,,440.625
2008-08-19,700.0,700.0,700.0,700.0,25200.0,36.0,,437.5
2008-08-22,692.0,692.0,692.0,692.0,692.0,1.0,,432.5
2008-08-25,692.0,692.0,692.0,692.0,42904.0,62.0,,432.5
