date,close,open,high,low,turnover,volume,vwap,mktCap
2005-07-18,406.0,406.0,409.9,406.0,,785.0,,34.51
2005-07-19,406.0,406.0,406.0,406.0,,759.0,,34.51
2005-07-20,408.9,408.9,408.9,406.0,,1350.0,,34.7565
2005-07-21,406.0,406.0,408.9,406.0,,141.0,,34.51
2005-07-22,406.0,406.0,406.0,406.0,,642.0,,34.51
2005-07-25,405.1,405.1,406.0,405.1,,431.0,,34.4335
2005-07-26,405.0,405.0,405.1,405.0,,338.0,,34.425
2005-07-27,404.0,404.0,405.0,404.0,,536.0,,34.34
2005-07-28,404.0,404.0,404.0,404.0,,377.0,,34.34
2005-07-29,401.0,401.0,404.0,401.0,,330.0,,34.085
2005-08-01,400.0,400.0,401.0,400.0,,792.0,,34.0
2005-08-02,400.0,400.0,400.0,400.0,,700.0,,34.0
2005-08-03,400.0,400.0,400.0,400.0,,699.0,,34.0
2005-08-04,399.0,399.0,400.0,399.0,,300.0,,33.915
2005-08-05,398.0,398.0,399.0,398.0,,836.0,,33.83
2005-08-08,397.95,397.95,398.0,397.95,,1.0,,33.8258
2005-08-09,396.0,396.0,397.95,396.0,,100.0,,33.66
2005-08-10,396.0,396.0,396.0,396.0,,100.0,,33.66
2005-08-11,395.0,395.0,396.0,395.0,,363.0,,33.575
2005-08-12,395.0,395.0,395.0,395.0,,314.0,,1071.4375
2005-08-15,394.0,394.0,395.0,394.0,,393.0,,
2005-08-16,396.0,396.0,396.0,394.0,,1602.0,,1074.15
2005-08-17,403.0,403.0,403.0,396.0,,693.0,,1093.1375
2005-08-18,405.0,405.0,405.0,403.0,,600.0,,1098.5625
2005-08-19,403.0,403.0,405.0,403.0,,190.0,,
2005-08-22,405.0,405.0,405.0,403.0,,220.0,,1098.5625
2005-08-23,415.0,415.0,415.0,405.0,,1497.0,,1125.6875
2005-08-24,415.0,415.0,415.0,415.0,,81.0,,
2005-08-25,419.0,419.0,419.0,415.0,,200.0,,1136.5375
2005-08-26,415.0,415.0,419.0,415.0,,100.0,,1125.6875
2005-08-29,415.0,415.0,415.0,415.0,,100.0,,1125.6875
2005-08-30,414.9,414.9,415.0,414.9,,164.0,,1125.4163
2005-08-31,414.8,414.8,414.9,414.8,,100.0,,1125.145
2005-09-01,418.0,418.0,418.0,414.8,,1.0,,1133.825
2005-09-02,414.0,414.0,418.0,414.0,,100.0,,1122.975
2005-09-05,414.0,414.0,414.0,414.0,,693.0,,1122.975
2005-09-06,414.0,414.0,414.0,414.0,,100.0,,
2005-09-07,414.0,414.0,414.0,414.0,,100.0,,1122.975
2005-09-08,417.0,417.0,417.0,414.0,,13.0,,1131.1125
2005-09-09,414.0,414.0,417.0,414.0,,1.0,,1122.975
2005-09-12,414.0,414.0,414.0,414.0,,1.0,,1122.975
2005-09-13,410.0,410.0,414.0,410.0,,90.0,,1112.125
2005-09-14,410.0,410.0,410.0,410.0,,6.0,,1112.125
2005-09-15,409.95,409.95,410.0,409.95,,1133.0,,1111.9894
2005-09-16,409.95,409.95,409.95,409.95,,224.0,,1111.9894
2005-09-19,409.0,409.0,409.95,409.0,,265.0,,1109.4125
2005-09-20,408.95,408.95,409.0,408.95,,107.0,,1109.2769
2005-09-21,409.0,409.0,409.0,408.95,,1.0,,1109.4125
2005-09-22,409.0,409.0,409.0,409.0,,1.0,,1109.4125
2005-09-23,408.0,408.0,409.0,408.0,,1.0,,1106.7
2005-09-26,408.0,408.0,408.0,408.0,,1.0,,1106.7
2005-09-27,404.0,404.0,408.0,404.0,,101.0,,1095.85
2005-09-28,402.0,402.0,404.0,402.0,,200.0,,1090.425
2005-09-29,410.0,410.0,410.0,402.0,,994.0,,1112.125
2005-09-30,410.0,410.0,410.0,410.0,,140.0,,1112.125
2005-10-03,410.0,410.0,410.0,410.0,,1.0,,1112.125
2005-10-04,410.0,410.0,410.0,410.0,,514.0,,1112.125
2005-10-05,405.0,405.0,410.0,405.0,,100.0,,1098.5625
2005-10-06,405.0,405.0,405.0,405.0,,64.0,,1098.5625
2005-10-07,405.05,405.05,405.05,405.0,,288.0,,1098.6982
2005-10-10,406.0,406.0,406.0,405.05,,100.0,,1101.275
2005-10-11,405.0,405.0,406.0,405.0,,200.0,,1098.5625
2005-10-12,410.0,410.0,410.0,405.0,,3012.0,,1112.125
2005-10-13,410.0,410.0,410.0,410.0,,3000.0,,1112.125
2005-10-14,410.0,410.0,410.0,410.0,,700.0,,1112.125
2005-10-17,410.0,410.0,410.0,410.0,,1994.0,,1112.125
2005-10-18,412.0,412.0,412.0,410.0,,1.0,,1117.55
2005-10-19,412.0,412.0,412.0,412.0,,1.0,,1117.55
2005-10-20,418.0,418.0,418.0,412.0,,347.0,,1133.825
2005-10-21,420.0,420.0,420.0,418.0,,94.0,,1139.25
2005-10-24,426.0,426.0,426.0,420.0,,474.0,,1155.525
2005-10-25,430.05,430.05,430.05,426.0,,215.0,,1166.5107
2005-10-26,432.0,432.0,432.0,430.05,,730.0,,1171.8
2005-10-27,440.0,440.0,440.0,432.0,,157.0,,1193.5
2005-10-28,465.0,465.0,465.0,440.0,,250.0,,1261.3125
2005-10-31,467.0,467.0,467.0,465.0,,1412.0,,1266.7375
2005-11-01,471.0,471.0,471.0,467.0,,455.0,,1277.5875
2005-11-02,471.0,471.0,471.0,471.0,,528.0,,1277.5875
2005-11-03,475.0,475.0,475.0,471.0,,99.0,,
2005-11-07,475.0,475.0,475.0,475.0,,2.0,,1288.4375
2005-11-08,475.1,475.1,475.1,475.0,,856.0,,1288.7088
2005-11-09,480.0,480.0,480.0,475.1,,2082.0,,1302.0
2005-11-10,480.0,480.0,480.0,480.0,,700.0,,1302.0
2005-11-11,480.1,480.1,480.1,480.0,,1924.0,,1302.2713
2005-11-14,480.0,480.0,480.1,480.0,,1470.0,,1302.0
2005-11-15,480.0,480.0,480.0,480.0,,4424.0,,1302.0
2005-11-16,,,,,,,,1302.0
2005-11-17,,,,,,,,1302.0
2005-11-21,479.0,479.0,480.0,479.0,,1000.0,,1299.2875
2005-11-22,474.0,474.0,479.0,474.0,,131.0,,1285.725
2005-11-23,471.0,471.0,474.0,471.0,,3600.0,,1277.5875
2005-11-24,471.0,471.0,471.0,471.0,,226.0,,1277.5875
2005-11-25,470.0,470.0,471.0,470.0,,19.0,,1274.875
2005-11-28,466.0,466.0,470.0,466.0,,376.0,,1264.025
2005-11-29,459.0,459.0,466.0,459.0,,1500.0,,1245.0375
2005-11-30,457.95,457.95,459.0,457.95,,50.0,,1242.1894
2005-12-01,440.0,440.0,457.95,440.0,,289.0,,1193.5
2005-12-02,430.0,430.0,440.0,430.0,,170.0,,1166.375
2005-12-05,411.0,411.0,430.0,411.0,,125.0,,1114.8375
2005-12-06,430.0,430.0,430.0,411.0,,2561.0,,1166.375
2005-12-07,430.1,430.1,430.1,430.0,,67.0,,1166.6463
2005-12-08,430.0,430.0,430.1,430.0,,1373.0,,1166.375
2005-12-09,440.15,440.15,440.15,430.0,,150.0,,1193.9069
2005-12-12,440.0,440.0,440.15,440.0,,350.0,,1193.5
2005-12-13,440.0,440.0,440.0,440.0,,1510.0,,1193.5
2005-12-14,440.0,440.0,440.0,440.0,,60.0,,1193.5
2005-12-15,440.0,440.0,440.0,440.0,,602.0,,1193.5
2005-12-16,440.0,440.0,440.0,440.0,,561.0,,1193.5
2005-12-19,450.0,450.0,450.0,440.0,,250.0,,1220.625
2005-12-20,447.0,447.0,450.0,447.0,,2950.0,,1212.4875
2005-12-21,447.0,447.0,447.0,447.0,,1140.0,,1212.4875
2005-12-22,445.0,445.0,447.0,445.0,,97.0,,1207.0625
2005-12-23,440.0,440.0,445.0,440.0,,1200.0,,1193.5
2005-12-26,435.0,435.0,435.0,435.0,,500.0,,1179.9375
2005-12-27,435.0,435.0,435.0,435.0,,1188.0,,1179.9375
2005-12-28,435.0,435.0,435.0,435.0,,1276.0,,1179.9375
2005-12-29,434.0,434.0,435.0,434.0,,2040.0,,1177.225
2005-12-30,433.0,433.0,434.0,433.0,,2098.0,,1174.5125
2006-01-02,,,,,,,,1174.5125
2006-01-03,435.55,435.55,435.55,434.05,,300.0,,1181.4294
2006-01-04,437.0,437.0,437.0,435.55,,158.0,,1185.3625
2006-01-05,437.05,437.05,437.05,437.0,,40.0,,1185.4982
2006-01-06,450.0,450.0,450.0,437.05,,600.0,,1220.625
2006-01-09,450.0,450.0,450.0,450.0,,600.0,,1220.625
2006-01-10,450.0,450.0,450.0,450.0,,300.0,,1220.625
2006-01-13,450.0,450.0,450.0,450.0,,100.0,,1220.625
2006-01-16,450.0,450.0,450.0,450.0,,100.0,,1220.625
2006-01-17,450.0,450.0,450.0,450.0,,100.0,,1220.625
2006-01-18,445.0,445.0,450.0,445.0,,100.0,,1207.0625
2006-01-19,440.0,445.0,445.0,440.0,,261.0,,1193.5
2006-01-20,440.0,440.0,440.0,440.0,,500.0,,1193.5
2006-01-23,440.0,440.0,440.0,440.0,,100.0,,1193.5
2006-01-24,445.0,440.0,445.0,440.0,,764.0,,1207.0625
2006-01-25,447.0,440.0,447.0,440.0,,282.0,,1212.4875
2006-01-26,442.0,447.0,447.0,442.0,,400.0,,1198.925
2006-01-27,442.0,442.0,442.0,442.0,,200.0,,1198.925
2006-01-30,440.0,440.0,440.0,440.0,,100.0,,1193.5
2006-02-01,440.0,440.0,440.0,440.0,,150.0,,
2006-02-02,439.0,439.0,439.0,439.0,,124.0,,1190.7875
2006-02-03,435.0,438.0,438.0,435.0,,1425.0,,1179.9375
2006-02-06,439.0,439.0,439.0,439.0,,510.0,,1190.7875
2006-02-07,435.0,435.0,439.0,435.0,,1.0,,1179.9375
2006-02-08,432.0,432.0,435.0,432.0,,90.0,,1171.8
2006-02-09,439.0,432.0,439.0,432.0,,7800.0,,1190.7875
2006-02-10,459.0,440.0,462.0,432.0,,7701.0,,1245.0375
2006-02-13,452.9,454.0,454.0,450.0,,1425.0,,1228.4913
2006-02-14,445.0,445.0,445.0,432.1,,392.0,,1207.0625
2006-02-15,445.0,442.0,445.0,432.0,,350.0,,1207.0625
2006-02-16,445.0,445.0,445.0,445.0,,1500.0,,1207.0625
2006-02-17,445.0,440.0,445.0,440.0,,776.0,,1207.0625
2006-02-20,443.0,440.0,443.0,436.0,,278.0,,1201.6375
2006-02-21,445.0,440.0,445.0,440.0,,3600.0,,1207.0625
2006-02-22,444.0,440.0,444.0,440.0,,1848.0,,1204.35
2006-02-23,440.0,442.95,442.95,440.0,,300.0,,1193.5
2006-02-24,440.0,440.0,440.0,436.0,,2753.0,,1193.5
2006-02-27,436.0,436.0,440.0,436.0,,83.0,,1182.65
2006-02-28,439.8,432.0,439.8,432.0,,347.0,,1192.9575
2006-03-01,440.0,443.0,443.0,440.0,,130.0,,1193.5
2006-03-02,435.0,435.0,435.0,435.0,,100.0,,1179.9375
2006-03-03,440.0,432.0,440.0,432.0,,400.0,,1193.5
2006-03-06,435.0,435.0,435.0,435.0,,100.0,,1179.9375
2006-03-07,439.5,440.0,440.0,436.0,,1291.0,,1192.1438
2006-03-08,434.0,439.9,439.9,434.0,,811.0,,1177.225
2006-03-09,430.0,430.0,430.0,430.0,,100.0,,1166.375
2006-03-10,430.0,430.0,430.0,430.0,,200.0,,1166.375
2006-03-13,430.0,431.0,431.0,430.0,,1000.0,,1166.375
2006-03-14,436.0,428.0,436.0,428.0,,150.0,,1182.65
2006-03-15,420.0,432.0,432.0,410.0,,5797.0,,1139.25
2006-03-16,,,,,,,,1139.25
2006-03-17,435.9,435.9,441.9,435.9,,50.0,,1182.3788
2006-03-20,430.0,430.0,430.0,430.0,,357.0,,1166.375
2006-03-21,430.0,430.0,430.0,430.0,,500.0,,1166.375
2006-03-22,435.0,430.0,435.0,430.0,,1617.0,,1179.9375
2006-03-23,440.1,435.0,440.1,435.0,,468.0,,1193.7713
2006-03-24,466.5,466.0,466.5,440.1,,2020.0,,1265.3813
2006-03-27,484.0,470.0,486.0,470.0,,481.0,,1312.85
2006-03-28,486.0,479.0,486.0,477.0,,959.0,,1318.275
2006-03-29,488.0,472.0,489.0,472.0,,323.0,,1323.7
2006-03-30,484.0,475.0,484.0,475.0,,108.0,,1312.85
2006-03-31,500.0,484.0,508.0,484.0,,1122.0,,1356.25
2006-04-03,498.0,491.0,500.0,490.0,,705.0,,1350.825
2006-04-04,490.0,488.0,490.0,488.0,,702.0,,1329.125
2006-04-05,490.9,485.0,490.9,484.0,,2130.0,,1331.5663
2006-04-06,490.0,490.0,490.9,490.0,,750.0,,1329.125
2006-04-07,489.0,490.0,490.0,489.0,,458.0,,1326.4125
2006-04-10,489.8,485.0,489.8,485.0,,4100.0,,1328.5825
2006-04-13,491.0,485.0,491.0,485.0,,2300.0,,1331.8375
2006-04-14,485.0,485.0,485.0,485.0,,22.0,,1315.5625
2006-04-17,480.0,482.0,482.0,480.0,,741.0,,1302.0
2006-04-18,480.0,475.0,480.0,475.0,,160.0,,1302.0
2006-04-19,480.0,480.0,480.0,475.0,,207.0,,1302.0
2006-04-20,480.0,482.0,497.0,480.0,,4140.0,,1302.0
2006-04-21,478.0,481.0,498.0,478.0,,3402.0,,1296.575
2006-04-24,480.0,480.0,480.0,478.0,,100.0,,1302.0
2006-04-25,489.0,480.0,490.0,480.0,,516.0,,1326.4125
2006-04-26,488.0,481.0,490.0,481.0,,5840.0,,1323.7
2006-04-27,500.0,,,,,318.0,,1356.25
2006-04-28,493.0,500.0,502.0,493.0,,186.0,,1337.2625
2006-05-02,493.0,493.0,493.0,493.0,,1171.0,,1337.2625
2006-05-03,493.0,493.0,493.0,493.0,,215.0,,1337.2625
2006-05-04,493.0,493.0,493.0,493.0,,785.0,,1337.2625
2006-05-05,493.0,500.0,500.0,493.0,,974.0,,1337.2625
2006-05-08,493.0,493.0,493.0,493.0,,200.0,,1337.2625
2006-05-09,493.0,490.0,493.0,490.0,,570.0,,1337.2625
2006-05-10,485.0,489.0,493.0,485.0,,700.0,,1315.5625
2006-05-11,485.0,485.0,486.0,485.0,,1020.0,,1315.5625
2006-05-12,512.0,490.0,512.0,490.0,,248.0,,1388.8
2006-05-15,505.0,500.0,505.0,500.0,,350.0,,1369.8125
2006-05-16,495.0,495.0,505.0,495.0,,27.0,,1342.6875
2006-05-17,495.0,495.0,495.0,495.0,,150.0,,1342.6875
