date,close,open,high,low,turnover,volume,vwap,mktCap
2006-09-25,595.0,595.0,595.0,595.0,,,,
2006-10-13,710.0,696.0,710.0,695.0,,956.0,,
2006-10-16,710.0,700.0,710.0,700.0,,346.0,,
2006-10-17,720.0,713.0,720.0,710.0,,857.0,,
2006-10-18,720.0,710.0,720.0,710.0,,408.0,,
2006-10-19,720.0,710.0,720.0,707.0,,438.0,,
2006-10-20,730.0,720.0,730.0,720.0,,340.0,,
2006-10-23,730.0,700.0,730.0,700.0,,243.0,,
2006-10-26,730.0,720.0,730.0,720.0,,329.0,,
2006-10-27,739.0,730.0,739.0,730.0,,294.0,,
2006-10-30,738.0,738.0,739.0,738.0,,142.0,,
2006-10-31,735.0,735.0,738.0,735.0,,65.0,,
2006-11-01,720.0,711.0,735.0,711.0,,1234.0,,
2006-11-02,700.0,702.0,720.0,700.0,,1231.0,,
2006-11-03,701.0,702.0,702.0,701.0,,384.0,,
2006-11-07,720.0,705.0,720.0,705.0,,350.0,,
2006-11-08,715.0,717.0,720.0,711.0,,451.0,,
2006-11-09,701.0,710.0,715.0,701.0,,509.0,,
2006-11-10,700.0,700.0,701.0,696.0,,352.0,,
2006-11-13,670.0,659.0,700.0,659.0,,568.0,,
2006-11-14,670.0,672.0,672.0,670.0,,856.0,,
2006-11-15,673.0,673.0,694.0,670.0,,218.0,,
2006-11-16,671.0,700.0,700.0,671.0,,798.0,,
2006-11-17,670.0,680.0,680.0,670.0,,285.0,,
2006-11-20,669.0,630.0,694.0,630.0,,1246.0,,
2006-11-21,680.0,670.0,680.0,680.0,,593.0,,
2006-11-22,680.0,680.0,680.0,680.0,,480.0,,
2006-11-23,645.0,645.0,670.0,645.0,,1356.0,,
2006-11-24,670.0,670.0,670.0,650.0,,608.0,,
2006-11-27,670.0,670.0,670.0,670.0,,229.0,,
2006-11-28,670.0,669.0,670.0,669.0,,80.0,,
2006-11-29,669.0,669.0,670.0,652.0,,657.0,,
2006-11-30,645.0,660.0,669.0,645.0,,286.0,,
2006-12-01,659.0,651.0,659.0,645.0,,112.0,,
2006-12-04,660.0,640.0,660.0,640.0,,380.0,,
2006-12-05,650.0,660.0,660.0,645.0,,56.0,,
2006-12-06,660.0,641.0,660.0,641.0,,110.0,,
2006-12-07,650.0,650.0,650.0,650.0,,1036.0,,
2006-12-08,650.0,650.0,650.0,650.0,,432.0,,
2006-12-11,660.0,650.0,660.0,650.0,,486.0,,
2006-12-12,660.0,650.0,660.0,650.0,,322.0,,
2006-12-13,659.0,650.0,660.0,650.0,,423.0,,
2006-12-14,650.0,655.0,655.0,650.0,,463.0,,
2006-12-15,660.0,650.0,660.0,650.0,,653.0,,
2006-12-18,650.0,660.0,660.0,635.0,,413.0,,
2006-12-19,660.0,660.0,660.0,650.0,,200.0,,
2006-12-20,635.0,660.0,660.0,635.0,,228.0,,
2006-12-21,659.0,660.0,660.0,640.0,,5262.0,,
2006-12-22,670.0,660.0,670.0,660.0,,400.0,,
2006-12-26,660.0,659.0,660.0,657.0,,563.0,,
2006-12-27,658.0,637.0,660.0,637.0,,136.0,,
2006-12-28,670.0,637.0,670.0,637.0,,1264.0,,
2006-12-29,655.0,655.0,670.0,655.0,,5.0,,
2007-01-02,650.0,650.0,650.0,650.0,,55.0,,
2007-01-03,666.0,645.0,666.0,645.0,,28.0,,
2007-01-04,669.0,669.0,669.0,669.0,,8.0,,
2007-01-05,669.0,669.0,669.0,669.0,,12.0,,
2007-01-08,669.0,650.0,669.0,650.0,,50.0,,
2007-01-09,650.0,651.0,668.0,650.0,,340.0,,
2007-01-10,665.0,650.0,665.0,650.0,,35.0,,
2007-01-12,670.0,670.0,670.0,670.0,,7904.0,,
2007-01-15,657.0,671.0,671.0,657.0,,56.0,,
2007-01-16,657.0,670.0,670.0,657.0,,105.0,,
2007-01-17,657.0,668.0,668.0,657.0,,152.0,,
2007-01-18,660.0,660.0,660.0,660.0,,1.0,,
2007-01-19,660.0,665.0,665.0,660.0,,200.0,,
2007-01-22,660.0,660.0,660.0,650.0,,138.0,,
2007-01-23,650.0,650.0,650.0,650.0,,115.0,,
2007-01-24,645.0,650.0,650.0,645.0,,210.0,,
2007-01-25,615.0,645.0,645.0,615.0,,330.0,,
2007-01-26,644.0,638.0,645.0,638.0,,105.0,,
2007-01-29,646.0,650.0,650.0,646.0,,69.0,,
2007-01-30,645.0,645.0,645.0,645.0,,81.0,,
2007-01-31,645.0,645.0,645.0,645.0,,30.0,,
2007-02-01,645.0,645.0,645.0,645.0,,184.0,,
2007-02-02,644.0,645.0,653.0,644.0,,87.0,,
2007-02-05,640.0,640.0,640.0,640.0,,68.0,,
2007-02-06,640.0,640.0,640.0,640.0,,100.0,,
2007-02-07,632.0,632.0,632.0,632.0,,43.0,,
2007-02-08,630.0,630.0,639.0,630.0,,84.0,,
2007-02-09,631.0,615.0,631.0,615.0,,1882.0,,
2007-02-12,646.0,630.0,646.0,625.0,,1069.0,,
2007-02-13,684.0,655.0,684.0,655.0,,3762.0,,
2007-02-14,725.0,702.0,725.0,702.0,,2878.0,,
2007-02-15,768.0,768.0,768.0,757.0,,1968.0,,
2007-02-16,777.0,771.0,780.0,771.0,,6660.0,,
2007-02-19,800.0,766.0,800.0,750.0,,6230.0,,
2007-02-20,800.0,787.0,800.0,780.0,,3448.0,,
2007-02-21,800.0,762.0,830.0,762.0,,2989.0,,
2007-02-22,791.0,788.0,799.0,788.0,,246.0,,
2007-02-23,799.0,775.0,799.0,744.0,,822.0,,
2007-02-26,790.0,778.0,790.0,778.0,,350.0,,
2007-02-27,829.0,790.0,830.0,790.0,,1423.0,,
2007-02-28,810.0,803.0,810.0,803.0,,168.0,,
2007-03-01,830.0,796.0,830.0,796.0,,1133.0,,
2007-03-02,835.0,820.0,835.0,820.0,,520.0,,
2007-03-05,850.0,840.0,850.0,812.0,,1475.0,,
2007-03-06,836.0,848.0,848.0,836.0,,902.0,,
2007-03-07,835.0,847.0,847.0,835.0,,623.0,,
2007-03-08,850.0,850.0,859.0,850.0,,3608.0,,
2007-03-09,840.0,850.0,851.0,840.0,,450.0,,
2007-03-12,830.0,842.0,842.0,830.0,,205.0,,276.888
2007-03-13,832.0,811.0,840.0,811.0,,864.0,,277.5552
2007-03-14,830.0,828.0,830.0,828.0,,149.0,,276.888
2007-03-15,840.0,830.0,840.0,830.0,,1143.0,,280.224
2007-03-16,828.0,828.0,828.0,828.0,,210.0,,276.2208
2007-03-19,828.0,828.0,830.0,828.0,,62.0,,276.2208
2007-03-20,830.0,828.0,830.0,815.0,,197.0,,276.888
2007-03-21,827.0,827.0,828.0,827.0,,81.0,,275.8872
2007-03-22,830.0,826.0,838.0,826.0,,565.0,,276.888
2007-03-23,830.0,830.0,830.0,830.0,,231.0,,276.888
2007-03-26,830.0,827.0,830.0,826.0,,388.0,,276.888
2007-03-27,840.0,830.0,850.0,830.0,,1786.0,,280.224
2007-03-28,850.0,840.0,850.0,840.0,,215.0,,283.56
2007-03-29,850.0,850.0,855.0,850.0,,290.0,,283.56
2007-03-30,838.0,838.0,838.0,838.0,,123.0,,279.5568
2007-04-03,840.0,850.0,850.0,840.0,,233.0,,280.224
2007-04-04,840.0,840.0,840.0,840.0,,601.0,,280.224
2007-04-05,838.0,840.0,840.0,838.0,,101.0,,279.5568
2007-04-06,870.0,837.0,870.0,837.0,,1139.0,,290.232
2007-04-09,880.0,853.0,880.0,853.0,,2150.0,,293.568
2007-04-10,885.0,866.0,885.0,866.0,,385.0,,295.236
2007-04-11,881.0,881.0,881.0,880.0,,97.0,,293.9016
2007-04-12,875.0,850.0,875.0,850.0,,1433.0,,291.9
2007-04-13,872.0,857.0,900.0,857.0,,1723.0,,290.8992
2007-04-16,870.0,870.0,870.0,861.0,,2104.0,,290.232
2007-04-17,915.0,863.0,915.0,850.0,,5646.0,,305.244
2007-04-18,915.0,910.0,930.0,910.0,,2321.0,,305.244
2007-04-19,920.0,891.0,920.0,891.0,,1129.0,,306.912
2007-04-20,920.0,902.0,920.0,902.0,,521.0,,306.912
2007-04-23,920.0,895.0,920.0,890.0,,307.0,,306.912
2007-04-24,940.0,901.0,940.0,901.0,,473.0,,313.584
2007-04-25,945.0,950.0,950.0,911.0,,242.0,,315.252
2007-04-26,950.0,950.0,950.0,950.0,,100.0,,316.92
2007-04-27,941.0,941.0,941.0,941.0,,100.0,,313.9176
2007-04-30,939.0,945.0,945.0,939.0,,111.0,,313.2504
2007-05-02,949.0,949.0,949.0,936.0,,377.0,,316.5864
2007-05-03,942.0,942.0,942.0,942.0,,1.0,,314.2512
2007-05-04,949.0,936.0,949.0,936.0,,76.0,,316.5864
2007-05-07,930.0,935.0,935.0,930.0,,7060.0,,310.248
2007-05-08,910.0,934.0,934.0,910.0,,242.0,,303.576
