date,close,open,high,low,turnover,volume,vwap,mktCap
2007-03-06,595.0,595.0,595.0,595.0,,316.0,,
2007-03-08,667.0,667.0,667.0,667.0,,6535.0,,
2007-03-12,749.0,749.0,749.0,671.0,,327733.0,,
2007-03-13,743.0,769.0,769.0,740.0,,77871.0,,
2007-03-14,726.0,738.0,744.0,725.0,,23138.0,,
2007-03-15,714.0,715.0,720.0,703.0,,24490.0,,
2007-03-16,708.0,700.0,711.0,692.0,,15630.0,,
2007-03-19,658.0,667.0,690.0,658.0,,16026.0,,
2007-03-20,636.0,635.0,645.0,635.0,,29924.0,,
2007-03-21,647.0,630.0,656.0,630.0,,12305.0,,
2007-03-22,649.0,651.0,660.0,640.0,,5841.0,,
2007-03-23,646.0,641.0,646.0,640.0,,3807.0,,
2007-03-26,640.0,650.0,650.0,640.0,,4209.0,,
2007-03-27,640.0,640.0,644.0,630.0,,4458.0,,
2007-03-28,605.0,624.0,630.0,602.0,,12285.0,,
2007-03-29,600.0,605.0,608.0,600.0,,11450.0,,
2007-03-30,574.0,590.0,590.0,570.0,,5782.0,,
2007-04-03,564.0,551.0,583.0,551.0,,5512.0,,
2007-04-04,550.0,561.0,562.0,542.0,,8069.0,,
2007-04-05,535.0,538.0,540.0,535.0,,3614.0,,
2007-04-06,567.0,531.0,567.0,531.0,,5135.0,,
2007-04-09,601.0,595.0,601.0,586.0,,7982.0,,
2007-04-10,617.0,630.0,630.0,617.0,,6970.0,,
2007-04-11,602.0,610.0,619.0,601.0,,2890.0,,
2007-04-12,590.0,601.0,609.0,590.0,,3767.0,,
2007-04-13,593.0,585.0,600.0,585.0,,2686.0,,
2007-04-16,600.0,590.0,602.0,590.0,,867.0,,
2007-04-17,587.0,591.0,596.0,587.0,,1409.0,,
2007-04-18,599.0,592.0,610.0,586.0,,2975.0,,
2007-04-19,594.0,598.0,599.0,586.0,,881.0,,
2007-04-20,593.0,586.0,594.0,586.0,,1065.0,,
2007-04-23,592.0,586.0,592.0,580.0,,321.0,,
2007-04-24,589.0,585.0,595.0,580.0,,2608.0,,
2007-04-25,572.0,589.0,589.0,570.0,,2456.0,,
2007-04-26,580.0,573.0,580.0,573.0,,1415.0,,
2007-04-27,580.0,575.0,595.0,571.0,,10151.0,,
2007-04-30,576.0,573.0,587.0,573.0,,1115.0,,
2007-05-02,571.0,577.0,580.0,571.0,,1868.0,,
2007-05-03,571.0,570.0,575.0,570.0,,2203.0,,
2007-05-04,571.0,570.0,575.0,560.0,,2852.0,,
2007-05-07,570.0,572.0,572.0,564.0,,1080.0,,
2007-05-08,565.0,560.0,570.0,560.0,,1796.0,,
2007-05-09,540.0,556.0,557.0,540.0,,4276.0,,
2007-05-10,520.0,538.0,549.0,508.0,,2626.0,,
2007-05-11,508.0,500.0,520.0,500.0,,4057.0,,
2007-05-14,500.0,501.0,515.0,496.0,,3237.0,,
2007-05-15,502.0,490.0,525.0,480.0,,5809.0,,
2007-05-16,532.0,530.0,532.0,506.0,,4131.0,,
2007-05-17,559.0,559.0,560.0,535.0,,2719.0,,
2007-05-18,530.0,555.0,555.0,530.0,,1597.0,,
2007-05-21,552.0,554.0,554.0,520.0,,1850.0,,
2007-05-22,548.0,550.0,550.0,530.0,,1526.0,,
2007-05-23,540.0,545.0,545.0,521.0,,553.0,,
2007-05-24,525.0,518.0,530.0,518.0,,1427.0,,
2007-05-25,520.0,521.0,529.0,520.0,,1083.0,,
2007-05-28,514.0,521.0,535.0,510.0,,697.0,,
2007-05-29,514.0,515.0,516.0,510.0,,1495.0,,
2007-05-30,512.0,511.0,515.0,511.0,,658.0,,
2007-05-31,527.0,512.0,527.0,512.0,,1599.0,,
2007-06-01,527.0,520.0,530.0,520.0,,332.0,,
2007-06-04,514.0,520.0,520.0,514.0,,991.0,,
2007-06-05,513.0,512.0,513.0,510.0,,627.0,,
2007-06-06,517.0,524.0,524.0,513.0,,1375.0,,
2007-06-07,520.0,520.0,530.0,520.0,,2835.0,,
2007-06-08,520.0,520.0,521.0,520.0,,191.0,,
