date,close,open,high,low,turnover,volume,vwap,mktCap
2006-12-06,392.6,392.6,392.6,356.95,,9514.0,,564.9514
2006-12-07,,,,,,,,564.9514
2006-12-08,475.0,475.0,475.0,431.85,,7589.0,,683.525
2006-12-11,,,,,,,,683.525
2006-12-12,533.0,533.0,533.0,503.0,,4272.0,,766.987
2006-12-13,,,,,,,,766.987
2006-12-14,597.0,597.0,597.0,564.0,,10094.0,,859.083
2006-12-15,,,,,,,,859.083
2006-12-18,669.0,669.0,669.0,632.0,,52699.0,,962.691
2006-12-19,,,,,,,,962.691
2006-12-20,751.0,751.0,751.0,709.0,,66194.0,,1080.689
2006-12-21,,,,,,,,1080.689
2006-12-22,843.0,843.0,843.0,796.0,,26195.0,,1213.077
2006-12-25,,,,,,,,1213.077
2006-12-26,946.0,946.0,946.0,893.0,,20207.0,,1361.294
2006-12-27,,,,,,,,1361.294
2006-12-28,946.0,1062.0,1062.0,946.0,,64567.0,,1361.294
2006-12-29,969.0,890.0,969.0,890.0,,31947.0,,1394.391
2007-01-02,911.0,911.0,911.0,911.0,,8325.0,,1310.929
2007-01-03,900.0,870.0,914.0,870.0,,7383.0,,1295.1
2007-01-04,886.0,891.0,900.0,886.0,,12422.0,,1274.954
2007-01-05,,,,,,,,1274.954
2007-01-08,862.0,850.0,880.0,850.0,,4799.0,,1240.418
2007-01-09,835.0,816.0,840.0,815.0,,10542.0,,1201.565
2007-01-10,818.0,819.0,820.0,807.0,,10191.0,,1177.102
2007-01-12,769.0,785.0,813.0,769.0,,7044.0,,1106.591
2007-01-15,735.0,731.0,770.0,731.0,,13885.0,,1057.665
2007-01-16,712.0,700.0,740.0,696.0,,12030.0,,1024.568
2007-01-17,723.0,716.0,745.0,716.0,,7642.0,,1040.397
2007-01-18,739.0,740.0,744.0,731.0,,3972.0,,1063.421
2007-01-19,731.0,739.0,739.0,730.0,,1464.0,,1051.909
2007-01-22,745.0,721.0,755.0,721.0,,3957.0,,1072.055
2007-01-23,776.0,760.0,782.0,760.0,,4124.0,,1116.664
2007-01-24,822.0,796.0,822.0,796.0,,7658.0,,1182.858
2007-01-25,850.0,850.0,864.0,846.0,,11396.0,,1223.15
2007-01-26,832.0,847.0,847.0,812.0,,4601.0,,1197.248
2007-01-29,814.0,820.0,825.0,790.0,,2788.0,,1171.346
2007-01-30,808.0,792.0,810.0,792.0,,4425.0,,1162.712
2007-01-31,785.0,795.0,808.0,785.0,,2164.0,,1129.615
2007-02-01,800.0,786.0,802.0,766.0,,2082.0,,1151.2
2007-02-02,788.0,775.0,800.0,775.0,,2603.0,,1133.932
2007-02-05,775.0,775.0,800.0,764.0,,1940.0,,1115.225
2007-02-06,775.0,762.0,775.0,762.0,,1483.0,,1115.225
2007-02-07,765.0,770.0,790.0,765.0,,1706.0,,1100.835
2007-02-08,763.0,760.0,788.0,760.0,,594.0,,1097.957
2007-02-09,771.0,766.0,775.0,755.0,,2338.0,,1109.469
2007-02-12,771.0,756.0,771.0,753.0,,2601.0,,1109.469
2007-02-13,774.0,751.0,776.0,751.0,,1598.0,,1113.786
2007-02-14,790.0,772.0,809.0,762.0,,9927.0,,1136.81
2007-02-15,789.0,781.0,790.0,781.0,,2875.0,,1135.371
2007-02-16,796.0,780.0,799.0,777.0,,5370.0,,1145.444
2007-02-19,784.0,780.0,795.0,780.0,,605.0,,1128.176
2007-02-20,789.0,771.0,789.0,771.0,,2461.0,,1135.371
2007-02-21,770.0,770.0,780.0,770.0,,1002.0,,1108.03
2007-02-22,730.0,755.0,769.0,730.0,,4207.0,,1050.47
2007-02-23,760.0,732.0,760.0,732.0,,585.0,,1093.64
2007-02-26,777.0,742.0,778.0,742.0,,2346.0,,1118.103
2007-02-27,740.0,760.0,766.0,740.0,,1825.0,,1064.86
2007-02-28,750.0,742.0,750.0,740.0,,1002.0,,1079.25
2007-03-01,758.0,750.0,759.0,742.0,,1101.0,,1090.762
2007-03-02,752.0,741.0,752.0,740.0,,2313.0,,1082.128
2007-03-05,759.0,742.0,760.0,742.0,,319.0,,1092.201
2007-03-06,760.0,747.0,760.0,747.0,,570.0,,1093.64
2007-03-07,750.0,752.0,769.0,746.0,,1353.0,,1079.25
2007-03-08,744.0,750.0,758.0,744.0,,1714.0,,1070.616
2007-03-09,749.0,750.0,750.0,740.0,,1767.0,,1077.811
2007-03-12,750.0,735.0,750.0,735.0,,1606.0,,1079.25
2007-03-13,740.0,740.0,747.0,740.0,,1131.0,,1064.86
2007-03-14,736.0,732.0,745.0,732.0,,1276.0,,1059.104
2007-03-15,728.0,735.0,739.0,728.0,,2079.0,,1047.592
2007-03-16,,,,,,,,1047.592
2007-03-19,695.0,681.0,719.0,681.0,,2804.0,,1000.105
2007-03-20,673.0,658.0,694.0,658.0,,1586.0,,968.447
2007-03-21,703.0,700.0,713.0,700.0,,1633.0,,1011.617
2007-03-22,705.0,721.0,736.0,705.0,,3074.0,,1014.495
2007-03-23,723.0,719.0,724.0,700.0,,2136.0,,1040.397
2007-03-26,700.0,701.0,723.0,700.0,,1772.0,,1007.3
2007-03-27,700.0,710.0,710.0,696.0,,1480.0,,1007.3
2007-03-28,700.0,692.0,713.0,688.0,,2536.0,,1007.3
2007-03-29,668.0,705.0,705.0,660.0,,4002.0,,961.252
2007-03-30,660.0,668.0,680.0,640.0,,2701.0,,949.74
2007-04-03,652.0,660.0,670.0,650.0,,1529.0,,938.228
2007-04-04,640.0,648.0,657.0,640.0,,1675.0,,920.96
2007-04-05,630.0,640.0,645.0,630.0,,1079.0,,906.57
2007-04-06,665.0,630.0,667.0,621.0,,5875.0,,956.935
2007-04-09,668.0,666.0,695.0,666.0,,2416.0,,961.252
2007-04-10,654.0,672.0,675.0,650.0,,1636.0,,941.106
2007-04-11,670.0,675.0,675.0,658.0,,1250.0,,964.13
2007-04-12,669.0,669.0,670.0,669.0,,113.0,,962.691
2007-04-13,657.0,679.0,679.0,651.0,,1224.0,,945.423
2007-04-16,658.0,655.0,679.0,655.0,,1046.0,,946.862
2007-04-17,660.0,656.0,670.0,656.0,,733.0,,949.74
2007-04-18,670.0,659.0,677.0,659.0,,4988.0,,964.13
2007-04-19,665.0,663.0,670.0,656.0,,2137.0,,956.935
2007-04-20,650.0,658.0,670.0,650.0,,4809.0,,935.35
2007-04-23,655.0,650.0,660.0,650.0,,1700.0,,942.545
2007-04-24,659.0,661.0,661.0,650.0,,747.0,,948.301
