date,close,open,high,low,turnover,volume,vwap,mktCap
1997-05-02,277.0,,,,,,,
1997-05-05,277.05,,,,,,,
1997-05-06,278.0,,,,,,,
1997-05-07,277.0,,,,,,,
1997-05-09,277.0,,,,,,,
1997-05-12,277.0,,,,,,,
1997-05-13,285.0,,,,,,,
1997-05-14,294.0,,,,,,,
1997-05-15,293.0,,,,,,,
1997-05-16,294.0,,,,,,,
1997-05-19,295.0,,,,,,,
1997-05-20,295.0,,,,,,,
1997-05-21,300.0,,,,,,,
1997-05-22,305.0,,,,,,,
1997-05-26,309.0,,,,,,,
1997-05-27,309.0,,,,,,,
1997-05-28,300.0,,,,,,,
1997-05-29,292.0,,,,,,,
1997-05-30,300.0,,,,,,,
1997-06-02,309.0,,,,,,,
1997-06-03,318.0,,,,,,,
1997-06-04,309.0,,,,,,,
1997-06-05,300.0,,,,,,,
1997-06-06,301.0,,,,,,,
1997-06-09,300.0,,,,,,,
1997-06-10,300.0,,,,,,,
1997-06-11,300.0,,,,,,,
1997-06-12,300.0,,,,,,,
1997-06-13,301.0,,,,,,,
1997-06-16,300.0,,,,,,,
1997-06-17,291.0,,,,,,,
1997-06-18,283.0,,,,,,,
1997-06-19,291.0,,,,,,,
1997-06-20,300.0,,,,,,,
1997-06-23,308.0,,,,,,,
1997-06-24,309.0,,,,,,,
1997-06-25,300.0,,,,,300.0,,
1997-06-26,295.0,,,,,,,
1997-06-27,304.0,,,,,,,
1997-06-30,300.0,,,,,,,
1997-07-01,290.0,,,,,,,
1997-07-02,282.0,,,,,,,
1997-07-03,282.0,,,,,,,
1997-07-04,277.0,,,,,,,
1997-07-07,278.0,,,,,,,
1997-07-08,285.0,,,,,,,
1997-07-10,285.0,,,,,,,
1997-07-11,285.0,,,,,,,
1997-07-14,285.0,,,,,,,
1997-07-15,285.0,,,,,,,
1997-07-16,285.0,285.0,285.0,285.0,,66.0,,
1997-07-17,288.0,288.0,288.0,288.0,,153.0,,
1997-07-21,288.5,288.5,288.5,288.5,,600.0,,
1997-07-22,289.0,289.0,289.0,289.0,,74.0,,
1997-07-24,289.0,289.0,289.0,289.0,,502.0,,
1997-07-28,290.0,290.0,290.0,290.0,,23.0,,
1997-07-29,290.0,290.0,290.0,290.0,,77.0,,
1997-07-30,289.0,,,,,93.0,,
1997-07-31,289.0,289.0,289.0,289.0,,187.0,,
1997-08-01,290.45,290.45,290.45,290.45,,662.0,,
1997-08-04,290.45,290.45,290.45,290.45,,100.0,,
1997-08-05,290.45,290.45,290.45,290.45,,190.0,,
1997-08-06,282.0,282.0,282.0,282.0,,40.0,,
1997-08-07,285.0,285.0,285.0,285.0,,425.0,,
1997-08-08,285.0,285.0,285.0,285.0,,55.0,,
1997-08-11,285.0,285.0,285.0,285.0,,244.0,,
1997-08-12,282.5,282.5,282.5,282.5,,198.0,,
1997-08-13,290.0,290.0,290.0,290.0,,50.0,,
1997-08-15,282.0,,,,,66.0,,
1997-08-19,282.0,282.0,282.0,282.0,,201.0,,
1997-08-21,280.0,280.0,280.0,280.0,,9.0,,
1997-08-22,280.0,280.0,280.0,280.0,,78.0,,
1997-08-26,281.0,,,,,570.0,,
1997-08-27,281.0,,,,,114.0,,
1997-08-29,290.0,290.0,290.0,290.0,,58.0,,
1997-09-01,289.0,289.0,289.0,289.0,,32.0,,
1997-09-03,281.0,281.0,281.0,281.0,,170.0,,
1997-09-04,281.0,,,,,404.0,,
1997-09-05,289.4,289.4,289.4,289.4,,277.0,,
1997-09-08,290.0,290.0,290.0,290.0,,64.0,,
1997-09-09,281.3,281.3,281.3,281.3,,20.0,,
1997-09-10,282.0,282.0,282.0,282.0,,208.0,,
1997-09-11,286.0,286.0,286.0,286.0,,137.0,,
1997-09-12,285.0,285.0,285.0,285.0,,199.0,,
1997-09-15,285.0,,,,,,,
1997-09-16,284.0,284.0,284.0,284.0,,346.0,,
1997-09-17,275.5,275.5,275.5,275.5,,306.0,,
1997-09-18,275.0,275.0,275.0,275.0,,316.0,,
1997-09-19,275.0,275.0,275.0,275.0,,59.0,,
1997-09-22,283.0,,,,,108.0,,
1997-09-23,276.0,,,,,292.0,,
1997-09-24,276.0,,,,,232.0,,
1997-09-25,275.0,,,,,242.0,,
1997-09-26,283.25,283.25,283.25,283.25,,178.0,,
1997-09-29,276.0,276.0,276.0,276.0,,78.0,,
1997-10-01,276.0,276.0,276.0,276.0,,,,
1997-10-02,276.0,276.0,276.0,276.0,,161.0,,
1997-10-03,277.0,277.0,277.0,277.0,,255.0,,
1997-10-06,278.0,,,,,188.0,,
1997-10-07,278.0,,,,,106.0,,
1997-10-08,277.0,,,,,452.0,,
1997-10-09,277.0,277.0,277.0,277.0,,148.0,,
1997-10-10,277.0,,,,,277.0,,
1997-10-13,278.0,,,,,145.0,,
1997-10-15,276.05,276.05,276.05,276.05,,100.0,,
1997-10-16,276.05,,,,,83.0,,
1997-10-17,275.0,,,,,759.0,,
1997-10-20,276.0,,,,,15.0,,
1997-10-21,275.0,,,,,108.0,,
1997-10-22,275.0,,,,,78.0,,
1997-10-23,275.0,,,,,200.0,,
1997-10-24,275.0,,,,,142.0,,
1997-10-27,270.0,,,,,40.0,,
1997-10-28,270.0,270.0,270.0,270.0,,656.0,,
1997-10-29,272.05,,,,,128.0,,
1997-10-30,275.05,,,,,271.0,,
1997-10-31,275.05,,,,,318.0,,
1997-11-04,275.0,,,,,649.0,,
1997-11-05,270.0,,,,,465.0,,
1997-11-07,275.0,,,,,319.0,,
1997-11-10,267.2,,,,,200.0,,
1997-11-11,262.0,,,,,530.0,,
1997-11-12,262.1,,,,,402.0,,
1997-11-13,269.95,,,,,117.0,,
1997-11-14,275.0,,,,,197.0,,
1997-11-20,267.0,,,,,710.0,,
1997-11-21,265.0,,,,,,,
1997-11-24,267.0,,,,,,,
1997-11-26,275.0,,,,,80.0,,
1997-11-27,266.75,266.75,266.75,266.75,,31.0,,
1997-12-01,265.0,265.0,265.0,265.0,,820.0,,
1997-12-02,267.0,,,,,75.0,,
1997-12-03,267.0,,,,,698.0,,
1997-12-04,267.0,,,,,,,
1997-12-05,270.0,270.0,270.0,270.0,,20.0,,
1997-12-08,265.05,265.05,265.05,265.05,,379.0,,
1997-12-11,266.0,266.0,266.0,266.0,,1263.0,,
1997-12-15,265.0,,,,,74.0,,
1997-12-16,265.0,265.0,265.0,265.0,,379.0,,
1997-12-17,265.0,265.0,265.0,265.0,,274.0,,
1997-12-18,265.0,265.0,265.0,265.0,,1152.0,,
1997-12-19,265.0,,,,,20.0,,
1997-12-22,265.0,265.0,265.0,265.0,,538.0,,
1997-12-23,265.0,265.0,265.0,265.0,,522.0,,
1997-12-24,265.0,265.0,265.0,265.0,,1.0,,
1997-12-26,269.0,,,,,11.0,,
1997-12-31,265.0,265.0,265.0,265.0,,1120.0,,
1998-01-02,265.0,265.0,265.0,265.0,,400.0,,
1998-01-05,265.0,265.0,265.0,265.0,,122.0,,
1998-01-06,269.0,269.0,269.0,269.0,,10.0,,
1998-01-07,260.95,260.95,260.95,260.95,,235.0,,
1998-01-08,262.0,262.0,262.0,262.0,,45.0,,
1998-01-09,262.2,262.2,262.2,262.2,,197.0,,
1998-01-13,263.0,263.0,263.0,263.0,,120.0,,
1998-01-14,260.0,260.0,260.0,260.0,,108.0,,
1998-01-15,260.0,260.0,260.0,260.0,,125.0,,
1998-01-16,260.0,260.0,260.0,260.0,,1002.0,,
1998-01-19,260.0,260.0,260.0,260.0,,169.0,,
1998-01-20,260.0,260.0,260.0,260.0,,180.0,,
1998-01-21,259.0,259.0,259.0,259.0,,20.0,,
