date,close,open,high,low,turnover,volume,vwap,mktCap
1999-05-03,185.0,185.0,185.0,185.0,,412500.0,,
1999-05-05,220.3,220.3,220.3,220.3,,483.0,,
1999-05-10,262.35,262.35,262.35,262.35,,,,
1999-05-11,270.0,270.0,270.0,270.0,,44027.0,,
1999-05-12,255.0,255.0,255.0,255.0,,18111.0,,
1999-05-13,261.0,261.0,261.0,261.0,,6947.0,,
1999-05-14,260.0,260.0,260.0,260.0,,6668.0,,
1999-05-17,268.0,268.0,268.0,268.0,,9135.0,,
1999-05-18,259.0,259.0,259.0,259.0,,2887.0,,
1999-05-19,259.0,259.0,259.0,259.0,,3695.0,,
1999-05-20,251.0,251.0,251.0,251.0,,4187.0,,
1999-05-21,250.0,250.0,250.0,250.0,,6787.0,,
1999-05-24,250.0,250.0,250.0,250.0,,5717.0,,
1999-05-25,249.95,249.95,249.95,249.95,,4676.0,,
1999-05-26,249.0,249.0,249.0,249.0,,11124.0,,
1999-05-28,244.0,244.0,244.0,244.0,,3784.0,,
1999-05-31,247.0,247.0,247.0,247.0,,,,
1999-06-01,245.0,245.0,245.0,245.0,,5608.0,,
1999-06-02,240.0,240.0,240.0,240.0,,3341.0,,
1999-06-03,242.0,242.0,242.0,242.0,,8001.0,,
1999-06-08,226.0,226.0,226.0,226.0,,,,
1999-06-10,220.0,220.0,220.0,220.0,,1074.0,,
1999-06-11,230.0,230.0,230.0,230.0,,1212.0,,
1999-06-14,226.0,226.0,226.0,226.0,,449.0,,
1999-06-15,220.0,220.0,220.0,220.0,,401.0,,
1999-06-16,220.0,220.0,220.0,220.0,,759.0,,
1999-06-17,225.0,225.0,225.0,225.0,,601.0,,
1999-06-18,228.0,228.0,228.0,228.0,,1482.0,,
1999-06-21,231.0,231.0,231.0,231.0,,1524.0,,
1999-06-22,230.0,230.0,230.0,230.0,,674.0,,
1999-06-23,230.1,230.1,230.1,230.1,,630.0,,
1999-06-24,233.0,233.0,233.0,233.0,,2167.0,,
1999-06-25,231.3,231.3,231.3,231.3,,1585.0,,
1999-06-28,231.0,231.0,231.0,231.0,,3275.0,,
1999-06-29,232.0,232.0,232.0,232.0,,1250.0,,
1999-07-01,230.0,230.0,230.0,230.0,,1408.0,,
1999-07-02,232.0,232.0,232.0,232.0,,,,
1999-07-05,232.0,232.0,232.0,232.0,,4470.0,,
1999-07-06,233.0,233.0,233.0,233.0,,1837.0,,
1999-07-08,237.0,237.0,237.0,237.0,,2376.0,,
1999-07-12,234.0,234.0,234.0,234.0,,1935.0,,
1999-07-13,233.0,233.0,233.0,233.0,,,,
1999-07-14,234.0,234.0,234.0,234.0,,1483.0,,
