date,close,open,high,low,turnover,volume,vwap,mktCap
2010-07-12,826.0,826.0,826.0,826.0,,,,
2010-07-13,856.0,856.0,856.0,856.0,,,,
2010-07-14,848.0,848.0,848.0,848.0,,,,
2010-07-15,848.0,848.0,848.0,848.0,,,,
2010-07-16,827.0,827.0,827.0,827.0,,,,
2010-07-19,851.0,851.0,851.0,851.0,,,,
2010-07-20,813.0,813.0,813.0,813.0,,,,
2010-07-21,789.0,789.0,789.0,789.0,,,,
2010-07-22,821.0,821.0,821.0,821.0,,,,
2010-07-26,821.0,821.0,821.0,821.0,,,,
2010-07-27,821.0,821.0,821.0,821.0,,,,
2010-07-28,800.0,800.0,800.0,800.0,,,,
2010-07-29,805.0,805.0,805.0,805.0,,,,
2010-08-02,808.0,808.0,808.0,808.0,,,,
2010-08-03,806.0,806.0,806.0,806.0,,,,
2010-08-04,791.0,791.0,791.0,791.0,,,,
2010-08-05,796.0,796.0,796.0,796.0,,,,
2010-08-06,796.0,796.0,796.0,796.0,,,,
2010-08-11,817.0,817.0,817.0,817.0,,,,
2010-08-12,806.0,806.0,806.0,806.0,,,,
2010-08-13,806.0,806.0,806.0,806.0,,,,
2010-08-16,806.0,806.0,806.0,806.0,,,,
2010-08-17,806.0,806.0,806.0,806.0,,,,
2010-08-18,806.0,806.0,806.0,806.0,,,,
2010-08-19,806.0,806.0,806.0,806.0,,,,
2010-08-23,806.0,806.0,806.0,806.0,,,,
2010-08-24,806.0,806.0,806.0,806.0,,,,
2010-08-25,806.0,806.0,806.0,806.0,,,,
2010-08-26,796.0,796.0,796.0,796.0,,,,
2010-08-27,796.0,796.0,796.0,796.0,,,,
2010-08-30,796.0,796.0,796.0,796.0,,,,
