date,close,open,high,low,turnover,volume,vwap,mktCap
2004-12-15,79.9,81.22,81.22,76.64,,5290652.0,,70239.7125
2004-12-16,80.5,80.5,81.22,79.9,,2006229.0,,70767.1697
2004-12-17,81.24,81.2,81.46,80.5,,825006.0,,71417.7002
2004-12-20,,,,,,,,71417.7002
2004-12-21,83.24,83.0,83.5,82.5,,686836.0,,73175.8908
2004-12-22,86.0,85.0,86.0,83.24,,893067.0,,75602.1937
2004-12-23,86.0,88.0,88.5,86.0,,1067963.0,,75602.1937
2004-12-24,82.9,86.0,86.8,82.9,,496438.0,,72876.9984
2004-12-27,82.92,84.0,84.0,82.54,,331257.0,,72894.5803
2004-12-28,82.8,83.0,83.0,82.5,,236491.0,,72789.0888
2004-12-29,84.6,82.92,84.96,82.8,,417237.0,,74371.4603
2004-12-30,85.2,85.0,86.0,84.6,,510340.0,,74898.9175
2004-12-31,86.7,86.0,86.88,85.2,,479016.0,,76217.5604
2005-01-03,87.3,87.0,87.98,87.0,,281212.0,,76745.0176
2005-01-04,86.38,87.3,87.3,85.2,,114473.0,,75936.2499
2005-01-05,86.78,87.0,87.0,85.2,,148051.0,,76287.888
2005-01-06,85.96,86.5,86.86,85.52,,246591.0,,75567.0299
2005-01-07,85.0,85.0,85.5,84.0,,441742.0,,74723.0984
2005-01-10,85.5,85.0,85.5,85.0,,158077.0,,75162.6461
2005-01-12,85.0,84.16,85.0,84.14,,274129.0,,74723.0984
2005-01-13,86.18,85.1,86.2,85.02,,283775.0,,75760.4309
2005-01-14,86.02,86.2,86.4,86.02,,237364.0,,75619.7756
2005-01-17,86.2,86.02,86.26,86.0,,177777.0,,75778.0128
2005-01-18,86.5,86.32,86.68,86.22,,268572.0,,76041.7414
2005-01-19,86.5,86.5,86.72,86.42,,124547.0,,76041.7414
2005-01-20,86.7,86.5,86.8,86.5,,135754.0,,76217.5604
2005-01-24,86.7,86.32,86.7,86.14,,93387.0,,76217.5604
2005-01-25,86.18,87.0,87.0,86.04,,69209.0,,75760.4309
2005-01-26,85.34,85.5,86.0,85.06,,91139.0,,75021.9908
2005-01-27,85.66,85.34,85.9,85.34,,91595.0,,75303.3013
2005-01-28,86.52,86.0,86.52,86.0,,109389.0,,76059.3233
2005-01-31,86.32,86.32,86.32,86.32,,38506.0,,75883.5042
2005-02-01,87.14,87.0,87.6,86.54,,280367.0,,76604.3623
2005-02-02,87.48,87.34,87.5,87.04,,262635.0,,76903.2547
2005-02-03,87.1,87.5,87.5,87.04,,101863.0,,76569.1985
2005-02-04,86.0,87.48,87.48,85.5,,186884.0,,75602.1937
2005-02-07,87.0,86.22,87.38,86.14,,248974.0,,76481.289
2005-02-08,86.2,86.2,86.5,86.2,,53694.0,,75778.0128
2005-02-09,86.24,86.0,86.5,86.0,,110246.0,,75813.1766
2005-02-11,86.1,86.48,86.48,86.04,,53487.0,,75690.1033
