date,close,open,high,low,turnover,volume,vwap,mktCap
2001-07-09,594.0,594.0,594.0,594.0,,,,99.198
2001-07-10,600.0,600.0,600.0,594.0,,4841.0,,100.2
2001-07-11,564.0,564.0,600.0,564.0,,1875.0,,94.188
2001-07-12,564.0,564.0,564.0,564.0,,378.0,,94.188
2001-07-13,597.0,597.0,597.0,564.0,,250.0,,99.699
2001-07-16,599.0,599.0,599.0,597.0,,50.0,,100.033
2001-07-17,594.0,594.0,599.0,594.0,,50.0,,99.198
2001-07-18,564.0,564.0,594.0,564.0,,60.0,,94.188
2001-07-19,545.0,545.0,564.0,545.0,,184.0,,91.015
2001-07-20,575.0,575.0,575.0,545.0,,50.0,,96.025
2001-07-23,549.0,549.0,575.0,549.0,,51.0,,91.683
2001-07-24,564.0,564.0,564.0,549.0,,1.0,,94.188
2001-07-25,564.0,564.0,564.0,564.0,,66.0,,94.188
2001-07-26,575.0,575.0,575.0,564.0,,1.0,,96.025
2001-07-27,590.0,590.0,590.0,575.0,,50.0,,98.53
2001-07-31,587.0,587.0,590.0,587.0,,1.0,,98.029
2001-08-01,565.0,565.0,587.0,565.0,,50.0,,94.355
2001-08-02,551.0,551.0,565.0,551.0,,95.0,,92.017
2001-08-03,565.0,565.0,565.0,551.0,,50.0,,94.355
2001-08-06,565.0,565.0,565.0,565.0,,68.0,,94.355
2001-08-07,570.0,570.0,570.0,565.0,,50.0,,95.19
2001-08-08,570.0,570.0,570.0,570.0,,50.0,,95.19
2001-08-09,570.0,570.0,570.0,570.0,,2.0,,95.19
2001-08-10,566.0,566.0,570.0,566.0,,1.0,,94.522
2001-08-13,540.0,540.0,566.0,540.0,,20.0,,90.18
2001-08-15,521.0,521.0,540.0,521.0,,70.0,,87.007
2001-08-16,530.0,530.0,530.0,521.0,,14.0,,88.51
2001-08-17,551.0,551.0,551.0,530.0,,178.0,,92.017
2001-08-22,550.0,550.0,550.0,550.0,,38.0,,91.85
2001-08-23,550.0,550.0,550.0,550.0,,50.0,,91.85
2001-08-24,565.0,565.0,565.0,550.0,,50.0,,94.355
2001-08-27,565.0,565.0,565.0,565.0,,1.0,,94.355
2001-08-28,565.0,565.0,565.0,565.0,,1.0,,94.355
2001-08-29,569.0,569.0,569.0,569.0,,80.0,,95.023
2001-08-30,562.0,562.0,569.0,562.0,,41.0,,93.854
2001-08-31,570.0,570.0,570.0,562.0,,50.0,,95.19
2001-09-03,546.0,546.0,570.0,546.0,,297.0,,91.182
2001-09-04,561.0,561.0,561.0,561.0,,4.0,,93.687
2001-09-05,535.0,535.0,561.0,535.0,,486.0,,89.345
2001-09-06,535.0,535.0,535.0,535.0,,60.0,,89.345
2001-09-07,535.0,535.0,535.0,535.0,,100.0,,89.345
2001-09-10,536.0,536.0,536.0,535.0,,158.0,,89.512
2001-09-11,535.0,535.0,536.0,535.0,,50.0,,89.345
2001-09-12,503.0,503.0,535.0,503.0,,116.0,,84.001
2001-09-13,520.0,520.0,520.0,503.0,,50.0,,86.84
2001-09-14,520.0,520.0,520.0,520.0,,50.0,,86.84
2001-09-17,520.0,520.0,520.0,520.0,,50.0,,86.84
2001-09-18,495.0,495.0,520.0,495.0,,242.0,,82.665
2001-09-19,489.0,489.0,495.0,489.0,,20.0,,81.663
2001-09-20,460.0,460.0,489.0,460.0,,50.0,,76.82
2001-09-21,433.0,433.0,460.0,433.0,,233.0,,72.311
2001-09-24,445.0,445.0,445.0,433.0,,200.0,,74.315
2001-09-25,455.0,455.0,455.0,445.0,,100.0,,75.985
2001-09-26,459.0,459.0,459.0,455.0,,50.0,,76.653
2001-09-27,459.0,459.0,459.0,459.0,,65.0,,76.653
2001-09-28,459.0,459.0,459.0,459.0,,50.0,,76.653
2001-10-01,459.0,459.0,459.0,459.0,,50.0,,76.653
2001-10-02,459.0,459.0,459.0,459.0,,5.0,,76.653
2001-10-03,436.0,436.0,459.0,436.0,,39.0,,72.812
2001-10-04,425.0,425.0,436.0,425.0,,52.0,,70.975
2001-10-05,450.0,450.0,450.0,425.0,,50.0,,75.15
2001-10-08,449.0,449.0,450.0,449.0,,260.0,,74.983
2001-10-09,423.0,423.0,449.0,423.0,,48.0,,70.641
2001-10-10,447.5,447.5,447.5,423.0,,30.0,,74.7325
2001-10-11,457.0,457.0,457.0,447.5,,70.0,,76.319
2001-10-12,458.0,458.0,458.0,457.0,,5.0,,76.486
2001-10-15,464.0,464.0,464.0,458.0,,25.0,,77.488
2001-10-16,465.0,465.0,465.0,464.0,,5.0,,77.655
2001-10-17,460.0,460.0,465.0,460.0,,5.0,,76.82
2001-10-18,460.0,460.0,460.0,460.0,,5.0,,76.82
2001-10-19,465.0,465.0,465.0,460.0,,5.0,,77.655
2001-10-22,465.0,465.0,465.0,465.0,,5.0,,77.655
2001-10-23,465.0,465.0,465.0,465.0,,5.0,,77.655
2001-10-24,465.0,465.0,465.0,465.0,,75.0,,77.655
2001-10-25,465.0,465.0,465.0,465.0,,5.0,,77.655
2001-10-26,492.5,492.5,492.5,465.0,,118.0,,82.2475
2001-10-29,258.0,258.0,258.0,246.25,,60.0,,107.715
2001-10-30,258.0,258.0,258.0,258.0,,,,107.715
2001-10-31,258.0,258.0,258.0,258.0,,,,107.715
2001-11-01,242.55,242.55,258.0,242.55,,211.0,,101.2646
2001-11-02,,,,,,,,101.2646
2001-11-05,229.95,229.95,229.95,229.95,,10.0,,96.0041
2001-11-07,229.95,229.95,229.95,229.95,,10.0,,96.0041
2001-11-08,229.95,229.95,229.95,229.95,,10.0,,96.0041
2001-11-09,229.95,229.95,229.95,229.95,,,,96.0041
2001-11-12,,,,,,,,96.0041
2001-11-13,203.25,203.25,452.5,203.25,,10.0,,84.8569
2001-11-14,203.25,203.25,203.25,203.25,,,,84.8569
2001-11-15,180.0,180.0,191.1,180.0,,634.0,,75.15
2001-11-16,188.05,188.05,188.05,180.0,,100.0,,78.5109
2001-11-19,188.05,188.05,188.05,188.05,,,,78.5109
2001-11-20,180.0,180.0,180.0,176.8,,50.0,,75.15
