date,close,open,high,low,turnover,volume,vwap,mktCap
2018-05-10,100.0,,,,,,,
2018-05-11,101.0,101.0,101.9,100.0,5277658.0,52114.0,101.2714,
2018-05-14,101.0,101.2,101.2,100.3,5631720.0,55763.0,100.9938,
2018-05-15,100.0,100.95,101.0,98.0,4715122.0,46977.0,100.3709,
2018-05-16,100.0,98.0,100.0,98.0,736520.8,7481.0,98.4522,
2018-05-17,100.0,100.0,100.0,98.02,234624.1,2353.0,99.7127,
2018-05-18,98.0,98.1,98.1,98.0,831659.9,8486.0,98.0038,
2018-05-21,99.0,97.5,99.95,97.5,2771296.0,28025.0,98.8866,
2018-05-22,99.88,99.0,99.9,98.5,3943780.0,39832.0,99.0103,
2018-05-23,99.8,99.94,99.95,99.02,739550.9,7410.0,99.8044,
2018-05-24,99.9,99.9,99.95,99.02,2380289.0,23817.0,99.9408,
2018-05-25,99.8,99.02,99.85,98.5,524246.9,5291.0,99.0828,
2018-05-28,99.8,99.0,99.82,99.0,221407.3,2224.0,99.5536,
2018-05-29,99.8,99.0,99.8,97.81,621827.8,6273.0,99.1277,
2018-05-30,99.8,99.0,99.8,99.0,12604.2,127.0,99.2457,
2018-05-31,99.8,99.7,99.8,99.1,117749.8,1180.0,99.788,
2018-06-01,99.8,99.0,99.8,99.0,199015.5,2000.0,99.5078,491.7146
2018-06-04,99.8,99.0,99.8,99.0,298508.4,3000.0,99.5028,491.7146
2018-06-05,99.0,99.01,99.01,99.0,71874.64,726.0,99.0009,487.773
2018-06-06,99.8,99.0,99.8,99.0,135225.0,1358.0,99.5766,491.7146
2018-06-07,99.8,99.0,99.8,99.0,51488.2,519.0,99.2066,491.7146
2018-06-08,99.8,99.0,99.8,99.0,161755.3,1629.0,99.2973,491.7146
2018-06-11,99.8,99.05,99.8,99.0,151045.8,1520.0,99.3722,491.7146
2018-06-12,98.0,99.05,99.05,98.0,338361.4,3436.0,98.4754,482.846
2018-06-13,99.8,98.0,99.8,98.0,1133366.0,11482.0,98.708,491.7146
2018-06-14,99.8,98.15,99.8,98.15,5436478.0,54500.0,99.7519,491.7146
2018-06-18,99.0,99.0,99.78,99.0,466450.2,4692.0,99.4139,487.773
2018-06-19,99.0,98.0,99.0,98.0,154086.0,1562.0,98.6466,487.773
2018-06-20,99.5,99.0,99.8,98.01,345431.3,3467.0,99.6341,490.2365
2018-06-21,98.02,99.5,99.5,98.01,51572.73,526.0,98.047,482.9445
2018-06-22,99.75,98.04,99.75,98.04,133712.8,1345.0,99.4148,491.4682
2018-06-25,99.75,99.7,99.79,98.03,729329.1,7312.0,99.7441,491.4682
2018-06-26,99.7,98.13,99.7,98.05,46711.5,475.0,98.34,491.2219
2018-06-27,99.0,99.68,99.69,98.1,138706.1,1400.0,99.0758,487.773
2018-06-28,99.0,98.12,99.0,98.06,15296.3,155.0,98.6858,487.773
2018-06-29,98.0,98.06,99.0,98.0,144097.0,1466.0,98.2926,482.846
2018-07-02,99.0,99.0,99.0,98.5,56815.0,574.0,98.9808,487.773
2018-07-03,99.0,99.0,99.0,98.5,79670.0,805.0,98.9689,487.773
2018-07-04,99.0,98.8,99.0,98.5,84098.0,850.0,98.9388,487.773
2018-07-05,99.0,99.1,99.1,99.0,265350.0,2680.0,99.0112,487.773
2018-07-06,99.0,99.0,99.0,99.0,,,,487.773
2018-07-09,99.0,99.0,99.0,98.5,378597.0,3828.0,98.902,487.773
2018-07-10,98.99,98.5,99.0,97.5,207756.5,2116.0,98.1836,487.7237
2018-07-11,99.29,97.51,99.29,97.51,7402.25,75.0,98.6967,489.2018
2018-07-12,99.17,97.51,99.17,97.51,249076.0,2541.0,98.0228,488.6106
2018-07-13,99.17,99.17,99.17,99.17,,,,488.6106
2018-07-16,98.5,98.5,98.5,98.5,13987.0,142.0,98.5,485.3095
2018-07-17,98.99,98.5,98.99,98.0,89933.88,917.0,98.074,487.7237
2018-07-18,98.99,98.0,98.99,98.0,1007344.0,10178.0,98.9727,487.7237
2018-07-19,98.94,98.0,98.94,96.51,39616.78,408.0,97.1,487.4774
2018-07-20,97.5,98.0,98.0,96.52,52465.02,539.0,97.3377,480.3825
2018-07-23,98.7,97.0,98.7,97.0,59983.5,614.0,97.693,486.2949
2018-07-24,98.0,97.01,98.0,97.0,73438.26,751.0,97.7873,482.846
2018-07-25,97.89,97.01,97.89,97.0,63080.22,648.0,97.346,482.304
2018-07-26,97.89,97.89,97.89,97.89,,,,482.304
2018-07-27,98.0,97.0,98.0,95.0,147605.9,1516.0,97.3654,482.846
2018-07-31,98.0,98.0,98.0,98.0,,,,482.846
2018-08-01,98.0,98.0,98.0,97.02,22246.0,228.0,97.5702,482.846
2018-08-02,98.0,98.0,98.0,98.0,,,,482.846
2018-08-03,98.0,97.0,98.0,97.0,29300.0,300.0,97.6667,482.846
2018-08-06,98.0,98.2,98.2,97.0,63416.0,648.0,97.8642,482.846
2018-08-07,98.0,97.0,98.0,97.0,132786.0,1363.0,97.4219,482.846
2018-08-08,98.0,97.0,98.0,97.0,53602.0,549.0,97.6357,482.846
2018-08-09,98.0,98.0,98.0,98.0,,,,482.846
2018-08-10,98.0,97.01,98.0,97.01,42392.05,435.0,97.453,482.846
2018-08-13,98.0,98.0,98.0,98.0,5390.0,55.0,98.0,482.846
2018-08-15,98.0,97.06,98.0,97.06,8124.6,83.0,97.8867,482.846
2018-08-16,98.0,97.06,98.0,96.0,63630.3,655.0,97.1455,482.846
2018-08-17,98.0,97.05,98.0,97.0,20874.0,214.0,97.5421,482.846
2018-08-24,97.0,97.0,97.0,97.0,3104.0,32.0,97.0,477.919
2018-08-27,97.0,97.0,97.0,97.0,2716.0,28.0,97.0,477.919
2018-08-28,97.98,97.0,97.98,96.0,34473.68,356.0,96.8362,482.7475
2018-08-29,97.98,97.98,97.98,97.98,,,,482.7475
2018-08-30,97.9,96.0,97.9,95.06,38786.96,400.0,96.9674,482.3533
2018-08-31,97.9,97.4,97.9,96.02,1275424.0,13281.0,96.0337,482.3533
2018-09-03,95.25,96.52,96.52,95.25,173328.8,1807.0,95.9207,469.2967
2018-09-04,96.0,96.5,96.5,95.34,118403.0,1237.0,95.7178,472.992
2018-09-05,96.0,95.35,96.0,95.35,12937.25,135.0,95.8315,472.992
2018-09-06,95.0,96.0,96.0,95.0,304822.1,3203.0,95.1677,468.065
2018-09-07,93.5,93.59,95.0,93.5,4083693.0,43445.0,93.9968,460.6745
2018-09-10,93.5,93.5,96.0,93.5,2058883.0,21946.0,93.8158,460.6745
2018-09-12,93.5,92.0,93.5,92.0,19160.0,205.0,93.4634,460.6745
2018-09-13,94.0,90.0,95.0,90.0,2644958.0,28279.0,93.5308,463.138
2018-09-14,93.0,93.0,93.0,93.0,46221.0,497.0,93.0,458.211
2018-09-17,93.0,90.0,93.0,90.0,109320.3,1196.0,91.4049,458.211
2018-09-18,93.0,90.31,93.0,90.15,112153.4,1223.0,91.7035,458.211
2018-09-19,90.52,90.53,90.53,90.52,13578.14,150.0,90.5209,445.992
2018-09-20,90.52,90.52,90.52,90.52,11586.56,128.0,90.52,445.992
2018-09-21,93.69,90.5,93.69,90.5,115269.5,1270.0,90.7634,461.6106
2018-09-24,93.6,93.67,93.67,93.58,84235.52,900.0,93.595,461.1672
2018-09-25,93.9,90.54,93.9,90.5,5215529.0,55619.0,93.7724,462.6453
2018-09-26,93.99,93.99,93.99,93.99,46995.0,500.0,93.99,463.0887
2018-09-27,93.99,93.99,93.99,93.99,,,,463.0887
2018-09-28,94.87,92.1,94.89,92.1,83182.19,887.0,93.7792,467.4245
2018-10-01,95.0,94.99,95.0,94.99,91288.52,961.0,94.9933,468.065
2018-10-02,92.08,92.26,92.26,92.02,45329.26,492.0,92.1326,453.6782
2018-10-03,92.08,92.08,92.08,92.08,,,,453.6782
2018-10-04,92.16,92.16,92.16,92.16,3502.08,38.0,92.16,454.0723
2018-10-05,93.5,93.5,93.5,93.5,24403.5,261.0,93.5,460.6745
2018-10-08,96.0,94.0,96.0,94.0,99591.12,1039.0,95.8529,472.992
2018-10-09,94.05,96.0,96.3,94.05,99916.71,1040.0,96.0738,463.3843
2018-10-10,96.3,94.11,96.3,94.11,133065.6,1384.0,96.1457,474.4701
2018-10-11,96.3,96.3,96.3,96.3,93025.8,966.0,96.3,474.4701
2018-10-12,96.29,96.29,96.29,96.29,962.9,10.0,96.29,474.4208
2018-10-15,96.3,96.19,96.3,96.19,164557.3,1710.0,96.2323,474.4701
2018-10-16,96.3,96.0,96.3,96.0,100089.1,1040.0,96.2395,474.4701
2018-10-17,96.0,96.0,96.0,96.0,576.0,6.0,96.0,472.992
2018-10-18,96.3,96.0,96.3,96.0,197534.3,2053.0,96.2174,474.4701
2018-10-19,96.25,95.99,96.25,95.99,410164.3,4263.0,96.2149,474.2237
2018-10-22,96.25,96.25,96.25,96.25,,,,474.2237
2018-10-23,96.25,93.57,96.25,93.57,147896.0,1537.0,96.2238,474.2237
2018-10-24,96.24,96.24,96.24,96.24,144360.0,1500.0,96.24,474.1745
2018-10-25,96.24,96.24,96.24,96.24,56877.84,591.0,96.24,474.1745
2018-10-26,96.25,93.62,96.25,93.6,186988.1,1957.0,95.5483,474.2237
2018-10-29,96.25,96.25,96.25,96.25,120697.5,1254.0,96.25,474.2237
2018-10-30,95.0,95.0,95.0,95.0,1900.0,20.0,95.0,468.065
2018-10-31,96.3,96.0,96.3,96.0,157036.8,1631.0,96.2825,474.4701
2018-11-01,96.3,96.3,96.3,96.3,,,,474.4701
2018-11-02,95.0,95.0,96.25,95.0,13515.0,142.0,95.1761,468.065
2018-11-05,93.55,95.0,95.0,93.55,89095.5,938.0,94.9845,460.9208
2018-11-07,96.25,93.55,96.25,93.55,103686.0,1078.0,96.1837,474.2237
2018-11-08,96.25,96.15,96.25,96.15,112509.5,1169.0,96.2442,474.2237
2018-11-09,93.45,96.24,96.24,93.45,223364.5,2329.0,95.9058,460.4281
2018-11-12,96.0,95.0,96.25,95.0,214834.4,2236.0,96.0798,472.992
2018-11-13,96.24,93.5,96.24,93.5,224231.1,2343.0,95.7026,474.1745
2018-11-14,93.55,96.0,96.24,93.55,199873.3,2078.0,96.1854,460.9208
2018-11-15,96.2,96.2,96.2,96.2,157671.8,1639.0,96.2,473.9774
2018-11-16,93.75,96.15,96.2,93.75,392063.8,4088.0,95.906,461.9062
2018-11-19,93.77,93.77,93.77,93.77,2344.25,25.0,93.77,462.0048
2018-11-22,96.24,94.01,96.24,94.01,44606.65,465.0,95.9283,474.1745
2018-11-23,96.24,96.24,96.24,96.24,,,,474.1745
2018-11-26,94.03,94.03,94.03,94.03,9403.0,100.0,94.03,463.2858
2018-11-27,95.99,95.99,95.99,95.99,191.98,2.0,95.99,472.9427
2018-11-28,96.49,95.94,96.49,94.25,238251.0,2480.0,96.0689,475.4062
2018-11-29,96.78,95.1,96.78,95.1,23904.0,250.0,95.616,476.8351
2018-11-30,94.25,94.33,96.43,94.25,56710.61,601.0,94.3604,464.3697
2018-12-03,96.0,95.9,96.0,93.5,24841.04,260.0,95.5425,472.992
2018-12-04,93.5,93.51,93.51,93.5,18514.78,198.0,93.509,460.6745
