date,close,open,high,low,turnover,volume,vwap,mktCap
2006-12-26,440.0,430.0,450.0,430.0,,4677.0,,
2006-12-27,440.0,430.0,440.0,430.0,,4427.0,,
2006-12-28,430.0,430.0,440.0,430.0,,3841.0,,
2006-12-29,425.0,422.0,430.0,422.0,,2180.0,,
2007-01-02,421.0,421.0,421.0,421.0,,1980.0,,
2007-01-03,418.0,420.0,421.0,418.0,,1021.0,,
2007-01-04,402.0,410.0,410.0,402.0,,1314.0,,
2007-01-05,395.0,390.0,400.0,390.0,,630.0,,
2007-01-08,373.0,373.0,373.0,373.0,,3143.0,,
2007-01-09,355.0,360.0,360.0,355.0,,3743.0,,
2007-01-10,358.0,350.0,358.0,350.0,,1048.0,,
2007-01-12,363.5,350.0,363.5,350.0,,1416.0,,
2007-01-15,379.0,370.0,379.0,370.0,,1348.0,,
2007-01-16,401.0,397.0,401.0,396.9,,3108.0,,
2007-01-17,420.0,418.0,420.0,418.0,,3423.0,,
2007-01-18,421.0,435.0,435.0,421.0,,2061.0,,
2007-01-19,408.0,428.0,428.0,405.1,,1700.0,,
2007-01-22,400.0,403.0,405.0,400.0,,3001.0,,
2007-01-23,405.0,409.5,409.5,400.0,,1113.0,,
2007-01-24,401.0,394.0,415.0,394.0,,2046.0,,
2007-01-25,406.0,397.0,406.0,397.0,,261.0,,
2007-01-26,404.0,401.0,404.0,401.0,,148.0,,
2007-01-29,405.0,400.0,405.0,400.0,,254.0,,
2007-01-30,396.0,395.0,400.0,395.0,,578.0,,
2007-01-31,396.05,395.0,396.05,395.0,,164.0,,
2007-02-01,382.0,390.0,390.0,380.0,,856.0,,
2007-02-02,390.0,385.0,394.9,385.0,,509.0,,
2007-02-05,393.0,390.0,393.0,390.0,,18.0,,
2007-02-06,390.0,390.0,392.0,390.0,,330.0,,
2007-02-07,398.0,390.0,398.0,390.0,,367.0,,
2007-02-08,395.0,389.0,395.0,389.0,,298.0,,
2007-02-09,390.0,381.0,390.0,381.0,,723.0,,
2007-02-12,385.0,389.0,389.0,385.0,,185.0,,
2007-02-13,390.0,382.0,390.0,382.0,,851.0,,
2007-02-14,392.0,385.0,392.0,385.0,,855.0,,
2007-02-15,399.0,392.0,399.0,387.0,,2749.0,,
2007-02-16,400.1,400.0,406.0,400.0,,2225.0,,
2007-02-19,385.05,395.0,395.0,385.05,,1068.0,,
2007-02-20,380.0,386.5,386.5,380.0,,2774.0,,
2007-02-21,380.0,380.0,380.0,380.0,,1373.0,,
2007-02-22,380.0,380.0,380.0,380.0,,332.0,,
2007-02-23,378.95,380.0,380.0,378.95,,266.0,,
2007-02-26,379.0,379.0,379.0,379.0,,592.0,,
2007-02-27,377.5,377.5,377.5,377.5,,150.0,,
2007-02-28,380.0,374.9,380.0,355.0,,16667.0,,
2007-03-01,385.0,371.9,385.0,371.9,,236.0,,
2007-03-02,379.0,385.0,385.0,379.0,,1929.0,,
2007-03-05,378.0,372.5,378.0,372.5,,558.0,,
2007-03-06,395.0,390.5,395.0,390.5,,2661.0,,
2007-03-07,400.0,400.0,400.0,400.0,,2732.0,,
2007-03-08,399.0,400.0,400.0,399.0,,370.0,,
2007-03-09,395.0,392.0,395.0,392.0,,2031.0,,
2007-03-12,399.0,395.3,399.0,395.3,,1042.0,,
2007-03-13,400.0,398.0,400.0,398.0,,5769.0,,
2007-03-14,401.0,400.0,401.0,400.0,,2869.0,,
2007-03-15,407.0,403.0,407.0,403.0,,1806.0,,
2007-03-16,407.0,407.0,407.0,407.0,,1035.0,,
2007-03-19,420.0,410.0,420.0,410.0,,5515.0,,
2007-03-20,410.0,405.0,419.0,405.0,,1583.0,,
2007-03-21,410.0,405.0,410.0,405.0,,1299.0,,
2007-03-22,425.0,420.0,425.0,420.0,,2300.0,,
2007-03-23,415.0,417.0,419.0,415.0,,1182.0,,
2007-03-26,400.0,421.0,421.0,400.0,,1151.0,,
2007-03-27,396.0,396.0,396.0,396.0,,52.0,,
2007-03-28,395.0,390.0,395.0,390.0,,856.0,,
2007-03-29,390.0,394.0,394.0,390.0,,504.0,,
2007-03-30,380.0,380.1,380.1,380.0,,878.0,,
2007-04-03,380.0,380.0,380.0,380.0,,96.0,,
2007-04-04,380.0,380.0,380.0,380.0,,90.0,,
2007-04-05,380.0,380.0,380.0,380.0,,197.0,,
2007-04-06,380.0,380.0,380.0,380.0,,854.0,,
2007-04-09,376.0,380.0,380.0,376.0,,668.0,,
2007-04-10,376.0,380.0,380.0,376.0,,328.0,,
2007-04-11,376.0,380.0,380.0,376.0,,261.0,,
2007-04-12,380.0,380.0,380.0,380.0,,505.0,,
2007-04-13,384.0,384.0,384.0,384.0,,17.0,,
2007-04-16,380.0,380.0,380.0,380.0,,780.0,,
2007-04-17,380.0,380.0,380.0,380.0,,337.0,,
2007-04-18,375.0,375.0,378.0,375.0,,1702.0,,
2007-04-19,375.0,376.0,376.0,375.0,,959.0,,
2007-04-20,377.0,379.0,379.0,377.0,,121.0,,
2007-04-23,375.0,380.0,380.0,375.0,,401.0,,
2007-04-24,375.0,375.0,375.0,375.0,,122.0,,
2007-04-25,379.0,380.0,380.0,379.0,,40.0,,
2007-04-26,380.0,380.0,380.0,380.0,,275.0,,
2007-04-27,385.0,380.0,385.0,380.0,,2539.0,,
2007-04-30,385.0,385.0,385.0,385.0,,131.0,,
