date,close,open,high,low,turnover,volume,vwap,mktCap
2011-12-08,288.0,288.0,288.0,288.0,,,,
2011-12-09,260.0,277.0,282.0,260.0,22252090.0,81579.0,272.7675,212.342
2011-12-12,274.0,238.0,275.0,238.0,10476500.0,40953.0,255.8177,223.7758
2011-12-13,280.0,263.15,285.0,262.0,6260837.0,22598.0,277.0527,228.676
2011-12-14,285.95,280.0,289.9,277.0,5038138.0,17597.0,286.3066,233.5354
2011-12-15,280.0,281.0,285.0,277.1,1994216.0,7099.0,280.915,672.0
2011-12-16,287.0,273.0,287.0,273.0,5477816.0,19254.0,284.5027,688.8
2011-12-19,281.0,280.3,281.0,278.0,972731.6,3465.0,280.7306,674.4
2011-12-20,267.05,277.0,277.0,267.05,654472.7,2415.0,271.0032,640.92
2011-12-21,275.0,264.3,277.0,264.3,759745.1,2826.0,268.8412,660.0
2011-12-22,278.0,268.2,278.0,268.15,25213130.0,90738.0,277.8674,667.2
2011-12-23,268.4,272.0,272.0,268.4,301049.7,1118.0,269.2752,644.16
2011-12-26,269.0,270.0,271.9,264.0,127948.4,483.0,264.9034,645.6
2011-12-27,262.0,261.05,265.0,261.0,1531794.0,5868.0,261.0419,628.8
2011-12-28,268.0,259.0,268.0,255.0,2436624.0,9287.0,262.3693,643.2
2011-12-29,274.0,265.05,274.0,265.05,3515475.0,13017.0,270.068,657.6
2011-12-30,257.6,265.0,279.0,257.6,8245440.0,30303.0,272.0998,618.24
2012-01-02,267.85,257.8,268.0,257.8,141787.3,544.0,260.6384,642.84
2012-01-03,260.05,258.0,265.0,258.0,1410604.0,5426.0,259.9712,624.12
2012-01-04,257.05,260.0,260.0,257.05,51749.25,200.0,258.7462,616.92
2012-01-05,258.0,255.0,262.75,255.0,89697.5,349.0,257.0129,619.2
2012-01-06,251.0,245.1,262.0,245.1,743106.9,2926.0,253.9669,602.4
2012-01-09,247.2,250.05,250.05,246.3,57326.99,231.0,248.1688,593.28
2012-01-10,253.0,245.0,254.95,245.0,347639.8,1408.0,246.9032,607.2
2012-01-12,248.0,247.1,253.0,247.1,823557.5,3288.0,250.4737,595.2
2012-01-13,250.0,248.15,254.0,248.15,279581.5,1121.0,249.4037,600.0
2012-01-16,253.95,250.0,253.95,246.0,89841.0,360.0,249.5583,609.48
2012-01-17,248.15,246.0,253.95,246.0,330569.0,1326.0,249.2979,595.56
2012-01-18,250.0,248.15,252.0,248.15,354688.8,1417.0,250.3097,600.0
2012-01-19,250.0,250.0,253.0,246.65,324279.8,1302.0,249.0628,600.0
2012-01-20,251.0,250.0,258.7,250.0,180338.2,717.0,251.5177,602.4
2012-01-23,251.0,250.1,252.0,250.0,248407.0,992.0,250.4103,602.4
2012-01-24,253.2,253.0,255.0,253.0,214668.0,848.0,253.1462,607.68
2012-01-25,255.0,251.5,258.9,251.5,760477.6,3001.0,253.4081,612.0
2012-01-26,258.0,252.5,258.0,252.5,13733630.0,53863.0,254.9733,619.2
2012-01-27,253.0,255.0,255.9,252.7,761373.7,2994.0,254.2998,607.2
2012-01-30,257.5,257.9,257.9,252.0,178140.2,703.0,253.4,618.0
2012-01-31,255.0,252.5,258.0,252.5,160732.6,627.0,256.3518,612.0
2012-02-01,255.0,252.55,255.0,252.55,186514.4,736.0,253.4163,612.0
2012-02-02,255.0,255.0,255.0,253.15,44185.0,174.0,253.9368,612.0
2012-02-03,255.05,255.0,255.05,252.25,157677.3,620.0,254.3183,612.12
2012-02-07,255.0,250.05,255.0,250.05,177596.5,697.0,254.8013,612.0
2012-02-08,255.0,252.2,255.0,252.2,121319.0,477.0,254.3376,612.0
2012-02-09,255.5,251.55,255.5,251.55,2062087.0,8091.0,254.8618,613.2
2012-02-10,257.0,255.0,257.0,255.0,34435.3,135.0,255.0763,616.8
2012-02-13,255.0,252.0,257.0,252.0,319528.5,1250.0,255.6228,612.0
2012-02-14,253.15,253.0,253.15,253.0,213847.1,845.0,253.0735,607.56
2012-02-15,255.95,252.2,255.95,252.2,43159.95,171.0,252.3974,614.28
2012-02-16,253.25,253.25,255.0,253.25,98628.0,389.0,253.5424,607.8
2012-02-17,255.8,253.25,255.8,253.25,144912.4,569.0,254.679,613.92
2012-02-20,254.0,252.25,255.8,252.25,118466.8,468.0,253.1342,609.6
2012-02-21,255.0,255.0,255.0,255.0,134130.0,526.0,255.0,612.0
2012-02-22,252.5,251.9,255.0,251.9,62615.8,248.0,252.4831,606.0
2012-02-23,248.55,247.05,255.0,247.05,319860.3,1270.0,251.8585,596.52
2012-02-24,254.0,249.0,255.5,249.0,116914.1,460.0,254.1611,609.6
2012-02-27,252.7,258.9,258.9,251.25,203990.0,791.0,257.8887,606.48
2012-02-28,254.0,250.0,255.0,250.0,65594.35,259.0,253.26,609.6
2012-02-29,252.05,252.0,254.0,252.0,100544.9,398.0,252.6254,604.92
2012-03-01,252.0,252.0,252.0,252.0,16380.0,65.0,252.0,604.8
2012-03-02,254.0,252.0,254.0,252.0,53130.0,210.0,253.0,609.6
2012-03-05,254.0,252.0,254.0,252.0,74947.0,297.0,252.3468,609.6
2012-03-06,252.25,252.1,254.95,252.05,166960.5,662.0,252.2063,605.4
2012-03-07,254.0,254.0,255.0,252.05,185601.1,731.0,253.9003,609.6
2012-03-08,255.0,252.05,255.0,252.05,116162.9,457.0,254.1857,612.0
2012-03-09,257.85,252.1,257.85,252.05,72812.8,285.0,255.4835,618.84
2012-03-12,253.05,252.5,257.0,252.5,48891.0,193.0,253.3212,607.32
2012-03-13,253.25,253.25,254.9,253.25,21567.5,85.0,253.7353,607.8
2012-03-14,252.25,252.25,253.0,252.25,55784.75,221.0,252.4197,605.4
2012-03-15,252.0,252.0,253.0,252.0,12864.0,51.0,252.2353,604.8
2012-03-16,245.2,246.0,251.95,245.2,45749.95,186.0,245.9675,588.48
2012-03-19,245.2,245.2,245.25,245.2,29915.35,122.0,245.2078,588.48
