date,close,open,high,low,turnover,volume,vwap,mktCap
1997-05-02,655.0,,,,,,,
1997-05-05,655.0,,,,,,,
1997-05-06,655.0,,,,,,,
1997-05-07,655.0,,,,,,,
1997-05-09,645.0,,,,,,,
1997-05-12,645.0,,,,,,,
1997-05-13,645.0,,,,,,,
1997-05-14,645.0,,,,,,,
1997-05-15,645.0,,,,,,,
1997-05-16,655.0,,,,,,,
1997-05-19,670.0,,,,,,,
1997-05-20,670.0,,,,,,,
1997-05-21,670.0,,,,,,,
1997-05-22,670.0,,,,,,,
1997-05-26,670.0,,,,,,,
1997-05-27,670.0,,,,,,,
1997-05-28,670.0,,,,,,,
1997-05-29,670.0,,,,,,,
1997-05-30,670.0,,,,,,,
1997-06-02,670.0,,,,,,,
1997-06-03,670.0,,,,,,,
1997-06-04,670.0,,,,,,,
1997-06-05,670.0,,,,,,,
1997-06-06,670.0,,,,,,,
1997-06-09,670.0,,,,,,,
1997-06-10,670.0,,,,,,,
1997-06-11,670.0,,,,,,,
1997-06-12,670.0,,,,,,,
1997-06-13,670.0,,,,,,,
1997-06-16,670.0,,,,,,,
1997-06-17,670.0,,,,,,,
1997-06-18,670.0,,,,,,,
1997-06-19,670.0,,,,,,,
1997-06-20,670.0,,,,,,,
1997-06-23,670.0,,,,,,,
1997-06-24,670.0,,,,,,,
1997-06-25,670.0,,,,,,,
1997-06-26,670.0,,,,,,,
1997-06-27,670.0,,,,,,,
1997-06-30,670.0,,,,,,,
1997-07-01,670.0,,,,,,,
1997-07-02,670.0,,,,,,,
1997-07-03,670.0,,,,,,,
1997-07-04,612.0,,,,,,,
1997-07-07,612.0,,,,,,,
1997-07-08,612.0,,,,,,,
1997-07-10,612.0,,,,,,,
1997-07-11,612.0,,,,,,,
1997-07-14,612.0,,,,,,,
1997-07-15,612.0,,,,,,,
1997-09-15,612.0,,,,,,,
1997-09-16,612.0,,,,,,,
1997-11-21,612.0,,,,,,,
1997-11-24,612.0,,,,,,,
1997-12-04,612.0,,,,,,,
1997-12-26,640.0,,,,,1.0,,
1998-04-15,675.0,,,,,30.0,,
1998-07-27,650.0,650.0,650.0,650.0,,110.0,,
1998-07-31,650.0,650.0,650.0,650.0,,1.0,,
1998-08-05,660.0,660.0,660.0,660.0,,10.0,,
1998-08-26,700.0,700.0,700.0,700.0,,50.0,,
1998-09-30,700.0,700.0,700.0,700.0,,,,
1998-11-05,752.0,752.0,752.0,752.0,,,,
1998-11-30,1001.0,1001.0,1001.0,1001.0,,5.0,,
1998-12-01,1001.0,1001.0,1001.0,1001.0,,5.0,,
1998-12-03,1050.0,1050.0,1050.0,1050.0,,50.0,,
1999-01-08,1150.0,1150.0,1150.0,1150.0,,20.0,,
1999-02-17,290.0,290.0,290.0,290.0,,10.0,,
1999-02-19,290.0,290.0,290.0,290.0,,49.0,,
1999-02-22,290.0,290.0,290.0,290.0,,50.0,,
1999-03-24,271.0,271.0,271.0,271.0,,200.0,,
1999-03-25,287.0,287.0,287.0,287.0,,10.0,,
1999-03-26,300.0,300.0,300.0,300.0,,20.0,,
1999-04-02,318.0,318.0,318.0,318.0,,119.0,,
1999-04-05,310.0,310.0,310.0,310.0,,91.0,,
1999-04-08,310.0,310.0,310.0,310.0,,50.0,,
1999-04-16,257.55,257.55,257.55,257.55,,,,
1999-04-20,257.55,257.55,257.55,257.55,,50.0,,
1999-04-21,262.0,262.0,262.0,262.0,,92.0,,
1999-05-28,265.0,265.0,265.0,265.0,,60.0,,
1999-06-08,265.0,265.0,265.0,265.0,,,,
1999-07-19,265.0,265.0,265.0,265.0,,100.0,,
1999-07-27,265.0,265.0,265.0,265.0,,50.0,,
1999-08-17,270.0,270.0,270.0,270.0,,20.0,,
