date,close,open,high,low,turnover,volume,vwap,mktCap
2005-07-19,240.0,240.0,240.0,240.0,,,,1920.0
2005-07-20,319.4,319.4,319.4,290.4,,59036.0,,2555.2
2005-07-21,342.2,340.0,345.0,319.4,,208885.0,,2737.6
2005-07-22,338.0,342.1,342.2,335.0,,61093.0,,2704.0
2005-07-25,338.0,336.0,338.5,336.0,,29236.0,,2704.0
2005-07-26,338.0,337.1,338.1,337.1,,23090.0,,2704.0
2005-07-27,336.0,335.0,337.0,335.0,,14813.0,,2688.0
2005-07-28,335.0,335.0,336.0,331.0,,16598.0,,2680.0
2005-07-29,333.1,333.1,334.0,331.1,,13095.0,,2664.8
2005-08-01,335.0,333.2,335.0,333.2,,15647.0,,2680.0
2005-08-02,334.0,333.2,340.0,333.2,,32661.0,,2672.0
2005-08-03,340.0,335.0,341.9,334.0,,20423.0,,2720.0
2005-08-04,340.2,338.5,341.0,338.5,,6413.0,,2721.6
2005-08-05,343.0,345.0,345.0,342.0,,9083.0,,2744.0
2005-08-08,343.0,340.0,343.0,340.0,,4645.0,,2744.0
2005-08-09,344.0,343.0,344.5,342.05,,3792.0,,2752.0
2005-08-10,345.5,344.5,346.0,344.5,,4434.0,,2764.0
2005-08-11,347.0,346.0,347.0,346.0,,4989.0,,2776.0
2005-08-12,346.0,346.1,346.4,346.0,,7806.0,,2768.0
2005-08-15,345.1,346.0,346.0,345.1,,6146.0,,2760.8
2005-08-16,350.05,346.0,350.1,346.0,,17642.0,,2800.4
2005-08-17,355.0,351.1,355.0,350.05,,7168.0,,2840.0
2005-08-18,351.0,351.0,355.0,351.0,,11735.0,,2808.0
2005-08-19,352.0,350.0,352.0,350.0,,11523.0,,2816.0
2005-08-22,353.1,352.2,355.0,352.2,,3599.0,,2824.8
2005-08-23,370.0,352.0,370.0,352.0,,15951.0,,2960.0
2005-08-24,370.0,365.0,374.0,365.0,,7039.0,,2960.0
2005-08-25,357.2,360.0,369.9,356.2,,4712.0,,2857.6
2005-08-26,352.0,350.0,357.2,350.0,,7244.0,,2816.0
2005-08-29,350.0,345.0,356.9,345.0,,6686.0,,2800.0
2005-08-30,355.0,350.5,355.1,350.0,,13254.0,,2840.0
2005-08-31,354.0,351.5,360.0,351.5,,13694.0,,2832.0
2005-09-01,360.1,365.0,365.0,360.1,,2577.0,,2880.8
2005-09-02,359.25,354.0,360.1,354.0,,15632.0,,2874.0
2005-09-05,360.0,359.1,364.0,359.1,,14666.0,,2880.0
2005-09-06,359.0,360.0,360.0,354.05,,11274.0,,2872.0
2005-09-07,352.0,352.0,359.9,352.0,,6401.0,,2816.0
2005-09-08,346.3,350.5,352.2,346.2,,8633.0,,2770.4
2005-09-09,352.0,346.0,352.0,346.0,,9576.0,,2816.0
2005-09-12,354.0,352.5,354.0,352.0,,7941.0,,2832.0
2005-09-13,356.0,354.0,360.0,354.0,,6774.0,,2848.0
2005-09-14,357.0,355.0,358.0,355.0,,4958.0,,2856.0
2005-09-15,360.0,360.0,362.0,357.0,,8516.0,,2880.0
2005-09-16,357.0,359.0,360.0,357.0,,1372.0,,2856.0
2005-09-19,357.0,353.0,357.0,353.0,,2439.0,,2856.0
2005-09-20,355.0,353.0,357.0,353.0,,7980.0,,2840.0
2005-09-21,353.0,355.0,355.0,353.0,,4268.0,,2824.0
2005-09-22,355.0,353.0,355.0,353.0,,4733.0,,2840.0
2005-09-23,352.1,353.3,355.0,350.0,,20723.0,,2816.8
2005-09-26,351.3,352.0,355.0,350.1,,7533.0,,2810.4
2005-09-27,350.0,350.0,352.0,346.0,,2971.0,,2800.0
2005-09-28,347.0,349.0,350.0,347.0,,1530.0,,2776.0
2005-09-29,347.1,347.9,349.85,347.1,,5196.0,,2776.8
2005-09-30,347.1,347.2,349.8,347.1,,1932.0,,2776.8
2005-10-03,348.0,347.2,348.0,347.1,,2835.0,,2784.0
2005-10-04,352.15,347.5,352.15,347.5,,1477.0,,2817.2
2005-10-05,355.9,355.0,358.0,353.1,,3068.0,,2847.2
2005-10-06,352.1,352.1,352.1,352.1,,372.0,,2816.8
2005-10-07,351.0,351.5,351.5,351.0,,3213.0,,2808.0
2005-10-10,351.0,347.6,351.0,347.6,,1003.0,,2808.0
2005-10-11,352.0,354.8,354.8,349.0,,2777.0,,2816.0
2005-10-12,353.0,354.0,355.0,353.0,,2412.0,,2824.0
2005-10-13,353.0,353.0,354.0,353.0,,1734.0,,2824.0
2005-10-14,352.0,352.1,353.9,352.0,,2848.0,,2816.0
2005-10-17,350.0,353.0,353.5,350.0,,1835.0,,2800.0
2005-10-18,351.0,351.0,351.0,350.0,,267.0,,2808.0
2005-10-19,352.0,350.1,353.0,350.1,,1646.0,,2816.0
2005-10-20,350.0,350.2,352.0,350.0,,2131.0,,2800.0
2005-10-21,352.0,350.0,352.0,350.0,,1403.0,,2816.0
2005-10-24,350.0,354.0,354.0,350.0,,1169.0,,2800.0
2005-10-25,350.1,350.0,350.5,350.0,,790.0,,2800.8
2005-10-26,351.0,350.0,351.0,350.0,,555.0,,2808.0
2005-10-27,353.8,350.0,353.8,350.0,,1073.0,,2830.4
2005-10-28,351.1,350.0,351.1,350.0,,451.0,,2808.8
2005-10-31,353.7,351.0,353.8,351.0,,698.0,,2829.6
2005-11-01,355.0,350.0,358.0,350.0,,5117.0,,2840.0
2005-11-02,355.0,356.0,356.0,355.0,,4686.0,,2840.0
2005-11-03,354.95,353.1,356.0,353.0,,2764.0,,
2005-11-07,360.0,355.0,360.0,355.0,,4779.0,,2880.0
2005-11-08,362.0,360.0,362.0,357.0,,8517.0,,2896.0
2005-11-09,355.0,359.5,359.5,355.0,,1692.0,,2840.0
2005-11-10,355.0,353.1,355.0,353.1,,1984.0,,2840.0
2005-11-11,357.0,355.0,357.0,355.0,,603.0,,2856.0
2005-11-14,356.0,355.0,356.9,355.0,,10533.0,,2848.0
2005-11-15,354.9,356.9,358.0,354.9,,12201.0,,2839.2
2005-11-16,,,,,,,,2839.2
2005-11-17,,,,,,,,2839.2
