date,close,open,high,low,turnover,volume,vwap,mktCap
2007-07-06,1222.0,1250.0,1290.0,1221.0,,43783.0,,
2007-07-09,1220.0,1223.0,1223.0,1190.0,,8440.0,,
2007-07-10,1220.0,1220.0,1250.0,1205.0,,6350.0,,
2007-07-11,1238.0,1220.0,1240.0,1206.0,,29509.0,,
2007-07-12,1249.0,1220.0,1249.0,1220.0,,2182.0,,
2007-07-13,1224.0,1250.0,1250.0,1224.0,,3979.0,,
2007-07-16,1260.0,1249.0,1260.0,1226.0,,3632.0,,
2007-07-17,1279.0,1255.0,1279.0,1250.0,,3333.0,,
2007-07-18,1275.0,1280.0,1299.0,1270.0,,2334.0,,
2007-07-19,1270.0,1265.0,1270.0,1250.0,,993.0,,
2007-07-20,1259.0,1250.0,1259.0,1240.0,,814.0,,
2007-07-23,1230.0,1245.0,1245.0,1230.0,,473.0,,
2007-07-24,1249.0,1230.0,1249.0,1224.0,,635.0,,
2007-07-25,1247.0,1220.0,1247.0,1220.0,,486.0,,
2007-07-26,1249.0,1220.0,1249.0,1220.0,,318.0,,
2007-07-27,1260.0,1206.0,1260.0,1206.0,,771.0,,
2007-07-31,1258.0,1220.0,1258.0,1220.0,,108.0,,814.9324
2007-08-01,1258.0,1236.0,1258.0,1236.0,,248.0,,814.9324
2007-08-02,1275.0,1236.0,1275.0,1236.0,,562.0,,825.945
2007-08-03,1270.0,1245.0,1275.0,1245.0,,1276.0,,822.706
2007-08-06,1246.0,1251.0,1251.0,1245.0,,180.0,,807.1588
2007-08-07,1245.0,1245.0,1250.0,1245.0,,112.0,,806.511
2007-08-08,1265.0,1245.0,1269.0,1245.0,,917.0,,819.467
2007-08-09,1265.0,1256.0,1265.0,1256.0,,181.0,,819.467
2007-08-10,1240.0,1237.0,1265.0,1234.0,,654.0,,803.272
2007-08-13,1225.0,1220.0,1249.0,1220.0,,801.0,,793.555
2007-08-15,1227.0,1211.0,1265.0,1211.0,,792.0,,794.8506
2007-08-16,1248.0,1228.0,1248.0,1220.0,,330.0,,808.4544
2007-08-17,1227.0,1247.0,1247.0,1227.0,,538.0,,794.8506
2007-08-22,1225.0,1248.0,1248.0,1222.0,,225.0,,793.555
2007-08-23,1263.0,1242.0,1265.0,1240.0,,3345.0,,818.1714
2007-08-24,1245.0,1240.0,1263.0,1240.0,,914.0,,806.511
2007-08-27,1234.0,1235.0,1245.0,1231.0,,127.0,,799.3852
2007-08-28,1244.0,1231.0,1250.0,1231.0,,875.0,,805.8632
2007-08-29,1249.0,1245.0,1249.0,1235.0,,1067.0,,809.1022
2007-08-30,1240.0,1240.0,1241.0,1240.0,,802.0,,803.272
2007-08-31,1231.0,1231.0,1240.0,1231.0,967855.0,786.0,,797.4418
2007-09-03,1220.0,1217.0,1221.0,1217.0,1775014.0,1458.0,,790.316
2007-09-04,1212.0,1217.0,1224.0,1212.0,2983372.0,2454.0,,785.1336
2007-09-05,1212.0,1215.0,1216.0,1212.0,1683761.0,1386.0,,785.1336
2007-09-06,1200.0,1215.0,1215.0,1200.0,1375019.0,1139.0,,777.36
2007-09-07,1200.0,1190.0,1220.0,1185.0,903762.0,758.0,,777.36
2007-09-10,1191.0,1190.0,1200.0,1190.0,965692.0,811.0,,771.5298
2007-09-11,1199.0,1191.0,1199.0,1180.0,1194383.0,1005.0,,776.7122
2007-09-12,1180.0,1170.0,1180.0,1151.0,955026.0,819.0,,764.404
2007-09-13,1155.0,1131.0,1164.0,1131.0,917275.0,804.0,,748.209
2007-09-14,1165.0,1131.0,1165.0,1131.0,197287.0,174.0,,754.687
2007-09-17,1155.0,1155.0,1165.0,1140.0,280929.0,245.0,,748.209
2007-09-18,1150.0,1151.0,1155.0,1150.0,296982.0,258.0,,744.97
2007-09-19,1150.0,1150.0,1163.0,1150.0,287000.0,249.0,,744.97
2007-09-20,1142.0,1141.0,1142.0,1141.0,297824.0,261.0,,739.7876
2007-09-21,1145.0,1142.0,1145.0,1142.0,277536.0,243.0,,741.731
2007-09-24,1150.0,1143.0,1150.0,1143.0,285820.0,250.0,,744.97
2007-09-25,1131.0,1131.0,1149.0,1131.0,613566.0,542.0,,732.6618
2007-09-26,1147.0,1130.0,1147.0,1125.0,434524.0,384.0,,743.0266
2007-09-27,1127.0,1127.0,1144.0,1127.0,253686.0,225.0,,730.0706
2007-09-28,1130.0,1130.0,1130.0,1125.0,266475.0,236.0,,732.014
2007-10-01,1125.0,1120.0,1125.0,1120.0,238575.0,213.0,,728.775
2007-10-02,1120.0,1120.0,1126.0,1120.0,279365.0,249.0,,725.536
2007-10-03,1120.0,1110.0,1120.0,1110.0,262260.0,236.0,,725.536
2007-10-04,1102.0,1120.0,1120.0,1101.0,271524.0,245.0,,713.8756
2007-10-05,1100.0,1102.0,1115.0,1100.0,452566.0,411.0,,712.58
2007-10-08,1138.0,1103.0,1139.0,1100.0,600714.0,540.0,,737.1964
2007-10-09,1144.0,1135.0,1144.0,1105.0,630722.0,559.0,,741.0832
2007-10-10,1120.0,1144.0,1144.0,1120.0,554468.0,486.0,,725.536
2007-10-11,1120.0,1120.0,1120.0,1110.0,172301.0,154.0,,725.536
2007-10-12,1111.0,1110.0,1120.0,1110.0,335886.0,302.0,,719.7058
2007-10-15,1111.0,1111.0,1127.0,1110.0,423299.0,381.0,,719.7058
2007-10-16,1128.0,1111.0,1140.0,1111.0,237967.0,212.0,,730.7184
2007-10-17,1128.0,1108.0,1128.0,1108.0,360553.0,325.0,,730.7184
2007-10-18,1116.0,1115.0,1127.0,1115.0,181788.0,163.0,,722.9448
2007-10-19,1134.0,1130.0,1135.0,1111.0,804032.0,715.0,,734.6052
