date,close,open,high,low,turnover,volume,vwap,mktCap
1997-07-10,400.0,,,,,,,
1997-07-11,400.0,,,,,,,
1997-07-14,400.0,,,,,,,
1997-07-15,400.0,,,,,,,
1997-07-17,489.0,489.0,489.0,489.0,,,,
1997-07-22,503.0,503.0,503.0,503.0,,56.0,,
1997-07-24,518.0,518.0,518.0,518.0,,15.0,,
1997-09-15,533.0,,,,,,,
1997-09-16,533.0,,,,,,,
1997-09-29,561.0,561.0,561.0,561.0,,50.0,,
1997-11-21,561.0,,,,,,,
1997-11-24,561.0,,,,,,,
1997-12-04,561.0,,,,,,,
1998-04-17,561.0,,,,,20.0,,575.025
1998-04-20,,,,,,,,575.025
1998-04-21,,,,,,,,575.025
1998-04-22,,,,,,,,575.025
1998-04-23,,,,,,,,575.025
1998-04-24,,,,,,,,575.025
1998-04-27,,,,,,,,575.025
1998-04-28,,,,,,,,575.025
1998-04-29,,,,,,,,575.025
1998-04-30,,,,,,,,575.025
1998-05-01,,,,,,,,575.025
1998-05-04,,,,,,,,575.025
1998-05-05,,,,,,,,575.025
1998-05-06,550.0,550.0,550.0,550.0,,100.0,,563.75
1998-05-07,,,,,,,,563.75
1998-05-08,,,,,,,,563.75
1998-05-11,576.0,,,,,5.0,,590.4
1998-05-12,,,,,,,,590.4
1998-05-13,,,,,,,,590.4
1998-05-14,,,,,,,,590.4
1998-05-15,,,,,,,,590.4
1998-05-18,,,,,,,,590.4
1998-05-19,,,,,,,,590.4
1998-05-20,593.0,,,,,5.0,,607.825
1998-05-21,,,,,,,,607.825
1998-05-22,598.0,598.0,598.0,598.0,,5.0,,612.95
1998-05-25,,,,,,,,612.95
1998-05-26,,,,,,,,612.95
1998-05-27,,,,,,,,612.95
1998-05-28,625.0,600.0,625.0,600.0,,30.0,,640.625
1998-05-29,,,,,,,,640.625
1998-06-01,,,,,,,,640.625
1998-06-02,,,,,,,,640.625
1998-06-03,,,,,,,,640.625
1998-06-04,,,,,,,,640.625
1998-06-05,,,,,,,,640.625
1998-06-08,,,,,,,,640.625
1998-06-09,,,,,,,,640.625
1998-06-10,,,,,,,,640.625
1998-06-11,,,,,,,,640.625
1998-06-12,,,,,,,,640.625
1998-06-15,,,,,,,,640.625
1998-06-16,,,,,,,,640.625
1998-06-17,,,,,,,,640.625
1998-06-18,,,,,,,,640.625
1998-06-19,,,,,,,,640.625
1998-06-22,,,,,,,,640.625
1998-06-23,,,,,,,,640.625
