date,close,open,high,low,turnover,volume,vwap,mktCap
1998-07-06,608.0,608.0,608.0,608.0,,40.0,,
1998-07-14,702.0,702.0,702.0,702.0,,2906.0,,
1998-07-15,675.0,675.0,675.0,675.0,,1769.0,,
1998-07-16,674.0,674.0,674.0,674.0,,556.0,,
1998-07-17,655.0,655.0,655.0,655.0,,475.0,,
1998-07-20,651.0,651.0,651.0,651.0,,305.0,,
1998-07-21,650.0,650.0,650.0,650.0,,1130.0,,
1998-07-22,618.0,618.0,618.0,618.0,,200.0,,
1998-07-23,630.0,630.0,630.0,630.0,,250.0,,
1998-07-24,624.0,624.0,624.0,624.0,,381.0,,
1998-07-27,620.0,620.0,620.0,620.0,,207.0,,
1998-07-28,620.0,620.0,620.0,620.0,,283.0,,
1998-07-29,619.0,619.0,619.0,619.0,,100.0,,
1998-07-30,620.0,620.0,620.0,620.0,,357.0,,
1998-07-31,619.0,619.0,619.0,619.0,,61.0,,
1998-08-05,615.0,615.0,615.0,615.0,,64.0,,
1998-08-06,640.0,640.0,640.0,640.0,,110.0,,
1998-08-07,640.0,640.0,640.0,640.0,,48.0,,
1998-08-10,620.0,620.0,620.0,620.0,,60.0,,
1998-08-11,620.0,620.0,620.0,620.0,,78.0,,
1998-08-12,620.0,620.0,620.0,620.0,,60.0,,
1998-08-17,620.0,620.0,620.0,620.0,,48.0,,
1998-08-18,616.0,616.0,616.0,616.0,,115.0,,
1998-08-19,625.0,625.0,625.0,625.0,,36.0,,
1998-08-21,620.0,620.0,620.0,620.0,,88.0,,
1998-08-24,625.0,625.0,625.0,625.0,,48.0,,
1998-08-25,620.0,620.0,620.0,620.0,,104.0,,
1998-08-26,620.0,620.0,620.0,620.0,,112.0,,
1998-08-27,620.0,620.0,620.0,620.0,,108.0,,
1998-09-01,625.0,625.0,625.0,625.0,,130.0,,
1998-09-02,618.0,618.0,618.0,618.0,,168.0,,
1998-09-03,618.0,618.0,618.0,618.0,,50.0,,
1998-09-04,614.0,614.0,614.0,614.0,,200.0,,
1998-09-07,618.0,618.0,618.0,618.0,,218.0,,
1998-09-09,617.0,617.0,617.0,617.0,,90.0,,
1998-09-10,600.0,600.0,600.0,600.0,,204.0,,
1998-09-11,599.0,599.0,599.0,599.0,,142.0,,
1998-09-18,610.0,610.0,610.0,610.0,,292.0,,
1998-09-23,610.0,610.0,610.0,610.0,,107.0,,
1998-09-25,610.0,610.0,610.0,610.0,,306.0,,
1998-09-30,600.0,600.0,600.0,600.0,,,,
1998-10-08,600.0,600.0,600.0,600.0,,50.0,,
1998-10-14,576.0,576.0,576.0,576.0,,8.0,,
1998-10-23,584.0,584.0,584.0,584.0,,16.0,,
1998-10-26,584.0,584.0,584.0,584.0,,12.0,,
1998-10-27,584.0,584.0,584.0,584.0,,55.0,,
1998-10-28,584.0,584.0,584.0,584.0,,60.0,,
1998-10-30,584.0,584.0,584.0,584.0,,30.0,,
1998-11-04,584.0,584.0,584.0,584.0,,158.0,,
1998-11-05,584.0,584.0,584.0,584.0,,,,
1998-11-09,584.0,584.0,584.0,584.0,,,,
1998-11-10,584.0,584.0,584.0,584.0,,56.0,,
1998-11-11,584.0,584.0,584.0,584.0,,,,
1998-11-12,580.0,580.0,580.0,580.0,,36.0,,
1998-11-13,580.0,580.0,580.0,580.0,,8.0,,
1998-11-16,575.0,575.0,575.0,575.0,,40.0,,
1998-11-17,575.0,575.0,575.0,575.0,,136.0,,
1998-11-19,574.0,574.0,574.0,574.0,,128.0,,
1998-11-23,571.0,571.0,571.0,571.0,,21.0,,
1998-11-24,576.0,576.0,576.0,576.0,,70.0,,
1998-11-25,575.0,575.0,575.0,575.0,,12.0,,
1998-11-26,576.0,576.0,576.0,576.0,,13.0,,
1998-11-27,584.0,584.0,584.0,584.0,,228.0,,
1998-11-30,600.0,600.0,600.0,600.0,,365.0,,
1998-12-01,576.0,576.0,576.0,576.0,,598.0,,
1998-12-02,595.0,595.0,595.0,595.0,,156.0,,
1998-12-03,595.0,595.0,595.0,595.0,,7.0,,
1998-12-07,576.0,576.0,576.0,576.0,,28.0,,
1998-12-08,577.0,577.0,577.0,577.0,,50.0,,
1998-12-09,577.0,577.0,577.0,577.0,,4.0,,
1998-12-10,578.0,578.0,578.0,578.0,,220.0,,
1998-12-11,577.0,577.0,577.0,577.0,,,,
1998-12-14,577.0,577.0,577.0,577.0,,4.0,,
1998-12-15,577.0,577.0,577.0,577.0,,4.0,,
1998-12-16,578.0,578.0,578.0,578.0,,30.0,,
1998-12-17,577.0,577.0,577.0,577.0,,137.0,,
1998-12-18,575.0,575.0,575.0,575.0,,77.0,,
1998-12-21,570.0,570.0,570.0,570.0,,250.0,,
1998-12-22,570.0,570.0,570.0,570.0,,20.0,,
1998-12-24,570.0,570.0,570.0,570.0,,4.0,,
1998-12-25,570.0,570.0,570.0,570.0,,25.0,,
1998-12-28,550.0,550.0,550.0,550.0,,263.0,,
1998-12-30,575.0,575.0,575.0,575.0,,46.0,,
1998-12-31,595.0,595.0,595.0,595.0,,20.0,,
1999-01-04,570.0,570.0,570.0,570.0,,20.0,,
1999-01-06,570.0,570.0,570.0,570.0,,4.0,,
1999-01-12,590.0,590.0,590.0,590.0,,42.0,,
1999-01-13,590.0,590.0,590.0,590.0,,46.0,,
1999-01-21,578.0,578.0,578.0,578.0,,16.0,,
1999-01-29,566.0,566.0,566.0,566.0,,52.0,,
1999-02-02,535.0,535.0,535.0,535.0,,1449.0,,
1999-02-03,550.0,550.0,550.0,550.0,,115.0,,
1999-02-04,560.0,560.0,560.0,560.0,,265.0,,
1999-02-05,551.0,551.0,551.0,551.0,,36.0,,
1999-02-08,575.0,575.0,575.0,575.0,,281.0,,
1999-02-09,575.0,575.0,575.0,575.0,,86.0,,
1999-02-10,590.0,590.0,590.0,590.0,,834.0,,
1999-02-11,566.0,566.0,566.0,566.0,,24.0,,
1999-02-12,575.0,575.0,575.0,575.0,,150.0,,
1999-02-16,590.0,590.0,590.0,590.0,,274.0,,
1999-02-17,590.0,590.0,590.0,590.0,,250.0,,
1999-02-18,590.0,590.0,590.0,590.0,,95.0,,
1999-02-19,590.0,590.0,590.0,590.0,,346.0,,
1999-02-22,590.0,590.0,590.0,590.0,,100.0,,
1999-02-23,570.0,570.0,570.0,570.0,,385.0,,
1999-02-24,570.0,570.0,570.0,570.0,,354.0,,
1999-02-25,589.0,589.0,589.0,589.0,,,,
1999-02-26,586.0,586.0,586.0,586.0,,,,
1999-03-01,571.0,571.0,571.0,571.0,,,,
1999-03-02,585.0,585.0,585.0,585.0,,,,
1999-03-05,585.0,585.0,585.0,585.0,,55.0,,
1999-03-08,576.0,576.0,576.0,576.0,,24.0,,
1999-03-09,578.0,578.0,578.0,578.0,,370.0,,
1999-03-10,578.0,578.0,578.0,578.0,,344.0,,
1999-03-11,570.0,570.0,570.0,570.0,,204.0,,
1999-03-12,575.0,575.0,575.0,575.0,,224.0,,
1999-03-15,585.0,585.0,585.0,585.0,,86.0,,
1999-03-16,583.0,583.0,583.0,583.0,,84.0,,
1999-03-17,581.0,581.0,581.0,581.0,,119.0,,
1999-03-19,583.0,583.0,583.0,583.0,,170.0,,
1999-03-22,560.0,560.0,560.0,560.0,,26.0,,168.0
1999-03-23,570.0,570.0,570.0,570.0,,8.0,,171.0
1999-03-24,571.0,571.0,571.0,571.0,,10.0,,171.3
1999-03-25,560.0,560.0,560.0,560.0,,24.0,,168.0
1999-03-26,561.0,561.0,561.0,561.0,,4.0,,168.3
1999-03-30,561.0,561.0,561.0,561.0,,12.0,,168.3
1999-03-31,561.0,561.0,561.0,561.0,,251.0,,168.3
1999-04-01,,,,,,,,168.3
1999-04-02,560.0,560.0,560.0,560.0,,333.0,,168.0
1999-04-05,561.0,561.0,561.0,561.0,,9.0,,168.3
1999-04-06,560.0,560.0,560.0,560.0,,112.0,,168.0
1999-04-07,,,,,,,,168.0
1999-04-08,562.0,562.0,562.0,562.0,,41.0,,168.6
1999-04-09,,,,,,,,168.6
1999-04-12,,,,,,,,168.6
1999-04-13,551.0,551.0,551.0,551.0,,12.0,,165.3
1999-04-14,560.0,560.0,560.0,560.0,,324.0,,168.0
1999-04-15,575.0,575.0,575.0,575.0,,200.0,,172.5
1999-04-19,,,,,,,,172.5
1999-04-20,558.0,558.0,558.0,558.0,,254.0,,167.4
1999-04-21,575.0,575.0,575.0,575.0,,492.0,,172.5
1999-04-22,575.0,575.0,575.0,575.0,,112.0,,172.5
