date,close,open,high,low,turnover,volume,vwap,mktCap
2006-06-12,495.1,495.1,495.1,495.0,,4910.0,,
2006-06-13,501.0,470.0,501.0,470.0,,156.0,,
2006-06-14,500.0,500.0,501.0,500.0,,120.0,,
2006-06-15,499.95,500.0,500.0,499.95,,1136.0,,
2006-06-16,495.0,486.0,499.95,486.0,,643.0,,
2006-06-19,490.0,490.0,495.0,490.0,,300.0,,
2006-06-20,490.0,495.0,495.0,490.0,,410.0,,
2006-06-21,485.0,485.0,490.0,485.0,,68.0,,84.875
2006-06-22,485.0,485.0,485.0,485.0,,1112.0,,84.875
2006-06-23,482.0,482.0,485.0,482.0,,370.0,,84.35
2006-06-26,489.5,489.5,489.5,482.0,,30.0,,85.6625
2006-06-27,490.0,490.0,490.0,489.5,,802.0,,85.75
2006-06-28,490.0,490.0,490.0,490.0,,282.0,,85.75
2006-06-29,485.0,485.0,485.0,485.0,,3.0,,84.875
2006-06-30,495.0,495.0,495.0,485.0,,508.0,,86.625
2006-07-03,497.0,497.0,497.0,495.0,,217.0,,86.975
2006-07-04,496.0,496.0,496.0,496.0,,8.0,,86.8
2006-07-05,496.0,496.0,496.0,496.0,,61.0,,86.8
2006-07-06,500.0,500.0,500.0,497.0,,442.0,,87.5
2006-07-07,500.0,500.0,500.0,500.0,,1492.0,,87.5
2006-07-10,500.0,500.0,500.0,500.0,,1491.0,,87.5
2006-07-11,500.0,501.0,501.0,500.0,,2356.0,,87.5
2006-07-12,500.0,500.0,500.0,500.0,,224.0,,87.5
2006-07-13,500.0,500.0,500.0,500.0,,23.0,,87.5
2006-07-14,500.0,500.0,500.0,500.0,,2706.0,,87.5
2006-07-17,500.0,500.0,500.0,500.0,,5.0,,87.5
2006-07-18,500.0,500.0,500.0,500.0,,15.0,,87.5
2006-07-19,500.0,500.0,500.0,500.0,,310.0,,87.5
2006-07-20,500.0,500.0,500.0,500.0,,165.0,,87.5
2006-07-21,500.0,500.0,500.0,500.0,,680.0,,87.5
2006-07-24,500.0,500.0,500.0,500.0,,137.0,,87.5
2006-07-25,501.0,500.0,504.0,500.0,,157.0,,87.675
2006-07-26,503.0,500.0,503.0,500.0,,674.0,,88.025
2006-07-27,503.0,503.0,510.0,503.0,,782.0,,88.025
2006-07-28,506.0,506.0,506.0,503.0,,1.0,,88.55
2006-07-31,503.0,503.0,503.0,503.0,,17.0,,88.025
2006-08-01,503.0,503.0,503.0,503.0,,3.0,,88.025
2006-08-02,500.0,503.0,503.0,500.0,,394.0,,87.5
2006-08-03,509.0,509.0,509.0,500.0,,2.0,,89.075
2006-08-04,509.0,509.0,509.0,509.0,,10.0,,89.075
2006-08-07,502.0,502.0,509.0,502.0,,10.0,,87.85
2006-08-08,505.0,505.0,505.0,505.0,,5.0,,88.375
2006-08-09,505.0,503.0,505.0,503.0,,28.0,,88.375
2006-08-10,505.0,505.0,505.0,505.0,,28.0,,88.375
2006-08-11,508.0,505.0,508.0,505.0,,68.0,,88.9
2006-08-15,508.0,508.0,508.0,508.0,,1.0,,88.9
2006-08-16,505.0,505.0,508.0,505.0,,365.0,,88.375
2006-08-17,505.0,505.0,505.0,505.0,,300.0,,88.375
2006-08-18,503.0,508.0,508.0,503.0,,540.0,,88.025
2006-08-22,520.0,503.0,520.0,503.0,,1248.0,,91.0
2006-08-23,520.0,517.0,525.0,517.0,,131.0,,91.0
2006-08-24,540.0,525.0,540.0,521.0,,827.0,,94.5
2006-08-25,530.0,535.0,540.0,530.0,,305.0,,92.75
2006-08-28,530.0,535.0,535.0,530.0,,89.0,,92.75
2006-08-29,540.0,530.0,540.0,530.0,,267.0,,94.5
2006-08-30,544.0,535.0,544.0,535.0,,167.0,,95.2
2006-08-31,548.0,540.0,548.0,540.0,,159.0,,95.9
