date,close,open,high,low,turnover,volume,vwap,mktCap
2008-01-03,959.0,856.0,959.0,856.0,9610180.0,11029.0,,402.78
2008-01-04,915.0,913.0,950.0,913.0,3152270.0,3385.0,,384.3
2008-01-07,898.0,876.0,930.0,876.0,1766814.0,1983.0,,377.16
2008-01-08,895.0,876.0,898.0,872.0,2487219.0,2798.0,,375.9
2008-01-09,899.0,880.0,910.0,874.0,2843463.0,3190.0,,377.58
2008-01-10,,,,,,,,377.58
2008-01-14,899.0,883.0,899.0,883.0,1086011.0,1217.0,,377.58
2008-01-15,860.0,855.0,880.0,855.0,1296831.0,1505.0,,361.2
2008-01-16,840.0,855.0,860.0,840.0,1011716.0,1189.0,,352.8
2008-01-17,843.0,841.0,870.0,840.0,1703285.0,2022.0,,354.06
2008-01-18,889.0,796.0,889.0,796.0,1495690.0,1789.0,,373.38
2008-01-21,870.0,870.0,870.0,846.0,371325.0,427.0,,365.4
2008-01-22,868.0,850.0,870.0,846.0,207672.0,243.0,,364.56
2008-01-23,850.0,821.0,870.0,821.0,686963.0,822.0,,357.0
2008-01-24,846.0,842.0,846.0,842.0,120422.0,143.0,,355.32
2008-01-25,870.0,834.0,870.0,834.0,370061.0,430.0,,365.4
2008-01-28,880.0,840.0,880.0,840.0,614128.0,710.0,,369.6
2008-01-29,880.0,842.0,880.0,842.0,942742.0,926.0,,369.6
2008-01-30,887.0,860.0,887.0,860.0,685777.0,784.0,,372.54
2008-01-31,871.0,861.0,871.0,850.0,950520.0,1111.0,,365.82
2008-02-01,853.0,852.0,860.0,852.0,735222.0,861.0,,358.26
2008-02-04,850.0,849.0,853.0,849.0,132529.0,156.0,,357.0
2008-02-05,867.0,841.0,869.0,841.0,620534.0,727.0,,364.14
2008-02-06,863.0,847.0,864.0,847.0,295339.0,344.0,,362.46
2008-02-07,850.0,850.0,851.0,850.0,247356.0,291.0,,357.0
2008-02-08,865.0,846.0,865.0,842.0,596599.0,694.0,,363.3
2008-02-11,844.0,843.0,844.0,843.0,71658.0,85.0,,354.48
2008-02-12,853.0,846.0,853.0,841.0,672086.0,793.0,,358.26
2008-02-13,863.0,850.0,863.0,842.0,471283.0,556.0,,362.46
2008-02-14,846.0,862.0,862.0,845.0,300527.0,349.0,,355.32
2008-02-15,844.0,847.0,847.0,833.0,1388034.0,1652.0,,354.48
2008-02-18,807.0,829.0,829.0,807.0,495197.0,601.0,,338.94
2008-02-19,811.0,811.0,811.0,806.0,788382.0,973.0,,340.62
2008-02-20,807.0,810.0,811.0,807.0,180603.0,223.0,,338.94
2008-02-21,800.0,807.0,807.0,760.0,854936.0,1070.0,,336.0
2008-02-22,760.0,767.0,768.0,752.0,1335265.0,1760.0,,319.2
2008-02-25,715.0,738.0,738.0,715.0,636632.0,876.0,,300.3
2008-02-26,690.0,690.0,720.0,680.0,1216233.0,1755.0,,289.8
2008-02-27,725.0,700.0,729.0,700.0,1497565.0,2117.0,,304.5
2008-02-28,711.0,715.0,735.0,711.0,436018.0,606.0,,298.62
2008-02-29,725.0,720.0,725.0,700.0,265352.0,371.0,,304.5
2008-03-03,707.0,725.0,730.0,707.0,165291.0,230.0,,296.94
2008-03-04,670.0,682.0,707.0,670.0,289329.0,423.0,,281.4
2008-03-05,690.0,680.0,700.0,680.0,146840.0,212.0,,289.8
2008-03-06,690.0,680.0,690.0,680.0,51690.0,76.0,,289.8
2008-03-07,691.0,690.0,699.0,690.0,62188.0,90.0,,290.22
2008-03-10,690.0,690.0,691.0,690.0,83493.0,121.0,,289.8
2008-03-11,670.0,695.0,695.0,670.0,217663.0,318.0,,281.4
2008-03-12,675.0,670.0,690.0,660.0,276546.0,411.0,,283.5
2008-03-13,660.0,658.0,660.0,658.0,111980.0,170.0,,277.2
2008-03-14,660.0,658.0,660.0,658.0,92924.0,141.0,,277.2
2008-03-17,653.0,660.0,660.0,653.0,59993.0,91.0,,274.26
2008-03-18,653.0,657.0,673.0,653.0,747057.0,1132.0,,274.26
2008-03-19,650.0,652.0,669.0,650.0,128033.0,195.0,,273.0
2008-03-20,,,,,,,,273.0
2008-03-21,,,,,,,,273.0
2008-03-24,650.0,642.0,660.0,642.0,153026.0,235.0,,273.0
2008-03-25,640.0,643.0,650.0,640.0,173002.0,269.0,,268.8
2008-03-26,640.0,635.0,640.0,635.0,96592.0,152.0,,268.8
2008-03-27,637.0,621.0,640.0,621.0,132067.0,212.0,,267.54
2008-03-28,640.0,626.0,640.0,625.0,202057.0,321.0,,268.8
2008-03-31,640.0,611.0,640.0,611.0,115611.0,186.0,,268.8
2008-04-01,636.0,620.0,636.0,620.0,98514.0,157.0,,267.12
2008-04-02,640.0,610.0,640.0,610.0,210337.0,337.0,,268.8
2008-04-03,640.0,620.0,640.0,620.0,115636.0,183.0,,268.8
2008-04-04,640.0,620.0,640.0,620.0,200801.0,318.0,,268.8
2008-04-07,620.0,624.0,624.0,620.0,275696.0,444.0,,260.4
2008-04-08,609.0,605.0,620.0,605.0,166270.0,274.0,,255.78
2008-04-09,610.0,583.0,610.0,583.0,442453.0,742.0,,256.2
2008-04-10,610.0,600.0,610.0,595.0,264631.0,438.0,,256.2
2008-04-11,593.0,590.0,603.0,590.0,141859.0,239.0,,249.06
2008-04-14,601.0,581.0,601.0,580.0,236118.0,402.0,,252.42
2008-04-15,598.0,580.0,598.0,580.0,180980.0,309.0,,251.16
2008-04-16,580.0,585.0,590.0,580.0,714880.0,1230.0,,243.6
2008-04-17,578.0,580.0,580.0,575.0,79332.0,137.0,,242.76
