date,close,open,high,low,turnover,volume,vwap,mktCap
2000-07-19,610.0,610.0,610.0,610.0,,14385.0,,5189.8802
2000-07-20,615.0,615.0,615.0,610.0,,10766.0,,5232.4202
2000-07-21,611.0,611.0,615.0,611.0,,6121.0,,5198.3882
2000-07-24,610.0,610.0,611.0,610.0,,7600.0,,5189.8802
2000-07-25,610.0,610.0,610.0,610.0,,10039.0,,5189.8802
2000-07-26,602.0,602.0,610.0,602.0,,6976.0,,5121.8162
2000-07-27,602.0,602.0,602.0,602.0,,13279.0,,5121.8162
2000-07-28,610.0,610.0,610.0,602.0,,18752.0,,5189.8802
2000-07-31,609.0,609.0,610.0,609.0,,16040.0,,5181.3722
2000-08-01,605.0,605.0,609.0,605.0,,10684.0,,5147.3402
2000-08-02,605.0,605.0,605.0,605.0,,8313.0,,5147.3402
2000-08-03,607.0,607.0,607.0,605.0,,2807.0,,5164.3562
2000-08-04,607.0,607.0,607.0,607.0,,4122.0,,5164.3562
2000-08-07,604.0,604.0,607.0,604.0,,23223.0,,5138.8322
2000-08-08,603.0,603.0,604.0,603.0,,2724.0,,5130.3242
2000-08-09,603.0,603.0,603.0,603.0,,4894.0,,5130.3242
2000-08-10,603.0,603.0,603.0,603.0,,5199.0,,5130.3242
2000-08-11,603.0,603.0,603.0,603.0,,5152.0,,5130.3242
2000-08-15,603.0,603.0,603.0,603.0,,2630.0,,5130.3242
2000-08-16,603.0,603.0,603.0,603.0,,3919.0,,5130.3242
2000-08-17,603.0,603.0,603.0,603.0,,2214.0,,5130.3242
2000-08-18,603.0,603.0,603.0,603.0,,1563.0,,5130.3242
2000-08-21,,,,,,,,5130.3242
2000-08-22,,,,,,,,5130.3242
2000-08-23,640.0,640.0,640.0,639.0,,12886.0,,5445.1202
2000-08-24,634.0,634.0,640.0,634.0,,9341.0,,5394.0722
2000-08-25,,,,,,,,5394.0722
2000-08-28,620.0,620.0,628.0,620.0,,3048.0,,5274.9602
2000-08-29,610.0,610.0,620.0,610.0,,7690.0,,5189.8802
2000-08-30,610.0,610.0,610.0,610.0,,5824.0,,5189.8802
2000-08-31,611.0,611.0,611.0,610.0,,2717.0,,5198.3882
2000-09-01,610.0,610.0,611.0,610.0,,1971.0,,5189.8802
2000-09-04,609.0,609.0,610.0,609.0,,1340.0,,5181.3722
2000-09-05,605.0,605.0,609.0,605.0,,2144.0,,5147.3402
2000-09-06,605.0,605.0,605.0,605.0,,2862.0,,5147.3402
2000-09-07,607.0,607.0,607.0,605.0,,2752.0,,5164.3562
2000-09-08,606.0,606.0,607.0,606.0,,2099.0,,5155.8482
2000-09-11,605.0,605.0,606.0,605.0,,2197.0,,5147.3402
2000-09-12,606.0,606.0,606.0,605.0,,4573.0,,5155.8482
2000-09-13,605.0,605.0,606.0,605.0,,3437.0,,5147.3402
2000-09-14,605.0,605.0,605.0,605.0,,6574.0,,5147.3402
2000-09-15,605.0,605.0,605.0,605.0,,2964.0,,5147.3402
2000-09-18,604.0,604.0,605.0,604.0,,1856.0,,5138.8322
2000-09-19,604.0,604.0,604.0,604.0,,3203.0,,5138.8322
2000-09-20,603.0,603.0,604.0,603.0,,4218.0,,5130.3242
2000-09-21,603.0,603.0,603.0,603.0,,3707.0,,5130.3242
2000-09-22,605.0,605.0,605.0,603.0,,2545.0,,5147.3402
2000-09-25,604.0,604.0,605.0,604.0,,3290.0,,5138.8322
2000-09-26,605.0,605.0,605.0,604.0,,8712.0,,5147.3402
2000-09-27,604.0,604.0,605.0,604.0,,4370.0,,5138.8322
2000-09-28,603.0,603.0,604.0,603.0,,2769.0,,5130.3242
2000-09-29,601.0,601.0,603.0,601.0,,1674.0,,5113.3082
2000-10-02,602.0,602.0,602.0,601.0,,2728.0,,5121.8162
2000-10-03,603.0,603.0,603.0,602.0,,3078.0,,5130.3242
2000-10-04,602.0,602.0,603.0,602.0,,1573.0,,5121.8162
2000-10-05,602.0,602.0,602.0,602.0,,2221.0,,5121.8162
2000-10-06,601.0,601.0,602.0,601.0,,2292.0,,5113.3082
2000-10-09,600.0,600.0,601.0,600.0,,3877.0,,5104.8002
2000-10-10,600.0,600.0,600.0,600.0,,4337.0,,5104.8002
2000-10-11,600.0,600.0,600.0,600.0,,3830.0,,5104.8002
2000-10-12,600.0,600.0,600.0,600.0,,16470.0,,5104.8002
2000-10-13,598.0,598.0,600.0,598.0,,15020.0,,5087.7842
2000-10-16,599.0,599.0,599.0,598.0,,3040.0,,5096.2922
2000-10-17,592.0,592.0,599.0,592.0,,5455.0,,5036.7362
2000-10-18,590.0,590.0,592.0,590.0,,9929.0,,5019.7202
2000-10-19,590.0,590.0,590.0,590.0,,3980.0,,5019.7202
2000-10-20,588.0,588.0,590.0,588.0,,5625.0,,5002.7042
2000-10-23,570.0,570.0,588.0,570.0,,2275.0,,4849.5602
2000-10-24,,,,,,,,4849.5602
2000-10-25,590.0,590.0,590.0,588.0,,3843.0,,5019.7202
2000-10-26,595.0,595.0,595.0,590.0,,3480.0,,5062.2602
2000-10-27,,,,,,,,5062.2602
2000-10-30,598.0,598.0,598.0,595.0,,3151.0,,5087.7842
2000-10-31,595.0,595.0,598.0,595.0,,2400.0,,5062.2602
2000-11-01,594.0,594.0,595.0,594.0,,3905.0,,5053.7522
2000-11-02,594.0,594.0,594.0,594.0,,4313.0,,5053.7522
2000-11-03,593.0,593.0,594.0,593.0,,4000.0,,5045.2442
2000-11-07,593.0,593.0,593.0,593.0,,1000.0,,5045.2442
2000-11-08,592.0,592.0,593.0,592.0,,2000.0,,5036.7362
2000-11-09,590.0,590.0,592.0,590.0,,2000.0,,5019.7202
2000-11-10,589.0,589.0,590.0,589.0,,3270.0,,5011.2122
2000-11-13,590.0,590.0,590.0,590.0,,4500.0,,5019.7202
2000-11-14,590.0,590.0,590.0,590.0,,2000.0,,5019.7202
2000-11-15,589.0,589.0,590.0,589.0,,2250.0,,5011.2122
2000-11-16,588.0,588.0,589.0,588.0,,3850.0,,5002.7042
2000-11-17,585.0,585.0,588.0,585.0,,7500.0,,4977.1802
2000-11-20,584.0,584.0,585.0,584.0,,1200.0,,4968.6722
2000-11-21,580.0,580.0,584.0,580.0,,4393.0,,4934.6402
2000-11-22,580.0,580.0,580.0,580.0,,10359.0,,4934.6402
2000-11-23,584.0,584.0,584.0,584.0,,2997.0,,4968.6722
