date,close,open,high,low,turnover,volume,vwap,mktCap
1999-06-17,176.0,176.0,176.0,176.0,,325000.0,,
1999-06-22,222.1,222.1,222.1,222.1,,537.0,,
1999-06-25,234.55,234.55,234.55,234.55,,57871.0,,
1999-06-28,230.0,230.0,230.0,230.0,,6823.0,,
1999-06-29,230.0,230.0,230.0,230.0,,6762.0,,
1999-07-01,244.0,244.0,244.0,244.0,,5808.0,,
1999-07-02,244.0,244.0,244.0,244.0,,,,
1999-07-05,244.0,244.0,244.0,244.0,,8162.0,,
1999-07-06,248.0,248.0,248.0,248.0,,14126.0,,
1999-07-08,243.0,243.0,243.0,243.0,,23126.0,,
1999-07-12,235.0,235.0,235.0,235.0,,2958.0,,
1999-07-13,230.0,230.0,230.0,230.0,,,,
1999-07-14,225.1,225.1,225.1,225.1,,1989.0,,
1999-07-15,227.0,227.0,227.0,227.0,,1489.0,,
1999-07-16,225.0,225.0,225.0,225.0,,1937.0,,
1999-07-19,225.0,225.0,225.0,225.0,,2731.0,,
1999-07-20,223.0,223.0,223.0,223.0,,2888.0,,
1999-07-21,223.05,223.05,223.05,223.05,,600.0,,
1999-07-23,224.0,224.0,224.0,224.0,,1992.0,,
1999-07-26,221.0,221.0,221.0,221.0,,945.0,,
1999-07-27,221.1,221.1,221.1,221.1,,797.0,,
1999-07-28,221.0,221.0,221.0,221.0,,636.0,,
1999-07-30,223.0,223.0,223.0,223.0,,1168.0,,
1999-08-02,221.2,221.2,221.2,221.2,,,,
1999-08-03,221.1,221.1,221.1,221.1,,404.0,,
1999-08-04,221.0,221.0,221.0,221.0,,348.0,,
1999-08-05,221.1,221.1,221.1,221.1,,932.0,,
1999-08-06,215.6,215.6,215.6,215.6,,634.0,,
1999-08-09,217.0,217.0,217.0,217.0,,167.0,,
1999-08-10,217.05,217.05,217.05,217.05,,477.0,,
1999-08-12,217.3,217.3,217.3,217.3,,1266.0,,
1999-08-13,217.0,217.0,217.0,217.0,,2953.0,,
1999-08-16,214.0,214.0,214.0,214.0,,270.0,,
1999-08-17,216.0,216.0,216.0,216.0,,272.0,,
1999-08-18,220.0,220.0,220.0,220.0,,2832.0,,
1999-08-23,231.0,231.0,231.0,231.0,,4030.0,,
1999-08-24,230.0,230.0,230.0,230.0,,1178.0,,
1999-08-25,233.2,233.2,233.2,233.2,,3629.0,,
1999-08-26,242.0,242.0,242.0,242.0,,4984.0,,
1999-08-27,242.0,242.0,242.0,242.0,,10442.0,,
1999-08-30,233.0,233.0,233.0,233.0,,481.0,,
1999-08-31,240.0,240.0,240.0,240.0,,1204.0,,
1999-09-01,240.0,240.0,240.0,240.0,,323.0,,
1999-09-02,240.05,240.05,240.05,240.05,,1706.0,,
1999-09-06,240.0,240.0,240.0,240.0,,320.0,,
1999-09-07,240.0,240.0,240.0,240.0,,881.0,,
1999-09-08,237.0,237.0,237.0,237.0,,510.0,,
1999-09-09,236.0,236.0,236.0,236.0,,723.0,,
1999-09-10,236.0,236.0,236.0,236.0,,782.0,,
1999-09-13,235.0,235.0,235.0,235.0,,232.0,,
1999-09-14,234.0,234.0,234.0,234.0,,501.0,,
1999-09-15,237.0,237.0,237.0,237.0,,350.0,,
1999-09-16,239.0,239.0,239.0,239.0,,963.0,,
1999-09-17,236.0,236.0,236.0,236.0,,405.0,,
1999-09-20,237.0,237.0,237.0,237.0,,194.0,,
1999-09-21,236.0,236.0,236.0,236.0,,258.0,,
1999-09-22,236.0,236.0,236.0,236.0,,300.0,,
1999-09-23,235.0,235.0,235.0,235.0,,643.0,,
1999-09-24,233.0,233.0,233.0,233.0,,1112.0,,
1999-09-27,235.0,235.0,235.0,235.0,,384.0,,
1999-09-28,234.0,234.0,234.0,234.0,,350.0,,
1999-09-29,235.0,235.0,235.0,235.0,,2639.0,,
1999-09-30,235.0,235.0,235.0,235.0,,1099.0,,
1999-10-01,235.0,235.0,235.0,235.0,,294.0,,
1999-10-04,234.0,234.0,234.0,234.0,,876.0,,
1999-10-05,233.0,233.0,233.0,233.0,,560.0,,
1999-10-06,231.1,231.1,231.1,231.1,,140.0,,
1999-10-07,228.0,228.0,228.0,228.0,,232.0,,
1999-10-08,231.1,231.1,231.1,231.1,,667.0,,
1999-10-11,232.0,232.0,232.0,232.0,,738.0,,
1999-10-12,231.0,231.0,231.0,231.0,,191.0,,
1999-10-13,231.0,231.0,231.0,231.0,,505.0,,
1999-10-14,231.0,231.0,231.0,231.0,,273.0,,
1999-10-15,231.0,231.0,231.0,231.0,,1125.0,,
1999-10-20,230.0,230.0,230.0,230.0,,2949.0,,
1999-10-22,233.0,233.0,233.0,233.0,,3044.0,,
1999-10-25,235.0,235.0,235.0,235.0,,1194.0,,
1999-10-26,235.0,235.0,235.0,235.0,,2457.0,,
1999-10-27,235.1,235.1,235.1,235.1,,3995.0,,
1999-10-28,235.2,235.2,235.2,235.2,,373.0,,
1999-10-29,235.2,235.2,235.2,235.2,,884.0,,
1999-11-01,235.0,235.0,235.0,235.0,,1000.0,,
1999-11-02,230.5,230.5,230.5,230.5,,200.0,,
1999-11-03,230.5,230.5,230.5,230.5,,183.0,,
1999-11-05,232.0,232.0,232.0,232.0,,784.0,,
1999-11-08,231.0,231.0,231.0,231.0,,,,
1999-11-09,232.1,232.1,232.1,232.1,,222.0,,
1999-11-10,231.6,231.6,231.6,231.6,,345.0,,
1999-11-15,227.0,227.0,227.0,227.0,,242.0,,
1999-11-16,228.0,228.0,228.0,228.0,,168.0,,
1999-11-17,228.0,228.0,228.0,228.0,,413.0,,
1999-11-24,226.0,226.0,226.0,226.0,,257.0,,
1999-11-29,220.1,220.1,220.1,220.1,,128.0,,
1999-11-30,216.0,216.0,216.0,216.0,,129.0,,
1999-12-02,210.0,210.0,210.0,210.0,,305.0,,
1999-12-03,220.0,220.0,220.0,220.0,,150.0,,
1999-12-06,220.0,220.0,220.0,220.0,,262.0,,
1999-12-07,218.0,218.0,218.0,218.0,,28.0,,
1999-12-08,220.0,220.0,220.0,220.0,,245.0,,
1999-12-10,215.0,215.0,215.0,215.0,,262.0,,
1999-12-14,220.0,220.0,220.0,220.0,,262.0,,
2000-02-23,413.0,413.0,413.0,413.0,,30.0,,
2000-02-28,413.0,413.0,413.0,413.0,,337.0,,
2000-02-29,412.0,412.0,413.0,412.0,,384.0,,
2000-03-01,416.0,416.0,416.0,412.0,,419.0,,
2000-03-02,412.0,412.0,416.0,412.0,,89.0,,
2000-03-03,414.0,414.0,414.0,414.0,,44.0,,
