date,close,open,high,low,turnover,volume,vwap,mktCap
2016-07-19,71.5,71.5,71.5,71.5,,,,5247.7854
2016-07-20,74.52,78.6,78.6,72.0,180500900.0,2373605.0,76.0455,5469.4401
2016-07-21,79.0,74.2,79.0,74.0,133151700.0,1727368.0,77.0836,5798.2523
2016-07-22,78.0,79.13,80.9,78.0,49491100.0,625573.0,79.1132,5724.8568
2016-07-25,77.3,76.0,77.5,76.0,46576880.0,608692.0,76.5196,5673.4798
2016-07-26,77.4,77.0,77.9,77.0,36548340.0,474205.0,77.0728,5680.8194
2016-07-27,77.48,77.1,77.5,77.1,20633830.0,267159.0,77.2343,5686.691
2016-07-28,77.4,77.5,77.7,77.0,28616840.0,369741.0,77.397,5680.8194
2016-07-29,77.55,77.4,77.55,77.21,20916900.0,270394.0,77.3571,5691.8287
2016-08-01,77.5,77.4,77.7,77.18,6514803.0,84116.0,77.4502,5688.159
2016-08-02,78.2,77.5,78.2,77.5,14221630.0,182917.0,77.7491,5739.5359
2016-08-03,79.0,78.5,79.7,78.5,26544360.0,336128.0,78.971,5798.2523
2016-08-04,79.0,79.01,79.19,78.2,8457467.0,107214.0,78.884,5798.2523
2016-08-05,78.5,78.5,78.94,78.31,4290242.0,54700.0,78.4322,5761.5546
2016-08-08,78.6,78.5,79.0,78.4,3298202.0,41970.0,78.5848,5768.8941
2016-08-09,78.51,78.5,78.9,78.5,4114513.0,52361.0,78.5797,5762.2885
2016-08-10,78.9,78.5,78.95,78.5,9127715.0,116005.0,78.6838,5790.9128
2016-08-11,79.01,78.75,79.69,78.75,11621860.0,146957.0,79.0834,5798.9863
2016-08-12,79.0,79.0,79.04,78.9,2848313.0,36061.0,78.986,5798.2523
2016-08-15,79.0,79.46,79.46,78.9,4361594.0,55210.0,79.0001,5798.2523
2016-08-16,79.0,78.9,79.0,78.8,1706439.0,21632.0,78.8849,5798.2523
2016-08-17,78.82,78.9,78.9,78.6,4383344.0,55626.0,78.8003,5785.0411
2016-08-18,78.8,78.8,78.88,78.61,1676212.0,21309.0,78.6622,5783.5732
2016-08-19,78.8,78.66,78.9,78.65,1823591.0,23174.0,78.6913,5783.5732
2016-08-22,78.7,78.65,78.94,78.5,4717822.0,59972.0,78.6671,5776.2337
