date,close,open,high,low,turnover,volume,vwap,mktCap
1999-05-03,178.0,160.0,178.0,160.0,,232560.0,,220.72
1999-05-04,,,,,,,,220.72
1999-05-05,211.9,211.9,211.9,211.9,,7858.0,,262.756
1999-05-06,224.6,224.6,224.6,224.6,,7976.0,,278.504
1999-05-07,211.15,211.15,211.15,211.15,,,,261.826
1999-05-10,202.0,202.0,202.0,202.0,,,,250.48
1999-05-11,206.0,206.0,206.0,206.0,,1354.0,,255.44
1999-05-12,208.0,208.0,208.0,208.0,,1375.0,,257.92
1999-05-13,210.0,210.0,210.0,210.0,,3902.0,,260.4
1999-05-14,210.0,210.0,210.0,210.0,,3186.0,,260.4
1999-05-17,203.0,203.0,203.0,203.0,,1176.0,,251.72
1999-05-18,201.0,201.0,201.0,201.0,,2330.0,,249.24
1999-05-19,201.0,201.0,201.0,201.0,,2085.0,,249.24
1999-05-20,200.0,200.0,200.0,200.0,,1608.0,,248.0
1999-05-21,200.0,200.0,200.0,200.0,,840.0,,248.0
1999-05-24,191.0,191.0,191.0,191.0,,1064.0,,236.84
1999-05-25,187.0,187.0,187.0,187.0,,1354.0,,231.88
1999-05-26,180.0,180.0,180.0,180.0,,2647.0,,223.2
1999-05-27,,,,,,,,223.2
1999-05-28,175.0,175.0,175.0,175.0,,756.0,,217.0
1999-05-31,185.0,185.0,185.0,185.0,,,,229.4
1999-06-01,185.0,185.0,185.0,185.0,,3373.0,,229.4
1999-06-02,185.1,185.1,185.1,185.1,,836.0,,229.524
1999-06-03,181.0,181.0,181.0,181.0,,4072.0,,224.44
1999-06-04,185.0,185.0,185.0,185.0,,1214.0,,229.4
1999-06-07,185.0,185.0,185.0,185.0,,342.0,,229.4
1999-06-08,185.0,185.0,185.0,185.0,,,,229.4
1999-06-09,,,,,,,,229.4
1999-06-10,185.0,185.0,185.0,185.0,,280.0,,229.4
1999-06-11,186.0,186.0,186.0,186.0,,560.0,,230.64
1999-06-14,190.0,190.0,190.0,190.0,,1645.0,,235.6
1999-06-15,200.0,200.0,200.0,200.0,,3566.0,,248.0
1999-06-16,205.0,205.0,205.0,205.0,,2204.0,,254.2
1999-06-17,210.0,210.0,210.0,210.0,,11160.0,,260.4
1999-06-18,222.0,222.0,222.0,222.0,,20606.0,,275.28
1999-06-21,210.0,210.0,210.0,210.0,,1498.0,,260.4
1999-06-22,211.0,211.0,211.0,211.0,,996.0,,261.64
1999-06-23,220.0,220.0,220.0,220.0,,4983.0,,272.8
1999-06-24,222.0,222.0,222.0,222.0,,5848.0,,
1999-06-25,230.0,230.0,230.0,230.0,,2506.0,,
1999-06-28,240.0,240.0,240.0,240.0,,14269.0,,297.6
1999-06-29,250.0,250.0,250.0,250.0,,8150.0,,310.0
1999-06-30,,,,,,,,310.0
1999-07-01,,,,,,,,310.0
1999-07-02,226.0,226.0,226.0,226.0,,,,280.24
1999-07-05,224.9,224.9,224.9,224.9,,3489.0,,278.876
1999-07-06,225.0,225.0,225.0,225.0,,976.0,,279.0
1999-07-07,,,,,,,,279.0
1999-07-08,221.0,221.0,221.0,221.0,,,,274.04
1999-07-12,224.0,224.0,224.0,224.0,,300.0,,277.76
1999-07-13,,,,,,,,277.76
1999-07-14,220.0,220.0,220.0,220.0,,336.0,,272.8
1999-07-15,,,,,,,,272.8
1999-07-16,214.0,214.0,214.0,214.0,,392.0,,265.36
1999-07-19,,,,,,,,265.36
1999-07-20,212.0,212.0,212.0,212.0,,112.0,,262.88
1999-07-21,,,,,,,,262.88
1999-07-22,,,,,,,,262.88
1999-07-23,212.0,212.0,212.0,212.0,,651.0,,262.88
1999-07-26,210.0,210.0,210.0,210.0,,235.0,,260.4
1999-07-27,210.0,210.0,210.0,210.0,,100.0,,260.4
1999-07-28,205.0,205.0,205.0,205.0,,112.0,,254.2
1999-07-29,,,,,,,,254.2
1999-07-30,197.0,197.0,197.0,197.0,,56.0,,244.28
1999-08-02,,,,,,,,244.28
1999-08-03,210.0,210.0,210.0,210.0,,624.0,,260.4
1999-08-04,210.0,210.0,210.0,210.0,,70.0,,260.4
1999-08-05,210.0,210.0,210.0,210.0,,7655.0,,260.4
1999-08-06,220.0,220.0,220.0,220.0,,20.0,,272.8
1999-08-09,211.0,211.0,211.0,211.0,,56.0,,261.64
1999-08-10,215.0,215.0,215.0,215.0,,841.0,,266.6
1999-08-11,,,,,,,,266.6
1999-08-12,211.0,211.0,211.0,211.0,,280.0,,261.64
1999-08-13,210.0,210.0,210.0,210.0,,310.0,,260.4
1999-08-16,210.0,210.0,210.0,210.0,,274.0,,260.4
1999-08-17,210.0,210.0,210.0,210.0,,106.0,,260.4
1999-08-18,211.0,211.0,211.0,211.0,,56.0,,261.64
1999-08-19,220.0,220.0,220.0,220.0,,329.0,,272.8
1999-08-23,225.0,225.0,225.0,225.0,,171.0,,279.0
1999-08-24,226.0,226.0,226.0,226.0,,688.0,,280.24
1999-08-25,,,,,,,,280.24
1999-08-26,239.0,239.0,239.0,239.0,,1248.0,,296.36
1999-08-27,240.0,240.0,240.0,240.0,,3563.0,,297.6
1999-08-30,241.0,241.0,241.0,241.0,,2137.0,,298.84
1999-08-31,242.5,242.5,242.5,242.5,,798.0,,300.7
1999-09-01,242.5,242.5,242.5,242.5,,106.0,,300.7
1999-09-02,243.2,243.2,243.2,243.2,,560.0,,301.568
1999-09-03,242.5,242.5,242.5,242.5,,2459.0,,300.7
1999-09-06,243.2,243.2,243.2,243.2,,214.0,,301.568
1999-09-07,243.5,243.5,243.5,243.5,,1392.0,,301.94
1999-09-08,245.1,245.1,245.1,245.1,,230.0,,303.924
1999-09-09,245.0,245.0,245.0,245.0,,565.0,,303.8
1999-09-10,246.0,246.0,246.0,246.0,,610.0,,305.04
1999-09-13,245.0,245.0,245.0,245.0,,2300.0,,303.8
1999-09-14,250.0,250.0,250.0,250.0,,3475.0,,310.0
1999-09-15,250.0,250.0,250.0,250.0,,3200.0,,310.0
1999-09-16,250.0,250.0,250.0,250.0,,3200.0,,310.0
1999-09-17,245.2,245.2,245.2,245.2,,505.0,,304.048
1999-09-20,249.5,249.5,249.5,249.5,,10.0,,309.38
1999-09-21,250.0,250.0,250.0,250.0,,3000.0,,310.0
1999-09-22,249.0,249.0,249.0,249.0,,500.0,,308.76
