date,close,open,high,low,turnover,volume,vwap,mktCap
2010-07-12,64.22,64.22,64.22,64.22,,,,
2010-07-13,70.64,70.64,70.64,70.64,,,,2119.2
2010-07-14,74.5,70.2,76.0,70.1,47142980.0,649745.0,72.5561,2235.0
2010-07-15,81.94,76.04,81.94,75.02,39683110.0,500659.0,79.2618,2458.2
2010-07-16,86.0,83.2,88.0,83.2,49929990.0,581289.0,85.8952,2580.0
2010-07-19,82.0,87.4,88.3,80.14,42548420.0,503792.0,84.4564,2460.0
2010-07-20,79.3,80.0,82.0,77.08,41875570.0,532724.0,78.6064,2379.0
2010-07-21,79.3,78.5,80.7,76.3,23283470.0,297105.0,78.3679,2379.0
2010-07-22,78.0,77.4,78.8,77.4,6901856.0,88594.0,77.9043,2340.0
2010-07-23,79.5,78.78,80.0,78.5,13019560.0,164034.0,79.3711,2385.0
2010-07-26,77.2,79.0,79.6,77.2,2163250.0,27792.0,77.8372,2316.0
2010-07-27,75.0,77.0,78.0,75.0,5646005.0,74257.0,76.0333,2250.0
2010-07-28,74.0,75.0,76.3,73.2,2932738.0,39397.0,74.4407,2220.0
2010-07-29,74.8,73.6,75.1,73.12,1462882.0,19728.0,74.1526,2244.0
2010-08-02,75.8,75.0,75.9,73.86,1417736.0,18886.0,75.0681,2274.0
2010-08-03,76.9,75.28,77.0,74.78,1581610.0,20766.0,76.1634,2307.0
2010-08-04,76.9,76.9,76.9,76.0,847723.8,11066.0,76.6062,2307.0
2010-08-05,77.5,76.0,77.56,76.0,2440418.0,31669.0,77.0601,2325.0
2010-08-06,77.0,77.56,78.5,77.0,4480185.0,57591.0,77.7932,2310.0
2010-08-09,76.6,77.88,77.96,76.6,941477.8,12204.0,77.145,2298.0
2010-08-10,76.6,75.1,76.9,75.1,2366364.0,31217.0,75.8037,2298.0
2010-08-11,76.4,76.0,76.5,75.5,1115984.0,14693.0,75.9534,2292.0
2010-08-12,72.0,74.5,75.98,71.82,9327249.0,128576.0,72.5427,2160.0
2010-08-13,72.2,71.6,73.46,71.6,290700.7,4043.0,71.9022,2166.0
2010-08-16,71.0,71.04,72.98,70.6,1578078.0,22270.0,70.8612,2130.0
2010-08-17,70.9,70.6,71.0,69.42,2827991.0,40360.0,70.0691,2127.0
2010-08-18,71.0,70.9,72.5,69.5,1211138.0,17232.0,70.2843,2130.0
2010-08-19,69.5,69.0,71.0,69.0,706043.6,10109.0,69.8431,2085.0
2010-08-23,70.92,69.0,70.94,69.0,594666.0,8463.0,70.2666,2127.6
2010-08-24,72.0,69.84,72.5,69.84,540438.5,7577.0,71.3262,2160.0
2010-08-25,74.0,72.0,74.1,72.0,2627111.0,35875.0,73.2296,2220.0
