date,close,open,high,low,turnover,volume,vwap,mktCap
2007-06-19,977.0,980.0,1019.0,977.0,,115501.0,,977.0
2007-06-20,977.0,981.0,999.0,950.0,,26081.0,,977.0
2007-06-21,960.0,980.0,980.0,955.0,,2927.0,,960.0
2007-06-22,965.0,960.0,970.0,925.0,,14538.0,,965.0
2007-06-25,988.0,969.0,1000.0,954.0,,12509.0,,988.0
2007-06-26,989.0,982.0,995.0,980.0,,3805.0,,989.0
2007-06-27,983.0,980.0,989.0,970.0,,7275.0,,983.0
2007-06-28,974.0,990.0,990.0,956.0,,2488.0,,974.0
2007-06-29,980.0,962.0,980.0,951.0,,3543.0,,980.0
2007-07-02,977.0,933.0,979.0,933.0,,2314.0,,977.0
2007-07-03,960.0,950.0,976.0,944.0,,852.0,,960.0
2007-07-04,970.0,951.0,970.0,949.0,,996.0,,970.0
2007-07-05,950.0,946.0,960.0,945.0,,1097.0,,950.0
2007-07-06,950.0,941.0,950.0,926.0,,1780.0,,950.0
2007-07-09,960.0,927.0,960.0,927.0,,1121.0,,960.0
2007-07-10,947.0,938.0,960.0,930.0,,1087.0,,947.0
2007-07-11,947.0,930.0,948.0,928.0,,1058.0,,947.0
2007-07-12,928.0,928.0,930.0,924.0,,1816.0,,928.0
2007-07-13,932.0,922.0,934.0,920.0,,928.0,,932.0
2007-07-16,970.0,906.0,980.0,906.0,,9846.0,,970.0
2007-07-17,967.0,979.0,979.0,931.0,,3422.0,,967.0
2007-07-18,963.0,955.0,975.0,943.0,,1611.0,,963.0
2007-07-19,938.0,941.0,950.0,938.0,,1488.0,,938.0
2007-07-20,932.0,930.0,938.0,930.0,,564.0,,932.0
2007-07-23,922.0,927.0,927.0,920.0,,2282.0,,922.0
2007-07-24,919.0,920.0,920.0,907.0,,2019.0,,919.0
2007-07-25,905.0,907.0,907.0,900.0,,907.0,,905.0
2007-07-26,916.0,902.0,917.0,902.0,,336.0,,916.0
2007-07-27,906.0,902.0,917.0,902.0,,259.0,,906.0
2007-07-31,900.0,900.0,906.0,900.0,,309.0,,900.0
2007-08-01,901.0,901.0,901.0,900.0,,319.0,,901.0
2007-08-02,930.0,902.0,930.0,887.0,,1485.0,,930.0
2007-08-03,922.0,929.0,940.0,922.0,,1921.0,,922.0
2007-08-06,915.0,910.0,915.0,910.0,,161.0,,915.0
2007-08-07,906.0,905.0,920.0,905.0,,772.0,,906.0
2007-08-08,910.0,905.0,910.0,900.0,,2666.0,,910.0
2007-08-09,909.0,910.0,912.0,896.0,,826.0,,909.0
2007-08-10,910.0,899.0,910.0,899.0,,1125.0,,910.0
2007-08-13,890.0,902.0,913.0,890.0,,1677.0,,890.0
2007-08-15,909.0,886.0,910.0,886.0,,905.0,,909.0
2007-08-16,900.0,898.0,905.0,877.0,,3519.0,,900.0
2007-08-17,890.0,887.0,905.0,887.0,,902.0,,890.0
2007-08-22,910.0,900.0,910.0,892.0,,1733.0,,910.0
2007-08-23,920.0,894.0,920.0,894.0,,3840.0,,920.0
2007-08-24,930.0,923.0,930.0,901.0,,2906.0,,930.0
2007-08-27,940.0,915.0,940.0,915.0,,4299.0,,940.0
2007-08-28,945.0,940.0,945.0,924.0,,4004.0,,945.0
2007-08-29,945.0,950.0,952.0,945.0,,4543.0,,945.0
2007-08-30,950.0,945.0,950.0,927.0,,2662.0,,950.0
2007-08-31,950.0,935.0,950.0,903.0,4344455.0,4657.0,,950.0
2007-09-03,950.0,950.0,950.0,920.0,2485294.0,2631.0,,950.0
2007-09-04,927.0,925.0,940.0,925.0,567503.0,613.0,,927.0
2007-09-05,945.0,921.0,945.0,911.0,2014763.0,2171.0,,945.0
2007-09-06,924.0,950.0,950.0,921.0,1268708.0,1345.0,,924.0
2007-09-07,906.0,915.0,920.0,902.0,642909.0,708.0,,906.0
2007-09-10,903.0,910.0,930.0,903.0,1525055.0,1656.0,,903.0
2007-09-11,944.0,901.0,948.0,898.0,3454482.0,3716.0,,944.0
2007-09-12,920.0,930.0,930.0,915.0,1423915.0,1539.0,,920.0
2007-09-13,912.0,930.0,930.0,912.0,969356.0,1053.0,,912.0
2007-09-14,910.0,910.0,910.0,910.0,101920.0,112.0,,910.0
2007-09-17,905.0,904.0,910.0,904.0,215418.0,238.0,,905.0
2007-09-18,902.0,905.0,905.0,902.0,271370.0,300.0,,902.0
2007-09-19,915.0,902.0,915.0,901.0,93786.0,104.0,,915.0
2007-09-20,904.0,903.0,910.0,902.0,199845.0,221.0,,904.0
2007-09-21,902.0,904.0,904.0,902.0,158070.0,175.0,,902.0
2007-09-24,901.0,902.0,909.0,900.0,481084.0,534.0,,901.0
2007-09-25,900.0,900.0,900.0,900.0,356400.0,396.0,,900.0
2007-09-26,900.0,900.0,902.0,900.0,486019.0,540.0,,900.0
2007-09-27,895.0,895.0,905.0,895.0,461077.0,515.0,,895.0
2007-09-28,890.0,893.0,893.0,885.0,302151.0,339.0,,890.0
2007-10-01,900.0,914.0,914.0,891.0,239092.0,267.0,,900.0
