date,close,open,high,low,turnover,volume,vwap,mktCap
2014-12-17,215.0,215.0,215.0,215.0,,,,
2014-12-18,214.95,215.0,216.0,210.0,45343420.0,211052.0,214.8448,5633.5925
2014-12-19,212.0,212.0,212.0,203.0,6967309.0,32986.0,211.2202,5556.2764
2014-12-22,202.0,205.0,206.0,202.0,8489909.0,41831.0,202.9574,5294.1879
2014-12-23,202.0,205.0,208.0,195.1,15306960.0,75750.0,202.0721,5294.1879
2014-12-24,199.8,200.0,200.0,195.0,35422780.0,180198.0,196.577,5236.5284
2014-12-25,197.2,196.0,201.0,196.0,11215080.0,56666.0,197.9154,5168.3854
2014-12-26,198.5,196.6,198.95,196.3,2128710.0,10776.0,197.5417,5202.4569
2014-12-29,198.5,196.0,198.5,196.0,3929941.0,19854.0,197.942,5202.4569
2014-12-30,196.7,198.05,198.75,196.6,5196123.0,26192.0,198.3859,5155.281
2014-12-31,197.5,196.65,197.5,195.0,12517450.0,63600.0,196.8152,5176.248
2015-01-02,195.0,195.3,195.5,195.0,131145.5,672.0,195.1569,5110.7259
2015-01-06,198.0,195.0,198.0,183.4,980572.4,5023.0,195.2165,5189.3525
2015-01-07,197.0,192.15,197.2,192.1,1857662.0,9525.0,195.0301,5163.1436
2015-01-08,193.3,195.0,196.95,193.3,3521266.0,18187.0,193.6144,5066.1709
2015-01-09,193.1,193.35,195.0,193.0,35695220.0,183267.0,194.7717,5060.9291
2015-01-12,190.0,193.1,193.1,187.0,2442607.0,12859.0,189.9531,4979.6817
2015-01-13,188.0,190.0,190.0,184.0,2656720.0,14145.0,187.8204,4927.264
2015-01-14,183.6,189.75,189.75,183.6,4885368.0,26503.0,184.3327,4811.945
2015-01-15,172.6,173.6,182.0,172.6,13860770.0,78735.0,176.0433,4523.6477
2015-01-16,165.2,162.25,170.0,155.35,10908750.0,67810.0,160.8723,4329.7022
2015-01-19,181.7,167.0,181.7,167.0,7564675.0,42617.0,177.5037,4762.1482
2015-01-20,191.0,185.0,192.6,185.0,10572050.0,55356.0,190.9829,5005.8905
2015-01-21,189.5,195.95,195.95,187.3,300131.9,1551.0,193.5086,4966.5772
2015-01-22,189.8,185.0,189.8,185.0,88439.8,478.0,185.0205,4974.4399
2015-01-23,189.9,185.0,189.9,184.0,1327383.0,7003.0,189.545,4977.0608
2015-01-26,184.0,178.6,185.0,178.6,3272895.0,17824.0,183.6229,4822.4286
2015-01-27,179.5,184.0,184.0,179.5,5007082.0,27811.0,180.0396,4704.4887
2015-01-28,179.85,181.0,181.0,176.25,10100000.0,56129.0,179.9425,4713.6618
2015-01-29,180.0,180.0,180.0,177.05,16707910.0,92837.0,179.9704,4717.5932
2015-01-30,180.0,180.0,190.0,180.0,7471586.0,113256.0,183.9386,4717.5932
2015-02-02,179.9,180.0,180.0,176.15,104933.0,587.0,178.7616,4714.9723
2015-02-03,180.0,179.85,180.0,178.0,7256330.0,40314.0,179.9953,4717.5932
2015-02-04,178.9,176.65,180.0,176.0,10581220.0,58856.0,179.7815,4688.7634
2015-02-05,175.3,179.5,179.5,175.0,449347.3,2552.0,176.0765,4594.4116
2015-02-06,176.0,176.0,177.5,176.0,2344340.0,13320.0,176.0015,4612.7578
2015-02-09,175.0,173.0,175.0,173.0,2852009.0,16303.0,174.9377,4586.5489
2015-02-10,176.0,175.0,176.0,175.0,2679309.0,15283.0,175.313,4612.7578
2015-02-11,170.0,175.0,177.5,170.0,5456198.0,31563.0,172.8669,4455.5046
2015-02-12,170.0,171.0,174.0,165.6,1781011.0,10475.0,170.0249,4455.5046
2015-02-13,170.0,170.0,173.25,167.05,2942698.0,17314.0,169.9606,4455.5046
2015-02-16,163.0,165.0,169.0,161.4,185636.2,1119.0,165.8947,4272.0427
2015-02-17,164.0,163.0,165.0,162.2,4015202.0,24486.0,163.9795,4298.2515
2015-02-18,162.4,161.0,163.0,160.0,1544822.0,9484.0,162.8871,4256.3174
2015-02-19,170.0,161.0,170.0,155.0,820355.9,5144.0,159.4782,4455.5046
2015-02-20,166.1,160.0,175.0,160.0,839971.3,4986.0,168.466,4353.2901
2015-02-23,170.0,169.95,170.0,166.0,1851707.0,11078.0,167.1517,4455.5046
2015-02-24,174.9,170.0,174.9,167.05,1392373.0,8011.0,173.8076,4583.928
2015-02-25,180.0,174.0,180.0,172.0,3432381.0,19186.0,178.9003,4717.5932
2015-02-26,181.0,181.95,182.1,178.0,2636083.0,14484.0,181.9996,4743.802
2015-02-27,182.9,182.0,182.9,178.5,427188.1,2354.0,181.4733,4793.5988
2015-03-02,180.0,180.0,180.0,173.0,3017262.0,16786.0,179.7487,4717.5932
2015-03-03,179.9,172.55,179.9,172.55,487857.4,2733.0,178.5062,4714.9723
2015-03-04,177.0,175.5,179.7,174.15,396389.8,2257.0,175.6268,4638.9666
