date,close,open,high,low,turnover,volume,vwap,mktCap
1997-05-02,250.0,,,,,,,
1997-05-05,250.0,,,,,,,
1997-05-06,250.0,,,,,,,
1997-05-07,250.0,,,,,,,
1997-05-09,250.0,,,,,,,
1997-05-12,250.0,,,,,,,
1997-05-13,250.0,,,,,,,
1997-05-14,250.0,,,,,,,
1997-05-15,250.0,,,,,,,
1997-05-16,250.0,,,,,,,
1997-05-19,250.0,,,,,,,
1997-05-20,250.0,,,,,,,
1997-05-21,250.0,,,,,,,
1997-05-22,250.0,,,,,,,
1997-05-26,250.0,,,,,,,
1997-05-27,250.0,,,,,,,
1997-05-28,250.0,,,,,,,
1997-05-29,250.0,,,,,,,
1997-05-30,250.0,,,,,,,
1997-06-02,250.0,,,,,,,
1997-06-03,250.0,,,,,,,
1997-06-04,250.0,,,,,,,
1997-06-05,250.0,,,,,,,
1997-06-06,250.0,,,,,,,
1997-06-09,250.0,,,,,,,
1997-06-10,250.0,,,,,,,
1997-06-11,250.0,,,,,,,
1997-06-12,250.0,,,,,,,
1997-06-13,250.0,,,,,,,
1997-06-16,250.0,,,,,,,
1997-06-17,250.0,,,,,,,
1997-06-18,250.0,,,,,,,
1997-06-19,250.0,,,,,,,
1997-06-20,250.0,,,,,,,
1997-06-23,250.0,,,,,,,
1997-06-24,250.0,,,,,,,
1997-06-25,250.0,,,,,,,
1997-06-26,250.0,,,,,,,
1997-06-27,250.0,,,,,,,
1997-06-30,250.0,,,,,,,
1997-07-01,250.0,,,,,,,
1997-07-02,250.0,,,,,,,
1997-07-03,250.0,,,,,,,
1997-07-04,250.0,,,,,,,
1997-07-07,250.0,,,,,,,
1997-07-08,250.0,,,,,,,
1997-07-10,264.0,,,,,,,
1997-07-11,264.0,,,,,,,
1997-07-14,264.0,,,,,,,
1997-07-15,264.0,,,,,,,
1997-08-11,298.0,298.0,298.0,298.0,,1.0,,
1997-09-12,400.0,400.0,400.0,400.0,,7.0,,
1997-09-15,400.0,,,,,,,
1997-09-16,400.0,,,,,,,
1997-11-21,400.0,,,,,,,
1997-11-24,400.0,,,,,,,
1997-11-27,402.0,402.0,402.0,402.0,,45.0,,
1997-12-04,402.0,,,,,,,
1997-12-08,400.0,400.0,400.0,400.0,,1.0,,
1997-12-25,417.0,417.0,417.0,417.0,,30.0,,
1998-01-09,415.0,415.0,415.0,415.0,,1.0,,
1998-03-02,436.0,,,,,93.0,,
1998-09-15,500.0,,,,,1.0,,
1998-09-18,500.0,500.0,500.0,500.0,,2.0,,
1998-10-05,500.0,,,,,76.0,,
1998-12-01,500.0,500.0,500.0,500.0,,11.0,,
1998-12-17,500.0,500.0,500.0,500.0,,6.0,,
1999-02-03,415.3,415.3,415.3,415.3,,25.0,,
1999-02-09,400.0,400.0,400.0,400.0,,43.0,,
1999-02-22,520.0,520.0,520.0,520.0,,3.0,,
1999-03-01,,,,,,,,33.28
1999-03-02,,,,,,,,33.28
1999-03-04,619.0,619.0,619.0,619.0,,94.0,,39.616
1999-03-05,,,,,,,,39.616
1999-03-08,,,,,,,,39.616
1999-03-09,,,,,,,,39.616
1999-03-10,619.0,619.0,619.0,619.0,,12.0,,39.616
1999-03-11,619.0,619.0,619.0,619.0,,20.0,,39.616
1999-03-12,619.0,619.0,619.0,619.0,,7.0,,39.616
1999-03-15,619.0,619.0,619.0,619.0,,11.0,,39.616
1999-03-16,582.0,582.0,582.0,582.0,,10.0,,37.248
1999-03-17,548.0,548.0,548.0,548.0,,1.0,,35.072
1999-03-18,,,,,,,,35.072
1999-03-19,516.0,516.0,516.0,516.0,,10.0,,33.024
1999-03-22,,,,,,,,33.024
1999-03-23,,,,,,,,33.024
1999-03-24,485.0,485.0,485.0,485.0,,1.0,,31.04
1999-03-25,,,,,,,,31.04
1999-03-26,,,,,,,,31.04
1999-03-30,,,,,,,,31.04
1999-03-31,,,,,,,,31.04
