date,close,open,high,low,turnover,volume,vwap,mktCap
2006-05-17,319.4,319.4,319.4,290.4,,4441.0,,
2006-05-19,386.4,386.4,386.4,351.3,,55429.0,,
2006-05-23,407.0,420.0,420.0,385.0,,516592.0,,
2006-05-24,400.1,400.0,410.0,390.0,,43330.0,,
2006-05-25,381.1,391.0,400.1,381.0,,12292.0,,
2006-05-26,358.25,360.0,381.1,358.25,,39223.0,,
2006-05-29,336.8,341.9,358.25,336.8,,16039.0,,
2006-05-30,345.0,327.0,347.0,317.1,,27360.0,,
2006-05-31,360.0,346.0,360.0,345.0,,11725.0,,
2006-06-01,380.0,379.0,380.0,360.0,,14790.0,,
2006-06-02,380.0,375.1,388.0,375.1,,8354.0,,
2006-06-05,379.0,378.0,380.0,370.1,,3282.0,,
2006-06-06,370.0,363.0,375.0,360.1,,4452.0,,
2006-06-07,365.0,360.0,369.9,353.0,,6798.0,,
2006-06-08,365.0,359.0,365.0,350.0,,40167.0,,
2006-06-09,354.05,365.0,366.0,352.2,,55562.0,,
2006-06-12,350.0,345.0,354.05,341.0,,1737.0,,
2006-06-13,337.0,338.0,350.0,330.05,,4795.0,,
2006-06-14,341.0,320.0,347.0,320.0,,4190.0,,
2006-06-15,343.9,336.0,345.0,336.0,,4590.0,,
2006-06-16,346.0,340.0,350.0,340.0,,4663.0,,
2006-06-19,349.0,339.0,350.0,339.0,,822.0,,
2006-06-20,341.0,346.0,346.0,341.0,,2470.0,,
2006-06-21,344.9,338.0,344.9,338.0,,1197.0,,1868.1509
2006-06-22,344.9,338.1,344.9,336.4,,1239.0,,1868.1509
2006-06-23,343.5,339.0,344.0,336.2,,1597.0,,1860.5678
2006-06-26,345.0,337.0,345.8,336.0,,4617.0,,1868.6925
2006-06-27,345.0,345.0,348.0,341.0,,5344.0,,1868.6925
2006-06-28,345.0,341.0,345.0,341.0,,7983.0,,1868.6925
2006-06-29,345.0,345.0,345.0,341.0,,4817.0,,1868.6925
2006-06-30,350.0,345.0,357.0,345.0,,5125.0,,1895.775
2006-07-03,354.8,352.1,355.0,350.1,,1779.0,,1921.7742
2006-07-04,354.5,351.0,356.0,351.0,,10415.0,,1920.1493
2006-07-05,351.0,354.1,360.0,351.0,,4874.0,,1901.1915
2006-07-06,355.0,350.0,355.0,341.1,,1638.0,,1922.8575
2006-07-07,349.5,355.0,355.0,344.3,,5826.0,,1893.0668
2006-07-10,336.1,344.0,344.0,332.0,,3084.0,,1820.4857
2006-07-11,349.5,337.0,350.0,336.0,,15581.0,,1893.0668
2006-07-12,349.0,343.0,351.0,343.0,,932.0,,1890.3585
2006-07-13,344.1,347.0,349.0,342.5,,3023.0,,1863.8177
2006-07-14,344.0,345.1,345.1,340.0,,5346.0,,1863.276
2006-07-17,337.0,337.0,340.0,337.0,,1934.0,,1825.3605
2006-07-18,337.1,335.0,338.0,335.0,,3263.0,,1825.9022
2006-07-19,338.2,331.0,338.2,331.0,,1603.0,,1831.8603
2006-07-20,333.0,331.1,338.2,331.1,,358.0,,1803.6945
2006-07-21,331.0,330.0,335.0,330.0,,941.0,,1792.8615
2006-07-24,332.1,332.1,332.1,332.1,,535.0,,1798.8197
2006-07-25,332.1,332.1,332.1,332.1,,575.0,,1798.8197
2006-07-26,320.2,332.0,334.0,320.0,,2569.0,,1734.3633
2006-07-27,320.0,320.0,320.0,320.0,,1799.0,,1733.28
2006-07-28,322.0,320.6,328.0,320.0,,2491.0,,1744.113
2006-07-31,329.0,320.0,329.0,320.0,,4487.0,,1782.0285
2006-08-01,324.0,310.0,329.0,310.0,,544.0,,1754.946
2006-08-02,324.0,317.0,324.0,317.0,,1224.0,,1754.946
2006-08-03,324.0,319.0,325.0,319.0,,1745.0,,1754.946
2006-08-04,324.0,319.0,324.0,319.0,,792.0,,1754.946
2006-08-07,325.0,320.0,325.0,315.15,,524.0,,1760.3625
2006-08-08,330.0,320.0,338.0,320.0,,8616.0,,1787.445
2006-08-09,335.0,330.0,338.0,326.0,,2723.0,,1814.762
2006-08-10,332.0,331.0,333.0,325.0,,1368.0,,1798.5104
2006-08-11,322.1,322.2,332.0,322.1,,3830.0,,1744.8801
2006-08-15,330.0,330.0,330.9,322.2,,763.0,,1787.676
2006-08-16,329.8,322.0,330.0,322.0,,2143.0,,1786.5926
2006-08-17,328.8,329.8,330.0,325.0,,918.0,,1781.1754
2006-08-18,327.9,325.0,328.8,325.0,,672.0,,1776.2999
2006-08-22,328.8,329.0,329.0,325.1,,769.0,,1781.1754
2006-08-23,329.0,327.0,329.0,326.0,,2539.0,,1782.2588
2006-08-24,338.0,330.0,338.0,328.0,,8370.0,,1831.0136
2006-08-25,345.0,332.0,347.0,332.0,,13390.0,,1868.934
2006-08-28,350.9,346.0,356.0,346.0,,12505.0,,1900.8955
2006-08-29,350.0,355.0,355.0,345.2,,7250.0,,1896.02
2006-08-30,357.0,346.0,357.0,346.0,,31936.0,,1933.9404
2006-08-31,360.0,351.0,363.0,351.0,,6250.0,,1950.192
2006-09-01,359.0,360.0,363.0,355.0,,3088.0,,1944.7748
2006-09-04,350.0,355.0,359.0,350.0,,2425.0,,1896.02
2006-09-05,350.0,350.1,355.0,350.0,,7514.0,,1896.02
2006-09-06,345.0,336.0,350.0,336.0,,2658.0,,1868.934
2006-09-07,345.0,346.0,350.0,345.0,,3712.0,,1868.934
2006-09-08,347.1,345.1,348.0,345.1,,7648.0,,1880.3102
2006-09-11,367.0,358.0,367.9,357.0,,20296.0,,1988.1124
2006-09-12,360.0,370.0,373.0,356.0,,9573.0,,1950.192
2006-09-13,362.0,360.0,365.0,352.0,,8646.0,,1961.0264
2006-09-14,360.0,356.0,364.8,356.0,,3018.0,,1950.192
2006-09-15,355.0,360.0,360.0,352.0,,2234.0,,1923.106
2006-09-18,347.0,348.0,350.0,346.2,,3658.0,,1879.7684
2006-09-19,340.0,345.5,348.0,336.05,,3536.0,,1841.848
2006-09-20,339.0,333.0,339.0,333.0,,5416.0,,1836.4308
2006-09-21,347.0,337.1,350.0,337.1,,1813.0,,1879.7684
2006-09-22,347.0,344.0,349.0,343.25,,1678.0,,1879.7684
2006-09-25,350.0,345.0,350.0,345.0,,337.0,,1896.02
2006-09-26,345.0,345.0,350.0,345.0,,1677.0,,1868.934
2006-09-27,342.0,341.5,342.0,336.0,,19088.0,,1852.6824
2006-09-28,340.5,340.0,341.0,338.0,,2174.0,,1844.5566
2006-09-29,343.0,340.0,343.1,336.0,,29064.0,,1858.0996
2006-10-02,341.0,339.0,345.0,339.0,,2195.0,,1847.2652
2006-10-03,339.0,340.1,343.0,339.0,,2606.0,,1836.4308
2006-10-04,342.5,338.3,342.5,338.3,,2422.0,,1855.391
2006-10-05,335.0,339.05,339.1,333.0,,3180.0,,1814.762
2006-10-06,335.0,333.3,335.0,333.3,,171.0,,1814.762
2006-10-09,340.0,335.1,349.0,335.1,,2429.0,,1841.848
2006-10-10,345.0,336.0,345.0,336.0,,743.0,,1868.934
2006-10-11,341.0,336.2,341.0,336.2,,496.0,,1847.2652
2006-10-12,341.9,337.0,341.9,337.0,,44.0,,1852.1407
2006-10-13,344.0,335.0,344.0,335.0,,579.0,,1863.5168
2006-10-16,340.0,344.0,344.0,336.0,,888.0,,1841.848
2006-10-17,342.9,336.2,343.8,336.2,,16249.0,,1857.5579
2006-10-18,342.0,340.0,342.5,340.0,,618.0,,1852.6824
