date,close,open,high,low,turnover,volume,vwap,mktCap
2011-12-26,325.0,325.0,325.0,325.0,,,,260.0
2011-12-27,330.0,335.0,344.0,330.0,372962.1,1113.0,335.0963,264.0
2011-12-28,323.0,311.0,331.0,311.0,1033269.0,3193.0,323.6044,258.4
2011-12-29,307.05,304.0,315.0,304.0,434524.5,1423.0,305.358,245.64
2011-12-30,320.0,297.0,320.0,297.0,4467228.0,14234.0,313.842,256.0
2012-01-02,300.0,291.0,323.85,291.0,212558.8,724.0,293.5895,240.0
2012-01-03,296.0,301.0,303.8,295.0,381409.1,1275.0,299.1444,236.8
2012-01-04,300.0,294.1,300.0,294.1,265679.8,898.0,295.8572,240.0
2012-01-05,306.0,297.0,308.95,297.0,86945.95,292.0,297.7601,244.8
2012-01-06,300.2,300.1,309.9,300.1,204907.0,675.0,303.566,240.16
2012-01-09,300.0,305.0,305.0,300.0,210281.3,699.0,300.8317,240.0
2012-01-10,300.25,300.1,300.25,300.1,142856.6,476.0,300.1189,240.2
2012-01-12,297.95,300.0,300.0,292.0,183112.0,616.0,297.2597,238.36
2012-01-13,294.0,293.0,294.0,293.0,69489.75,237.0,293.2057,235.2
2012-01-16,299.0,300.0,300.0,294.1,73539.0,248.0,296.5282,239.2
2012-01-17,300.0,294.1,300.0,294.0,363809.0,1221.0,297.9599,240.0
2012-01-18,294.05,294.0,294.05,294.0,66153.0,225.0,294.0133,235.24
2012-01-19,294.1,294.05,294.1,294.05,54988.1,187.0,294.054,235.28
2012-01-20,294.1,294.1,294.1,294.1,62937.4,214.0,294.1,235.28
2012-01-23,294.0,294.0,294.0,291.1,143874.3,490.0,293.621,235.2
2012-01-24,294.0,294.0,294.0,291.05,60060.64,205.0,292.9788,235.2
2012-01-25,291.1,291.0,292.0,291.0,131933.8,453.0,291.2446,232.88
2012-01-26,287.05,291.1,291.1,287.0,38872.1,135.0,287.9415,229.64
2012-01-27,287.3,290.0,290.0,287.3,67481.4,234.0,288.382,229.84
2012-01-30,282.05,287.05,287.05,282.05,131288.6,458.0,286.6564,225.64
2012-01-31,280.0,283.2,284.0,280.0,73261.65,260.0,281.7756,224.0
2012-02-01,273.0,270.0,275.0,270.0,209357.6,772.0,271.1886,218.4
2012-02-02,284.0,279.5,284.0,273.6,520413.5,1862.0,279.4917,227.2
2012-02-03,290.95,280.0,290.95,280.0,261544.5,913.0,286.4671,232.76
2012-02-07,294.0,290.0,294.0,290.0,291468.3,1004.0,290.3071,235.2
2012-02-08,290.0,288.1,297.95,288.1,119601.6,411.0,291.0015,232.0
2012-02-09,291.0,289.0,291.0,289.0,59677.0,206.0,289.6942,232.8
2012-02-10,288.65,288.4,288.65,288.35,23369.4,81.0,288.5111,230.92
2012-02-13,289.1,289.5,289.5,289.1,41381.3,143.0,289.3797,231.28
2012-02-14,290.2,291.1,294.0,290.0,77435.7,265.0,292.2102,232.16
2012-02-15,285.3,284.5,294.3,284.5,114994.9,402.0,286.0571,228.24
2012-02-16,286.6,286.15,292.0,286.15,31840.4,110.0,289.4582,229.28
2012-02-17,290.0,291.0,294.0,290.0,180864.5,620.0,291.717,232.0
2012-02-20,290.9,290.0,291.0,290.0,60737.0,209.0,290.6077,232.72
2012-02-21,297.8,291.0,297.8,291.0,621902.3,2129.0,292.11,238.24
2012-02-22,299.0,292.0,299.0,292.0,138003.0,466.0,296.1438,239.2
2012-02-23,295.0,293.0,299.0,293.0,64826.25,218.0,297.3681,236.0
2012-02-24,293.0,291.1,298.95,291.1,67498.05,230.0,293.4698,234.4
2012-02-27,291.05,293.0,293.0,291.05,45649.5,156.0,292.625,232.84
2012-02-28,292.1,292.1,292.1,292.1,31546.8,108.0,292.1,233.68
2012-02-29,291.1,291.1,291.1,291.1,30565.5,105.0,291.1,232.88
2012-03-01,296.0,296.0,296.0,296.0,296.0,1.0,296.0,236.8
2012-03-02,291.0,291.0,291.0,291.0,17169.0,59.0,291.0,232.8
2012-03-05,290.7,291.0,291.0,290.7,37537.2,129.0,290.9861,232.56
2012-03-06,298.8,291.05,298.8,291.05,66370.2,227.0,292.3797,239.04
2012-03-07,294.0,292.0,300.0,292.0,103193.0,347.0,297.386,235.2
2012-03-08,299.9,294.0,300.0,294.0,137940.0,462.0,298.5714,239.92
2012-03-09,299.0,293.7,299.0,293.7,56265.15,191.0,294.5819,239.2
2012-03-12,311.0,300.0,316.9,295.0,10901610.0,36520.0,298.5105,248.8
2012-03-13,307.5,308.0,315.9,306.0,501841.5,1631.0,307.6895,246.0
2012-03-14,313.0,308.0,313.0,308.0,70454.0,228.0,309.0088,250.4
2012-03-15,307.15,312.0,312.0,306.2,674555.1,2172.0,310.5686,245.72
2012-03-16,301.0,308.0,310.85,295.0,21221200.0,71402.0,297.2073,240.8
2012-03-19,303.5,303.9,305.0,300.1,641888.0,2112.0,303.9243,242.8
2012-03-20,265.0,280.0,280.0,265.0,410992.0,1476.0,278.4499,212.0
2012-03-21,270.0,270.0,274.95,270.0,217220.0,804.0,270.1741,216.0
2012-03-22,261.05,274.0,274.0,261.0,609879.1,2315.0,263.4467,208.84
2012-03-23,270.0,270.0,270.0,270.0,271080.0,1004.0,270.0,216.0
2012-03-26,266.0,266.0,266.0,266.0,38038.0,143.0,266.0,212.8
2012-03-27,273.0,276.0,276.0,267.0,7128.0,26.0,274.1538,218.4
2012-03-28,273.0,266.55,273.0,266.05,30886.0,116.0,266.2586,218.4
2012-03-29,272.85,266.1,272.85,266.1,1603.35,6.0,267.225,218.28
2012-03-30,258.0,268.0,268.0,257.2,178142.2,679.0,262.3596,206.4
2012-04-02,256.5,264.0,264.0,256.5,87584.95,334.0,262.2304,205.2
2012-04-03,250.0,261.0,261.0,250.0,116773.3,461.0,253.3043,200.0
2012-04-04,244.0,250.0,250.0,235.0,93696.8,391.0,239.6338,195.2
2012-04-05,240.0,231.1,240.0,229.5,97168.15,415.0,234.1401,192.0
2012-04-06,228.0,227.3,235.0,227.3,105308.2,460.0,228.9308,182.4
2012-04-09,235.0,235.0,235.0,234.45,126332.5,538.0,234.8188,188.0
2012-04-10,229.0,229.0,229.05,229.0,108318.0,473.0,229.0021,183.2
2012-04-11,231.0,232.0,232.0,230.0,145272.0,628.0,231.3248,184.8
2012-04-12,234.0,233.0,234.0,233.0,126061.0,541.0,233.0148,187.2
2012-04-13,220.0,230.0,230.0,220.0,275727.0,1238.0,222.7197,176.0
2012-04-16,220.0,217.5,220.0,217.5,106601.6,486.0,219.3448,176.0
2012-04-17,224.0,224.0,224.0,224.0,131040.0,585.0,224.0,179.2
2012-04-18,225.0,214.5,225.0,214.5,98522.0,454.0,217.0088,180.0
2012-04-19,220.0,219.85,220.0,217.0,147610.8,674.0,219.0072,176.0
2012-04-20,222.0,221.0,222.0,220.0,427455.5,1935.0,220.9072,177.6
2012-04-23,222.0,219.85,222.0,219.85,127070.1,576.0,220.6077,177.6
2012-04-24,220.0,220.0,220.0,220.0,76780.0,349.0,220.0,176.0
2012-04-25,220.0,220.0,220.0,220.0,128260.0,583.0,220.0,176.0
2012-04-26,218.0,218.0,218.0,216.0,103678.5,476.0,217.812,174.4
2012-04-27,215.0,219.9,219.9,215.0,86654.7,395.0,219.379,172.0
2012-04-30,215.0,215.0,215.0,202.2,189301.4,892.0,212.2213,172.0
2012-05-02,207.25,208.0,210.0,207.2,183622.7,882.0,208.189,165.8
2012-05-03,205.6,206.5,208.0,205.0,237041.7,1151.0,205.9441,164.48
2012-05-04,210.0,208.0,210.0,208.0,45146.0,216.0,209.0093,168.0
2012-05-07,215.0,207.1,215.0,207.1,172000.3,822.0,209.2461,172.0
2012-05-08,226.4,213.0,226.4,213.0,237281.9,1105.0,214.7348,181.12
2012-05-09,226.5,227.0,227.0,218.0,88262.2,390.0,226.3133,181.2
2012-05-10,223.8,221.0,223.8,221.0,76259.0,345.0,221.0406,179.04
2012-05-11,219.8,220.0,220.05,216.5,787431.0,3608.0,218.2458,175.84
2012-05-14,209.0,217.0,217.0,209.0,89501.0,413.0,216.7094,167.2
2012-05-15,210.1,210.0,211.5,210.0,119337.8,568.0,210.1018,168.08
2012-05-16,207.0,209.5,210.0,207.0,195526.8,938.0,208.4507,165.6
2012-05-17,210.0,207.1,210.0,207.1,292347.0,1402.0,208.5214,168.0
2012-05-18,208.05,208.05,209.0,208.05,81359.16,391.0,208.0797,166.44
2012-05-21,209.5,208.05,209.5,208.0,135023.8,649.0,208.049,167.6
2012-05-22,209.0,207.55,209.0,207.55,37904.0,182.0,208.2637,167.2
2012-05-23,209.5,207.55,209.5,207.55,21455.65,103.0,208.3073,167.6
2012-05-24,210.0,209.5,210.0,208.0,90772.2,433.0,209.6356,168.0
2012-05-25,213.4,211.0,213.4,211.0,82171.6,389.0,211.2381,170.72
2012-05-28,218.0,208.5,218.0,208.5,264004.4,1252.0,210.8661,174.4
2012-05-29,216.0,216.0,216.0,216.0,8640.0,40.0,216.0,172.8
2012-05-30,228.0,216.0,228.0,216.0,145898.0,668.0,218.4102,182.4
2012-05-31,220.3,228.0,228.0,220.3,88904.6,390.0,227.9605,176.24
2012-06-01,226.9,220.0,226.9,220.0,118466.9,538.0,220.1987,181.52
2012-06-04,226.0,226.0,228.5,226.0,81636.1,361.0,226.1388,180.8
2012-06-05,224.0,224.0,224.0,221.0,80147.0,358.0,223.8743,179.2
2012-06-06,218.3,218.2,219.9,218.05,42767.9,196.0,218.2036,174.64
2012-06-07,218.0,218.0,218.0,218.0,107474.0,493.0,218.0,174.4
2012-06-08,219.0,220.8,220.8,219.0,29526.0,134.0,220.3433,175.2
2012-06-11,224.0,218.05,224.0,218.05,83721.34,379.0,220.9007,179.2
2012-06-12,223.9,218.5,223.9,218.5,119296.3,542.0,220.1039,179.12
2012-06-13,220.9,219.0,220.9,219.0,17615.0,80.0,220.1875,176.72
2012-06-14,219.9,219.0,219.9,219.0,49412.7,225.0,219.612,175.92
2012-06-15,218.6,219.9,221.5,218.6,104345.6,475.0,219.675,174.88
2012-06-18,220.0,220.0,220.0,220.0,92840.0,422.0,220.0,176.0
2012-06-19,220.0,220.0,221.8,220.0,84041.8,382.0,220.0047,176.0
2012-06-20,220.0,220.0,220.0,220.0,106700.0,485.0,220.0,176.0
2012-06-21,220.0,221.0,222.0,220.0,85331.65,386.0,221.0665,176.0
2012-06-22,221.0,220.0,221.0,220.0,112861.0,513.0,220.002,176.8
2012-06-25,226.0,222.0,226.0,222.0,281924.0,1258.0,224.1049,180.8
2012-06-26,223.0,223.0,223.0,222.0,70677.0,317.0,222.9558,178.4
2012-06-27,223.0,222.0,223.0,222.0,28762.0,129.0,222.9612,178.4
2012-06-28,228.6,222.0,228.6,222.0,91411.4,410.0,222.9546,182.88
2012-06-29,229.0,229.0,229.0,229.0,97783.0,427.0,229.0,183.2
2012-07-02,229.0,229.0,229.0,229.0,76944.0,336.0,229.0,183.2
2012-07-03,228.5,229.0,229.0,223.0,109939.0,481.0,228.5634,182.8
2012-07-04,229.0,229.0,229.0,228.5,230936.0,1009.0,228.8761,183.2
2012-07-05,230.0,230.0,235.0,230.0,139142.0,602.0,231.1329,184.0
2012-07-06,229.0,229.0,229.0,224.2,110376.0,484.0,228.0495,183.2
2012-07-09,224.0,229.0,230.95,224.0,91531.8,401.0,228.2589,179.2
