date,close,open,high,low,turnover,volume,vwap,mktCap
2007-12-19,891.0,891.0,891.0,891.0,11569640.0,12985.0,,
2007-12-20,802.0,900.0,900.0,802.0,56511860.0,65603.0,,
2007-12-24,806.0,805.0,810.0,804.0,12951960.0,16081.0,,
2007-12-25,800.0,761.0,810.0,761.0,7747594.0,9977.0,,
2007-12-26,802.0,800.0,815.0,791.0,20247410.0,25136.0,,
2007-12-27,830.0,805.0,833.0,805.0,11259210.0,13859.0,,
2007-12-28,855.0,851.0,855.0,832.0,8828840.0,10426.0,,
2007-12-31,840.0,831.0,850.0,831.0,15836900.0,18865.0,,
2008-01-02,860.0,840.0,860.0,840.0,9804737.0,11616.0,,
2008-01-03,899.0,866.0,900.0,861.0,9852403.0,11107.0,,
2008-01-04,946.0,892.0,952.0,892.0,14046950.0,15100.0,,
2008-01-07,928.0,950.0,950.0,925.0,5914301.0,6336.0,,
2008-01-08,930.0,926.0,930.0,910.0,4698195.0,5095.0,,
2008-01-09,950.0,922.0,950.0,922.0,7880567.0,8456.0,,
2008-01-14,930.0,931.0,947.0,928.0,1988053.0,2130.0,,
2008-01-15,924.0,915.0,930.0,915.0,2543907.0,2766.0,,
2008-01-16,910.0,910.0,928.0,905.0,6161276.0,6680.0,,
2008-01-17,911.0,905.0,915.0,905.0,2455545.0,2704.0,,
2008-01-18,910.0,910.0,916.0,900.0,3540307.0,3896.0,,
2008-01-21,900.0,900.0,901.0,880.0,1380625.0,1543.0,,
2008-01-22,883.0,870.0,890.0,870.0,2192279.0,2510.0,,
2008-01-23,876.0,870.0,895.0,870.0,3438442.0,3888.0,,
2008-01-24,900.0,877.0,904.0,877.0,2150493.0,2411.0,,
2008-01-25,885.0,881.0,905.0,880.0,1518238.0,1704.0,,
2008-01-28,881.0,887.0,900.0,881.0,1379541.0,1555.0,,
2008-01-29,890.0,873.0,890.0,873.0,1866188.0,1743.0,,
2008-01-30,890.0,874.0,894.0,874.0,1713243.0,1931.0,,
2008-01-31,876.0,874.0,885.0,874.0,813485.0,929.0,,
2008-02-01,865.0,870.0,874.0,865.0,884591.0,1018.0,,
2008-02-04,851.0,856.0,875.0,851.0,1110474.0,1292.0,,
2008-02-05,851.0,849.0,859.0,849.0,1178455.0,1386.0,,
2008-02-06,851.0,842.0,851.0,841.0,2783847.0,3302.0,,
2008-02-07,850.0,838.0,853.0,836.0,1665398.0,1974.0,,
2008-02-08,855.0,842.0,860.0,842.0,1685107.0,1980.0,,
2008-02-11,853.0,855.0,855.0,842.0,673377.0,793.0,,
2008-02-12,850.0,845.0,869.0,845.0,2970233.0,3464.0,,
2008-02-13,850.0,846.0,853.0,844.0,1049776.0,1238.0,,
2008-02-14,850.0,850.0,855.0,850.0,835071.0,982.0,,
2008-02-15,851.0,845.0,860.0,842.0,1477079.0,1739.0,,
2008-02-18,859.0,852.0,860.0,847.0,2520297.0,2957.0,,
2008-02-19,862.0,850.0,868.0,850.0,1063677.0,1243.0,,
2008-02-20,859.0,856.0,860.0,850.0,580309.0,678.0,,
2008-02-21,875.0,853.0,875.0,853.0,2091324.0,2430.0,,
2008-02-22,870.0,860.0,873.0,860.0,2382335.0,2769.0,,
2008-02-25,854.0,860.0,880.0,853.0,794455.0,924.0,,
2008-02-26,855.0,850.0,855.0,850.0,998566.0,1174.0,,
2008-02-27,838.0,840.0,855.0,837.0,621350.0,739.0,,
2008-02-28,839.0,840.0,841.0,839.0,392921.0,468.0,,
2008-02-29,853.0,839.0,853.0,837.0,258296.0,307.0,,
2008-03-03,835.0,831.0,850.0,831.0,223224.0,268.0,,
2008-03-04,820.0,820.0,838.0,786.0,465925.0,571.0,,
2008-03-05,834.0,805.0,839.0,805.0,449666.0,551.0,,
2008-03-06,811.0,806.0,829.0,806.0,474117.0,584.0,,
2008-03-07,830.0,815.0,830.0,810.0,419166.0,511.0,,
2008-03-10,830.0,808.0,830.0,808.0,396712.0,485.0,,
2008-03-11,828.0,809.0,829.0,808.0,194243.0,240.0,,
2008-03-12,823.0,809.0,825.0,805.0,421599.0,521.0,,
2008-03-13,805.0,820.0,820.0,805.0,244881.0,301.0,,
2008-03-14,805.0,806.0,818.0,805.0,178241.0,221.0,,
2008-03-17,805.0,805.0,817.0,805.0,249680.0,310.0,,
2008-03-18,787.0,800.0,800.0,780.0,282919.0,356.0,,
2008-03-19,750.0,765.0,780.0,750.0,528761.0,699.0,,
2008-03-24,755.0,750.0,759.0,708.0,906157.0,1215.0,,
2008-03-25,740.0,740.0,745.0,716.0,630127.0,859.0,,
