date,close,open,high,low,turnover,volume,vwap,mktCap
1997-06-23,396.0,,,,,,,
1997-06-24,396.0,,,,,,,
1997-06-25,396.0,,,,,,,
1997-06-26,396.0,,,,,,,
1997-06-27,396.0,,,,,,,
1997-06-30,516.0,,,,,,,
1997-07-01,531.0,,,,,,,
1997-07-02,531.0,,,,,,,
1997-07-03,562.0,,,,,,,
1997-07-04,578.0,,,,,,,
1997-07-07,595.0,,,,,,,
1997-07-08,578.0,,,,,,,
1997-07-10,561.0,,,,,,,
1997-07-11,547.0,547.0,547.0,547.0,,2228.0,,
1997-07-14,563.0,,,,,,,
1997-07-15,560.0,,,,,,,
1997-07-16,576.0,576.0,576.0,576.0,,392.0,,
1997-07-17,561.0,561.0,561.0,561.0,,95.0,,
1997-07-21,576.0,576.0,576.0,576.0,,298.0,,
1997-07-22,576.0,576.0,576.0,576.0,,100.0,,
1997-07-24,560.0,560.0,560.0,560.0,,592.0,,
1997-07-25,558.0,558.0,558.0,558.0,,962.0,,
1997-07-28,559.0,559.0,559.0,559.0,,695.0,,
1997-07-29,580.0,580.0,580.0,580.0,,105.0,,
1997-07-30,561.0,,,,,119.0,,
1997-07-31,570.0,570.0,570.0,570.0,,570.0,,
1997-08-01,570.0,570.0,570.0,570.0,,39.0,,
1997-08-04,570.0,570.0,570.0,570.0,,39.0,,
1997-08-05,573.0,573.0,573.0,573.0,,279.0,,
1997-08-06,574.0,574.0,574.0,574.0,,101.0,,
1997-08-07,579.0,579.0,579.0,579.0,,436.0,,
1997-08-08,580.0,580.0,580.0,580.0,,439.0,,
1997-08-11,577.0,577.0,577.0,577.0,,165.0,,
1997-08-12,585.0,585.0,585.0,585.0,,131.0,,
1997-08-13,589.0,589.0,589.0,589.0,,220.0,,
1997-08-15,587.0,,,,,110.0,,
1997-08-19,582.0,582.0,582.0,582.0,,128.0,,
1997-08-21,582.0,582.0,582.0,582.0,,372.0,,
1997-08-22,582.0,582.0,582.0,582.0,,395.0,,
1997-08-25,581.0,581.0,581.0,581.0,,325.0,,
1997-08-26,576.0,,,,,156.0,,
1997-08-27,581.0,,,,,150.0,,
1997-08-29,580.0,580.0,580.0,580.0,,13.0,,
1997-09-01,576.0,576.0,576.0,576.0,,,,
1997-09-02,580.0,580.0,580.0,580.0,,275.0,,
1997-09-03,579.0,579.0,579.0,579.0,,273.0,,
1997-09-04,580.0,,,,,458.0,,
1997-09-05,595.0,595.0,595.0,595.0,,450.0,,
1997-09-08,595.0,595.0,595.0,595.0,,390.0,,
1997-09-10,588.0,588.0,588.0,588.0,,238.0,,
1997-09-11,593.0,593.0,593.0,593.0,,280.0,,
1997-09-12,589.0,589.0,589.0,589.0,,193.0,,
1997-09-15,590.0,,,,,,,
1997-09-16,595.0,595.0,595.0,595.0,,2721.0,,
1997-09-17,599.0,599.0,599.0,599.0,,476.0,,
1997-09-18,691.0,691.0,691.0,691.0,,51.0,,
1997-09-19,595.0,595.0,595.0,595.0,,56.0,,
1997-09-22,594.0,,,,,390.0,,
1997-09-23,594.0,,,,,1037.0,,
1997-09-24,592.0,,,,,196.0,,
1997-09-25,593.0,,,,,166.0,,
1997-09-26,593.0,593.0,593.0,593.0,,102.0,,
1997-09-29,594.0,594.0,594.0,594.0,,302.0,,
1997-09-30,594.0,594.0,594.0,594.0,,300.0,,
1997-10-01,575.0,575.0,575.0,575.0,,,,
1997-10-03,575.0,575.0,575.0,575.0,,166.0,,
1997-10-06,575.0,,,,,197.0,,
1997-10-07,585.0,,,,,1107.0,,
1997-10-08,585.0,,,,,700.0,,
1997-10-09,590.0,590.0,590.0,590.0,,430.0,,
1997-10-10,590.0,,,,,76.0,,
1997-10-13,590.0,,,,,24.0,,
1997-10-14,590.0,,,,,362.0,,
1997-10-15,590.0,590.0,590.0,590.0,,50.0,,
1997-10-17,573.0,,,,,71.0,,
1997-10-20,590.0,,,,,100.0,,
1997-10-21,590.0,,,,,122.0,,
1997-10-22,590.0,,,,,547.0,,
1997-10-23,595.0,,,,,151.0,,
1997-10-24,600.0,,,,,1350.0,,
1997-10-28,600.0,600.0,600.0,600.0,,1326.0,,
1997-10-29,600.0,,,,,876.0,,
1997-10-30,600.0,,,,,1150.0,,
1997-10-31,600.0,,,,,1019.0,,
1997-11-03,600.0,,,,,305.0,,
1997-11-04,600.0,,,,,158.0,,
1997-11-05,605.0,,,,,180.0,,
1997-11-07,605.0,,,,,583.0,,
1997-11-10,605.0,,,,,318.0,,
1997-11-11,605.0,,,,,290.0,,
1997-11-12,606.0,,,,,60.0,,
1997-11-13,605.0,,,,,484.0,,
1997-11-14,605.0,,,,,398.0,,
1997-11-19,605.0,,,,,254.0,,
1997-11-20,605.0,,,,,237.0,,
1997-11-21,600.0,,,,,,,
1997-11-24,600.0,,,,,,,
1997-11-26,605.0,,,,,100.0,,
1997-11-27,605.0,605.0,605.0,605.0,,430.0,,
1997-12-01,605.0,605.0,605.0,605.0,,213.0,,
1997-12-02,605.0,,,,,59.0,,
1997-12-03,610.0,,,,,1190.0,,
1997-12-04,612.0,612.0,612.0,612.0,,260.0,,
1997-12-05,621.0,621.0,621.0,621.0,,252.0,,
1997-12-08,621.0,621.0,621.0,621.0,,629.0,,
1997-12-09,620.0,,,,,74.0,,
1997-12-10,623.0,,,,,654.0,,
1997-12-11,631.0,631.0,631.0,631.0,,761.0,,
1997-12-12,649.0,649.0,649.0,649.0,,619.0,,
1997-12-15,668.0,,,,,125.0,,
1997-12-16,688.0,688.0,688.0,688.0,,656.0,,
1997-12-17,689.0,689.0,689.0,689.0,,441.0,,
1997-12-19,669.0,,,,,659.0,,
1997-12-22,669.0,669.0,669.0,669.0,,150.0,,
1997-12-23,670.0,670.0,670.0,670.0,,405.0,,
1997-12-25,680.0,680.0,680.0,680.0,,320.0,,
1997-12-29,670.0,670.0,670.0,670.0,,265.0,,
1997-12-30,670.0,,,,,17.0,,
