date,close,open,high,low,turnover,volume,vwap,mktCap
2007-12-05,784.0,784.0,784.0,784.0,40257620.0,51349.0,,720.888
2007-12-06,,,,,,,,720.888
2007-12-07,826.0,810.0,862.0,776.0,41364900.0,51174.0,,759.507
2007-12-10,875.0,810.0,875.0,785.0,7655669.0,9298.0,,804.5625
2007-12-11,875.0,870.0,900.0,869.0,19428270.0,21990.0,,804.5625
2007-12-12,829.0,823.0,855.0,823.0,9690850.0,11620.0,,762.2655
2007-12-13,786.0,805.0,820.0,786.0,6313635.0,7892.0,,722.727
2007-12-14,761.0,760.0,800.0,760.0,2885370.0,3780.0,,699.7395
2007-12-17,761.0,760.0,797.0,760.0,3610695.0,4669.0,,699.7395
2007-12-18,760.0,745.0,780.0,745.0,2536882.0,3365.0,,698.82
2007-12-19,757.0,722.0,758.0,722.0,1392603.0,1883.0,,696.0615
2007-12-20,730.0,740.0,761.0,730.0,796319.0,1077.0,,
2007-12-24,730.0,731.0,758.0,730.0,780230.0,1068.0,,671.235
2007-12-25,731.0,715.0,739.0,715.0,870302.0,1204.0,,672.1545
2007-12-26,770.0,730.0,770.0,730.0,2608176.0,3473.0,,708.015
2007-12-27,770.0,746.0,770.0,732.0,993344.0,1317.0,,708.015
2007-12-28,740.0,750.0,760.0,740.0,590340.0,790.0,,680.43
2007-12-31,779.0,740.0,779.0,740.0,2207107.0,2864.0,,716.2905
2008-01-02,750.0,756.0,770.0,743.0,352950.0,468.0,,689.625
2008-01-03,765.0,754.0,770.0,754.0,1612137.0,2110.0,,703.4175
2008-01-04,800.0,760.0,800.0,760.0,3135501.0,3954.0,,735.6
2008-01-07,800.0,781.0,800.0,781.0,3325074.0,4160.0,,735.6
2008-01-08,791.0,790.0,800.0,790.0,711417.0,896.0,,727.3245
2008-01-09,791.0,791.0,800.0,761.0,1464637.0,1853.0,,727.3245
2008-01-10,,,,,,,,727.3245
2008-01-14,770.0,752.0,771.0,752.0,179680.0,236.0,,708.015
2008-01-15,789.0,763.0,789.0,763.0,687455.0,882.0,,725.4855
2008-01-16,800.0,790.0,800.0,789.0,1830163.0,2302.0,,735.6
2008-01-17,800.0,771.0,810.0,771.0,5169118.0,6410.0,,735.6
2008-01-18,819.0,762.0,819.0,762.0,695326.0,882.0,,753.0705
2008-01-21,784.0,772.0,800.0,772.0,428340.0,548.0,,720.888
2008-01-22,800.0,762.0,800.0,760.0,532664.0,678.0,,735.6
2008-01-23,801.0,801.0,801.0,801.0,475794.0,594.0,,736.5195
2008-01-24,803.0,801.0,810.0,801.0,4390311.0,5424.0,,738.3585
2008-01-25,810.0,805.0,814.0,805.0,381971.0,473.0,,744.795
2008-01-28,819.0,810.0,819.0,810.0,480216.0,590.0,,753.0705
2008-01-29,813.0,813.0,819.0,813.0,639600.0,522.0,,747.5535
2008-01-30,800.0,765.0,805.0,765.0,835886.0,1057.0,,735.6
2008-01-31,810.0,800.0,810.0,788.0,2407559.0,2991.0,,744.795
2008-02-01,815.0,800.0,815.0,800.0,755755.0,933.0,,749.3925
2008-02-04,792.0,814.0,814.0,790.0,257555.0,318.0,,728.244
2008-02-05,796.0,800.0,803.0,794.0,687117.0,860.0,,731.922
2008-02-06,810.0,793.0,810.0,793.0,548860.0,685.0,,744.795
2008-02-07,800.0,801.0,801.0,790.0,3266810.0,4080.0,,735.6
2008-02-08,792.0,792.0,792.0,792.0,165528.0,209.0,,728.244
2008-02-11,790.0,790.0,790.0,790.0,254380.0,322.0,,726.405
2008-02-12,786.0,786.0,790.0,786.0,199820.0,254.0,,722.727
2008-02-13,777.0,777.0,777.0,777.0,189588.0,244.0,,714.4515
2008-02-14,777.0,776.0,777.0,776.0,147450.0,190.0,,714.4515
2008-02-15,749.0,765.0,766.0,749.0,603720.0,797.0,,688.7055
2008-02-18,745.0,749.0,749.0,730.0,789182.0,1060.0,,685.0275
2008-02-19,735.0,740.0,740.0,731.0,1652406.0,2246.0,,675.8325
2008-02-20,739.0,730.0,739.0,727.0,2210803.0,3019.0,,679.5105
2008-02-21,700.0,720.0,721.0,697.0,2301706.0,3271.0,,643.65
2008-02-22,740.0,680.0,740.0,680.0,1215263.0,1719.0,,680.43
2008-02-25,740.0,703.0,740.0,702.0,313833.0,438.0,,680.43
2008-02-26,740.0,711.0,740.0,711.0,474899.0,655.0,,680.43
2008-02-27,730.0,715.0,730.0,715.0,239187.0,330.0,,671.235
2008-02-28,718.0,718.0,740.0,717.0,667625.0,921.0,,660.201
2008-02-29,750.0,718.0,750.0,718.0,1288825.0,1766.0,,689.625
2008-03-03,723.0,730.0,731.0,720.0,181601.0,249.0,,664.7985
2008-03-04,717.0,717.0,721.0,717.0,345640.0,482.0,,659.2815
2008-03-05,717.0,711.0,722.0,711.0,92130.0,129.0,,659.2815
2008-03-06,718.0,718.0,721.0,718.0,64623.0,90.0,,660.201
2008-03-07,710.0,710.0,715.0,710.0,70312.0,99.0,,652.845
2008-03-10,712.0,710.0,712.0,710.0,239048.0,336.0,,654.684
2008-03-11,710.0,710.0,711.0,710.0,122849.0,173.0,,652.845
2008-03-12,706.0,705.0,706.0,705.0,47960.0,68.0,,649.167
2008-03-13,700.0,700.0,701.0,700.0,79806.0,114.0,,643.65
2008-03-14,696.0,695.0,707.0,695.0,497126.0,713.0,,639.972
2008-03-17,705.0,680.0,710.0,680.0,652697.0,933.0,,648.2475
2008-03-18,700.0,700.0,709.0,700.0,653701.0,930.0,,643.65
2008-03-19,723.0,685.0,723.0,685.0,566215.0,806.0,,664.7985
2008-03-20,,,,,,,,664.7985
2008-03-21,,,,,,,,664.7985
2008-03-24,759.0,705.0,759.0,705.0,640771.0,877.0,,697.9005
2008-03-25,720.0,740.0,755.0,720.0,845895.0,1148.0,,662.04
2008-03-26,700.0,712.0,747.0,700.0,583190.0,827.0,,643.65
2008-03-27,702.0,728.0,730.0,685.0,208291.0,288.0,,645.489
2008-03-28,710.0,715.0,715.0,702.0,204058.0,286.0,,652.845
2008-03-31,703.0,710.0,710.0,703.0,173852.0,245.0,,646.4085
2008-04-01,690.0,703.0,703.0,690.0,215272.0,307.0,,634.455
2008-04-02,700.0,690.0,700.0,690.0,192072.0,278.0,,643.65
2008-04-03,710.0,710.0,710.0,710.0,135610.0,191.0,,652.845
2008-04-04,711.0,710.0,740.0,710.0,313808.0,435.0,,653.7645
2008-04-07,690.0,715.0,715.0,690.0,301215.0,428.0,,634.455
