date,close,open,high,low,turnover,volume,vwap,mktCap
1997-05-02,563.0,,,,,,,
1997-05-05,563.0,,,,,,,
1997-05-06,563.0,,,,,,,
1997-05-07,563.0,,,,,,,
1997-05-09,579.0,,,,,,,
1997-05-12,579.0,,,,,,,
1997-05-13,579.0,,,,,,,
1997-05-14,579.0,,,,,,,
1997-05-15,562.0,,,,,,,
1997-05-16,562.0,,,,,,,
1997-05-19,562.0,,,,,,,
1997-05-20,562.0,,,,,,,
1997-05-21,562.0,,,,,,,
1997-05-22,562.0,,,,,,,
1997-05-26,562.0,,,,,,,
1997-05-27,562.0,,,,,,,
1997-05-28,562.0,,,,,,,
1997-05-29,562.0,,,,,,,
1997-05-30,562.0,,,,,,,
1997-06-02,562.0,,,,,,,
1997-06-03,562.0,,,,,,,
1997-06-04,562.0,,,,,,,
1997-06-05,562.0,,,,,,,
1997-06-06,562.0,,,,,,,
1997-06-09,562.0,,,,,,,
1997-06-10,562.0,,,,,,,
1997-06-11,562.0,,,,,,,
1997-06-13,562.0,,,,,,,
1997-06-16,562.0,,,,,,,
1997-06-17,562.0,,,,,,,
1997-06-18,562.0,,,,,,,
1997-06-19,562.0,,,,,,,
1997-06-20,562.0,,,,,,,
1997-06-23,562.0,,,,,,,
1997-06-24,562.0,,,,,,,
1997-06-25,562.0,,,,,,,
1997-06-26,562.0,,,,,,,
1997-06-27,562.0,,,,,,,
1997-06-30,562.0,,,,,,,
1997-07-01,562.0,,,,,,,
1997-07-02,562.0,,,,,,,
1997-07-03,562.0,,,,,,,
1997-07-04,562.0,,,,,,,
1997-07-07,562.0,,,,,,,
1997-07-08,471.0,,,,,,,
1997-07-10,471.0,,,,,,,
1997-07-11,471.0,,,,,,,
1997-07-14,457.0,,,,,,,
1997-07-15,457.0,,,,,,,
1997-07-17,444.0,444.0,444.0,444.0,,31.0,,
1997-07-22,444.0,444.0,444.0,444.0,,3.0,,
1997-07-23,457.0,457.0,457.0,457.0,,9.0,,
1997-08-06,463.0,463.0,463.0,463.0,,45.0,,
1997-08-21,470.0,470.0,470.0,470.0,,593.0,,
1997-08-25,457.0,464.0,464.0,457.0,,383.0,,
1997-08-29,456.0,456.0,456.0,456.0,,418.0,,
1997-09-03,457.0,457.0,457.0,457.0,,2509.0,,
1997-09-04,470.0,,,,,50.0,,
1997-09-08,494.0,494.0,494.0,494.0,,20.0,,
1997-09-09,508.0,508.0,508.0,508.0,,46.0,,
1997-09-10,523.0,520.0,523.0,520.0,,60.0,,
1997-09-11,,,,,,46.0,,
1997-09-12,520.0,520.0,520.0,520.0,,78.0,,
1997-09-15,520.0,,,,,,,
1997-09-16,520.0,,,,,,,
1997-09-22,535.0,,,,,245.0,,
1997-09-23,519.0,,,,,161.0,,
1997-09-30,510.0,510.0,510.0,510.0,,21.0,,
1997-10-06,505.0,,,,,20.0,,
1997-10-09,500.0,500.0,500.0,500.0,,21.0,,
1997-10-10,494.0,,,,,30.0,,
1997-10-14,497.0,,,,,50.0,,
1997-10-24,474.0,,,,,162.0,,
1997-10-29,460.0,,,,,100.0,,
1997-10-30,460.0,,,,,4418.0,,
1997-11-04,460.0,,,,,629.0,,
1997-11-12,470.0,,,,,430.0,,
1997-11-13,470.0,,,,,779.0,,
1997-11-21,470.0,,,,,,,
1997-11-24,470.0,,,,,,,
1997-11-26,484.0,,,,,57.0,,
1997-12-04,484.0,,,,,,,
1997-12-09,456.0,,,,,9.0,,
1997-12-15,450.0,,,,,1000.0,,
1997-12-17,450.0,450.0,450.0,450.0,,114.0,,
1997-12-25,450.0,450.0,450.0,450.0,,560.0,,
1997-12-26,445.0,,,,,6255.0,,
1998-01-13,468.0,468.0,468.0,468.0,,236.0,,
1998-01-16,481.0,485.0,485.0,481.0,,95.0,,
1998-01-26,490.0,490.0,490.0,490.0,,10.0,,
1998-02-03,485.0,,,,,13.0,,
1998-02-11,475.0,,,,,100.0,,
1998-02-13,470.0,470.0,470.0,470.0,,1033.0,,
1998-02-17,480.0,480.0,480.0,480.0,,2111.0,,
1998-02-18,480.0,480.0,480.0,480.0,,1632.0,,
1998-02-20,485.0,485.0,485.0,485.0,,29.0,,
1998-02-24,490.0,,,,,54.0,,
1998-02-25,504.0,,,,,350.0,,
1998-02-26,518.0,,,,,105.0,,
1998-02-27,523.0,,,,,207.0,,
1998-03-05,530.0,,,,,390.0,,
1998-03-06,535.0,,,,,500.0,,
1998-03-10,540.0,,,,,607.0,,
1998-03-11,550.0,,,,,1292.0,,
1998-03-16,555.0,,,,,60.0,,
1998-03-17,565.0,,,,,977.0,,
1998-03-18,565.0,,,,,4.0,,
1998-03-19,565.0,,,,,1844.0,,
1998-03-20,565.0,,,,,378.0,,
1998-03-23,560.0,,,,,1001.0,,420.0
1998-03-24,555.0,,,,,329.0,,416.25
1998-03-25,,,,,,,,416.25
1998-03-26,,,,,,,,416.25
1998-03-27,,,,,,,,416.25
1998-03-30,555.0,,,,,236.0,,416.25
1998-03-31,559.0,,,,,141.0,,419.25
1998-04-01,560.0,,,,,341.0,,420.0
1998-04-02,565.0,,,,,560.0,,423.75
1998-04-03,,,,,,,,423.75
1998-04-06,565.0,,,,,200.0,,423.75
1998-04-07,572.0,,,,,300.0,,429.0
1998-04-08,,,,,,,,429.0
1998-04-09,,,,,,,,429.0
1998-04-10,580.0,,,,,350.0,,435.0
1998-04-13,,,,,,,,435.0
1998-04-14,,,,,,,,435.0
1998-04-15,580.0,,,,,503.0,,435.0
1998-04-16,595.0,,,,,110.0,,446.25
1998-04-17,612.0,,,,,231.0,,459.0
1998-04-20,630.0,,,,,276.0,,472.5
1998-04-21,640.0,,,,,54.0,,480.0
1998-04-22,659.0,,,,,540.0,,494.25
1998-04-23,661.0,,,,,142.0,,495.75
1998-04-24,,,,,,,,495.75
1998-04-27,,,,,,,,495.75
1998-04-28,,,,,,,,495.75
1998-04-29,650.0,,,,,998.0,,487.5
1998-04-30,649.0,,,,,2.0,,486.75
1998-05-01,,,,,,,,486.75
1998-05-04,,,,,,,,486.75
1998-05-05,,,,,,,,486.75
1998-05-06,645.0,645.0,645.0,645.0,,150.0,,483.75
1998-05-07,640.0,,,,,2.0,,480.0
1998-05-08,,,,,,,,480.0
1998-05-11,,,,,,,,480.0
1998-05-12,,,,,,,,480.0
1998-05-13,,,,,,,,480.0
1998-05-14,640.0,640.0,640.0,640.0,,207.0,,480.0
1998-05-15,659.0,650.0,659.0,650.0,,192.0,,494.25
1998-05-18,,,,,,,,494.25
1998-05-19,,,,,,,,494.25
1998-05-20,,,,,,,,494.25
1998-05-21,648.0,,,,,274.0,,486.0
1998-05-22,,,,,,,,486.0
1998-05-25,648.0,648.0,648.0,648.0,,,,486.0
1998-05-26,,,,,,69.0,,486.0
1998-05-27,,,,,,,,486.0
1998-05-28,,,,,,,,486.0
1998-05-29,650.0,640.0,650.0,640.0,,1000.0,,487.5
1998-06-01,,,,,,,,487.5
1998-06-02,,,,,,,,487.5
1998-06-03,650.0,639.0,650.0,639.0,,600.0,,487.5
1998-06-04,658.0,658.0,658.0,658.0,,10.0,,493.5
1998-06-05,,,,,,,,493.5
1998-06-08,,,,,,,,493.5
1998-06-09,,,,,,,,493.5
1998-06-10,658.0,645.0,658.0,645.0,,834.0,,493.5
1998-06-11,,,,,,,,493.5
1998-06-12,,,,,,,,493.5
1998-06-15,,,,,,,,493.5
1998-06-16,658.0,658.0,658.0,658.0,,5.0,,493.5
1998-06-17,,,,,,,,493.5
1998-06-18,640.0,640.0,640.0,640.0,,109.0,,480.0
1998-06-19,640.0,640.0,640.0,640.0,,266.0,,480.0
1998-06-22,640.0,640.0,640.0,640.0,,200.0,,480.0
1998-06-23,,,,,,,,480.0
1998-06-24,,,,,,,,480.0
1998-06-25,,,,,,,,480.0
1998-06-26,,,,,,,,480.0
1998-06-29,,,,,,,,480.0
1998-06-30,,,,,,,,480.0
1998-07-01,,,,,,,,480.0
1998-07-02,,,,,,,,480.0
1998-07-03,,,,,,,,480.0
1998-07-06,581.0,581.0,581.0,581.0,,9.0,,435.75
1998-07-07,,,,,,,,435.75
1998-07-08,,,,,,,,435.75
1998-07-09,,,,,,,,435.75
1998-07-10,610.0,610.0,610.0,610.0,,10.0,,457.5
1998-07-13,610.0,610.0,610.0,610.0,,40.0,,457.5
1998-07-14,,,,,,,,457.5
1998-07-15,,,,,,,,457.5
1998-07-16,,,,,,,,457.5
1998-07-17,617.0,617.0,617.0,617.0,,50.0,,462.75
1998-07-20,,,,,,,,462.75
1998-07-21,,,,,,,,462.75
