date,close,open,high,low,turnover,volume,vwap,mktCap
2006-11-23,716.0,,,,,127.0,,
2007-04-09,840.0,840.0,840.0,840.0,,5.0,,
2007-04-11,840.0,840.0,840.0,840.0,,104.0,,
2007-04-12,850.0,850.0,850.0,850.0,,1.0,,
2007-04-16,850.0,850.0,850.0,850.0,,1.0,,
2007-04-17,830.0,830.0,830.0,830.0,,39.0,,
2007-04-20,830.0,830.0,830.0,830.0,,103.0,,
2007-04-23,840.0,840.0,840.0,840.0,,50.0,,
2007-04-24,822.0,831.0,831.0,822.0,,739.0,,
2007-04-25,825.0,825.0,825.0,825.0,,2.0,,
2007-04-30,820.0,830.0,830.0,820.0,,40.0,,
2007-05-02,866.0,866.0,866.0,866.0,,5.0,,
2007-05-07,866.0,866.0,866.0,866.0,,90.0,,
2007-05-08,860.0,860.0,860.0,860.0,,56.0,,
2007-05-09,842.0,842.0,842.0,842.0,,182.0,,
2007-05-10,795.0,842.0,842.0,795.0,,301.0,,
2007-05-11,761.0,751.0,761.0,751.0,,180.0,,
2007-05-14,805.0,805.0,805.0,805.0,,15.0,,
2007-05-15,840.0,805.0,840.0,805.0,,13.0,,
2007-05-16,845.0,840.0,845.0,840.0,,115.0,,
2007-05-17,850.0,850.0,850.0,850.0,,30.0,,
2007-05-22,850.0,850.0,850.0,850.0,,1230.0,,
2007-05-23,850.0,850.0,850.0,850.0,,15.0,,
2007-05-25,860.0,850.0,860.0,850.0,,1937.0,,
2007-05-28,870.0,870.0,870.0,870.0,,208.0,,
2007-06-01,875.0,875.0,875.0,875.0,,3.0,,
2007-06-04,875.0,900.0,900.0,875.0,,93.0,,
2007-06-05,900.0,900.0,900.0,900.0,,35.0,,
2007-06-06,870.0,898.0,900.0,870.0,,107.0,,
2007-06-08,875.0,875.0,875.0,875.0,,24.0,,
2007-06-12,870.0,870.0,870.0,870.0,,15.0,,
2007-06-13,870.0,870.0,870.0,870.0,,16.0,,
2007-06-14,870.0,835.0,870.0,835.0,,349.0,,
2007-06-19,898.0,870.0,898.0,870.0,,10.0,,
2007-06-27,870.0,870.0,870.0,870.0,,161.0,,
2007-07-04,832.0,832.0,832.0,832.0,,2.0,,
2007-07-05,870.0,870.0,870.0,870.0,,10.0,,
2007-07-06,869.0,869.0,869.0,869.0,,16.0,,
2007-07-09,863.0,863.0,863.0,863.0,,1.0,,1035.6
2007-07-10,,,,,,,,1035.6
2007-07-11,,,,,,,,1035.6
2007-07-12,,,,,,,,1035.6
2007-07-13,,,,,,,,1035.6
2007-07-16,860.0,830.0,860.0,830.0,,101.0,,1032.0
2007-07-17,860.0,860.0,860.0,860.0,,57.0,,1032.0
2007-07-18,860.0,860.0,860.0,860.0,,10.0,,1032.0
2007-07-19,859.0,859.0,859.0,859.0,,30.0,,1030.8
2007-07-20,835.0,835.0,835.0,835.0,,654.0,,1002.0
