date,close,open,high,low,turnover,volume,vwap,mktCap
2006-12-15,433.0,425.0,433.0,425.0,,3978.0,,
2006-12-18,445.0,460.0,460.0,433.0,,3041.0,,
2006-12-19,470.0,470.0,470.0,445.0,,2367.0,,
2006-12-20,466.1,468.0,470.0,466.0,,1625.0,,
2006-12-21,470.0,466.1,470.0,466.1,,1623.0,,
2006-12-22,464.0,463.0,470.0,463.0,,975.0,,
2006-12-26,450.0,451.0,462.0,450.0,,882.0,,
2006-12-27,444.0,430.0,450.0,430.0,,568.0,,
2006-12-28,440.0,435.0,444.0,432.0,,834.0,,
2006-12-29,436.0,440.0,440.0,436.0,,1345.0,,
2007-01-02,439.0,439.0,439.0,439.0,,334.0,,
2007-01-03,439.5,437.0,439.5,437.0,,373.0,,
2007-01-04,430.05,436.0,436.0,430.05,,1778.0,,
2007-01-05,428.0,430.0,430.0,428.0,,351.0,,
2007-01-08,425.9,426.0,426.0,425.9,,537.0,,
2007-01-09,432.0,420.0,432.0,420.0,,2239.0,,
2007-01-10,436.0,434.1,436.0,434.1,,794.0,,
2007-01-12,437.0,436.0,437.0,436.0,,1076.0,,
2007-01-15,434.0,435.0,435.0,434.0,,700.0,,
2007-01-16,440.0,434.0,440.0,434.0,,2740.0,,
2007-01-17,444.0,442.0,444.0,430.0,,566.0,,
2007-01-18,435.1,442.0,442.0,435.1,,308.0,,
2007-01-19,433.0,433.0,433.0,433.0,,135.0,,
2007-01-22,435.1,431.0,435.1,431.0,,349.0,,
2007-01-23,433.0,435.0,435.0,433.0,,1050.0,,
2007-01-24,440.2,435.0,440.2,435.0,,2002.0,,
2007-01-25,440.0,443.0,443.2,440.0,,1309.0,,
2007-01-26,440.0,440.0,440.0,440.0,,673.0,,
2007-01-29,445.1,440.0,445.1,440.0,,2214.0,,
2007-01-30,440.0,443.0,444.0,440.0,,240.0,,
2007-01-31,439.0,439.0,440.0,439.0,,352.0,,
2007-02-01,437.0,437.0,437.0,437.0,,125.0,,
2007-02-02,434.95,434.95,434.95,434.95,,1495.0,,
2007-02-05,435.0,435.0,435.0,435.0,,865.0,,
2007-02-06,433.0,433.0,433.0,433.0,,235.0,,
