date,close,open,high,low,turnover,volume,vwap,mktCap
2011-06-29,357.0,357.0,357.0,357.0,,,,
2011-06-30,354.5,379.95,379.95,330.0,6865918.0,18691.0,367.3382,
2011-07-01,358.0,342.0,358.0,340.0,4665502.0,13221.0,352.8857,446.963
2011-07-04,358.0,353.0,358.0,346.05,1790333.0,5057.0,354.0306,446.963
2011-07-05,351.0,351.0,356.0,346.25,1038293.0,2965.0,350.1829,438.2235
2011-07-06,352.0,347.0,352.0,345.25,978869.0,2810.0,348.352,439.472
2011-07-07,353.0,340.0,353.0,340.0,2441265.0,7045.0,346.5244,440.7205
2011-07-08,354.0,349.0,354.0,345.3,2118743.0,6028.0,351.4834,441.969
2011-07-11,358.0,348.0,358.8,348.0,1748148.0,4912.0,355.8934,446.963
2011-07-12,356.4,358.0,360.0,352.5,1431884.0,4003.0,357.7027,444.9654
2011-07-13,356.5,354.0,358.0,353.6,761169.3,2144.0,355.023,445.0902
2011-07-14,349.05,355.0,356.0,349.05,863322.1,2453.0,351.9454,435.7889
2011-07-15,360.0,345.0,360.0,345.0,2297697.0,6510.0,352.9488,449.46
2011-07-18,356.0,351.6,356.0,348.05,319355.5,908.0,351.7132,444.466
2011-07-19,354.0,355.65,355.65,349.15,362538.1,1026.0,353.351,441.969
2011-07-20,345.3,348.3,352.0,345.3,280015.9,806.0,347.4143,431.107
2011-07-21,345.0,345.0,345.55,345.0,173555.3,503.0,345.0403,430.7325
2011-07-22,345.0,348.0,348.0,344.0,68616.5,198.0,346.548,430.7325
2011-07-25,345.0,340.0,345.0,335.05,150965.7,444.0,340.0128,430.7325
2011-07-26,335.0,335.0,337.5,335.0,240915.0,719.0,335.0695,418.2475
2011-07-27,333.25,331.0,335.0,318.0,271990.3,825.0,329.6852,416.0626
2011-07-28,330.0,315.0,330.0,315.0,618577.9,1913.0,323.3549,412.005
2011-07-29,322.0,321.1,322.0,318.0,187330.6,584.0,320.7717,402.017
2011-08-01,302.7,313.0,318.0,302.7,350605.6,1135.0,308.9036,377.9209
2011-08-02,296.0,288.2,312.0,288.2,697652.1,2365.0,294.9904,369.556
2011-08-03,285.8,295.5,296.0,285.8,708909.3,2414.0,293.6658,356.8213
2011-08-04,300.0,280.0,300.0,268.7,1219015.0,4209.0,289.621,374.55
2011-08-05,302.0,295.0,308.4,295.0,964029.1,3211.0,300.2271,377.047
2011-08-08,320.1,300.0,320.1,293.55,500539.9,1628.0,307.457,399.6448
2011-08-09,310.0,311.0,315.0,310.0,92283.95,297.0,310.7204,387.035
2011-08-10,315.0,304.0,315.0,304.0,74972.0,243.0,308.5268,393.2775
2011-08-11,303.0,304.1,314.9,303.0,195687.9,642.0,304.8098,378.2955
2011-08-12,305.0,295.3,305.0,295.3,86773.16,292.0,297.1683,380.7925
2011-08-15,297.6,296.0,297.6,296.0,42372.7,143.0,296.3126,371.5536
2011-08-16,300.0,299.15,300.0,297.8,40981.0,137.0,299.1314,374.55
2011-08-17,300.0,297.0,300.0,297.0,38760.0,130.0,298.1538,374.55
2011-08-18,296.0,296.0,296.0,296.0,32560.0,110.0,296.0,369.556
2011-08-19,294.1,293.5,300.0,293.5,393147.6,1317.0,298.5175,367.1838
2011-08-22,299.9,293.6,299.9,293.5,40813.4,139.0,293.6216,374.4251
2011-08-23,293.0,293.5,293.5,293.0,89200.5,304.0,293.4227,365.8105
2011-08-24,290.0,291.0,291.0,289.0,110968.5,382.0,290.4936,362.065
2011-08-25,289.0,290.0,290.0,285.15,80154.85,277.0,289.3677,360.8165
2011-08-26,285.5,287.0,287.0,285.15,20907.55,73.0,286.4048,356.4467
2011-08-29,288.0,286.2,288.9,285.0,99190.3,347.0,285.851,359.568
2011-08-30,282.65,283.0,290.0,282.1,356206.3,283.0,288.6599,352.8885
2011-09-02,289.95,282.15,289.95,282.05,21186.35,75.0,282.4847,362.0026
2011-09-05,290.0,284.6,290.0,284.6,9681.8,34.0,284.7588,362.065
2011-09-06,292.0,284.3,292.15,284.3,16613.45,58.0,286.4388,
2011-09-07,292.0,284.6,292.0,284.45,9975.4,35.0,285.0114,364.562
2011-09-08,284.35,284.2,284.5,284.2,14212.4,50.0,284.248,355.011
2011-09-09,293.0,283.0,293.0,280.05,32288.25,113.0,285.7367,365.8105
2011-09-12,300.0,287.0,300.0,287.0,659846.6,2211.0,298.4381,374.55
2011-09-13,294.0,296.0,298.75,294.0,48674.75,165.0,294.9985,367.059
2011-09-14,289.2,289.0,289.2,289.0,25724.0,89.0,289.0337,361.0662
2011-09-15,281.05,283.0,283.05,281.05,51133.35,181.0,282.5047,350.8909
2011-09-16,282.15,282.5,290.0,282.15,457392.5,1579.0,289.6723,352.2643
2011-09-19,280.2,282.2,289.85,280.0,84220.2,300.0,280.734,349.8297
2011-09-20,281.0,281.15,282.0,281.0,308962.5,1096.0,281.9001,350.8285
2011-09-21,280.0,280.0,281.0,280.0,92450.0,330.0,280.1515,349.58
2011-09-22,285.55,280.0,285.55,273.0,60228.7,216.0,278.8366,356.5092
2011-09-23,302.65,302.65,302.65,299.0,1949835.0,6443.0,302.6285,377.8585
2011-09-26,302.0,306.0,315.0,291.0,833507.4,2730.0,305.3141,377.047
2011-09-27,298.95,292.0,298.95,285.0,436843.0,1512.0,288.9173,373.2391
2011-09-28,284.0,287.5,295.0,284.0,157939.5,552.0,286.1222,354.574
2011-09-29,280.3,284.05,285.0,280.0,174439.5,616.0,283.181,349.9545
2011-09-30,280.0,282.0,282.9,275.0,103414.4,369.0,280.2557,349.58
2011-10-03,277.3,279.55,280.0,277.3,106439.3,382.0,278.6369,346.209
2011-10-04,280.0,281.0,286.0,280.0,122767.8,435.0,282.2248,349.58
2011-10-05,277.0,277.6,277.8,277.0,76007.41,274.0,277.3993,345.8345
2011-10-06,278.0,277.1,278.0,277.0,19400.4,70.0,277.1486,347.083
2011-10-07,278.1,278.0,278.1,278.0,10008.7,36.0,278.0194,347.2078
2011-10-10,277.0,282.0,282.0,277.0,119911.0,432.0,277.5717,345.8345
2011-10-11,279.95,275.35,279.95,275.35,19004.3,69.0,275.4247,349.5176
2011-10-12,274.2,275.3,280.0,274.0,35493.65,129.0,275.1446,342.3387
2011-10-13,280.0,274.5,280.0,274.5,132157.5,473.0,279.4027,349.58
2011-10-14,280.0,279.0,282.0,276.45,59083.25,211.0,280.0154,349.58
2011-10-17,285.0,279.0,285.0,279.0,31387.6,112.0,280.2464,355.8225
2011-10-18,282.0,285.0,289.85,282.0,159717.3,563.0,283.6896,352.077
2011-10-19,277.65,277.5,286.8,277.5,67564.2,243.0,278.042,346.646
2011-10-20,277.75,277.75,277.85,277.75,29447.0,106.0,277.8019,346.7709
2011-10-21,284.3,276.0,284.5,276.0,166347.0,586.0,283.8686,354.9485
2011-10-24,280.0,280.0,280.05,280.0,61600.1,220.0,280.0005,349.58
2011-10-25,280.5,280.05,280.5,280.05,15688.65,56.0,280.1544,350.2042
2011-10-26,282.0,280.6,282.0,280.6,45186.4,161.0,280.6609,352.077
2011-10-27,283.0,282.05,283.0,282.05,22296.2,79.0,282.2304,353.3255
2011-10-28,281.0,282.1,284.9,281.0,90228.9,320.0,281.9653,350.8285
2011-10-31,281.0,281.0,281.0,281.0,17422.0,62.0,281.0,350.8285
2011-11-01,280.5,280.0,280.55,280.0,73962.0,264.0,280.1591,350.2042
2011-11-02,280.0,277.05,280.0,277.05,82448.15,296.0,278.541,349.58
2011-11-03,280.0,280.0,280.1,280.0,46482.0,166.0,280.0121,349.58
2011-11-04,281.0,280.0,281.0,280.0,32770.0,117.0,280.0855,350.8285
2011-11-09,281.0,281.0,281.0,281.0,24728.0,88.0,281.0,350.8285
2011-11-10,280.5,280.5,280.5,280.5,9817.5,35.0,280.5,350.2042
2011-11-11,280.05,280.5,280.5,280.0,52726.0,188.0,280.4575,349.6424
2011-11-14,277.0,277.05,277.15,277.0,50971.15,184.0,277.0171,345.8345
2011-11-15,271.1,270.0,272.05,270.0,51864.4,192.0,270.1271,338.4683
2011-11-16,271.05,272.35,272.35,271.05,50004.7,184.0,271.7647,338.4059
2011-11-17,271.0,271.05,271.05,271.0,44448.2,164.0,271.0256,338.3435
2011-11-21,272.5,272.0,275.95,272.0,1166813.0,4263.0,273.707,340.2162
2011-11-22,270.05,272.0,272.0,270.05,50533.7,186.0,271.6866,337.1574
2011-11-23,272.0,271.0,272.0,271.0,22516.2,83.0,271.2795,339.592
2011-11-24,272.0,272.0,275.0,272.0,17968.0,66.0,272.2424,339.592
2011-11-25,271.0,271.0,275.0,271.0,29579.0,109.0,271.367,338.3435
2011-11-28,271.0,270.0,271.0,270.0,12992.0,48.0,270.6667,338.3435
2011-11-29,271.0,270.05,271.0,270.05,17298.4,64.0,270.2875,338.3435
2011-11-30,270.0,270.0,271.0,270.0,69773.0,258.0,270.438,337.095
2011-12-01,276.0,270.0,276.0,265.05,62087.4,230.0,269.9452,344.586
2011-12-02,267.2,267.5,267.5,267.2,25661.6,48.0,267.3083,333.5992
2011-12-05,270.0,275.95,275.95,270.0,10109.0,37.0,273.2162,337.095
2011-12-06,270.0,270.0,270.3,270.0,11611.2,43.0,270.0279,337.095
2011-12-07,267.0,270.0,270.0,267.0,61043.45,227.0,268.9139,333.3495
2011-12-08,270.0,267.05,270.0,267.0,75420.4,282.0,267.4482,337.095
2011-12-09,272.0,270.0,272.0,270.0,43940.0,162.0,271.2346,339.592
2011-12-12,267.0,267.0,267.05,267.0,74495.5,279.0,267.009,333.3495
2011-12-13,266.0,266.0,266.0,266.0,38836.0,146.0,266.0,332.101
2011-12-14,266.1,265.5,266.1,265.5,27377.7,103.0,265.8029,332.2258
2011-12-15,265.0,265.5,265.5,265.0,107104.6,404.0,265.1104,330.8525
2011-12-16,270.5,260.1,270.5,260.0,125640.0,472.0,266.1866,337.7192
2011-12-19,265.0,263.0,265.0,263.0,19279.0,73.0,264.0959,330.8525
2011-12-20,270.95,261.0,271.4,261.0,69628.99,261.0,266.7778,338.2811
2011-12-21,271.35,262.1,271.35,262.1,31113.9,117.0,265.9308,338.7805
2011-12-22,263.0,263.0,263.0,263.0,8679.0,33.0,263.0,328.3555
2011-12-23,261.5,263.0,271.35,261.5,97167.45,371.0,261.9069,326.4827
2011-12-26,261.1,263.0,263.0,261.1,5770.1,22.0,262.2773,325.9833
2011-12-27,261.1,261.6,262.1,261.0,741020.3,2838.0,261.1065,325.9833
2011-12-28,268.95,260.0,268.95,260.0,226186.3,844.0,267.9933,335.7841
2011-12-29,280.0,260.0,280.0,260.0,810267.0,2953.0,274.3877,349.58
2011-12-30,280.0,266.0,284.0,266.0,4812268.0,17149.0,280.6151,349.58
2012-01-02,264.0,264.0,264.0,264.0,16896.0,64.0,264.0,329.604
2012-01-03,264.1,264.1,264.1,264.1,13205.0,50.0,264.1,329.7288
2012-01-04,265.25,273.9,273.9,265.25,27217.8,100.0,272.178,331.1646
2012-01-05,260.0,266.0,266.0,260.0,89718.2,339.0,264.6555,324.61
2012-01-06,261.25,269.9,269.9,261.05,15514.55,59.0,262.9585,326.1706
2012-01-09,267.95,261.9,267.95,261.05,46345.8,177.0,261.8407,334.5356
2012-01-10,267.0,261.25,267.0,261.2,9154.45,35.0,261.5557,333.3495
2012-01-12,261.1,261.05,261.1,261.05,23495.0,90.0,261.0555,325.9833
2012-01-13,261.1,261.05,261.1,261.05,29238.45,112.0,261.0576,325.9833
2012-01-16,261.2,261.2,261.2,261.2,2612.0,10.0,261.2,326.1082
2012-01-17,261.05,261.05,266.0,261.05,35507.9,136.0,261.0875,325.9209
2012-01-18,261.05,261.05,261.05,261.05,47250.05,181.0,261.05,325.9209
2012-01-19,261.0,261.05,261.2,261.0,6526.75,25.0,261.07,325.8585
2012-01-20,260.0,261.15,265.0,260.0,47475.6,182.0,260.8549,324.61
2012-01-23,260.2,262.2,263.0,260.0,139385.3,534.0,261.0211,324.8597
2012-01-24,265.1,268.0,270.0,265.1,3913571.0,14504.0,269.827,330.9773
2012-01-25,264.0,260.2,265.0,260.2,109894.4,420.0,261.6532,329.604
2012-01-26,270.9,264.0,271.0,264.0,94439.4,354.0,266.778,338.2186
2012-01-27,262.0,267.8,267.8,262.0,97900.9,370.0,264.597,327.107
2012-01-30,264.8,261.0,264.8,261.0,39422.2,151.0,261.0742,330.6028
2012-01-31,255.5,260.55,260.6,255.5,168353.0,649.0,259.4037,318.9917
2012-02-01,266.85,255.6,266.85,255.6,34470.25,133.0,259.1748,333.1622
2012-02-02,262.75,258.1,262.75,258.1,5940.95,23.0,258.3022,328.0434
2012-02-03,259.5,260.0,260.0,259.5,17143.0,66.0,259.7424,323.9857
2012-02-07,260.05,260.05,260.05,260.05,8581.65,33.0,260.05,324.6724
2012-02-08,260.0,260.0,260.0,258.1,102872.6,396.0,259.7793,324.61
2012-02-09,260.0,256.1,260.0,256.1,50455.61,197.0,256.1198,324.61
2012-02-10,258.6,257.2,260.0,257.2,99135.2,382.0,259.5162,322.8621
2012-02-13,258.7,258.6,262.7,258.6,122654.9,472.0,259.8621,322.9869
2012-02-14,257.0,258.0,258.0,257.0,36364.0,141.0,257.9007,320.8645
